method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic,seed,method_family,runtime_sec,baseline_note,selection_protocol
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,498.0,319.0,179.0,319.0,319.0,319.0,179.0,0.0,0.1733606712818504,0.1733606712818504,0.002004008016032,0.003125,0.003125,29.465010746333103,20.408264599127435,10.0,True,20.408264599127435,10.570359459477736,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,71.0,1019.0,,,150.0,10.0,-4.604769779873226,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,1,certified_or_core_baseline,,,fixed_M_protocol_not_tune_selected
confidence_threshold,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,141,9,,,,,,,,,0.06,0.0,,0.9466666666666668,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.0001344491029158,score_threshold_from_calibration_null_quantile,fixed_M_protocol_not_tune_selected
tracklet_p_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,141,9,,,,,,,,,0.06,0.0,,0.9466666666666668,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.0001328410580754,tracklet_level_p_bh,fixed_M_protocol_not_tune_selected
tracklet_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,1,diagnostic_baseline,0.0002621799940243,tracklet_level_e_self_consistency,fixed_M_protocol_not_tune_selected
post_filter_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,1,diagnostic_baseline,0.0002364231040701,block_evalue_post_filter,fixed_M_protocol_not_tune_selected
greedy_score_no_risk,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,141,9,,,,,,,,,0.06,0.0,,0.9466666666666668,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.00011252600234,top_m_by_score_no_risk_control,fixed_M_protocol_not_tune_selected
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,498.0,336.0,162.0,336.0,336.0,336.0,162.0,0.0,0.5,0.1718188575604124,0.002004008016032,0.0029673590504451,0.0029673590504451,11.169153951844516,9.17877987534291,10.0,True,9.17877987534291,5.123839913199809,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1286.0,,,150.0,10.0,-6.530747301548317,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,2,certified_or_core_baseline,,,fixed_M_protocol_not_tune_selected
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,498.0,336.0,162.0,336.0,336.0,336.0,162.0,0.0,0.1718188575604124,0.1718188575604124,0.002004008016032,0.0029673590504451,0.0029673590504451,29.48402829688038,21.301306726787537,10.0,True,21.301306726787537,8.534686322374078,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1286.0,,,150.0,10.0,-5.748795607843805,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,2,certified_or_core_baseline,,,fixed_M_protocol_not_tune_selected
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,498.0,325.0,173.0,325.0,325.0,325.0,173.0,0.0,0.1728041701966084,0.1728041701966084,0.002004008016032,0.0030674846625766,0.0030674846625766,29.472144552343703,20.72417910987153,10.0,True,20.72417910987153,8.311187643762743,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,78.0,1208.0,,,150.0,10.0,-5.856038016393794,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,2,certified_or_core_baseline,,,fixed_M_protocol_not_tune_selected
confidence_threshold,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,149,1,,,,,,,,,0.0066666666666666,,,1.0,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.000129974912852,score_threshold_from_calibration_null_quantile,fixed_M_protocol_not_tune_selected
tracklet_p_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,149,1,,,,,,,,,0.0066666666666666,,,1.0,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001318460563197,tracklet_level_p_bh,fixed_M_protocol_not_tune_selected
tracklet_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,2,diagnostic_baseline,0.0002713149879127,tracklet_level_e_self_consistency,fixed_M_protocol_not_tune_selected
post_filter_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,2,diagnostic_baseline,0.0002373369643464,block_evalue_post_filter,fixed_M_protocol_not_tune_selected
greedy_score_no_risk,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,149,1,,,,,,,,,0.0066666666666666,,,1.0,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001077560009434,top_m_by_score_no_risk_control,fixed_M_protocol_not_tune_selected
