challenge_sample_id,dataset,video_id,path_id,pending_montage_path,second_reviewer_label,second_reviewer_verified_positive_for_calibration,second_reviewer_reason,second_reviewer_confidence,review_status
sr_challenge_0209,TAO,3926,ovtb_v3926_p002349,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3926_p002349.jpg,,,,,requires_independent_blind_review
sr_challenge_0210,TAO,3474,ovtb_v3474_p001994,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3474_p001994.jpg,,,,,requires_independent_blind_review
sr_challenge_0212,TAO,3392,ovtb_v3392_p001895,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3392_p001895.jpg,,,,,requires_independent_blind_review
sr_challenge_0215,OVT-B,801,ovtb_v801_p007874,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v801_p007874.jpg,,,,,requires_independent_blind_review
sr_challenge_0218,TAO,3431,ovtb_v3431_p001965,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3431_p001965.jpg,,,,,requires_independent_blind_review
sr_challenge_0219,TAO,2919,ovtb_v2919_p001488,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v2919_p001488.jpg,,,,,requires_independent_blind_review
sr_challenge_0220,OVT-B,805,ovtb_v805_p007927,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v805_p007927.jpg,,,,,requires_independent_blind_review
sr_challenge_0221,TAO,239,ovtb_v239_p000119,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v239_p000119.jpg,,,,,requires_independent_blind_review
sr_challenge_0226,TAO,3108,ovtb_v3108_p001612,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3108_p001612.jpg,,,,,requires_independent_blind_review
sr_challenge_0228,OVT-B,910,ovtb_v910_p008684,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v910_p008684.jpg,,,,,requires_independent_blind_review
sr_challenge_0230,TAO,2867,ovtb_v2867_p001483,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v2867_p001483.jpg,,,,,requires_independent_blind_review
sr_challenge_0231,TAO,3469,ovtb_v3469_p002197,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3469_p002197.jpg,,,,,requires_independent_blind_review
sr_challenge_0233,TAO,5579,ovtb_v5579_p004076,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5579_p004076.jpg,,,,,requires_independent_blind_review
sr_challenge_0235,TAO,5439,ovtb_v5439_p003883,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5439_p003883.jpg,,,,,requires_independent_blind_review
sr_challenge_0237,TAO,5007,ovtb_v5007_p003483,,,,,,requires_independent_blind_review
sr_challenge_0238,TAO,5787,ovtb_v5787_p004132,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5787_p004132.jpg,,,,,requires_independent_blind_review
sr_challenge_0239,OVT-B,940,ovtb_v940_p008935,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v940_p008935.jpg,,,,,requires_independent_blind_review
sr_challenge_0240,TAO,1836,ovtb_v1836_p000775,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v1836_p000775.jpg,,,,,requires_independent_blind_review
sr_challenge_0241,TAO,1329,ovtb_v1329_p000690,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v1329_p000690.jpg,,,,,requires_independent_blind_review
sr_challenge_0243,TAO,3951,ovtb_v3951_p002252,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3951_p002252.jpg,,,,,requires_independent_blind_review
sr_challenge_0244,TAO,1874,ovtb_v1874_p000717,,,,,,requires_independent_blind_review
sr_challenge_0245,TAO,1524,ovtb_v1524_p000638,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v1524_p000638.jpg,,,,,requires_independent_blind_review
sr_challenge_0246,TAO,1058,ovtb_v1058_p000554,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v1058_p000554.jpg,,,,,requires_independent_blind_review
sr_challenge_0247,OVT-B,940,ovtb_v940_p008950,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v940_p008950.jpg,,,,,requires_independent_blind_review
sr_challenge_0253,TAO,4637,ovtb_v4637_p002837,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4637_p002837.jpg,,,,,requires_independent_blind_review
sr_challenge_0255,TAO,212,ovtb_v212_p000167,,,,,,requires_independent_blind_review
sr_challenge_0256,TAO,85,ovtb_v85_p000076,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v85_p000076.jpg,,,,,requires_independent_blind_review
sr_challenge_0258,TAO,705,ovtb_v705_p000487,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v705_p000487.jpg,,,,,requires_independent_blind_review
sr_challenge_0260,TAO,2371,ovtb_v2371_p001061,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v2371_p001061.jpg,,,,,requires_independent_blind_review
sr_challenge_0263,TAO,3423,ovtb_v3423_p001993,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3423_p001993.jpg,,,,,requires_independent_blind_review
sr_challenge_0265,TAO,5223,ovtb_v5223_p003584,,,,,,requires_independent_blind_review
sr_challenge_0267,TAO,114,ovtb_v114_p000082,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v114_p000082.jpg,,,,,requires_independent_blind_review
sr_challenge_0268,OVT-B,542,ovtb_v542_p005945,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v542_p005945.jpg,,,,,requires_independent_blind_review
sr_challenge_0269,TAO,4861,ovtb_v4861_p003148,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4861_p003148.jpg,,,,,requires_independent_blind_review
sr_challenge_0270,OVT-B,664,ovtb_v664_p006877,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v664_p006877.jpg,,,,,requires_independent_blind_review
sr_challenge_0271,OVT-B,600,ovtb_v600_p006377,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v600_p006377.jpg,,,,,requires_independent_blind_review
sr_challenge_0275,TAO,5622,ovtb_v5622_p004096,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5622_p004096.jpg,,,,,requires_independent_blind_review
sr_challenge_0277,TAO,2976,ovtb_v2976_p001375,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v2976_p001375.jpg,,,,,requires_independent_blind_review
sr_challenge_0279,TAO,2045,ovtb_v2045_p000932,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v2045_p000932.jpg,,,,,requires_independent_blind_review
sr_challenge_0280,OVT-B,867,ovtb_v867_p008375,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v867_p008375.jpg,,,,,requires_independent_blind_review
sr_challenge_0283,OVT-B,893,ovtb_v893_p008603,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v893_p008603.jpg,,,,,requires_independent_blind_review
sr_challenge_0286,OVT-B,646,ovtb_v646_p006723,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v646_p006723.jpg,,,,,requires_independent_blind_review
sr_challenge_0287,OVT-B,634,ovtb_v634_p006616,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v634_p006616.jpg,,,,,requires_independent_blind_review
sr_challenge_0290,TAO,5280,ovtb_v5280_p003724,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5280_p003724.jpg,,,,,requires_independent_blind_review
sr_challenge_0291,OVT-B,558,ovtb_v558_p006069,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v558_p006069.jpg,,,,,requires_independent_blind_review
sr_challenge_0292,TAO,3991,ovtb_v3991_p002376,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3991_p002376.jpg,,,,,requires_independent_blind_review
sr_challenge_0297,OVT-B,80,ovtb_v80_p002851,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v80_p002851.jpg,,,,,requires_independent_blind_review
sr_challenge_0298,TAO,3418,ovtb_v3418_p001949,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3418_p001949.jpg,,,,,requires_independent_blind_review
sr_challenge_0300,TAO,5008,ovtb_v5008_p003443,,,,,,requires_independent_blind_review
sr_challenge_0301,TAO,4713,ovtb_v4713_p003008,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4713_p003008.jpg,,,,,requires_independent_blind_review
sr_challenge_0302,OVT-B,666,ovtb_v666_p006889,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v666_p006889.jpg,,,,,requires_independent_blind_review
sr_challenge_0304,TAO,3864,ovtb_v3864_p002208,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3864_p002208.jpg,,,,,requires_independent_blind_review
sr_challenge_0308,TAO,3046,ovtb_v3046_p001460,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3046_p001460.jpg,,,,,requires_independent_blind_review
sr_challenge_0310,TAO,5404,ovtb_v5404_p003819,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5404_p003819.jpg,,,,,requires_independent_blind_review
sr_challenge_0311,TAO,4634,ovtb_v4634_p002919,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4634_p002919.jpg,,,,,requires_independent_blind_review
sr_challenge_0312,TAO,1330,ovtb_v1330_p000569,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v1330_p000569.jpg,,,,,requires_independent_blind_review
sr_challenge_0314,TAO,3392,ovtb_v3392_p001903,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3392_p001903.jpg,,,,,requires_independent_blind_review
sr_challenge_0317,TAO,1790,ovtb_v1790_p000701,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v1790_p000701.jpg,,,,,requires_independent_blind_review
sr_challenge_0319,TAO,2037,ovtb_v2037_p000911,,,,,,requires_independent_blind_review
sr_challenge_0321,TAO,2170,ovtb_v2170_p001156,,,,,,requires_independent_blind_review
sr_challenge_0323,OVT-B,636,ovtb_v636_p006628,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v636_p006628.jpg,,,,,requires_independent_blind_review
sr_challenge_0325,TAO,4155,ovtb_v4155_p002376,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4155_p002376.jpg,,,,,requires_independent_blind_review
sr_challenge_0326,TAO,4232,ovtb_v4232_p002576,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4232_p002576.jpg,,,,,requires_independent_blind_review
sr_challenge_0329,TAO,3590,ovtb_v3590_p002278,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3590_p002278.jpg,,,,,requires_independent_blind_review
sr_challenge_0330,TAO,5277,ovtb_v5277_p003703,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5277_p003703.jpg,,,,,requires_independent_blind_review
sr_challenge_0337,TAO,3046,ovtb_v3046_p001466,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3046_p001466.jpg,,,,,requires_independent_blind_review
sr_challenge_0338,OVT-B,545,ovtb_v545_p005967,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v545_p005967.jpg,,,,,requires_independent_blind_review
sr_challenge_0343,OVT-B,704,ovtb_v704_p007173,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v704_p007173.jpg,,,,,requires_independent_blind_review
sr_challenge_0345,TAO,3275,ovtb_v3275_p001940,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3275_p001940.jpg,,,,,requires_independent_blind_review
sr_challenge_0346,OVT-B,538,ovtb_v538_p005897,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v538_p005897.jpg,,,,,requires_independent_blind_review
sr_challenge_0347,TAO,1624,ovtb_v1624_p000600,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v1624_p000600.jpg,,,,,requires_independent_blind_review
sr_challenge_0349,TAO,4431,ovtb_v4431_p002874,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4431_p002874.jpg,,,,,requires_independent_blind_review
sr_challenge_0350,TAO,894,ovtb_v894_p000457,,,,,,requires_independent_blind_review
sr_challenge_0352,TAO,5148,ovtb_v5148_p003626,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5148_p003626.jpg,,,,,requires_independent_blind_review
sr_challenge_0353,TAO,369,ovtb_v369_p000290,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v369_p000290.jpg,,,,,requires_independent_blind_review
