challenge_sample_id,dataset,video_id,path_id,pending_montage_path,primary_label,human_second_label,label_match,primary_verified_positive_for_calibration,human_second_verified_positive_for_calibration,verified_positive_match,human_second_reason,human_second_confidence,human_second_review_status
sr_challenge_0056,OVT-B,189,ovtb_v189_p003459,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0057,OVT-B,219,ovtb_v219_p003672,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0058,TAO,4885,ovtb_v4885_p003294,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0059,OVT-B,38,ovtb_v38_p002328,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v38_p002328.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0060,OVT-B,41,ovtb_v41_p002446,,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0061,TAO,3326,ovtb_v3326_p001814,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0062,OVT-B,130,ovtb_v130_p003147,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0063,OVT-B,247,ovtb_v247_p003883,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0064,OVT-B,317,ovtb_v317_p004436,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v317_p004436.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0065,OVT-B,656,ovtb_v656_p006793,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v656_p006793.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0066,OVT-B,189,ovtb_v189_p003461,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v189_p003461.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0067,BURST,1376,ovtb_v1376_p001863,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1376_p001863.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0068,TAO,4411,ovtb_v4411_p002619,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0069,TAO,3399,ovtb_v3399_p001945,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0070,OVT-B,206,ovtb_v206_p003537,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v206_p003537.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0071,OVT-B,206,ovtb_v206_p003543,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0072,OVT-B,159,ovtb_v159_p003318,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0073,BURST,367,ovtb_v367_p000661,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v367_p000661.jpg,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0074,BURST,1680,ovtb_v1680_p002150,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1680_p002150.jpg,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0075,BURST,724,ovtb_v724_p001271,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v724_p001271.jpg,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0076,OVT-B,443,ovtb_v443_p005240,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v443_p005240.jpg,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0077,TAO,1632,ovtb_v1632_p000669,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v1632_p000669.jpg,actually_true,actually_true,True,no,no,True,human_confirmed_challenge_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0078,BURST,271,ovtb_v271_p000446,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v271_p000446.jpg,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0079,TAO,3554,ovtb_v3554_p002187,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3554_p002187.jpg,actually_true,actually_true,True,no,no,True,human_confirmed_challenge_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0080,OVT-B,500,ovtb_v500_p005627,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v500_p005627.jpg,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0081,TAO,4022,ovtb_v4022_p002487,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4022_p002487.jpg,actually_true,actually_true,True,no,no,True,human_confirmed_challenge_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0082,TAO,2072,ovtb_v2072_p000898,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v2072_p000898.jpg,actually_true,actually_true,True,no,no,True,human_confirmed_challenge_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0083,BURST,387,ovtb_v387_p000652,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v387_p000652.jpg,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0084,BURST,1171,ovtb_v1171_p001599,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1171_p001599.jpg,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0085,OVT-B,217,ovtb_v217_p003651,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v217_p003651.jpg,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0086,OVT-B,724,ovtb_v724_p007283,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v724_p007283.jpg,actually_true,actually_true,True,no,no,True,human_confirmed_challenge_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0087,TAO,3418,ovtb_v3418_p001946,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3418_p001946.jpg,actually_true,actually_true,True,no,no,True,human_confirmed_challenge_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0088,TAO,4807,ovtb_v4807_p003151,,actually_true,actually_true,True,yes,yes,True,human_confirmed_challenge_review_real_object_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0089,BURST,443,ovtb_v443_p000769,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v443_p000769.jpg,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0090,TAO,3119,ovtb_v3119_p001774,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3119_p001774.jpg,actually_true,actually_true,True,no,no,True,human_confirmed_challenge_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0091,TAO,5694,ovtb_v5694_p004137,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5694_p004137.jpg,actually_true,actually_true,True,no,no,True,human_confirmed_challenge_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0092,TAO,3195,ovtb_v3195_p001712,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3195_p001712.jpg,actually_true,actually_true,True,no,no,True,human_confirmed_challenge_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0093,TAO,4537,ovtb_v4537_p002983,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4537_p002983.jpg,actually_true,actually_true,True,no,no,True,human_confirmed_challenge_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0094,TAO,635,ovtb_v635_p000387,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v635_p000387.jpg,actually_true,actually_true,True,no,no,True,human_confirmed_challenge_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0095,TAO,4953,ovtb_v4953_p003468,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4953_p003468.jpg,actually_true,actually_true,True,no,no,True,human_confirmed_challenge_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0096,BURST,435,ovtb_v435_p001001,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v435_p001001.jpg,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0097,OVT-B,38,ovtb_v38_p002313,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v38_p002313.jpg,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0098,TAO,3392,ovtb_v3392_p001897,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3392_p001897.jpg,actually_true,actually_true,True,no,no,True,human_confirmed_challenge_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0099,OVT-B,417,ovtb_v417_p005052,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v417_p005052.jpg,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0100,OVT-B,523,ovtb_v523_p005772,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v523_p005772.jpg,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0101,BURST,26,ovtb_v26_p000032,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v26_p000032.jpg,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0102,OVT-B,538,ovtb_v538_p005900,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v538_p005900.jpg,actually_true,actually_true,True,no,no,True,human_confirmed_challenge_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0103,OVT-B,33,ovtb_v33_p001881,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v33_p001881.jpg,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0104,OVT-B,257,ovtb_v257_p003978,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v257_p003978.jpg,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0105,OVT-B,873,ovtb_v873_p008400,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v873_p008400.jpg,actually_true,actually_true,True,no,no,True,human_confirmed_challenge_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0106,OVT-B,788,ovtb_v788_p007786,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v788_p007786.jpg,actually_true,actually_true,True,no,no,True,human_confirmed_challenge_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0107,TAO,2112,ovtb_v2112_p001116,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v2112_p001116.jpg,actually_true,actually_true,True,no,no,True,human_confirmed_challenge_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0108,OVT-B,508,ovtb_v508_p005672,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v508_p005672.jpg,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0109,TAO,5210,ovtb_v5210_p003667,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5210_p003667.jpg,actually_true,actually_true,True,no,no,True,human_confirmed_challenge_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0110,BURST,404,ovtb_v404_p000688,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v404_p000688.jpg,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0111,BURST,2103,ovtb_v2103_p002716,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v2103_p002716.jpg,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,human_confirmed_after_challenge_review
