challenge_sample_id,dataset,video_id,path_id,primary_label,human_second_label,label_match,primary_verified_positive_for_calibration,human_second_verified_positive_for_calibration,verified_positive_match,human_second_reason,human_second_confidence,human_second_review_status
sr_challenge_0015,OVT-B,173,ovtb_v173_p003385,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0016,TAO,2516,ovtb_v2516_p001225,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0017,OVT-B,38,ovtb_v38_p002304,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0018,OVT-B,81,ovtb_v81_p002855,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0019,OVT-B,955,ovtb_v955_p009048,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0020,OVT-B,169,ovtb_v169_p003369,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0021,OVT-B,682,ovtb_v682_p007019,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0022,OVT-B,980,ovtb_v980_p009221,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0023,TAO,3165,ovtb_v3165_p001627,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0024,BURST,1000,ovtb_v1000_p001325,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0025,TAO,5781,ovtb_v5781_p004235,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0026,OVT-B,188,ovtb_v188_p003451,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0027,BURST,2749,ovtb_v2749_p003246,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0028,OVT-B,216,ovtb_v216_p003614,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0029,BURST,2445,ovtb_v2445_p003197,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0030,OVT-B,274,ovtb_v274_p004091,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0031,OVT-B,38,ovtb_v38_p002305,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0032,OVT-B,704,ovtb_v704_p007172,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0033,OVT-B,38,ovtb_v38_p002285,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0034,OVT-B,600,ovtb_v600_p006379,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0035,TAO,5092,ovtb_v5092_p003497,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0036,OVT-B,190,ovtb_v190_p003462,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0037,OVT-B,876,ovtb_v876_p008448,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0038,TAO,3382,ovtb_v3382_p002049,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0039,OVT-B,95,ovtb_v95_p002939,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0040,OVT-B,130,ovtb_v130_p003148,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0041,OVT-B,885,ovtb_v885_p008538,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0042,TAO,4172,ovtb_v4172_p002683,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0043,OVT-B,241,ovtb_v241_p003843,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0044,OVT-B,590,ovtb_v590_p006311,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0045,OVT-B,627,ovtb_v627_p006581,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0046,BURST,492,ovtb_v492_p001132,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0047,BURST,2780,ovtb_v2780_p003546,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0048,BURST,1557,ovtb_v1557_p002033,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0049,OVT-B,95,ovtb_v95_p002940,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0050,TAO,2795,ovtb_v2795_p001469,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,medium,blind_review_confirmed
sr_challenge_0051,TAO,3472,ovtb_v3472_p002083,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0052,OVT-B,37,ovtb_v37_p002265,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0053,OVT-B,253,ovtb_v253_p003945,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0054,BURST,174,ovtb_v174_p000342,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0055,OVT-B,61,ovtb_v61_p002740,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0056,OVT-B,189,ovtb_v189_p003459,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0057,OVT-B,219,ovtb_v219_p003672,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0058,TAO,4885,ovtb_v4885_p003294,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0059,OVT-B,38,ovtb_v38_p002328,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0060,OVT-B,41,ovtb_v41_p002446,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0061,TAO,3326,ovtb_v3326_p001814,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0062,OVT-B,130,ovtb_v130_p003147,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0063,OVT-B,247,ovtb_v247_p003883,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0064,OVT-B,317,ovtb_v317_p004436,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0065,OVT-B,656,ovtb_v656_p006793,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0066,OVT-B,189,ovtb_v189_p003461,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0067,BURST,1376,ovtb_v1376_p001863,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0068,TAO,4411,ovtb_v4411_p002619,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0069,TAO,3399,ovtb_v3399_p001945,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0070,OVT-B,206,ovtb_v206_p003537,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0071,OVT-B,206,ovtb_v206_p003543,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0072,OVT-B,159,ovtb_v159_p003318,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0073,BURST,367,ovtb_v367_p000661,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0074,BURST,1680,ovtb_v1680_p002150,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0075,BURST,724,ovtb_v724_p001271,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0076,OVT-B,443,ovtb_v443_p005240,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0078,BURST,271,ovtb_v271_p000446,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0080,OVT-B,500,ovtb_v500_p005627,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0083,BURST,387,ovtb_v387_p000652,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0084,BURST,1171,ovtb_v1171_p001599,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0085,OVT-B,217,ovtb_v217_p003651,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0089,BURST,443,ovtb_v443_p000769,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0096,BURST,435,ovtb_v435_p001001,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0097,OVT-B,38,ovtb_v38_p002313,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0099,OVT-B,417,ovtb_v417_p005052,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0100,OVT-B,523,ovtb_v523_p005772,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0101,BURST,26,ovtb_v26_p000032,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0103,OVT-B,33,ovtb_v33_p001881,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0104,OVT-B,257,ovtb_v257_p003978,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0108,OVT-B,508,ovtb_v508_p005672,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0110,BURST,404,ovtb_v404_p000688,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0111,BURST,2103,ovtb_v2103_p002716,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0112,OVT-B,453,ovtb_v453_p005318,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0113,BURST,270,ovtb_v270_p000376,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0114,OVT-B,469,ovtb_v469_p005439,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0115,OVT-B,466,ovtb_v466_p005408,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0121,OVT-B,453,ovtb_v453_p005317,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0122,BURST,2103,ovtb_v2103_p002748,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0123,OVT-B,40,ovtb_v40_p002410,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,high,blind_review_confirmed
sr_challenge_0128,BURST,68,ovtb_v68_p000151,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0129,BURST,952,ovtb_v952_p001310,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0130,OVT-B,35,ovtb_v35_p002133,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0132,BURST,722,ovtb_v722_p001221,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0133,BURST,979,ovtb_v979_p001475,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0135,BURST,1682,ovtb_v1682_p002282,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0137,BURST,2428,ovtb_v2428_p003149,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0138,OVT-B,29,ovtb_v29_p001557,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0139,OVT-B,495,ovtb_v495_p005610,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0141,BURST,1244,ovtb_v1244_p001590,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0142,OVT-B,30,ovtb_v30_p001637,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0146,BURST,308,ovtb_v308_p000715,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0151,OVT-B,382,ovtb_v382_p004807,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0152,BURST,490,ovtb_v490_p000874,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0153,BURST,490,ovtb_v490_p000891,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0156,BURST,2848,ovtb_v2848_p003514,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0160,OVT-B,13,ovtb_v13_p000660,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0163,BURST,2218,ovtb_v2218_p002628,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0165,BURST,1538,ovtb_v1538_p002002,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0171,BURST,505,ovtb_v505_p000891,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0172,OVT-B,278,ovtb_v278_p004126,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0175,OVT-B,514,ovtb_v514_p005708,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0176,BURST,1869,ovtb_v1869_p002507,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0179,BURST,1138,ovtb_v1138_p001534,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0182,BURST,1785,ovtb_v1785_p002338,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0184,BURST,150,ovtb_v150_p000288,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0185,BURST,1376,ovtb_v1376_p001864,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0187,BURST,120,ovtb_v120_p000288,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0190,OVT-B,432,ovtb_v432_p005161,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0191,OVT-B,141,ovtb_v141_p003224,actually_true,actually_true,True,yes,yes,True,blind_review_real_object_candidate,high,blind_review_confirmed
sr_challenge_0192,OVT-B,24,ovtb_v24_p001089,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0194,OVT-B,25,ovtb_v25_p001151,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0196,BURST,2327,ovtb_v2327_p003005,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0198,BURST,344,ovtb_v344_p000616,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0200,OVT-B,36,ovtb_v36_p002219,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0201,BURST,435,ovtb_v435_p001002,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0202,OVT-B,453,ovtb_v453_p005316,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0203,BURST,22,ovtb_v22_p000022,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0204,OVT-B,453,ovtb_v453_p005308,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0205,BURST,938,ovtb_v938_p001355,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0206,OVT-B,106,ovtb_v106_p003013,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0207,BURST,742,ovtb_v742_p001049,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0208,OVT-B,389,ovtb_v389_p004866,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0211,BURST,2327,ovtb_v2327_p003002,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0213,BURST,343,ovtb_v343_p000622,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0214,OVT-B,511,ovtb_v511_p005694,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0216,OVT-B,30,ovtb_v30_p001640,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0217,BURST,2900,ovtb_v2900_p003575,actually_true,actually_true,True,yes,yes,True,blind_review_real_object_candidate,high,blind_review_confirmed
sr_challenge_0222,OVT-B,39,ovtb_v39_p002397,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0223,OVT-B,124,ovtb_v124_p003112,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0224,BURST,2716,ovtb_v2716_p003386,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0225,BURST,505,ovtb_v505_p000892,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0227,OVT-B,40,ovtb_v40_p002411,actually_true,actually_true,True,yes,yes,True,blind_review_real_object_candidate,high,blind_review_confirmed
sr_challenge_0229,OVT-B,13,ovtb_v13_p000590,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0232,OVT-B,285,ovtb_v285_p004170,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0234,BURST,428,ovtb_v428_p000963,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0236,BURST,2465,ovtb_v2465_p003226,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0242,OVT-B,487,ovtb_v487_p005564,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0248,OVT-B,445,ovtb_v445_p005257,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0249,BURST,2432,ovtb_v2432_p002916,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0250,OVT-B,443,ovtb_v443_p005232,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0251,OVT-B,35,ovtb_v35_p002108,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0252,BURST,2024,ovtb_v2024_p002676,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0254,OVT-B,432,ovtb_v432_p005159,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0257,BURST,1198,ovtb_v1198_p001524,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0259,BURST,2402,ovtb_v2402_p003100,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0261,BURST,2103,ovtb_v2103_p002727,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0262,BURST,1018,ovtb_v1018_p001218,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0264,BURST,2218,ovtb_v2218_p002636,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0266,OVT-B,36,ovtb_v36_p002212,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0272,BURST,1093,ovtb_v1093_p001315,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0273,OVT-B,35,ovtb_v35_p002083,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0274,OVT-B,33,ovtb_v33_p001891,actually_true,actually_true,True,yes,yes,True,blind_review_real_object_candidate,high,blind_review_confirmed
sr_challenge_0276,OVT-B,1,ovtb_v1_p000078,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0278,OVT-B,117,ovtb_v117_p003073,actually_true,actually_true,True,yes,yes,True,blind_review_real_object_candidate,high,blind_review_confirmed
sr_challenge_0281,OVT-B,453,ovtb_v453_p005299,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0282,BURST,1156,ovtb_v1156_p001689,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0284,BURST,490,ovtb_v490_p000875,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0285,OVT-B,29,ovtb_v29_p001558,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0288,OVT-B,466,ovtb_v466_p005410,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0289,BURST,1263,ovtb_v1263_p001796,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0293,BURST,1184,ovtb_v1184_p001700,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
sr_challenge_0294,BURST,1873,ovtb_v1873_p002269,actually_true,actually_true,True,no,no,True,blind_review_real_object_candidate,medium,blind_review_confirmed
