domain,dataset,unit,proposal_source,verification_mode,alpha,K,release_status,non_empty_seeds,total_seeds,PARC_release_size,PARC_FTR,raw_topK_FTR,false_releases_prevented_est,coverage,evidence_mass_phi,max_observed_e,required_e,empty_block_policy,block_stress_pass,practical_interpretation,paper_status,conservative_PARC_FTR
materials_discovery,Matbench Discovery WBM,crystal_stability_candidate,cgcnn_ensemble_learned_materials_model,materials_boundary_threshold_rerun,0.1,300,strict_alpha010_pass,20,20,152.3,0.0754735617542761,0.2349999999999999,59.00537654482372,0.9967715680954964,4.751199834988349,164.68978331639784,10.0,coverage_conditional,conservative_clear_stable_observed_25meV,materials stability-threshold and boundary-label robustness,materials_threshold_robustness,
materials_discovery,Matbench Discovery WBM,crystal_stability_candidate,alignn_ff_modern_learned_materials_model,materials_boundary_threshold_rerun,0.1,100,sensitivity_or_refusal,20,20,100.0,0.111,0.111,0.0,0.9965455049944504,10.420987239852158,161.4372778493898,10.0,coverage_conditional,margin_excluded_25meV,materials stability-threshold and boundary-label robustness,materials_threshold_robustness,
materials_discovery,Matbench Discovery WBM,crystal_stability_candidate,alignn_ff_modern_learned_materials_model,materials_boundary_threshold_rerun,0.1,300,strict_alpha010_pass,20,20,99.75,0.0765039672989856,0.2536666666666666,68.46872926192617,0.9965455049944504,3.570534117662196,161.4372778493898,10.0,coverage_conditional,margin_excluded_25meV,materials stability-threshold and boundary-label robustness,materials_threshold_robustness,
materials_discovery,Matbench Discovery WBM,crystal_stability_candidate,cgcnn_ensemble_learned_materials_model,materials_boundary_threshold_rerun,0.1,100,strict_alpha010_pass,20,20,100.0,0.0395,0.0395,0.0,0.9962125416204218,12.451872877922453,161.38993927851374,10.0,coverage_conditional,margin_excluded_25meV,materials stability-threshold and boundary-label robustness,materials_threshold_robustness,
materials_discovery,Matbench Discovery WBM,crystal_stability_candidate,cgcnn_ensemble_learned_materials_model,materials_boundary_threshold_rerun,0.1,300,strict_alpha010_pass,20,20,142.65,0.0739808949705763,0.2476666666666666,63.74662533244727,0.9962125416204218,4.395410970948477,161.38993927851374,10.0,coverage_conditional,margin_excluded_25meV,materials stability-threshold and boundary-label robustness,materials_threshold_robustness,
materials_discovery,Matbench Discovery WBM,crystal_stability_candidate,alignn_ff_modern_learned_materials_model,materials_boundary_threshold_rerun,0.1,100,strict_alpha010_pass,20,20,100.0,0.0785,0.0785,0.0,0.994845360824742,11.828688491730604,164.41034293313527,10.0,coverage_conditional,tolerance_positive_25meV,materials stability-threshold and boundary-label robustness,materials_threshold_robustness,
materials_discovery,Matbench Discovery WBM,crystal_stability_candidate,alignn_ff_modern_learned_materials_model,materials_boundary_threshold_rerun,0.1,300,strict_alpha010_pass,20,20,144.45,0.0973225250689857,0.1861666666666666,41.791761253785,0.994845360824742,3.951114713193084,164.41034293313527,10.0,coverage_conditional,tolerance_positive_25meV,materials stability-threshold and boundary-label robustness,materials_threshold_robustness,
materials_discovery,Matbench Discovery WBM,crystal_stability_candidate,cgcnn_ensemble_learned_materials_model,materials_boundary_threshold_rerun,0.1,100,strict_alpha010_pass,20,20,100.0,0.0194999999999999,0.0194999999999999,0.0,0.9948860553445472,14.18071485212333,164.41624737184787,10.0,coverage_conditional,tolerance_positive_25meV,materials stability-threshold and boundary-label robustness,materials_threshold_robustness,
materials_discovery,Matbench Discovery WBM,crystal_stability_candidate,cgcnn_ensemble_learned_materials_model,materials_boundary_threshold_rerun,0.1,300,strict_alpha010_pass,20,20,179.3,0.0917226955929853,0.1988333333333333,43.204120680177724,0.9948860553445472,5.313297904485733,164.41624737184787,10.0,coverage_conditional,tolerance_positive_25meV,materials stability-threshold and boundary-label robustness,materials_threshold_robustness,
ecological_camera_traps,iWildCam camera-trap subset,animal_present_detection_box,GroundingDINO-SwinT animal-present fallback,real_human_partial_audit,0.2,50,operational_success_not_strict_alpha010,20,20,50.0,0.0,0.0,0.0,camera_location_x_temporal_chunk,1.2911825934395256,6.455912967197628,5.0,coverage_conditional,human_second_review_kappa_0.804,real-audit ecological operational release at alpha=0.20; strict alpha=0.10 refused,operational_real_audit,0.0
earth_observation,SpaceNet 7,same_building_temporal_link,geometry_building_linker,real_human_release_audit_diagnostic,0.2,50,diagnostic_low_volume_success,18,20,43.95,0.0,,,AOI_time_blocks,1.1552908087386202,,,coverage_conditional,K50_human_confirmed_but_not_primary,real-audit low-volume diagnostic release; K=100 primary refused,diagnostic_not_primary,
earth_observation,SpaceNet 7,same_building_temporal_link,geometry_building_linker,real_human_partial_audit_initial_review,0.2,100,certified_refusal,0,20,0.0,0.0,,,AOI_time_blocks,0.6352281046999336,6.061336876907763,5.0,coverage_conditional,primary_real_audit_refusal,real-audit K=100 request refused because mass ratio remains below one,refusal_diagnostic,
materials_discovery,Matbench Discovery WBM unique prototypes,candidate_release,CGCNN ensemble learned materials model,existing_near_boundary_panel,0.05,300,qualifies_nonrandom_near_boundary,20,20,111.7,0.0263138538256426,0.2349999999999999,67.5607425276757,see_source_table,2.3755677881720554,,,coverage_conditional,main_near_boundary_practice_benefit,raw_topK_is_near_boundary_or_unsafe_and_PARC_releases_a_smaller_lower_FTR_subset,near_boundary_practical_value,
materials_discovery,Matbench Discovery WBM unique prototypes,candidate_release,CGCNN ensemble learned materials model,existing_near_boundary_panel,0.1,300,qualifies_nonrandom_near_boundary,20,20,163.8,0.091556238689795,0.2349999999999999,55.50308810261155,see_source_table,4.747047784109154,,,coverage_conditional,main_near_boundary_practice_benefit,raw_topK_is_near_boundary_or_unsafe_and_PARC_releases_a_smaller_lower_FTR_subset,near_boundary_practical_value,
materials_discovery,Matbench Discovery WBM unique prototypes,candidate_release,CGCNN ensemble learned materials model,existing_near_boundary_panel,0.1,500,qualifies_nonrandom_near_boundary,20,20,118.8,0.0318972059842815,0.3258999999999999,159.16061192906733,see_source_table,2.8482286704654927,,,coverage_conditional,main_near_boundary_practice_benefit,raw_topK_is_near_boundary_or_unsafe_and_PARC_releases_a_smaller_lower_FTR_subset,near_boundary_practical_value,
