cv_id,dataset,video_id,path_id,query,category_id,query_segment,audit_source,first_rater_label,first_rater_reason,first_rater,first_rater_confidence,first_review_status,first_verified_positive_for_calibration,score,cv_montage_path
burst_cv60_034,BURST,1873,ovtb_v1873_p002253,zebra,1229,head,high_score_unmatched,uncertain,too_small_or_blurry,codex_visual_audit_v1,medium,model_assisted_visual_audit,no,0.4966388493776321,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_034_082_ovtb_v1873_p002253.jpg
burst_cv60_035,BURST,1000,ovtb_v1000_p001323,cellular telephone,235,head,high_score_unmatched,uncertain,too_small_or_blurry,codex_visual_audit_v1,medium,model_assisted_visual_audit,no,0.4769455939531326,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_035_091_ovtb_v1000_p001323.jpg
burst_cv60_036,BURST,2840,ovtb_v2840_p003605,cellular telephone,235,head,high_score_unmatched,uncertain,too_small_or_blurry,codex_visual_audit_v1,medium,model_assisted_visual_audit,no,0.4430661648511886,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_036_113_ovtb_v2840_p003605.jpg
burst_cv60_037,BURST,1611,ovtb_v1611_p002093,cellular telephone,235,head,high_score_unmatched,uncertain,too_small_or_blurry,codex_visual_audit_v1,medium,model_assisted_visual_audit,no,0.434138759970665,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_037_119_ovtb_v1611_p002093.jpg
burst_cv60_038,BURST,1670,ovtb_v1670_p002277,zebra,1229,head,high_score_unmatched,uncertain,too_small_or_blurry,codex_visual_audit_v1,medium,model_assisted_visual_audit,no,0.4248174577951431,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_038_125_ovtb_v1670_p002277.jpg
burst_cv60_039,BURST,2141,ovtb_v2141_p002719,bowl,139,head,high_score_unmatched,uncertain,too_small_or_blurry,codex_visual_audit_v1,medium,model_assisted_visual_audit,no,0.3862750232219696,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_039_165_ovtb_v2141_p002719.jpg
burst_cv60_040,BURST,642,ovtb_v642_p001148,bucket,160,head,high_score_unmatched,uncertain,too_small_or_blurry,codex_visual_audit_v1,medium,model_assisted_visual_audit,no,0.3689774423837662,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_040_181_ovtb_v642_p001148.jpg
burst_cv60_041,BURST,2413,ovtb_v2413_p002877,camera,191,head,high_score_unmatched,uncertain,too_small_or_blurry,codex_visual_audit_v1,medium,model_assisted_visual_audit,no,0.3583591977755229,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_041_191_ovtb_v2413_p002877.jpg
burst_cv60_042,BURST,1067,ovtb_v1067_p001267,camera,191,head,high_score_unmatched,uncertain,too_small_or_blurry,codex_visual_audit_v1,medium,model_assisted_visual_audit,no,0.3572799265384674,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_042_192_ovtb_v1067_p001267.jpg
burst_cv60_043,BURST,2095,ovtb_v2095_p002683,canister,202,mid,high_score_unmatched,uncertain,too_small_or_blurry,codex_visual_audit_v1,medium,model_assisted_visual_audit,no,0.5792741142213345,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_043_039_ovtb_v2095_p002683.jpg
burst_cv60_044,BURST,2335,ovtb_v2335_p002965,calf,188,mid,high_score_unmatched,uncertain,too_small_or_blurry,codex_visual_audit_v1,medium,model_assisted_visual_audit,no,0.4389320909976959,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_044_116_ovtb_v2335_p002965.jpg
burst_cv60_045,BURST,1514,ovtb_v1514_p001852,spectacles,1014,mid,high_score_unmatched,uncertain,too_small_or_blurry,codex_visual_audit_v1,medium,model_assisted_visual_audit,no,0.4101752936840057,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_045_136_ovtb_v1514_p001852.jpg
burst_cv60_046,BURST,2692,ovtb_v2692_p003469,vacuum cleaner,1160,mid,high_score_unmatched,uncertain,too_small_or_blurry,codex_visual_audit_v1,medium,model_assisted_visual_audit,no,0.4038061499595642,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_046_142_ovtb_v2692_p003469.jpg
burst_cv60_047,BURST,280,ovtb_v280_p000481,boat,118,mid,high_score_unmatched,uncertain,too_small_or_blurry,codex_visual_audit_v1,medium,model_assisted_visual_audit,no,0.3864004264275233,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_047_164_ovtb_v280_p000481.jpg
burst_cv60_048,BURST,2239,ovtb_v2239_p002782,canister,202,mid,high_score_unmatched,uncertain,too_small_or_blurry,codex_visual_audit_v1,medium,model_assisted_visual_audit,no,0.3814291954040527,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_048_171_ovtb_v2239_p002782.jpg
burst_cv60_049,BURST,1388,ovtb_v1388_p001939,stool,1037,tail,high_score_unmatched,uncertain,too_small_or_blurry,codex_visual_audit_v1,medium,model_assisted_visual_audit,no,0.5112805962562561,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_049_072_ovtb_v1388_p001939.jpg
burst_cv60_050,BURST,2306,ovtb_v2306_p002927,giraffe,502,head,released_unsupported,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.9596033692359924,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_050_001_ovtb_v2306_p002927.jpg
burst_cv60_051,BURST,2306,ovtb_v2306_p002926,giraffe,502,head,released_unsupported,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.9124360084533693,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_051_002_ovtb_v2306_p002926.jpg
burst_cv60_052,BURST,1785,ovtb_v1785_p002335,surfboard,1057,head,released_unsupported,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.9110865592956544,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_052_003_ovtb_v1785_p002335.jpg
burst_cv60_053,BURST,394,ovtb_v394_p000678,person,805,head,released_unsupported,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.8893255591392517,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_053_004_ovtb_v394_p000678.jpg
burst_cv60_054,BURST,1785,ovtb_v1785_p002338,surfboard,1057,head,released_unsupported,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.8855812549591064,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_054_005_ovtb_v1785_p002338.jpg
burst_cv60_055,BURST,2421,ovtb_v2421_p003133,giraffe,502,head,released_unsupported,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.8814222812652588,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_055_006_ovtb_v2421_p003133.jpg
burst_cv60_056,BURST,884,ovtb_v884_p001363,person,805,head,released_unsupported,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.8659107089042664,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_056_008_ovtb_v884_p001363.jpg
burst_cv60_057,BURST,2907,ovtb_v2907_p003681,person,805,head,released_unsupported,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.8602102484021869,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_057_009_ovtb_v2907_p003681.jpg
burst_cv60_058,BURST,344,ovtb_v344_p000623,person,805,head,released_unsupported,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.857153058052063,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_058_011_ovtb_v344_p000623.jpg
burst_cv60_059,BURST,1505,ovtb_v1505_p002037,sunglasses,1054,mid,released_unsupported,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.8583095073699951,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_059_010_ovtb_v1505_p002037.jpg
burst_cv60_060,BURST,2008,ovtb_v2008_p002593,football helmet,473,tail,released_unsupported,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.8808256387710571,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_060_007_ovtb_v2008_p002593.jpg
