method,alpha1,candidate_budget_M,released,utr,conservative_ftr,margin,nonempty_rate
parc_track_gamma_tuned_uniform_scs,0.2,150,100 ± 86.6,0.04222 ± 0.03672,0.01333 ± 0.009428,1.955 ± 2.206,0.667
parc_track_gamma_tuned_uniform_scs,0.2,175,58.33 ± 101,0.02095 ± 0.03629,0.01143 ± 0,1.71 ± 0,0.333
parc_track_gamma_tuned_uniform_scs,0.2,200,66.67 ± 115.5,0.01833 ± 0.03175,0.01 ± 0,1.71 ± 0,0.333
parc_track_gamma_tuned_uniform_scs,0.2,250,83.33 ± 144.3,0.01867 ± 0.03233,0.02 ± 0,0.5783 ± 0,0.333
post_filter_e_bh,0.05,75,25 ± 43.3,0.01778 ± 0.03079,0.9467 ± 0,1.144 ± 0,0.333
post_filter_e_bh,0.05,100,33.33 ± 57.74,0.02667 ± 0.04619,0.92 ± 0,1.144 ± 0,0.333
post_filter_e_bh,0.05,125,0 ± 0,0 ± 0,,,0.000
post_filter_e_bh,0.05,150,0 ± 0,0 ± 0,,,0.000
post_filter_e_bh,0.05,175,0 ± 0,0 ± 0,,,0.000
post_filter_e_bh,0.05,200,0 ± 0,0 ± 0,,,0.000
post_filter_e_bh,0.05,250,0 ± 0,0 ± 0,,,0.000
post_filter_e_bh,0.1,75,38 ± 37.51,0.02632 ± 0.02667,0.9605 ± 0.01958,6.161 ± 7.048,0.667
post_filter_e_bh,0.1,100,33.33 ± 57.74,0.02667 ± 0.04619,0.92 ± 0,11.14 ± 0,0.333
post_filter_e_bh,0.1,125,41.67 ± 72.17,0.02667 ± 0.04619,0.928 ± 0,1.911 ± 0,0.333
post_filter_e_bh,0.1,150,42 ± 72.75,0.02646 ± 0.04582,0.9286 ± 0,0.006638 ± 0,0.333
post_filter_e_bh,0.1,175,35.33 ± 61.2,0.02516 ± 0.04357,0.9245 ± 0,4.635 ± 0,0.333
post_filter_e_bh,0.1,200,35.33 ± 61.2,0.02516 ± 0.04357,0.9245 ± 0,2.276 ± 0,0.333
post_filter_e_bh,0.1,250,0 ± 0,0 ± 0,,,0.000
post_filter_e_bh,0.2,75,75 ± 0,0.02667 ± 0.02667,0.9733 ± 0.02667,6.986 ± 7.974,1.000
post_filter_e_bh,0.2,100,100 ± 0,0.04333 ± 0.04041,0.9567 ± 0.04041,6.405 ± 8.434,1.000
post_filter_e_bh,0.2,125,116.7 ± 14.43,0.048 ± 0.04233,0.96 ± 0.03666,2.547 ± 3.78,1.000
post_filter_e_bh,0.2,150,100 ± 86.6,0.04222 ± 0.03672,0.9367 ± 0.01414,1.955 ± 2.206,0.667
post_filter_e_bh,0.2,175,58.33 ± 101,0.02095 ± 0.03629,0.9371 ± 0,1.71 ± 0,0.333
post_filter_e_bh,0.2,200,66.67 ± 115.5,0.01833 ± 0.03175,0.945 ± 0,1.71 ± 0,0.333
post_filter_e_bh,0.2,250,83.33 ± 144.3,0.01867 ± 0.03233,0.956 ± 0,0.5783 ± 0,0.333
tracklet_e_bh,0.05,75,0 ± 0,0 ± 0,,,0.000
tracklet_e_bh,0.05,100,0 ± 0,0 ± 0,,,0.000
tracklet_e_bh,0.05,125,0 ± 0,0 ± 0,,,0.000
tracklet_e_bh,0.05,150,0 ± 0,0 ± 0,,,0.000
tracklet_e_bh,0.05,175,0 ± 0,0 ± 0,,,0.000
tracklet_e_bh,0.05,200,0 ± 0,0 ± 0,,,0.000
tracklet_e_bh,0.05,250,0 ± 0,0 ± 0,,,0.000
tracklet_e_bh,0.1,75,25 ± 43.3,0.01778 ± 0.03079,0.9467 ± 0,7.044 ± 0,0.333
tracklet_e_bh,0.1,100,33.33 ± 57.74,0.02667 ± 0.04619,0.92 ± 0,7.044 ± 0,0.333
tracklet_e_bh,0.1,125,41.67 ± 72.17,0.02667 ± 0.04619,0.928 ± 0,2.052 ± 0,0.333
tracklet_e_bh,0.1,150,42 ± 72.75,0.02646 ± 0.04582,0.9286 ± 0,0.1472 ± 0,0.333
tracklet_e_bh,0.1,175,35.33 ± 61.2,0.02516 ± 0.04357,0.9245 ± 0,0.5346 ± 0,0.333
tracklet_e_bh,0.1,200,0 ± 0,0 ± 0,,,0.000
tracklet_e_bh,0.1,250,0 ± 0,0 ± 0,,,0.000
tracklet_e_bh,0.2,75,75 ± 0,0.02667 ± 0.02667,0.9733 ± 0.02667,5.803 ± 5.619,1.000
tracklet_e_bh,0.2,100,100 ± 0,0.04333 ± 0.04041,0.9567 ± 0.04041,5.275 ± 5.964,1.000
tracklet_e_bh,0.2,125,125 ± 0,0.05067 ± 0.03781,0.96 ± 0.03666,3.145 ± 3.514,1.000
tracklet_e_bh,0.2,150,100 ± 86.6,0.04222 ± 0.03672,0.9367 ± 0.01414,3.491 ± 1.908,0.667
tracklet_e_bh,0.2,175,116.7 ± 101,0.04 ± 0.03476,0.9457 ± 0.01212,2.521 ± 1.416,0.667
tracklet_e_bh,0.2,200,133.3 ± 115.5,0.03667 ± 0.03175,0.9525 ± 0.01061,2.521 ± 1.416,0.667
tracklet_e_bh,0.2,250,166.7 ± 144.3,0.03467 ± 0.03029,0.962 ± 0.008485,1.634 ± 1.398,0.667
tracklet_p_bh,0.05,75,75 ± 0,0.02667 ± 0.02667,0.9733 ± 0.02667,,1.000
tracklet_p_bh,0.05,100,100 ± 0,0.04333 ± 0.04041,0.9567 ± 0.04041,,1.000
tracklet_p_bh,0.05,125,125 ± 0,0.05067 ± 0.03781,0.96 ± 0.03666,,1.000
tracklet_p_bh,0.05,150,150 ± 0,0.04444 ± 0.03289,0.9578 ± 0.03791,,1.000
tracklet_p_bh,0.05,175,175 ± 0,0.04381 ± 0.02819,0.9638 ± 0.03249,,1.000
tracklet_p_bh,0.05,200,200 ± 0,0.04 ± 0.02598,0.9667 ± 0.02566,,1.000
tracklet_p_bh,0.05,250,250 ± 0,0.04667 ± 0.01007,0.9733 ± 0.02053,,1.000
tracklet_p_bh,0.1,75,75 ± 0,0.02667 ± 0.02667,0.9733 ± 0.02667,,1.000
tracklet_p_bh,0.1,100,100 ± 0,0.04333 ± 0.04041,0.9567 ± 0.04041,,1.000
tracklet_p_bh,0.1,125,125 ± 0,0.05067 ± 0.03781,0.96 ± 0.03666,,1.000
tracklet_p_bh,0.1,150,150 ± 0,0.04444 ± 0.03289,0.9578 ± 0.03791,,1.000
tracklet_p_bh,0.1,175,175 ± 0,0.04381 ± 0.02819,0.9638 ± 0.03249,,1.000
tracklet_p_bh,0.1,200,200 ± 0,0.04 ± 0.02598,0.9667 ± 0.02566,,1.000
tracklet_p_bh,0.1,250,250 ± 0,0.04667 ± 0.01007,0.9733 ± 0.02053,,1.000
tracklet_p_bh,0.2,75,75 ± 0,0.02667 ± 0.02667,0.9733 ± 0.02667,,1.000
tracklet_p_bh,0.2,100,100 ± 0,0.04333 ± 0.04041,0.9567 ± 0.04041,,1.000
tracklet_p_bh,0.2,125,125 ± 0,0.05067 ± 0.03781,0.96 ± 0.03666,,1.000
tracklet_p_bh,0.2,150,150 ± 0,0.04444 ± 0.03289,0.9578 ± 0.03791,,1.000
tracklet_p_bh,0.2,175,175 ± 0,0.04381 ± 0.02819,0.9638 ± 0.03249,,1.000
tracklet_p_bh,0.2,200,200 ± 0,0.04 ± 0.02598,0.9667 ± 0.02566,,1.000
tracklet_p_bh,0.2,250,250 ± 0,0.04667 ± 0.01007,0.9733 ± 0.02053,,1.000
unmatched_as_false_block,0.05,75,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.05,100,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.05,125,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.05,150,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.05,175,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.05,200,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.05,250,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.1,75,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.1,100,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.1,125,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.1,150,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.1,175,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.1,200,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.1,250,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.2,75,50 ± 43.3,0.02667 ± 0.02667,0 ± 0,2.291 ± 2.861,0.667
unmatched_as_false_block,0.2,100,33.33 ± 57.74,0.02667 ± 0.04619,0 ± 0,4.314 ± 0,0.333
unmatched_as_false_block,0.2,125,41.67 ± 72.17,0.02667 ± 0.04619,0.008 ± 0,1.586 ± 0,0.333
unmatched_as_false_block,0.2,150,50 ± 86.6,0.02222 ± 0.03849,0.006667 ± 0,0.3774 ± 0,0.333
unmatched_as_false_block,0.2,175,35.33 ± 61.2,0.02516 ± 0.04357,0 ± 0,1.059 ± 0,0.333
unmatched_as_false_block,0.2,200,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.2,250,0 ± 0,0 ± 0,,,0.000
