candidate_rank,selected_order,selected_for_kappa083_review,target_file,boundary_sample_id,dataset,video_id,path_id,pending_montage_path,hard_score,primary_label,primary_verified_positive_for_calibration,primary_reason,primary_confidence,candidate_second_reviewer_label,candidate_second_reviewer_verified_positive_for_calibration,candidate_second_reviewer_reason,candidate_second_reviewer_confidence,human_review_decision,human_review_notes
11,,no,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0470,OVT-B,13,ovtb_v13_p000660,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v13_p000660.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
12,,no,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0357,OVT-B,13,ovtb_v13_p000670,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v13_p000670.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
13,9,yes,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0269,OVT-B,20,ovtb_v20_p000921,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v20_p000921.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
14,10,yes,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0138,OVT-B,25,ovtb_v25_p001133,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v25_p001133.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
15,,no,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0380,OVT-B,25,ovtb_v25_p001151,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v25_p001151.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
16,11,yes,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0383,OVT-B,46,ovtb_v46_p002634,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v46_p002634.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
17,12,yes,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0416,OVT-B,49,ovtb_v49_p002655,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v49_p002655.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
18,13,yes,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0447,OVT-B,63,ovtb_v63_p002753,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v63_p002753.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
19,14,yes,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0208,OVT-B,96,ovtb_v96_p002946,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v96_p002946.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
20,,no,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0469,OVT-B,96,ovtb_v96_p002953,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v96_p002953.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
21,15,yes,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0197,OVT-B,97,ovtb_v97_p002959,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v97_p002959.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
22,16,yes,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0473,OVT-B,99,ovtb_v99_p002965,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v99_p002965.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
23,17,yes,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0363,OVT-B,217,ovtb_v217_p003651,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v217_p003651.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
24,,no,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0101,OVT-B,217,ovtb_v217_p003656,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v217_p003656.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
25,,no,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0327,OVT-B,217,ovtb_v217_p003660,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v217_p003660.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
26,18,yes,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0417,OVT-B,222,ovtb_v222_p003707,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v222_p003707.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
27,,no,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0178,OVT-B,222,ovtb_v222_p003708,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v222_p003708.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
28,19,yes,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0133,OVT-B,245,ovtb_v245_p003873,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v245_p003873.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
29,,no,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0359,OVT-B,245,ovtb_v245_p003874,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v245_p003874.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
30,20,yes,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0409,OVT-B,335,ovtb_v335_p004550,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v335_p004550.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
31,21,yes,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0096,OVT-B,445,ovtb_v445_p005259,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v445_p005259.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
32,22,yes,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0453,OVT-B,469,ovtb_v469_p005431,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v469_p005431.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
33,23,yes,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0097,OVT-B,646,ovtb_v646_p006725,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v646_p006725.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
34,24,yes,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0486,OVT-B,651,ovtb_v651_p006761,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v651_p006761.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
35,25,yes,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0435,OVT-B,666,ovtb_v666_p006889,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v666_p006889.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
36,,no,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0239,OVT-B,757,ovtb_v757_p007542,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v757_p007542.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
37,,no,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0258,OVT-B,783,ovtb_v783_p007741,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v783_p007741.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
38,,no,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0243,OVT-B,803,ovtb_v803_p007913,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v803_p007913.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
39,,no,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0285,OVT-B,810,ovtb_v810_p007957,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v810_p007957.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
40,,no,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0237,OVT-B,846,ovtb_v846_p008201,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v846_p008201.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
41,,no,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0286,OVT-B,854,ovtb_v854_p008260,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v854_p008260.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
42,,no,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0027,OVT-B,873,ovtb_v873_p008400,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v873_p008400.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
43,,no,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0257,OVT-B,876,ovtb_v876_p008458,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v876_p008458.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
44,,no,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0142,OVT-B,926,ovtb_v926_p008802,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v926_p008802.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
45,,no,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0190,OVT-B,940,ovtb_v940_p008939,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v940_p008939.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
46,,no,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0428,OVT-B,940,ovtb_v940_p008942,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v940_p008942.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
