source_pair,match_basis,model,score_direction,bin_family,score_bin,rank_start_inclusive,rank_stop_inclusive,n,discordant_n,discordance_rate,wilson95_low,wilson95_high,baseline_discordance,enrichment_vs_baseline,paper_role
Materials_Project_vs_alex_mp_v20,strict_structure_match,CHGNet,lower_score_more_stable,decile,decile_7,173,200,28,1,0.03571428571428571,0.0063325198490377654,0.17712197743353317,0.10801393728222997,0.33064516129032256,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,CHGNet,lower_score_more_stable,decile,decile_8,201,229,29,5,0.1724137931034483,0.0759785725289123,0.34548439890195237,0.10801393728222997,1.596218020022247,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,CHGNet,lower_score_more_stable,decile,decile_9,230,258,29,2,0.06896551724137931,0.019121266169433354,0.21964580150275695,0.10801393728222997,0.6384872080088988,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,CHGNet,lower_score_more_stable,decile,decile_10,259,287,29,5,0.1724137931034483,0.0759785725289123,0.34548439890195237,0.10801393728222997,1.596218020022247,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,MACE-MP,lower_score_more_stable,decile,decile_1,1,28,28,3,0.10714285714285714,0.03711836682929999,0.27195851548672156,0.10801393728222997,0.9919354838709676,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,MACE-MP,lower_score_more_stable,decile,decile_2,29,57,29,4,0.13793103448275862,0.05497439964111964,0.30558993720352023,0.10801393728222997,1.2769744160177976,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,MACE-MP,lower_score_more_stable,decile,decile_3,58,86,29,1,0.034482758620689655,0.006113214292762667,0.17175521879320288,0.10801393728222997,0.3192436040044494,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,MACE-MP,lower_score_more_stable,decile,decile_4,87,114,28,4,0.14285714285714285,0.05699005319749392,0.31489802163525293,0.10801393728222997,1.3225806451612903,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,MACE-MP,lower_score_more_stable,decile,decile_5,115,143,29,2,0.06896551724137931,0.019121266169433354,0.21964580150275695,0.10801393728222997,0.6384872080088988,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,MACE-MP,lower_score_more_stable,decile,decile_6,144,172,29,3,0.10344827586206896,0.03581489135067707,0.26385081090773804,0.10801393728222997,0.9577308120133482,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,MACE-MP,lower_score_more_stable,decile,decile_7,173,200,28,1,0.03571428571428571,0.0063325198490377654,0.17712197743353317,0.10801393728222997,0.33064516129032256,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,MACE-MP,lower_score_more_stable,decile,decile_8,201,229,29,7,0.2413793103448276,0.12218422442520091,0.4210760161781133,0.10801393728222997,2.234705228031146,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,MACE-MP,lower_score_more_stable,decile,decile_9,230,258,29,1,0.034482758620689655,0.006113214292762667,0.17175521879320288,0.10801393728222997,0.3192436040044494,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,MACE-MP,lower_score_more_stable,decile,decile_10,259,287,29,5,0.1724137931034483,0.0759785725289123,0.34548439890195237,0.10801393728222997,1.596218020022247,selection_conditional_go_no_go_diagnostic
