dataset,generator,method,alpha1,seed,candidate_budget_M,temperature,temperature_cal_nll,platt_a,platt_b,platt_cal_nll,risk_certificate,released,official_supported,unsupported,utr,audited_ftr_on_labeled_released,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,runtime_sec
OVT-B,GroundingDINO,platt_top_m_no_risk,0.1,1,150,1.0,0.6468906257151084,3.214497735343792,-0.533406065359012,0.5332947176200281,none_confidence_baseline,150,146,4,0.02666666666666667,,0.02666666666666667,1.0,0.0
OVT-B,GroundingDINO,raw_confidence_threshold,0.2,1,150,1.0,0.6468906257151084,3.214497735343792,-0.533406065359012,0.5332947176200281,none_confidence_baseline,150,146,4,0.02666666666666667,,0.02666666666666667,1.0,0.0
OVT-B,GroundingDINO,temperature_scaled_threshold,0.2,1,150,1.0,0.6468906257151084,3.214497735343792,-0.533406065359012,0.5332947176200281,none_confidence_baseline,150,146,4,0.02666666666666667,,0.02666666666666667,1.0,0.0
OVT-B,GroundingDINO,platt_threshold,0.2,1,150,1.0,0.6468906257151084,3.214497735343792,-0.533406065359012,0.5332947176200281,none_confidence_baseline,150,146,4,0.02666666666666667,,0.02666666666666667,1.0,0.0
OVT-B,GroundingDINO,platt_top_m_no_risk,0.2,1,150,1.0,0.6468906257151084,3.214497735343792,-0.533406065359012,0.5332947176200281,none_confidence_baseline,150,146,4,0.02666666666666667,,0.02666666666666667,1.0,0.0
OVT-B,GroundingDINO,raw_confidence_threshold,0.1,2,150,1.0,0.6453233730071447,3.3444013718971832,-0.6248702533083512,0.5368959655806601,none_confidence_baseline,27,27,0,0.0,,0.0,0.18,0.0
OVT-B,GroundingDINO,temperature_scaled_threshold,0.1,2,150,1.0,0.6453233730071447,3.3444013718971832,-0.6248702533083512,0.5368959655806601,none_confidence_baseline,27,27,0,0.0,,0.0,0.18,0.0
OVT-B,GroundingDINO,platt_threshold,0.1,2,150,1.0,0.6453233730071447,3.3444013718971832,-0.6248702533083512,0.5368959655806601,none_confidence_baseline,150,147,3,0.02,,0.02,1.0,0.0
OVT-B,GroundingDINO,platt_top_m_no_risk,0.1,2,150,1.0,0.6453233730071447,3.3444013718971832,-0.6248702533083512,0.5368959655806601,none_confidence_baseline,150,147,3,0.02,,0.02,1.0,0.0
OVT-B,GroundingDINO,raw_confidence_threshold,0.2,2,150,1.0,0.6453233730071447,3.3444013718971832,-0.6248702533083512,0.5368959655806601,none_confidence_baseline,150,147,3,0.02,,0.02,1.0,0.0
OVT-B,GroundingDINO,temperature_scaled_threshold,0.2,2,150,1.0,0.6453233730071447,3.3444013718971832,-0.6248702533083512,0.5368959655806601,none_confidence_baseline,150,147,3,0.02,,0.02,1.0,0.0
OVT-B,GroundingDINO,platt_threshold,0.2,2,150,1.0,0.6453233730071447,3.3444013718971832,-0.6248702533083512,0.5368959655806601,none_confidence_baseline,150,147,3,0.02,,0.02,1.0,0.0
OVT-B,GroundingDINO,platt_top_m_no_risk,0.2,2,150,1.0,0.6453233730071447,3.3444013718971832,-0.6248702533083512,0.5368959655806601,none_confidence_baseline,150,147,3,0.02,,0.02,1.0,0.0
TAO,GroundingDINO,raw_confidence_threshold,0.1,0,150,1.0,0.6349650642690778,3.4344084139391886,-1.23815429091473,0.6157355381076861,none_confidence_baseline,25,25,0,0.0,0.0,0.0,0.16666666666666666,0.0
TAO,GroundingDINO,temperature_scaled_threshold,0.1,0,150,1.0,0.6349650642690778,3.4344084139391886,-1.23815429091473,0.6157355381076861,none_confidence_baseline,25,25,0,0.0,0.0,0.0,0.16666666666666666,0.0
TAO,GroundingDINO,platt_threshold,0.1,0,150,1.0,0.6349650642690778,3.4344084139391886,-1.23815429091473,0.6157355381076861,none_confidence_baseline,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,platt_top_m_no_risk,0.1,0,150,1.0,0.6349650642690778,3.4344084139391886,-1.23815429091473,0.6157355381076861,none_confidence_baseline,150,145,5,0.03333333333333333,0.2,0.02666666666666667,1.0,0.0
TAO,GroundingDINO,raw_confidence_threshold,0.2,0,150,1.0,0.6349650642690778,3.4344084139391886,-1.23815429091473,0.6157355381076861,none_confidence_baseline,150,145,5,0.03333333333333333,0.2,0.02666666666666667,1.0,0.0
TAO,GroundingDINO,temperature_scaled_threshold,0.2,0,150,1.0,0.6349650642690778,3.4344084139391886,-1.23815429091473,0.6157355381076861,none_confidence_baseline,150,145,5,0.03333333333333333,0.2,0.02666666666666667,1.0,0.0
TAO,GroundingDINO,platt_threshold,0.2,0,150,1.0,0.6349650642690778,3.4344084139391886,-1.23815429091473,0.6157355381076861,none_confidence_baseline,150,145,5,0.03333333333333333,0.2,0.02666666666666667,1.0,0.0
TAO,GroundingDINO,platt_top_m_no_risk,0.2,0,150,1.0,0.6349650642690778,3.4344084139391886,-1.23815429091473,0.6157355381076861,none_confidence_baseline,150,145,5,0.03333333333333333,0.2,0.02666666666666667,1.0,0.0
TAO,GroundingDINO,raw_confidence_threshold,0.1,1,150,0.75,0.6332459626888282,3.523578434396133,-1.2255119576521718,0.6077285705499866,none_confidence_baseline,20,20,0,0.0,0.0,0.0,0.13333333333333333,0.0
TAO,GroundingDINO,temperature_scaled_threshold,0.1,1,150,0.75,0.6332459626888282,3.523578434396133,-1.2255119576521718,0.6077285705499866,none_confidence_baseline,117,116,1,0.008547008547008548,0.0,0.0,0.78,0.0
TAO,GroundingDINO,platt_threshold,0.1,1,150,0.75,0.6332459626888282,3.523578434396133,-1.2255119576521718,0.6077285705499866,none_confidence_baseline,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,platt_top_m_no_risk,0.1,1,150,0.75,0.6332459626888282,3.523578434396133,-1.2255119576521718,0.6077285705499866,none_confidence_baseline,150,145,5,0.03333333333333333,0.0,0.02666666666666667,1.0,0.0
TAO,GroundingDINO,raw_confidence_threshold,0.2,1,150,0.75,0.6332459626888282,3.523578434396133,-1.2255119576521718,0.6077285705499866,none_confidence_baseline,150,145,5,0.03333333333333333,0.0,0.02666666666666667,1.0,0.0
TAO,GroundingDINO,temperature_scaled_threshold,0.2,1,150,0.75,0.6332459626888282,3.523578434396133,-1.2255119576521718,0.6077285705499866,none_confidence_baseline,150,145,5,0.03333333333333333,0.0,0.02666666666666667,1.0,0.0
TAO,GroundingDINO,platt_threshold,0.2,1,150,0.75,0.6332459626888282,3.523578434396133,-1.2255119576521718,0.6077285705499866,none_confidence_baseline,150,145,5,0.03333333333333333,0.0,0.02666666666666667,1.0,0.0
TAO,GroundingDINO,platt_top_m_no_risk,0.2,1,150,0.75,0.6332459626888282,3.523578434396133,-1.2255119576521718,0.6077285705499866,none_confidence_baseline,150,145,5,0.03333333333333333,0.0,0.02666666666666667,1.0,0.0
TAO,GroundingDINO,raw_confidence_threshold,0.1,2,150,1.0,0.6356306042221117,3.3977948857290667,-1.2074127274967035,0.6150494970826316,none_confidence_baseline,24,24,0,0.0,0.0,0.0,0.16,0.0
TAO,GroundingDINO,temperature_scaled_threshold,0.1,2,150,1.0,0.6356306042221117,3.3977948857290667,-1.2074127274967035,0.6150494970826316,none_confidence_baseline,24,24,0,0.0,0.0,0.0,0.16,0.0
TAO,GroundingDINO,platt_threshold,0.1,2,150,1.0,0.6356306042221117,3.3977948857290667,-1.2074127274967035,0.6150494970826316,none_confidence_baseline,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,platt_top_m_no_risk,0.1,2,150,1.0,0.6356306042221117,3.3977948857290667,-1.2074127274967035,0.6150494970826316,none_confidence_baseline,150,148,2,0.013333333333333334,0.0,0.006666666666666667,1.0,0.0
TAO,GroundingDINO,raw_confidence_threshold,0.2,2,150,1.0,0.6356306042221117,3.3977948857290667,-1.2074127274967035,0.6150494970826316,none_confidence_baseline,150,148,2,0.013333333333333334,0.0,0.006666666666666667,1.0,0.0
TAO,GroundingDINO,temperature_scaled_threshold,0.2,2,150,1.0,0.6356306042221117,3.3977948857290667,-1.2074127274967035,0.6150494970826316,none_confidence_baseline,150,148,2,0.013333333333333334,0.0,0.006666666666666667,1.0,0.0
TAO,GroundingDINO,platt_threshold,0.2,2,150,1.0,0.6356306042221117,3.3977948857290667,-1.2074127274967035,0.6150494970826316,none_confidence_baseline,150,148,2,0.013333333333333334,0.0,0.006666666666666667,1.0,0.0
TAO,GroundingDINO,platt_top_m_no_risk,0.2,2,150,1.0,0.6356306042221117,3.3977948857290667,-1.2074127274967035,0.6150494970826316,none_confidence_baseline,150,148,2,0.013333333333333334,0.0,0.006666666666666667,1.0,0.0
