processed_videos,cal_ratio,grid_size,release_grid,empty_block_policy,n_rank,n_nonempty,n_empty,p_min_block,p_min_any,gamma_star_eff,emax_eff,required_emax,release_feasible,observed_nonempty_rate,projection
1973,0.5,1,2.0,conservative_infinity,986,639,347,0.3525835866261398,0.3525835866261398,0.9592624640781163,1.0008773879652726,10.0,False,0.648,True
1973,0.5,1,2.0,coverage_conditional,639,639,347,0.0015625,0.0015625,0.15476358819804817,36.43797909759053,10.0,True,0.648,True
1973,0.5,2,1.0|2.0,conservative_infinity,986,639,347,0.3525835866261398,0.7051671732522796,,,10.0,False,0.648,True
1973,0.5,2,1.0|2.0,coverage_conditional,639,639,347,0.0015625,0.003125,0.1733606712818504,20.408264599127435,10.0,True,0.648,True
1973,0.5,5,0.5|1.0|2.0|4.0|8.0,conservative_infinity,986,639,347,0.3525835866261398,1.0,,,10.0,False,0.648,True
1973,0.5,5,0.5|1.0|2.0|4.0|8.0,coverage_conditional,639,639,347,0.0015625,0.0078125,0.20609929155556622,9.70492060202136,10.0,False,0.648,True
1973,0.6,1,2.0,conservative_infinity,1184,767,417,0.3527426160337553,0.3527426160337553,0.9596775903609297,1.0008590955535435,10.0,False,0.648,True
1973,0.6,1,2.0,coverage_conditional,767,767,417,0.0013020833333333333,0.0013020833333333333,0.15051650340629058,42.525640059022614,10.0,True,0.648,True
1973,0.6,2,1.0|2.0,conservative_infinity,1184,767,417,0.3527426160337553,0.7054852320675106,,,10.0,False,0.648,True
1973,0.6,2,1.0|2.0,coverage_conditional,767,767,417,0.0013020833333333333,0.0026041666666666665,0.1680490789293225,23.739571678423584,10.0,True,0.648,True
1973,0.6,5,0.5|1.0|2.0|4.0|8.0,conservative_infinity,1184,767,417,0.3527426160337553,1.0,,,10.0,False,0.648,True
1973,0.6,5,0.5|1.0|2.0|4.0|8.0,coverage_conditional,767,767,417,0.0013020833333333333,0.006510416666666666,0.1986353031358582,11.224142486713278,10.0,True,0.648,True
