domain,dataset,proposal_source,rho,alpha,K,seed,raw_topK_FTR,raw_topR_FTR,raw_topR_release_size,split_conformal_release_size,split_conformal_FTR,split_conformal_threshold,post_filter_e_threshold_release_size,post_filter_e_threshold_FTR,e_BH_full_pool_release_size,e_BH_full_pool_FTR,PARC_release_size,PARC_FTR,best_mass_ratio,self_consistency_margin,required_e,max_observed_e
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.05,0.05,300,10,0.17,0.03571428571428571,140,300,0.17,0.2072852000000001,166,0.06626506024096386,0,,140,0.03571428571428571,2.579461790070209,5.877033871883945,20.0,164.64649723852398
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.05,0.05,300,11,0.22333333333333333,0.0,72,300,0.22333333333333333,0.2072852000000001,141,0.10638297872340426,0,,72,0.0,1.8664396507569703,6.264115344174414,20.0,164.6858515373797
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.05,0.05,300,12,0.28,0.0873015873015873,126,300,0.28,0.2072852000000001,148,0.12837837837837837,0,,126,0.0873015873015873,2.359369032693186,15.107417885146745,20.0,164.60714181580366
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.05,0.05,300,13,0.17666666666666667,0.041916167664670656,167,300,0.17666666666666667,0.2072852000000001,180,0.05555555555555555,0,,167,0.041916167664670656,2.5221657216117657,4.096249119640994,20.0,164.4890688007673
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.05,0.05,300,14,0.17666666666666667,0.009433962264150943,106,300,0.17666666666666667,0.2072852000000001,158,0.012658227848101266,0,,106,0.009433962264150943,2.6643298410601224,6.196280411829584,20.0,164.80390769444054
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.05,0.05,300,15,0.20666666666666667,0.059880239520958084,167,300,0.20666666666666667,0.2072852000000001,188,0.10106382978723404,0,,167,0.059880239520958084,2.965053684829303,12.828784036245892,20.0,164.72520471273907
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.05,0.05,300,16,0.2966666666666667,0.0,49,300,0.2966666666666667,0.2072852000000001,98,0.08163265306122448,0,,49,0.0,1.3455772135805888,42.31557717313332,20.0,164.76455676497005
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.05,0.05,300,17,0.19666666666666666,0.040229885057471264,174,300,0.19666666666666666,0.2072852000000001,194,0.08247422680412371,0,,174,0.040229885057471264,3.4035075984391807,5.588213377051773,20.0,164.6858515373797
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.05,0.05,300,18,0.25333333333333335,0.05952380952380952,168,300,0.25333333333333335,0.2072852000000001,207,0.14009661835748793,0,,168,0.05952380952380952,3.236499776954046,4.328739708983576,20.0,164.56778526884978
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.05,0.05,300,19,0.19666666666666666,0.010101010101010102,99,300,0.19666666666666666,0.2072852000000001,144,0.027777777777777776,0,,99,0.010101010101010102,2.2496309381493167,2.1204048981337564,20.0,164.60714181580366
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,300,0,0.29,0.06862745098039216,102,300,0.29,0.14120149999999987,150,0.16666666666666666,0,,102,0.06862745098039216,2.962928552684466,0.39407340892308795,10.0,164.60714181580366
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,300,1,0.21666666666666667,0.10426540284360189,211,300,0.21666666666666667,0.14120149999999987,240,0.125,0,,211,0.10426540284360189,6.035595199912801,1.0446442218877916,10.0,164.60714181580366
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,300,2,0.20333333333333334,0.11483253588516747,209,300,0.20333333333333334,0.14120149999999987,240,0.1625,0,,209,0.11483253588516747,7.187845192623427,0.06761167599124462,10.0,164.60714181580366
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,300,3,0.28,0.14728682170542637,129,300,0.28,0.14120149999999987,184,0.20652173913043478,0,,129,0.14728682170542637,3.2357257427467845,0.6362102561386358,10.0,164.52842759729413
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,300,4,0.22,0.06535947712418301,153,300,0.22,0.14120149999999987,204,0.10294117647058823,0,,153,0.06535947712418301,5.319752492312511,0.423967130458891,10.0,164.52842759729413
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,300,5,0.21,0.21,300,300,0.21,0.14120149999999987,300,0.21,0,,300,0.21,5.810556380387814,0.893499989264571,10.0,164.44970887890037
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,300,6,0.35,0.0,43,300,0.35,0.14120149999999987,150,0.2,0,,43,0.0,2.1937123679639217,19.745362964118684,10.0,164.52842759729413
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,300,7,0.24,0.027522935779816515,109,300,0.24,0.14120149999999987,150,0.08666666666666667,0,,109,0.027522935779816515,3.789584805594311,2.310468254837115,10.0,164.76455676497005
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,300,8,0.3233333333333333,0.1206896551724138,116,300,0.3233333333333333,0.14120149999999987,211,0.2890995260663507,0,,116,0.1206896551724138,3.4526173044577977,0.6151741507474036,10.0,164.4103478313237
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,300,9,0.19,0.02112676056338028,142,300,0.19,0.14120149999999987,189,0.09523809523809523,0,,142,0.02112676056338028,4.606795972724236,0.6538499833313303,10.0,164.52842759729413
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,300,10,0.17,0.06626506024096386,166,300,0.17,0.14120149999999987,206,0.09223300970873786,0,,166,0.06626506024096386,5.156457271757293,1.9641187999720628,10.0,164.56778526884978
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,300,11,0.22333333333333333,0.09420289855072464,138,300,0.22333333333333333,0.14120149999999987,194,0.15463917525773196,0,,138,0.09420289855072464,3.7293110255386677,0.04148011192900114,10.0,164.52842759729413
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,300,12,0.28,0.11724137931034483,145,300,0.28,0.14120149999999987,231,0.2510822510822511,0,,145,0.11724137931034483,4.71422498786181,1.0809399158583872,10.0,164.44970887890037
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,300,13,0.17666666666666667,0.095,200,300,0.17666666666666667,0.14120149999999987,247,0.13765182186234817,0,,200,0.095,5.039503085631924,1.190044645677638,10.0,164.3316223575627
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,300,14,0.17666666666666667,0.012269938650306749,163,300,0.17666666666666667,0.14120149999999987,226,0.09734513274336283,0,,163,0.012269938650306749,5.326114952378564,0.1745352206184414,10.0,164.72520471273907
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,300,15,0.20666666666666667,0.12315270935960591,203,300,0.20666666666666667,0.14120149999999987,239,0.1506276150627615,0,,203,0.12315270935960591,5.924440269678592,0.4808463584241096,10.0,164.56778526884978
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,300,16,0.2966666666666667,0.043478260869565216,69,300,0.2966666666666667,0.14120149999999987,170,0.21176470588235294,0,,69,0.043478260869565216,2.688583316324793,5.244539795811761,10.0,164.60714181580366
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,300,17,0.19666666666666666,0.15444015444015444,259,300,0.19666666666666666,0.14120149999999987,275,0.18181818181818182,0,,259,0.15444015444015444,6.8037618617198845,0.27225920101459344,10.0,164.60714181580366
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,300,18,0.25333333333333335,0.21739130434782608,276,300,0.25333333333333335,0.14120149999999987,291,0.24054982817869416,0,,276,0.21739130434782608,6.465258769201602,0.018992410208101163,10.0,164.37098565766786
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,300,19,0.19666666666666666,0.027972027972027972,143,300,0.19666666666666666,0.14120149999999987,183,0.08743169398907104,0,,143,0.027972027972027972,4.498186130681894,0.8065970338457227,10.0,164.56778526884978
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,500,0,0.362,0.01639344262295082,61,500,0.362,0.14120149999999987,150,0.16666666666666666,0,,61,0.01639344262295082,1.7777571316106795,7.587914928194081,10.0,164.60714181580366
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,500,1,0.338,0.03977272727272727,176,500,0.338,0.14120149999999987,240,0.125,0,,176,0.03977272727272727,3.6213571199476804,1.396747205714533,10.0,164.60714181580366
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,500,2,0.334,0.03550295857988166,169,500,0.334,0.14120149999999987,240,0.1625,0,,169,0.03550295857988166,4.312707115574056,4.540768159460775,10.0,164.60714181580366
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,500,3,0.38,0.0625,80,500,0.38,0.14120149999999987,184,0.20652173913043478,0,,80,0.0625,1.9414354456480707,0.19702684598700415,10.0,164.52842759729413
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,500,4,0.32,0.03076923076923077,130,500,0.32,0.14120149999999987,204,0.10294117647058823,0,,130,0.03076923076923077,3.1918514953875063,1.5721708204135822,10.0,164.52842759729413
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,500,5,0.284,0.023121387283236993,173,500,0.284,0.14120149999999987,308,0.21428571428571427,0,,173,0.023121387283236993,3.4863338282326883,0.876534339916482,10.0,164.44970887890037
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,500,6,0.414,0.0,40,500,0.414,0.14120149999999987,150,0.2,0,,40,0.0,1.316227420778353,39.528427597294126,10.0,164.52842759729413
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,500,7,0.328,0.013333333333333334,75,500,0.328,0.14120149999999987,150,0.08666666666666667,0,,75,0.013333333333333334,2.2737508833565867,22.973100063306816,10.0,164.76455676497005
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,500,8,0.396,0.0,67,500,0.396,0.14120149999999987,211,0.2890995260663507,0,,67,0.0,2.0715703826746785,14.822449477014118,10.0,164.4103478313237
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,500,9,0.296,0.01,100,500,0.296,0.14120149999999987,189,0.09523809523809523,0,,100,0.01,2.7640775836345415,12.697026845987004,10.0,164.52842759729413
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,500,10,0.25,0.03496503496503497,143,500,0.25,0.14120149999999987,206,0.09223300970873786,0,,143,0.03496503496503497,3.093874363054376,5.077990458234325,10.0,164.56778526884978
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,500,11,0.318,0.0,72,500,0.318,0.14120149999999987,194,0.15463917525773196,0,,72,0.0,2.2375866153232007,20.068360380139353,10.0,164.52842759729413
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,500,12,0.374,0.09302325581395349,129,500,0.374,0.14120149999999987,231,0.2510822510822511,0,,129,0.09302325581395349,2.8285349927170857,1.255386151476607,10.0,164.44970887890037
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,500,13,0.262,0.041666666666666664,168,500,0.262,0.14120149999999987,247,0.13765182186234817,0,,168,0.041666666666666664,3.0237018513791543,4.309269753163939,10.0,164.3316223575627
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,500,14,0.278,0.009259259259259259,108,500,0.278,0.14120149999999987,226,0.09734513274336283,0,,108,0.009259259259259259,3.1956689714271382,2.460631452524453,10.0,164.72520471273907
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,500,15,0.298,0.07514450867052024,173,500,0.298,0.14120149999999987,239,0.1506276150627615,0,,173,0.07514450867052024,3.5546641618071555,0.8972119449015601,10.0,164.56778526884978
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,500,16,0.368,0.0,49,500,0.368,0.14120149999999987,170,0.21176470588235294,0,,49,0.0,1.6131499897948758,62.566325489273055,10.0,164.60714181580366
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,500,17,0.272,0.05,180,500,0.272,0.14120149999999987,275,0.18181818181818182,0,,180,0.05,4.082257117031931,2.028060337027661,10.0,164.60714181580366
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,500,18,0.356,0.09239130434782608,184,500,0.356,0.14120149999999987,291,0.24054982817869416,0,,184,0.09239130434782608,3.8791552615209617,2.5905691568603757,10.0,164.37098565766786
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,0.1,500,19,0.29,0.010101010101010102,99,500,0.29,0.14120149999999987,183,0.08743169398907104,0,,99,0.010101010101010102,2.6989116784091367,12.20669590313755,10.0,164.56778526884978
