source,rho,observed_positive_strategy,alpha,M,seeds,nonempty_seeds,released_mean,released_min,released_max,actual_FTR_mean,actual_FTR_max,actual_FTR_bootstrap95_low,actual_FTR_bootstrap95_high,raw_topM_actual_FTR_mean,max_observed_e_mean,required_e,best_mass_ratio_mean,dominant_empty_reason
CTC learned-hybrid,0.5,top_score,0.2,300,20,20,300.0,300,300,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200424,
CTC learned-hybrid,1.0,top_score,0.1,10,20,20,10.0,10,10,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.337801129860021,
CTC learned-hybrid,1.0,top_score,0.1,25,20,20,25.0,25,25,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.337801129860021,
CTC learned-hybrid,1.0,top_score,0.1,50,20,20,50.0,50,50,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.337801129860021,
CTC learned-hybrid,1.0,top_score,0.1,75,20,20,75.0,75,75,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.3378011298600212,
CTC learned-hybrid,1.0,top_score,0.1,100,20,20,100.0,100,100,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.337801129860021,
CTC learned-hybrid,1.0,top_score,0.1,300,20,20,300.0,300,300,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.3378011298600212,
CTC learned-hybrid,1.0,top_score,0.2,10,20,20,10.0,10,10,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200415,
CTC learned-hybrid,1.0,top_score,0.2,25,20,20,25.0,25,25,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200415,
CTC learned-hybrid,1.0,top_score,0.2,50,20,20,50.0,50,50,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200415,
CTC learned-hybrid,1.0,top_score,0.2,75,20,20,75.0,75,75,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200424,
CTC learned-hybrid,1.0,top_score,0.2,100,20,20,100.0,100,100,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200415,
CTC learned-hybrid,1.0,top_score,0.2,300,20,20,300.0,300,300,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200424,
CTC learned-hybrid-largeM,0.1,top_score,0.1,500,20,20,500.0,500,500,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.337801129860021,
CTC learned-hybrid-largeM,0.1,top_score,0.1,1000,20,20,947.95,752,1000,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.268168581050807,
CTC learned-hybrid-largeM,0.1,top_score,0.1,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,8.000000000000002e-05,13.378011298600208,10.0,0.26990137794925917,insufficient_high_e_mass_for_uniform_scs
CTC learned-hybrid-largeM,0.1,top_score,0.2,500,20,20,500.0,500,500,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200415,
CTC learned-hybrid-largeM,0.1,top_score,0.2,1000,20,20,948.35,752,1000,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.5363371621016135,
CTC learned-hybrid-largeM,0.1,top_score,0.2,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,8.000000000000002e-05,13.378011298600208,5.0,0.5398027558985186,insufficient_high_e_mass_for_uniform_scs
CTC geometry,0.05,top_score,0.1,100,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,6.651292527987276,10.0,0.6651292527987277,resolution_below_required_emax
CTC geometry,0.05,top_score,0.1,300,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.000166666666666665,6.651292527987276,10.0,0.6651292527987277,resolution_below_required_emax
CTC geometry,0.05,top_score,0.1,500,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0055000000000000005,6.651292527987276,10.0,0.5955567329559808,resolution_below_required_emax
CTC geometry,0.05,top_score,0.2,100,20,20,100.0,100,100,0.0,0.0,0.0,0.0,0.0,6.651292527987276,5.0,1.3302585055974554,
CTC geometry,0.05,top_score,0.2,300,20,20,300.0,300,300,0.000166666666666665,0.0033333333333333,0.0,0.000499999999999995,0.000166666666666665,6.651292527987276,5.0,1.3302585055974554,
CTC geometry,0.05,top_score,0.2,500,20,18,415.85,0,500,0.00110321651555253,0.0073170731707317,0.000432978723404255,0.0019349238326256998,0.0055000000000000005,6.651292527987276,5.0,1.1911134659119615,insufficient_high_e_mass_for_uniform_scs
CTC geometry,0.1,top_score,0.1,100,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,6.651292527987276,10.0,0.6651292527987277,resolution_below_required_emax
CTC geometry,0.1,top_score,0.1,300,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.000166666666666665,6.651292527987276,10.0,0.6651292527987277,resolution_below_required_emax
CTC geometry,0.1,top_score,0.1,500,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0055000000000000005,6.651292527987276,10.0,0.5955567329559808,resolution_below_required_emax
CTC geometry,0.1,top_score,0.2,100,20,20,100.0,100,100,0.0,0.0,0.0,0.0,0.0,6.651292527987276,5.0,1.3302585055974554,
CTC geometry,0.1,top_score,0.2,300,20,20,300.0,300,300,0.000166666666666665,0.0033333333333333,0.0,0.000499999999999995,0.000166666666666665,6.651292527987276,5.0,1.3302585055974554,
CTC geometry,0.1,top_score,0.2,500,20,18,415.85,0,500,0.00110321651555253,0.0073170731707317,0.000432978723404255,0.0019349238326256998,0.0055000000000000005,6.651292527987276,5.0,1.1911134659119615,insufficient_high_e_mass_for_uniform_scs
CTC geometry,0.25,top_score,0.1,100,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,6.651292527987276,10.0,0.6651292527987277,resolution_below_required_emax
CTC geometry,0.25,top_score,0.1,300,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.000166666666666665,6.651292527987276,10.0,0.6651292527987277,resolution_below_required_emax
CTC geometry,0.25,top_score,0.1,500,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0055000000000000005,6.651292527987276,10.0,0.5955567329559808,resolution_below_required_emax
CTC geometry,0.25,top_score,0.2,100,20,20,100.0,100,100,0.0,0.0,0.0,0.0,0.0,6.651292527987276,5.0,1.3302585055974554,
CTC geometry,0.25,top_score,0.2,300,20,20,300.0,300,300,0.000166666666666665,0.0033333333333333,0.0,0.000499999999999995,0.000166666666666665,6.651292527987276,5.0,1.3302585055974554,
CTC geometry,0.25,top_score,0.2,500,20,18,415.85,0,500,0.00110321651555253,0.0073170731707317,0.000432978723404255,0.0019349238326256998,0.0055000000000000005,6.651292527987276,5.0,1.1911134659119615,insufficient_high_e_mass_for_uniform_scs
CTC geometry,0.5,top_score,0.1,100,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,6.651292527987276,10.0,0.6651292527987277,resolution_below_required_emax
CTC geometry,0.5,top_score,0.1,300,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.000166666666666665,6.651292527987276,10.0,0.6651292527987277,resolution_below_required_emax
CTC geometry,0.5,top_score,0.1,500,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0055000000000000005,6.651292527987276,10.0,0.5955567329559808,resolution_below_required_emax
CTC geometry,0.5,top_score,0.2,100,20,20,100.0,100,100,0.0,0.0,0.0,0.0,0.0,6.651292527987276,5.0,1.3302585055974554,
CTC geometry,0.5,top_score,0.2,300,20,20,300.0,300,300,0.000166666666666665,0.0033333333333333,0.0,0.000499999999999995,0.000166666666666665,6.651292527987276,5.0,1.3302585055974554,
CTC geometry,0.5,top_score,0.2,500,20,18,415.85,0,500,0.00110321651555253,0.0073170731707317,0.000432978723404255,0.0019349238326256998,0.0055000000000000005,6.651292527987276,5.0,1.1911134659119615,insufficient_high_e_mass_for_uniform_scs
CTC geometry,1.0,top_score,0.1,100,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,6.651292527987276,10.0,0.6651292527987277,resolution_below_required_emax
CTC geometry,1.0,top_score,0.1,300,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.000166666666666665,6.651292527987276,10.0,0.6651292527987277,resolution_below_required_emax
CTC geometry,1.0,top_score,0.1,500,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0055000000000000005,6.651292527987276,10.0,0.5955567329559808,resolution_below_required_emax
CTC geometry,1.0,top_score,0.2,100,20,20,100.0,100,100,0.0,0.0,0.0,0.0,0.0,6.651292527987276,5.0,1.3302585055974554,
CTC geometry,1.0,top_score,0.2,300,20,20,300.0,300,300,0.000166666666666665,0.0033333333333333,0.0,0.000499999999999995,0.000166666666666665,6.651292527987276,5.0,1.3302585055974554,
CTC geometry,1.0,top_score,0.2,500,20,18,415.85,0,500,0.00110321651555253,0.0073170731707317,0.000432978723404255,0.0019349238326256998,0.0055000000000000005,6.651292527987276,5.0,1.1911134659119615,insufficient_high_e_mass_for_uniform_scs
SpaceNet7 geometry,0.1,top_score,0.1,100,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.003,6.061336876907763,10.0,0.5615828616455044,resolution_below_required_emax
SpaceNet7 geometry,0.1,top_score,0.1,300,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0023333333333333097,6.061336876907763,10.0,0.49392216209330453,resolution_below_required_emax
SpaceNet7 geometry,0.1,top_score,0.1,500,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0018000000000000002,6.061336876907763,10.0,0.4708254016037189,resolution_below_required_emax
SpaceNet7 geometry,0.1,top_score,0.1,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0018399999999999996,6.061336876907763,10.0,0.13125466403104452,resolution_below_required_emax
SpaceNet7 geometry,0.1,top_score,0.2,100,20,17,81.75,0,100,0.003,0.01,0.001,0.004999999999999999,0.003,6.061336876907763,5.0,1.1231657232910088,insufficient_high_e_mass_for_uniform_scs
SpaceNet7 geometry,0.1,top_score,0.2,300,20,11,165.0,0,300,0.0023333333333333097,0.0066666666666666,0.00099999999999999,0.0036666666666666306,0.0023333333333333097,6.061336876907763,5.0,0.9878443241866091,insufficient_high_e_mass_for_uniform_scs
SpaceNet7 geometry,0.1,top_score,0.2,500,20,10,240.35,0,500,0.00136408081174673,0.0047619047619047,0.0005259855736514951,0.002240496605120274,0.0018000000000000002,6.061336876907763,5.0,0.9416508032074379,insufficient_high_e_mass_for_uniform_scs
SpaceNet7 geometry,0.1,top_score,0.2,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0018399999999999996,6.061336876907763,5.0,0.2625093280620891,insufficient_high_e_mass_for_uniform_scs
SpaceNet7 geometry,0.25,top_score,0.1,100,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.003,6.061336876907763,10.0,0.5615828616455044,resolution_below_required_emax
SpaceNet7 geometry,0.25,top_score,0.1,300,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0023333333333333097,6.061336876907763,10.0,0.49392216209330453,resolution_below_required_emax
SpaceNet7 geometry,0.25,top_score,0.1,500,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0018000000000000002,6.061336876907763,10.0,0.4708254016037189,resolution_below_required_emax
SpaceNet7 geometry,0.25,top_score,0.1,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0018399999999999996,6.061336876907763,10.0,0.13125466403104452,resolution_below_required_emax
SpaceNet7 geometry,0.25,top_score,0.2,100,20,17,81.75,0,100,0.003,0.01,0.001,0.004999999999999999,0.003,6.061336876907763,5.0,1.1231657232910088,insufficient_high_e_mass_for_uniform_scs
SpaceNet7 geometry,0.25,top_score,0.2,300,20,11,165.0,0,300,0.0023333333333333097,0.0066666666666666,0.00099999999999999,0.0036666666666666306,0.0023333333333333097,6.061336876907763,5.0,0.9878443241866091,insufficient_high_e_mass_for_uniform_scs
SpaceNet7 geometry,0.25,top_score,0.2,500,20,10,240.35,0,500,0.00136408081174673,0.0047619047619047,0.0005259855736514951,0.002240496605120274,0.0018000000000000002,6.061336876907763,5.0,0.9416508032074379,insufficient_high_e_mass_for_uniform_scs
SpaceNet7 geometry,0.25,top_score,0.2,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0018399999999999996,6.061336876907763,5.0,0.2625093280620891,insufficient_high_e_mass_for_uniform_scs
SpaceNet7 geometry,0.5,top_score,0.1,100,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.003,6.061336876907763,10.0,0.5615828616455044,resolution_below_required_emax
SpaceNet7 geometry,0.5,top_score,0.1,300,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0023333333333333097,6.061336876907763,10.0,0.49392216209330453,resolution_below_required_emax
SpaceNet7 geometry,0.5,top_score,0.1,500,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0018000000000000002,6.061336876907763,10.0,0.4708254016037189,resolution_below_required_emax
SpaceNet7 geometry,0.5,top_score,0.1,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0018399999999999996,6.061336876907763,10.0,0.13125466403104452,resolution_below_required_emax
SpaceNet7 geometry,0.5,top_score,0.2,100,20,17,81.75,0,100,0.003,0.01,0.001,0.004999999999999999,0.003,6.061336876907763,5.0,1.1231657232910088,insufficient_high_e_mass_for_uniform_scs
SpaceNet7 geometry,0.5,top_score,0.2,300,20,11,165.0,0,300,0.0023333333333333097,0.0066666666666666,0.00099999999999999,0.0036666666666666306,0.0023333333333333097,6.061336876907763,5.0,0.9878443241866091,insufficient_high_e_mass_for_uniform_scs
SpaceNet7 geometry,0.5,top_score,0.2,500,20,10,240.35,0,500,0.00136408081174673,0.0047619047619047,0.0005259855736514951,0.002240496605120274,0.0018000000000000002,6.061336876907763,5.0,0.9416508032074379,insufficient_high_e_mass_for_uniform_scs
SpaceNet7 geometry,0.5,top_score,0.2,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0018399999999999996,6.061336876907763,5.0,0.2625093280620891,insufficient_high_e_mass_for_uniform_scs
SpaceNet7 geometry,1.0,top_score,0.1,100,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.003,6.061336876907763,10.0,0.5615828616455044,resolution_below_required_emax
SpaceNet7 geometry,1.0,top_score,0.1,300,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0023333333333333097,6.061336876907763,10.0,0.49392216209330453,resolution_below_required_emax
SpaceNet7 geometry,1.0,top_score,0.1,500,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0018000000000000002,6.061336876907763,10.0,0.4708254016037189,resolution_below_required_emax
SpaceNet7 geometry,1.0,top_score,0.1,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0018399999999999996,6.061336876907763,10.0,0.13125466403104452,resolution_below_required_emax
SpaceNet7 geometry,1.0,top_score,0.2,100,20,17,81.75,0,100,0.003,0.01,0.001,0.004999999999999999,0.003,6.061336876907763,5.0,1.1231657232910088,insufficient_high_e_mass_for_uniform_scs
SpaceNet7 geometry,1.0,top_score,0.2,300,20,11,165.0,0,300,0.0023333333333333097,0.0066666666666666,0.00099999999999999,0.0036666666666666306,0.0023333333333333097,6.061336876907763,5.0,0.9878443241866091,insufficient_high_e_mass_for_uniform_scs
SpaceNet7 geometry,1.0,top_score,0.2,500,20,10,240.35,0,500,0.00136408081174673,0.0047619047619047,0.0005259855736514951,0.002240496605120274,0.0018000000000000002,6.061336876907763,5.0,0.9416508032074379,insufficient_high_e_mass_for_uniform_scs
SpaceNet7 geometry,1.0,top_score,0.2,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0018399999999999996,6.061336876907763,5.0,0.2625093280620891,insufficient_high_e_mass_for_uniform_scs
