audit_id,sample_set,dataset,domain,generator,aoi,video_id,path_id,source_building_id,target_building_id,frame_start,frame_end,source_year,source_month,target_year,target_month,score,candidate_rank,is_unmatched,bbox_iou,centroid_distance_score,area_ratio,base_geometry_score,initial_review_label,initial_verified_positive_for_calibration,initial_review_confidence,initial_review_reason,review_status,human_label,human_verified_positive_for_calibration,human_reason,human_confidence,human_review_status
REL-000001,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0571E-1075N_2287_3888_13,95,SN7::L15-0571E-1075N_2287_3888_13::2018-04->2018-07::4942->4942::6b77164be3b56d62->6b77164be3b56d62,4942,4942,3,4,2018,4,2018,7,0.9999999573263204,1,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000024,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0487E-1246N_1950_3207_13,70,SN7::L15-0487E-1246N_1950_3207_13::2019-12->2020-01::735->735::3478fb5d17b2cb92->3478fb5d17b2cb92,735,735,23,24,2019,12,2020,1,0.9999964565318455,24,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000025,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0358E-1220N_1433_3310_13,19,SN7::L15-0358E-1220N_1433_3310_13::2018-10->2018-11::3396->3396::53f7cfac00cb3138->53f7cfac00cb3138,3396,3396,8,9,2018,10,2018,11,0.9999964221883256,25,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000026,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0544E-1228N_2176_3279_13,83,SN7::L15-0544E-1228N_2176_3279_13::2019-01->2019-02::6076->6076::ec9c08fbe0b3535a->ec9c08fbe0b3535a,6076,6076,12,13,2019,1,2019,2,0.9999964195110564,26,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000027,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0571E-1075N_2287_3888_13,97,SN7::L15-0571E-1075N_2287_3888_13::2019-01->2019-02::1168->1168::01a69902908872ab->01a69902908872ab,1168,1168,10,11,2019,1,2019,2,0.9999962614760032,27,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000028,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0506E-1204N_2027_3374_13,76,SN7::L15-0506E-1204N_2027_3374_13::2019-05->2019-06::1093->1093::0cc513754b7d0d99->0cc513754b7d0d99,1093,1093,16,17,2019,5,2019,6,0.9999961829382236,28,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000029,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0586E-1127N_2345_3680_13,111,SN7::L15-0586E-1127N_2345_3680_13::2018-10->2018-11::151->151::ed98dbc2c5779e5a->ed98dbc2c5779e5a,151,151,9,10,2018,10,2018,11,0.9999961310719956,29,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000030,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0457E-1135N_1831_3648_13,60,SN7::L15-0457E-1135N_1831_3648_13::2019-01->2019-02::13828->13828::7f900a058c89801a->7f900a058c89801a,13828,13828,12,13,2019,1,2019,2,0.9999960925302238,30,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000031,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0586E-1127N_2345_3680_13,115,SN7::L15-0586E-1127N_2345_3680_13::2019-11->2019-12::743->743::0112f8dfecd3f816->0112f8dfecd3f816,743,743,22,23,2019,11,2019,12,0.999995968226944,31,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000032,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0571E-1075N_2287_3888_13,96,SN7::L15-0571E-1075N_2287_3888_13::2018-11->2018-12::4114->4114::8327fc40e780adaf->8327fc40e780adaf,4114,4114,8,9,2018,11,2018,12,0.9999955251528124,32,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000033,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0586E-1127N_2345_3680_13,108,SN7::L15-0586E-1127N_2345_3680_13::2018-03->2018-04::591->591::896b8771e67009bc->896b8771e67009bc,591,591,2,3,2018,3,2018,4,0.9999953433395932,33,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000034,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0571E-1075N_2287_3888_13,94,SN7::L15-0571E-1075N_2287_3888_13::2018-03->2018-04::697->697::17302b77e7addf0a->17302b77e7addf0a,697,697,2,3,2018,3,2018,4,0.9999952315217828,34,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000035,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0368E-1245N_1474_3210_13,36,SN7::L15-0368E-1245N_1474_3210_13::2019-01->2019-02::6329->6329::e885dc5ce2f4c118->e885dc5ce2f4c118,6329,6329,11,12,2019,1,2019,2,0.9999950079420914,35,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000036,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0544E-1228N_2176_3279_13,80,SN7::L15-0544E-1228N_2176_3279_13::2018-06->2018-07::403->403::98e06208f02d1510->98e06208f02d1510,403,403,5,6,2018,6,2018,7,0.9999944692569294,36,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000037,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0361E-1300N_1446_2989_13,26,SN7::L15-0361E-1300N_1446_2989_13::2018-07->2018-08::224->224::23c6be666234c34f->23c6be666234c34f,224,224,5,6,2018,7,2018,8,0.9999944196561564,37,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000038,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0544E-1228N_2176_3279_13,81,SN7::L15-0544E-1228N_2176_3279_13::2018-08->2018-09::2941->2941::83db7b495786964f->83db7b495786964f,2941,2941,7,8,2018,8,2018,9,0.9999943717195666,38,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000039,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0544E-1228N_2176_3279_13,84,SN7::L15-0544E-1228N_2176_3279_13::2019-04->2019-05::5593->5593::c4b0e7e1181302cf->c4b0e7e1181302cf,5593,5593,15,16,2019,4,2019,5,0.9999943619864622,39,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000040,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0368E-1245N_1474_3210_13,36,SN7::L15-0368E-1245N_1474_3210_13::2018-11->2018-12::2801->2801::5fa9cbb5002a8662->5fa9cbb5002a8662,2801,2801,9,10,2018,11,2018,12,0.9999940108258158,40,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000041,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0614E-0946N_2459_4406_13,125,SN7::L15-0614E-0946N_2459_4406_13::2018-06->2018-07::154->154::50575fb2414031f7->50575fb2414031f7,154,154,3,4,2018,6,2018,7,0.9999939865084094,41,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000042,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0614E-0946N_2459_4406_13,127,SN7::L15-0614E-0946N_2459_4406_13::2019-02->2019-03::10709->10709::e3b6735ee86f6d83->e3b6735ee86f6d83,10709,10709,10,11,2019,2,2019,3,0.9999938260006156,42,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000043,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0571E-1075N_2287_3888_13,95,SN7::L15-0571E-1075N_2287_3888_13::2018-08->2018-09::9362->9362::9501886bdcd6bed6->9501886bdcd6bed6,9362,9362,5,6,2018,8,2018,9,0.9999937554593836,43,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000044,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0544E-1228N_2176_3279_13,82,SN7::L15-0544E-1228N_2176_3279_13::2018-11->2018-12::2629->2629::e4dcb288e241e78b->e4dcb288e241e78b,2629,2629,10,11,2018,11,2018,12,0.9999936698856888,44,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000045,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0368E-1245N_1474_3210_13,36,SN7::L15-0368E-1245N_1474_3210_13::2019-01->2019-02::4536->4536::dd3a4b381458c454->dd3a4b381458c454,4536,4536,11,12,2019,1,2019,2,0.999993598431114,45,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000046,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0571E-1075N_2287_3888_13,98,SN7::L15-0571E-1075N_2287_3888_13::2019-04->2019-05::1120->1120::5b7bee2296b855ae->5b7bee2296b855ae,1120,1120,13,14,2019,4,2019,5,0.9999935596597652,46,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000047,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0586E-1127N_2345_3680_13,108,SN7::L15-0586E-1127N_2345_3680_13::2018-01->2018-02::2097->2097::77e248cd7ab67883->77e248cd7ab67883,2097,2097,0,1,2018,1,2018,2,0.9999934470802524,47,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000048,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0544E-1228N_2176_3279_13,79,SN7::L15-0544E-1228N_2176_3279_13::2018-01->2018-02::5863->5863::509c56a30526d3d2->509c56a30526d3d2,5863,5863,0,1,2018,1,2018,2,0.9999934194047334,48,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000049,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0614E-0946N_2459_4406_13,130,SN7::L15-0614E-0946N_2459_4406_13::2019-10->2019-11::5325->5325::c04a6932f9d33960->c04a6932f9d33960,5325,5325,18,19,2019,10,2019,11,0.9999931988140393,49,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000050,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0358E-1220N_1433_3310_13,18,SN7::L15-0358E-1220N_1433_3310_13::2018-07->2018-08::1042->1042::06b4c07c1689a61d->06b4c07c1689a61d,1042,1042,5,6,2018,7,2018,8,0.9999931799995656,50,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000051,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0571E-1075N_2287_3888_13,94,SN7::L15-0571E-1075N_2287_3888_13::2018-01->2018-02::7199->7199::e9b73ff63736183d->e9b73ff63736183d,7199,7199,0,1,2018,1,2018,2,0.9999926487843984,51,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000052,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0368E-1245N_1474_3210_13,35,SN7::L15-0368E-1245N_1474_3210_13::2018-10->2018-11::9647->9647::53a06f6e9f13f607->53a06f6e9f13f607,9647,9647,8,9,2018,10,2018,11,0.9999924980682234,52,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000053,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0368E-1245N_1474_3210_13,40,SN7::L15-0368E-1245N_1474_3210_13::2019-11->2019-12::714->714::27e37a33c41b1a6a->27e37a33c41b1a6a,714,714,21,22,2019,11,2019,12,0.99999187000449,53,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000054,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0571E-1075N_2287_3888_13,98,SN7::L15-0571E-1075N_2287_3888_13::2019-03->2019-04::12496->12496::55c45938b6f84f94->55c45938b6f84f94,12496,12496,12,13,2019,3,2019,4,0.9999914712522888,54,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000055,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0614E-0946N_2459_4406_13,127,SN7::L15-0614E-0946N_2459_4406_13::2019-02->2019-03::16033->16033::6e6eda67643a984a->6e6eda67643a984a,16033,16033,10,11,2019,2,2019,3,0.9999914619238988,55,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000056,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0586E-1127N_2345_3680_13,109,SN7::L15-0586E-1127N_2345_3680_13::2018-05->2018-06::4163->4163::fe69fdeed54919b3->fe69fdeed54919b3,4163,4163,4,5,2018,5,2018,6,0.9999914580436104,56,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000057,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0457E-1135N_1831_3648_13,59,SN7::L15-0457E-1135N_1831_3648_13::2018-11->2018-12::6818->6818::00e6ea6cec7220b5->00e6ea6cec7220b5,6818,6818,10,11,2018,11,2018,12,0.9999914231667588,57,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000058,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0595E-1278N_2383_3079_13,122,SN7::L15-0595E-1278N_2383_3079_13::2019-07->2019-08::2049->2049::94b28830b19a9027->94b28830b19a9027,2049,2049,18,19,2019,7,2019,8,0.9999913240346494,58,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000059,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0368E-1245N_1474_3210_13,33,SN7::L15-0368E-1245N_1474_3210_13::2018-03->2018-04::8988->8988::db51f71fe8da00c6->db51f71fe8da00c6,8988,8988,2,3,2018,3,2018,4,0.9999913180449308,59,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000060,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0358E-1220N_1433_3310_13,22,SN7::L15-0358E-1220N_1433_3310_13::2019-05->2019-06::2392->2392::016a1cc6f11926d5->016a1cc6f11926d5,2392,2392,15,16,2019,5,2019,6,0.9999909363071936,60,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
REL-000061,release_audit,SpaceNet7,earth_observation_building_links,geometry_linker,L15-0577E-1243N_2309_3217_13,103,SN7::L15-0577E-1243N_2309_3217_13::2018-09->2018-10::3245->3245::1f3124d53064bfe1->1f3124d53064bfe1,3245,3245,6,7,2018,9,2018,10,0.999990886240694,61,False,1.0,1.0,1.0,1.0,same_building,yes,high,source and target share the official SpaceNet building identifier; requires human visual confirmation,requires_human_confirmation,,,,,
