audit_id,ctc_dataset,sequence_id,frame_start,frame_end,source_image_path,source_frame_index,source_bbox_x,source_bbox_y,source_bbox_w,source_bbox_h,target_image_path,target_frame_index,target_bbox_x,target_bbox_y,target_bbox_w,target_bbox_h,human_label,human_verified_positive_for_calibration,human_reason,human_confidence,human_review_status
CTC-AUDIT-00050,PhC-C2DH-U373,2,44,45,PhC-C2DH-U373/02/t044,44,538,458,5,5,PhC-C2DH-U373/02/t045,45,538,458,5,5,,,,,
CTC-AUDIT-00051,PhC-C2DH-U373,2,30,31,PhC-C2DH-U373/02/t030,30,565,457,5,5,PhC-C2DH-U373/02/t031,31,565,457,5,5,,,,,
CTC-AUDIT-00052,PhC-C2DH-U373,2,55,56,PhC-C2DH-U373/02/t055,55,56,437,5,5,PhC-C2DH-U373/02/t056,56,56,437,5,5,,,,,
CTC-AUDIT-00053,PhC-C2DH-U373,2,78,79,PhC-C2DH-U373/02/t078,78,484,446,3,3,PhC-C2DH-U373/02/t079,79,484,446,3,3,,,,,
CTC-AUDIT-00054,PhC-C2DH-U373,2,52,53,PhC-C2DH-U373/02/t052,52,634,285,3,3,PhC-C2DH-U373/02/t053,53,633,284,5,5,,,,,
CTC-AUDIT-00055,PhC-C2DH-U373,2,24,25,PhC-C2DH-U373/02/t024,24,643,324,3,3,PhC-C2DH-U373/02/t025,25,642,324,3,3,,,,,
CTC-AUDIT-00056,PhC-C2DH-U373,2,53,54,PhC-C2DH-U373/02/t053,53,633,284,5,5,PhC-C2DH-U373/02/t054,54,633,284,5,5,,,,,
CTC-AUDIT-00057,PhC-C2DH-U373,2,70,71,PhC-C2DH-U373/02/t070,70,58,422,5,5,PhC-C2DH-U373/02/t071,71,58,422,5,5,,,,,
CTC-AUDIT-00058,Fluo-N2DL-HeLa,2,0,1,Fluo-N2DL-HeLa/02/t000,0,743,168,3,3,Fluo-N2DL-HeLa/02/t001,1,743,168,3,3,,,,,
CTC-AUDIT-00059,PhC-C2DH-U373,2,16,17,PhC-C2DH-U373/02/t016,16,641,325,3,3,PhC-C2DH-U373/02/t017,17,640,325,3,3,,,,,
CTC-AUDIT-00060,Fluo-N2DL-HeLa,2,1,2,Fluo-N2DL-HeLa/02/t001,1,1015,562,3,3,Fluo-N2DL-HeLa/02/t002,2,1015,562,3,3,,,,,
CTC-AUDIT-00061,Fluo-N2DL-HeLa,2,2,3,Fluo-N2DL-HeLa/02/t002,2,1015,562,3,3,Fluo-N2DL-HeLa/02/t003,3,1015,562,3,3,,,,,
CTC-AUDIT-00062,PhC-C2DH-U373,2,81,82,PhC-C2DH-U373/02/t081,81,60,424,5,5,PhC-C2DH-U373/02/t082,82,60,424,5,5,,,,,
CTC-AUDIT-00063,Fluo-N2DL-HeLa,2,5,6,Fluo-N2DL-HeLa/02/t005,5,1015,561,3,3,Fluo-N2DL-HeLa/02/t006,6,1015,561,3,3,,,,,
CTC-AUDIT-00064,PhC-C2DH-U373,2,54,55,PhC-C2DH-U373/02/t054,54,633,284,5,5,PhC-C2DH-U373/02/t055,55,633,284,5,5,,,,,
CTC-AUDIT-00065,Fluo-N2DL-HeLa,2,27,28,Fluo-N2DL-HeLa/02/t027,27,638,594,3,3,Fluo-N2DL-HeLa/02/t028,28,638,594,3,3,,,,,
CTC-AUDIT-00066,Fluo-N2DL-HeLa,2,19,20,Fluo-N2DL-HeLa/02/t019,19,642,583,3,3,Fluo-N2DL-HeLa/02/t020,20,642,583,3,3,,,,,
CTC-AUDIT-00067,PhC-C2DH-U373,2,76,77,PhC-C2DH-U373/02/t076,76,58,423,5,5,PhC-C2DH-U373/02/t077,77,58,423,5,5,,,,,
CTC-AUDIT-00068,PhC-C2DH-U373,2,25,26,PhC-C2DH-U373/02/t025,25,570,458,5,5,PhC-C2DH-U373/02/t026,26,569,458,6,5,,,,,
CTC-AUDIT-00069,PhC-C2DH-U373,2,33,34,PhC-C2DH-U373/02/t033,33,642,301,3,3,PhC-C2DH-U373/02/t034,34,642,302,3,3,,,,,
CTC-AUDIT-00070,PhC-C2DH-U373,2,82,83,PhC-C2DH-U373/02/t082,82,60,424,5,5,PhC-C2DH-U373/02/t083,83,60,424,5,5,,,,,
CTC-AUDIT-00071,Fluo-N2DL-HeLa,2,26,27,Fluo-N2DL-HeLa/02/t026,26,638,594,3,3,Fluo-N2DL-HeLa/02/t027,27,638,594,3,3,,,,,
CTC-AUDIT-00072,PhC-C2DH-U373,2,85,86,PhC-C2DH-U373/02/t085,85,61,420,5,5,PhC-C2DH-U373/02/t086,86,61,420,5,5,,,,,
CTC-AUDIT-00073,PhC-C2DH-U373,2,93,94,PhC-C2DH-U373/02/t093,93,456,422,3,3,PhC-C2DH-U373/02/t094,94,455,422,3,3,,,,,
CTC-AUDIT-00074,PhC-C2DH-U373,2,86,87,PhC-C2DH-U373/02/t086,86,61,420,5,5,PhC-C2DH-U373/02/t087,87,61,420,5,5,,,,,
CTC-AUDIT-00075,PhC-C2DH-U373,2,26,27,PhC-C2DH-U373/02/t026,26,569,458,6,5,PhC-C2DH-U373/02/t027,27,569,458,5,5,,,,,
CTC-AUDIT-00076,PhC-C2DH-U373,2,73,74,PhC-C2DH-U373/02/t073,73,58,423,5,5,PhC-C2DH-U373/02/t074,74,58,423,5,5,,,,,
CTC-AUDIT-00077,Fluo-N2DL-HeLa,2,21,22,Fluo-N2DL-HeLa/02/t021,21,580,604,2,1,Fluo-N2DL-HeLa/02/t022,22,580,604,1,1,,,,,
CTC-AUDIT-00078,PhC-C2DH-U373,2,74,75,PhC-C2DH-U373/02/t074,74,58,423,5,5,PhC-C2DH-U373/02/t075,75,58,423,5,5,,,,,
CTC-AUDIT-00079,PhC-C2DH-U373,2,84,85,PhC-C2DH-U373/02/t084,84,61,420,5,5,PhC-C2DH-U373/02/t085,85,61,420,5,5,,,,,
CTC-AUDIT-00080,PhC-C2DH-U373,2,47,48,PhC-C2DH-U373/02/t047,47,61,464,5,5,PhC-C2DH-U373/02/t048,48,61,465,3,3,,,,,
CTC-AUDIT-00081,PhC-C2DH-U373,2,24,25,PhC-C2DH-U373/02/t024,24,112,422,7,7,PhC-C2DH-U373/02/t025,25,112,422,7,7,,,,,
CTC-AUDIT-00082,PhC-C2DH-U373,2,87,88,PhC-C2DH-U373/02/t087,87,61,420,5,5,PhC-C2DH-U373/02/t088,88,61,420,5,5,,,,,
CTC-AUDIT-00083,PhC-C2DH-U373,2,89,90,PhC-C2DH-U373/02/t089,89,61,420,5,5,PhC-C2DH-U373/02/t090,90,61,420,5,5,,,,,
CTC-AUDIT-00084,PhC-C2DH-U373,2,77,78,PhC-C2DH-U373/02/t077,77,58,423,5,5,PhC-C2DH-U373/02/t078,78,58,423,5,5,,,,,
CTC-AUDIT-00085,Fluo-N2DL-HeLa,2,23,24,Fluo-N2DL-HeLa/02/t023,23,633,592,3,3,Fluo-N2DL-HeLa/02/t024,24,633,592,3,3,,,,,
CTC-AUDIT-00086,PhC-C2DH-U373,2,75,76,PhC-C2DH-U373/02/t075,75,58,423,5,5,PhC-C2DH-U373/02/t076,76,58,423,5,5,,,,,
CTC-AUDIT-00087,Fluo-N2DL-HeLa,2,21,22,Fluo-N2DL-HeLa/02/t021,21,632,585,3,3,Fluo-N2DL-HeLa/02/t022,22,632,585,3,3,,,,,
CTC-AUDIT-00088,Fluo-N2DL-HeLa,2,37,38,Fluo-N2DL-HeLa/02/t037,37,493,82,3,3,Fluo-N2DL-HeLa/02/t038,38,493,82,3,3,,,,,
CTC-AUDIT-00089,PhC-C2DH-U373,2,88,89,PhC-C2DH-U373/02/t088,88,61,420,5,5,PhC-C2DH-U373/02/t089,89,61,420,5,5,,,,,
CTC-AUDIT-00090,PhC-C2DH-U373,2,90,91,PhC-C2DH-U373/02/t090,90,61,420,5,5,PhC-C2DH-U373/02/t091,91,61,420,5,5,,,,,
CTC-AUDIT-00091,PhC-C2DH-U373,2,91,92,PhC-C2DH-U373/02/t091,91,61,420,5,5,PhC-C2DH-U373/02/t092,92,61,420,5,5,,,,,
CTC-AUDIT-00092,PhC-C2DH-U373,2,92,93,PhC-C2DH-U373/02/t092,92,61,420,5,5,PhC-C2DH-U373/02/t093,93,61,420,5,5,,,,,
CTC-AUDIT-00093,Fluo-N2DL-HeLa,2,47,48,Fluo-N2DL-HeLa/02/t047,47,488,86,3,3,Fluo-N2DL-HeLa/02/t048,48,488,86,3,3,,,,,
CTC-AUDIT-00094,PhC-C2DH-U373,2,94,95,PhC-C2DH-U373/02/t094,94,67,416,5,5,PhC-C2DH-U373/02/t095,95,67,416,5,5,,,,,
CTC-AUDIT-00095,Fluo-N2DL-HeLa,2,15,16,Fluo-N2DL-HeLa/02/t015,15,630,587,3,3,Fluo-N2DL-HeLa/02/t016,16,630,587,3,3,,,,,
CTC-AUDIT-00096,PhC-C2DH-U373,2,95,96,PhC-C2DH-U373/02/t095,95,67,416,5,5,PhC-C2DH-U373/02/t096,96,67,416,5,5,,,,,
CTC-AUDIT-00097,PhC-C2DH-U373,2,96,97,PhC-C2DH-U373/02/t096,96,67,416,5,5,PhC-C2DH-U373/02/t097,97,67,416,5,5,,,,,
CTC-AUDIT-00098,PhC-C2DH-U373,2,97,98,PhC-C2DH-U373/02/t097,97,67,416,5,5,PhC-C2DH-U373/02/t098,98,67,416,5,5,,,,,
CTC-AUDIT-00099,PhC-C2DH-U373,2,38,39,PhC-C2DH-U373/02/t038,38,639,296,3,3,PhC-C2DH-U373/02/t039,39,638,296,3,3,,,,,
CTC-AUDIT-00100,Fluo-N2DL-HeLa,2,36,37,Fluo-N2DL-HeLa/02/t036,36,493,82,3,3,Fluo-N2DL-HeLa/02/t037,37,493,82,3,3,,,,,
CTC-AUDIT-00101,Fluo-N2DL-HeLa,2,29,30,Fluo-N2DL-HeLa/02/t029,29,645,599,3,3,Fluo-N2DL-HeLa/02/t030,30,645,599,3,3,,,,,
CTC-AUDIT-00102,Fluo-N2DL-HeLa,2,46,47,Fluo-N2DL-HeLa/02/t046,46,488,86,3,3,Fluo-N2DL-HeLa/02/t047,47,488,86,3,3,,,,,
CTC-AUDIT-00103,PhC-C2DH-U373,2,99,100,PhC-C2DH-U373/02/t099,99,66,416,5,5,PhC-C2DH-U373/02/t100,100,66,416,5,5,,,,,
CTC-AUDIT-00104,Fluo-N2DL-HeLa,2,45,46,Fluo-N2DL-HeLa/02/t045,45,488,86,3,3,Fluo-N2DL-HeLa/02/t046,46,488,86,3,3,,,,,
CTC-AUDIT-00105,PhC-C2DH-U373,2,100,101,PhC-C2DH-U373/02/t100,100,66,416,5,5,PhC-C2DH-U373/02/t101,101,66,416,5,5,,,,,
CTC-AUDIT-00106,Fluo-N2DL-HeLa,2,24,25,Fluo-N2DL-HeLa/02/t024,24,583,601,1,1,Fluo-N2DL-HeLa/02/t025,25,583,601,2,1,,,,,
CTC-AUDIT-00107,PhC-C2DH-U373,2,55,56,PhC-C2DH-U373/02/t055,55,63,424,5,5,PhC-C2DH-U373/02/t056,56,63,423,5,5,,,,,
CTC-AUDIT-00108,PhC-C2DH-U373,2,23,24,PhC-C2DH-U373/02/t023,23,112,422,7,7,PhC-C2DH-U373/02/t024,24,112,422,7,7,,,,,
CTC-AUDIT-00109,PhC-C2DH-U373,2,28,29,PhC-C2DH-U373/02/t028,28,640,322,3,3,PhC-C2DH-U373/02/t029,29,639,322,3,3,,,,,
CTC-AUDIT-00110,Fluo-N2DL-HeLa,2,44,45,Fluo-N2DL-HeLa/02/t044,44,488,86,3,3,Fluo-N2DL-HeLa/02/t045,45,488,86,3,3,,,,,
CTC-AUDIT-00111,Fluo-N2DL-HeLa,2,38,39,Fluo-N2DL-HeLa/02/t038,38,493,82,3,3,Fluo-N2DL-HeLa/02/t039,39,493,82,3,3,,,,,
CTC-AUDIT-00112,Fluo-N2DL-HeLa,2,62,63,Fluo-N2DL-HeLa/02/t062,62,487,73,3,3,Fluo-N2DL-HeLa/02/t063,63,487,73,3,3,,,,,
CTC-AUDIT-00113,Fluo-N2DL-HeLa,2,82,83,Fluo-N2DL-HeLa/02/t082,82,677,180,3,3,Fluo-N2DL-HeLa/02/t083,83,677,180,3,3,,,,,
CTC-AUDIT-00114,PhC-C2DH-U373,2,42,43,PhC-C2DH-U373/02/t042,42,539,458,5,5,PhC-C2DH-U373/02/t043,43,539,459,5,5,,,,,
CTC-AUDIT-00115,Fluo-N2DL-HeLa,2,79,80,Fluo-N2DL-HeLa/02/t079,79,677,179,3,3,Fluo-N2DL-HeLa/02/t080,80,677,179,3,3,,,,,
CTC-AUDIT-00116,Fluo-N2DL-HeLa,2,51,52,Fluo-N2DL-HeLa/02/t051,51,488,84,3,3,Fluo-N2DL-HeLa/02/t052,52,488,84,3,3,,,,,
CTC-AUDIT-00117,Fluo-N2DL-HeLa,2,61,62,Fluo-N2DL-HeLa/02/t061,61,487,73,3,3,Fluo-N2DL-HeLa/02/t062,62,487,73,3,3,,,,,
CTC-AUDIT-00118,PhC-C2DH-U373,2,56,57,PhC-C2DH-U373/02/t056,56,63,423,5,5,PhC-C2DH-U373/02/t057,57,63,422,5,5,,,,,
CTC-AUDIT-00119,PhC-C2DH-U373,2,72,73,PhC-C2DH-U373/02/t072,72,58,422,5,6,PhC-C2DH-U373/02/t073,73,58,423,5,5,,,,,
CTC-AUDIT-00120,PhC-C2DH-U373,2,1,2,PhC-C2DH-U373/02/t001,1,58,292,9,9,PhC-C2DH-U373/02/t002,2,58,292,9,9,,,,,
CTC-AUDIT-00121,PhC-C2DH-U373,2,3,4,PhC-C2DH-U373/02/t003,3,578,106,9,9,PhC-C2DH-U373/02/t004,4,578,106,9,9,,,,,
CTC-AUDIT-00122,PhC-C2DH-U373,2,52,53,PhC-C2DH-U373/02/t052,52,519,461,3,3,PhC-C2DH-U373/02/t053,53,518,461,3,3,,,,,
CTC-AUDIT-00123,Fluo-N2DL-HeLa,2,52,53,Fluo-N2DL-HeLa/02/t052,52,488,84,3,3,Fluo-N2DL-HeLa/02/t053,53,488,84,3,3,,,,,
CTC-AUDIT-00124,Fluo-N2DL-HeLa,2,84,85,Fluo-N2DL-HeLa/02/t084,84,318,59,3,3,Fluo-N2DL-HeLa/02/t085,85,318,59,3,3,,,,,
CTC-AUDIT-00125,Fluo-N2DL-HeLa,2,49,50,Fluo-N2DL-HeLa/02/t049,49,488,86,3,3,Fluo-N2DL-HeLa/02/t050,50,488,86,3,3,,,,,
CTC-AUDIT-00126,Fluo-N2DL-HeLa,2,83,84,Fluo-N2DL-HeLa/02/t083,83,677,180,3,3,Fluo-N2DL-HeLa/02/t084,84,677,180,3,3,,,,,
CTC-AUDIT-00127,Fluo-N2DL-HeLa,2,48,49,Fluo-N2DL-HeLa/02/t048,48,488,86,3,3,Fluo-N2DL-HeLa/02/t049,49,488,86,3,3,,,,,
CTC-AUDIT-00128,PhC-C2DH-U373,2,37,38,PhC-C2DH-U373/02/t037,37,59,445,5,5,PhC-C2DH-U373/02/t038,38,59,446,5,5,,,,,
CTC-AUDIT-00129,PhC-C2DH-U373,2,55,56,PhC-C2DH-U373/02/t055,55,82,295,9,9,PhC-C2DH-U373/02/t056,56,82,295,9,9,,,,,
CTC-AUDIT-00130,Fluo-N2DL-HeLa,2,72,73,Fluo-N2DL-HeLa/02/t072,72,493,250,3,3,Fluo-N2DL-HeLa/02/t073,73,493,250,3,3,,,,,
CTC-AUDIT-00131,Fluo-N2DL-HeLa,2,86,87,Fluo-N2DL-HeLa/02/t086,86,679,180,3,3,Fluo-N2DL-HeLa/02/t087,87,679,180,3,3,,,,,
CTC-AUDIT-00132,PhC-C2DH-U373,2,22,23,PhC-C2DH-U373/02/t022,22,112,422,7,7,PhC-C2DH-U373/02/t023,23,112,422,7,7,,,,,
CTC-AUDIT-00133,Fluo-N2DL-HeLa,2,88,89,Fluo-N2DL-HeLa/02/t088,88,679,179,3,3,Fluo-N2DL-HeLa/02/t089,89,679,179,3,3,,,,,
CTC-AUDIT-00134,Fluo-N2DL-HeLa,2,58,59,Fluo-N2DL-HeLa/02/t058,58,490,76,3,3,Fluo-N2DL-HeLa/02/t059,59,490,76,3,3,,,,,
CTC-AUDIT-00135,Fluo-N2DL-HeLa,2,54,55,Fluo-N2DL-HeLa/02/t054,54,488,81,3,3,Fluo-N2DL-HeLa/02/t055,55,488,81,3,3,,,,,
CTC-AUDIT-00136,Fluo-N2DL-HeLa,2,56,57,Fluo-N2DL-HeLa/02/t056,56,489,76,3,3,Fluo-N2DL-HeLa/02/t057,57,489,76,3,3,,,,,
CTC-AUDIT-00137,PhC-C2DH-U373,2,6,7,PhC-C2DH-U373/02/t006,6,62,279,9,9,PhC-C2DH-U373/02/t007,7,62,279,9,9,,,,,
CTC-AUDIT-00138,Fluo-N2DL-HeLa,2,74,75,Fluo-N2DL-HeLa/02/t074,74,674,188,3,3,Fluo-N2DL-HeLa/02/t075,75,674,188,3,3,,,,,
CTC-AUDIT-00139,Fluo-N2DL-HeLa,2,75,76,Fluo-N2DL-HeLa/02/t075,75,328,66,3,3,Fluo-N2DL-HeLa/02/t076,76,328,66,3,3,,,,,
CTC-AUDIT-00140,Fluo-N2DL-HeLa,2,68,69,Fluo-N2DL-HeLa/02/t068,68,674,206,3,3,Fluo-N2DL-HeLa/02/t069,69,674,206,3,3,,,,,
CTC-AUDIT-00141,Fluo-N2DL-HeLa,2,70,71,Fluo-N2DL-HeLa/02/t070,70,673,180,3,3,Fluo-N2DL-HeLa/02/t071,71,673,180,3,3,,,,,
CTC-AUDIT-00142,PhC-C2DH-U373,2,30,31,PhC-C2DH-U373/02/t030,30,88,240,9,9,PhC-C2DH-U373/02/t031,31,88,240,9,9,,,,,
CTC-AUDIT-00143,PhC-C2DH-U373,2,8,9,PhC-C2DH-U373/02/t008,8,61,275,9,9,PhC-C2DH-U373/02/t009,9,61,275,9,9,,,,,
CTC-AUDIT-00144,Fluo-N2DL-HeLa,2,76,77,Fluo-N2DL-HeLa/02/t076,76,678,181,3,3,Fluo-N2DL-HeLa/02/t077,77,678,181,3,3,,,,,
CTC-AUDIT-00145,PhC-C2DH-U373,2,95,96,PhC-C2DH-U373/02/t095,95,637,288,3,3,PhC-C2DH-U373/02/t096,96,637,287,3,3,,,,,
CTC-AUDIT-00146,Fluo-N2DL-HeLa,2,80,81,Fluo-N2DL-HeLa/02/t080,80,324,63,3,3,Fluo-N2DL-HeLa/02/t081,81,324,63,3,3,,,,,
CTC-AUDIT-00147,PhC-C2DH-U373,2,47,48,PhC-C2DH-U373/02/t047,47,635,300,3,3,PhC-C2DH-U373/02/t048,48,635,299,3,3,,,,,
