audit_id,path_id,queue_membership,queue_calibration,queue_simulated_strict_release,queue_raw_topK_reference,simulated_release_hits,simulated_release_budgets,simulated_release_seeds,ctc_dataset,sequence_id,video_id,frame_pair,candidate_rank,score,screening_label,screening_verified_positive_for_calibration,screening_confidence,source_gt_purity,target_gt_purity
CTC-AUDIT-00019,ctc_PhC-C2DH-U373_02_f083_s9_to_f084_t9,"simulated_strict_release,raw_topK_reference",False,True,True,16,"100,300","2,3,4,5,10,11,15,18",PhC-C2DH-U373,2,320083,083-084,19,0.9999999999999996,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00020,ctc_PhC-C2DH-U373_02_f084_s9_to_f085_t9,"simulated_strict_release,raw_topK_reference",False,True,True,10,"100,300","6,7,8,10,19",PhC-C2DH-U373,2,320084,084-085,20,0.9999999999999996,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00021,ctc_PhC-C2DH-U373_02_f041_s9_to_f042_t9,"simulated_strict_release,raw_topK_reference",False,True,True,20,"100,300","0,4,7,8,9,11,16,17,18,19",PhC-C2DH-U373,2,320041,041-042,21,0.9999999999999992,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00022,ctc_PhC-C2DH-U373_02_f074_s9_to_f075_t9,"simulated_strict_release,raw_topK_reference",False,True,True,22,"100,300","1,2,5,6,7,8,9,13,14,16,17",PhC-C2DH-U373,2,320074,074-075,22,0.9999999999999992,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00023,ctc_PhC-C2DH-U373_02_f075_s9_to_f076_t9,"simulated_strict_release,raw_topK_reference",False,True,True,10,"100,300","6,11,13,14,18",PhC-C2DH-U373,2,320075,075-076,23,0.9999999999999992,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00024,ctc_PhC-C2DH-U373_02_f085_s9_to_f086_t9,"simulated_strict_release,raw_topK_reference",False,True,True,16,"100,300","0,6,10,13,14,16,17,19",PhC-C2DH-U373,2,320085,085-086,24,0.9999999999999992,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00025,ctc_PhC-C2DH-U373_02_f092_s12_to_f093_t12,"simulated_strict_release,raw_topK_reference",False,True,True,10,"100,300","1,6,11,16,19",PhC-C2DH-U373,2,320092,092-093,25,0.9999999999999992,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00026,ctc_PhC-C2DH-U373_02_f093_s9_to_f094_t9,"simulated_strict_release,raw_topK_reference",False,True,True,10,"100,300","6,8,9,10,17",PhC-C2DH-U373,2,320093,093-094,26,0.9999999999999992,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00027,ctc_PhC-C2DH-U373_02_f100_s9_to_f101_t9,"simulated_strict_release,raw_topK_reference",False,True,True,20,"100,300","0,1,2,3,12,15,16,17,18,19",PhC-C2DH-U373,2,320100,100-101,27,0.9999999999999992,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00028,ctc_PhC-C2DH-U373_02_f042_s9_to_f043_t9,"simulated_strict_release,raw_topK_reference",False,True,True,22,"100,300","0,1,4,8,10,11,12,13,15,17,18",PhC-C2DH-U373,2,320042,042-043,28,0.9999999999999992,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00029,ctc_PhC-C2DH-U373_02_f072_s9_to_f073_t9,"simulated_strict_release,raw_topK_reference",False,True,True,12,"100,300","1,2,3,12,14,19",PhC-C2DH-U373,2,320072,072-073,29,0.9999999999999992,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00030,ctc_PhC-C2DH-U373_02_f080_s9_to_f081_t9,"simulated_strict_release,raw_topK_reference",False,True,True,16,"100,300","1,2,6,10,11,16,18,19",PhC-C2DH-U373,2,320080,080-081,30,0.9999999999999992,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00031,ctc_PhC-C2DH-U373_02_f090_s12_to_f091_t12,"simulated_strict_release,raw_topK_reference",False,True,True,16,"100,300","2,3,4,11,12,15,16,17",PhC-C2DH-U373,2,320090,090-091,31,0.9999999999999992,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00032,ctc_PhC-C2DH-U373_02_f104_s12_to_f105_t12,"simulated_strict_release,raw_topK_reference",False,True,True,10,"100,300","4,7,13,17,18",PhC-C2DH-U373,2,320104,104-105,32,0.9999999999999992,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00033,ctc_PhC-C2DH-U373_02_f056_s11_to_f057_t11,"simulated_strict_release,raw_topK_reference",False,True,True,16,"100,300","4,5,7,9,12,14,18,19",PhC-C2DH-U373,2,320056,056-057,33,0.9999999999999988,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00034,ctc_PhC-C2DH-U373_02_f081_s9_to_f082_t9,"simulated_strict_release,raw_topK_reference",False,True,True,14,"100,300","6,7,9,10,14,18,19",PhC-C2DH-U373,2,320081,081-082,34,0.9999999999999988,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00035,ctc_PhC-C2DH-U373_02_f096_s9_to_f097_t9,"simulated_strict_release,raw_topK_reference",False,True,True,10,"100,300","0,7,12,14,17",PhC-C2DH-U373,2,320096,096-097,35,0.9999999999999988,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00036,ctc_PhC-C2DH-U373_02_f099_s2_to_f100_t2,"simulated_strict_release,raw_topK_reference",False,True,True,14,"100,300","6,10,12,14,16,18,19",PhC-C2DH-U373,2,320099,099-100,36,0.9999999999999988,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00037,ctc_PhC-C2DH-U373_02_f070_s12_to_f071_t12,"simulated_strict_release,raw_topK_reference",False,True,True,8,"100,300","7,9,13,15",PhC-C2DH-U373,2,320070,070-071,37,0.9999999999999984,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00038,ctc_PhC-C2DH-U373_02_f079_s9_to_f080_t9,"simulated_strict_release,raw_topK_reference",False,True,True,14,"100,300","0,2,3,6,10,13,17",PhC-C2DH-U373,2,320079,079-080,38,0.9999999999999984,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00039,ctc_PhC-C2DH-U373_02_f112_s9_to_f113_t9,"simulated_strict_release,raw_topK_reference",False,True,True,8,"100,300","7,10,11,12",PhC-C2DH-U373,2,320112,112-113,39,0.9999999999999984,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00040,ctc_PhC-C2DH-U373_02_f113_s2_to_f114_t2,"simulated_strict_release,raw_topK_reference",False,True,True,12,"100,300","0,3,9,11,16,18",PhC-C2DH-U373,2,320113,113-114,40,0.9999999999999984,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00041,ctc_PhC-C2DH-U373_02_f102_s2_to_f103_t2,"simulated_strict_release,raw_topK_reference",False,True,True,14,"100,300","2,11,12,14,16,17,18",PhC-C2DH-U373,2,320102,102-103,41,0.9999999999999982,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00042,ctc_PhC-C2DH-U373_02_f103_s12_to_f104_t12,"simulated_strict_release,raw_topK_reference",False,True,True,4,"100,300","6,8",PhC-C2DH-U373,2,320103,103-104,42,0.9999999999999982,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00043,ctc_PhC-C2DH-U373_02_f106_s12_to_f107_t12,"simulated_strict_release,raw_topK_reference",False,True,True,16,"100,300","3,6,10,12,14,15,17,18",PhC-C2DH-U373,2,320106,106-107,43,0.9999999999999978,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00044,ctc_PhC-C2DH-U373_02_f077_s12_to_f078_t12,"simulated_strict_release,raw_topK_reference",False,True,True,20,"100,300","0,2,7,8,9,10,13,15,17,18",PhC-C2DH-U373,2,320077,077-078,44,0.9999999999999972,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00045,ctc_PhC-C2DH-U373_02_f040_s18_to_f041_t18,"simulated_strict_release,raw_topK_reference",False,True,True,16,"100,300","0,3,5,6,9,11,12,18",PhC-C2DH-U373,2,320040,040-041,45,0.999999999999994,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00046,ctc_PhC-C2DH-U373_02_f080_s12_to_f081_t12,"simulated_strict_release,raw_topK_reference",False,True,True,16,"100,300","1,2,6,10,11,16,18,19",PhC-C2DH-U373,2,320080,080-081,46,0.9999999999999936,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00047,ctc_PhC-C2DH-U373_02_f038_s18_to_f039_t18,"simulated_strict_release,raw_topK_reference",False,True,True,10,"100,300","2,3,16,17,18",PhC-C2DH-U373,2,320038,038-039,47,0.9999999999999925,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00048,ctc_PhC-C2DH-U373_02_f027_s11_to_f028_t11,"simulated_strict_release,raw_topK_reference",False,True,True,12,"100,300","3,7,10,13,17,19",PhC-C2DH-U373,2,320027,027-028,48,0.9999999999999896,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00049,ctc_PhC-C2DH-U373_02_f046_s18_to_f047_t18,"simulated_strict_release,raw_topK_reference",False,True,True,14,"100,300","1,5,6,12,13,14,18",PhC-C2DH-U373,2,320046,046-047,49,0.9999999999999878,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00050,ctc_PhC-C2DH-U373_02_f044_s11_to_f045_t11,"simulated_strict_release,raw_topK_reference",False,True,True,8,"100,300","3,5,6,9",PhC-C2DH-U373,2,320044,044-045,50,0.9999999999999868,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00051,ctc_PhC-C2DH-U373_02_f030_s11_to_f031_t11,"simulated_strict_release,raw_topK_reference",False,True,True,18,"100,300","3,7,9,10,12,13,15,17,19",PhC-C2DH-U373,2,320030,030-031,51,0.9999999999999865,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00052,ctc_PhC-C2DH-U373_02_f055_s18_to_f056_t18,"simulated_strict_release,raw_topK_reference",False,True,True,16,"100,300","0,2,3,5,6,9,16,19",PhC-C2DH-U373,2,320055,055-056,52,0.9999999999999865,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00053,ctc_PhC-C2DH-U373_02_f078_s12_to_f079_t12,"simulated_strict_release,raw_topK_reference",False,True,True,14,"100,300","0,3,8,10,11,15,19",PhC-C2DH-U373,2,320078,078-079,53,0.9999999999999784,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00054,ctc_PhC-C2DH-U373_02_f052_s9_to_f053_t9,"simulated_strict_release,raw_topK_reference",False,True,True,6,"100,300","0,2,8",PhC-C2DH-U373,2,320052,052-053,54,0.99999999999997,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00055,ctc_PhC-C2DH-U373_02_f024_s7_to_f025_t7,"simulated_strict_release,raw_topK_reference",False,True,True,8,"100,300","7,11,13,15",PhC-C2DH-U373,2,320024,024-025,55,0.9999999999999576,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00056,ctc_PhC-C2DH-U373_02_f053_s9_to_f054_t9,"simulated_strict_release,raw_topK_reference",False,True,True,14,"100,300","2,5,6,7,10,12,13",PhC-C2DH-U373,2,320053,053-054,56,0.9999999999999556,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00057,ctc_PhC-C2DH-U373_02_f070_s18_to_f071_t18,"simulated_strict_release,raw_topK_reference",False,True,True,8,"100,300","7,9,13,15",PhC-C2DH-U373,2,320070,070-071,57,0.9999999999999548,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00058,ctc_Fluo-N2DL-HeLa_02_f000_s579_to_f001_t579,"simulated_strict_release,raw_topK_reference",False,True,True,10,"100,300","2,5,7,9,13",Fluo-N2DL-HeLa,2,220000,000-001,58,0.9999999999999524,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00059,ctc_PhC-C2DH-U373_02_f016_s6_to_f017_t6,"simulated_strict_release,raw_topK_reference",False,True,True,16,"100,300","3,4,5,10,12,13,14,17",PhC-C2DH-U373,2,320016,016-017,59,0.9999999999999516,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00060,ctc_Fluo-N2DL-HeLa_02_f001_s498_to_f002_t498,"simulated_strict_release,raw_topK_reference",False,True,True,10,"100,300","4,7,8,13,18",Fluo-N2DL-HeLa,2,220001,001-002,60,0.9999999999999508,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00061,ctc_Fluo-N2DL-HeLa_02_f002_s498_to_f003_t498,"simulated_strict_release,raw_topK_reference",False,True,True,12,"100,300","1,3,5,8,12,15",Fluo-N2DL-HeLa,2,220002,002-003,61,0.9999999999999494,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00062,ctc_PhC-C2DH-U373_02_f081_s18_to_f082_t18,"simulated_strict_release,raw_topK_reference",False,True,True,14,"100,300","6,7,9,10,14,18,19",PhC-C2DH-U373,2,320081,081-082,62,0.9999999999999492,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00063,ctc_Fluo-N2DL-HeLa_02_f005_s498_to_f006_t498,"simulated_strict_release,raw_topK_reference",False,True,True,10,"100,300","2,3,7,12,13",Fluo-N2DL-HeLa,2,220005,005-006,63,0.9999999999999448,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00064,ctc_PhC-C2DH-U373_02_f054_s9_to_f055_t9,"simulated_strict_release,raw_topK_reference",False,True,True,10,"100,300","3,9,11,12,15",PhC-C2DH-U373,2,320054,054-055,64,0.9999999999999408,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00065,ctc_Fluo-N2DL-HeLa_02_f027_s807_to_f028_t807,"simulated_strict_release,raw_topK_reference",False,True,True,14,"100,300","1,2,11,14,16,18,19",Fluo-N2DL-HeLa,2,220027,027-028,65,0.9999999999999384,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00066,ctc_Fluo-N2DL-HeLa_02_f019_s807_to_f020_t807,"simulated_strict_release,raw_topK_reference",False,True,True,8,"100,300","3,6,8,9",Fluo-N2DL-HeLa,2,220019,019-020,66,0.9999999999999378,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00067,ctc_PhC-C2DH-U373_02_f076_s18_to_f077_t18,"simulated_strict_release,raw_topK_reference",False,True,True,20,"100,300","1,2,6,9,11,12,13,14,16,17",PhC-C2DH-U373,2,320076,076-077,67,0.9999999999999376,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00068,ctc_PhC-C2DH-U373_02_f025_s11_to_f026_t11,"simulated_strict_release,raw_topK_reference",False,True,True,12,"100,300","0,2,8,10,16,18",PhC-C2DH-U373,2,320025,025-026,68,0.9999999999999344,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00069,ctc_PhC-C2DH-U373_02_f033_s9_to_f034_t9,"simulated_strict_release,raw_topK_reference",False,True,True,10,"100,300","0,7,9,10,14",PhC-C2DH-U373,2,320033,033-034,69,0.9999999999999332,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00070,ctc_PhC-C2DH-U373_02_f082_s18_to_f083_t18,"simulated_strict_release,raw_topK_reference",False,True,True,10,"100,300","3,7,8,10,13",PhC-C2DH-U373,2,320082,082-083,70,0.9999999999999332,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00071,ctc_Fluo-N2DL-HeLa_02_f026_s807_to_f027_t807,"simulated_strict_release,raw_topK_reference",False,True,True,8,"100,300","0,7,15,17",Fluo-N2DL-HeLa,2,220026,026-027,71,0.9999999999999328,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00072,ctc_PhC-C2DH-U373_02_f085_s18_to_f086_t18,"simulated_strict_release,raw_topK_reference",False,True,True,16,"100,300","0,6,10,13,14,16,17,19",PhC-C2DH-U373,2,320085,085-086,72,0.9999999999999312,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00073,ctc_PhC-C2DH-U373_02_f093_s12_to_f094_t12,"simulated_strict_release,raw_topK_reference",False,True,True,10,"100,300","6,8,9,10,17",PhC-C2DH-U373,2,320093,093-094,73,0.999999999999929,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00074,ctc_PhC-C2DH-U373_02_f086_s18_to_f087_t18,"simulated_strict_release,raw_topK_reference",False,True,True,12,"100,300","4,6,7,8,17,19",PhC-C2DH-U373,2,320086,086-087,74,0.9999999999999288,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00075,ctc_PhC-C2DH-U373_02_f026_s11_to_f027_t11,"simulated_strict_release,raw_topK_reference",False,True,True,8,"100,300","1,3,15,19",PhC-C2DH-U373,2,320026,026-027,75,0.999999999999928,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00076,ctc_PhC-C2DH-U373_02_f073_s18_to_f074_t18,"simulated_strict_release,raw_topK_reference",False,True,True,18,"100,300","0,2,6,9,10,12,14,17,18",PhC-C2DH-U373,2,320073,073-074,76,0.999999999999928,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00077,ctc_Fluo-N2DL-HeLa_02_f021_s812_to_f022_t812,"simulated_strict_release,raw_topK_reference",False,True,True,12,"100,300","1,4,9,10,12,14",Fluo-N2DL-HeLa,2,220021,021-022,77,0.9999999999999274,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00078,ctc_PhC-C2DH-U373_02_f074_s18_to_f075_t18,"simulated_strict_release,raw_topK_reference",False,True,True,22,"100,300","1,2,5,6,7,8,9,13,14,16,17",PhC-C2DH-U373,2,320074,074-075,78,0.9999999999999272,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00079,ctc_PhC-C2DH-U373_02_f084_s18_to_f085_t18,"simulated_strict_release,raw_topK_reference",False,True,True,10,"100,300","6,7,8,10,19",PhC-C2DH-U373,2,320084,084-085,79,0.9999999999999264,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00080,ctc_PhC-C2DH-U373_02_f047_s14_to_f048_t14,"simulated_strict_release,raw_topK_reference",False,True,True,12,"100,300","0,5,6,10,13,16",PhC-C2DH-U373,2,320047,047-048,80,0.9999999999999252,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00081,ctc_PhC-C2DH-U373_02_f024_s14_to_f025_t14,"simulated_strict_release,raw_topK_reference",False,True,True,8,"100,300","7,11,13,15",PhC-C2DH-U373,2,320024,024-025,81,0.999999999999925,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00082,ctc_PhC-C2DH-U373_02_f087_s18_to_f088_t18,"simulated_strict_release,raw_topK_reference",False,True,True,12,"100,300","1,2,3,9,13,17",PhC-C2DH-U373,2,320087,087-088,82,0.9999999999999218,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00083,ctc_PhC-C2DH-U373_02_f089_s18_to_f090_t18,"simulated_strict_release,raw_topK_reference",False,True,True,14,"100,300","3,4,9,12,14,15,18",PhC-C2DH-U373,2,320089,089-090,83,0.9999999999999204,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00084,ctc_PhC-C2DH-U373_02_f077_s18_to_f078_t18,"simulated_strict_release,raw_topK_reference",False,True,True,20,"100,300","0,2,7,8,9,10,13,15,17,18",PhC-C2DH-U373,2,320077,077-078,84,0.9999999999999178,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00085,ctc_Fluo-N2DL-HeLa_02_f023_s807_to_f024_t807,"simulated_strict_release,raw_topK_reference",False,True,True,16,"100,300","0,3,7,8,11,12,14,18",Fluo-N2DL-HeLa,2,220023,023-024,85,0.9999999999999154,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00086,ctc_PhC-C2DH-U373_02_f075_s18_to_f076_t18,"simulated_strict_release,raw_topK_reference",False,True,True,10,"100,300","6,11,13,14,18",PhC-C2DH-U373,2,320075,075-076,86,0.9999999999999124,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00087,ctc_Fluo-N2DL-HeLa_02_f021_s807_to_f022_t807,"simulated_strict_release,raw_topK_reference",False,True,True,12,"100,300","1,4,9,10,12,14",Fluo-N2DL-HeLa,2,220021,021-022,87,0.9999999999999084,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00088,ctc_Fluo-N2DL-HeLa_02_f037_s316_to_f038_t316,"simulated_strict_release,raw_topK_reference",False,True,True,10,"100,300","1,4,6,10,13",Fluo-N2DL-HeLa,2,220037,037-038,88,0.999999999999907,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00089,ctc_PhC-C2DH-U373_02_f088_s18_to_f089_t18,"simulated_strict_release,raw_topK_reference",False,True,True,10,"100,300","1,5,7,12,19",PhC-C2DH-U373,2,320088,088-089,89,0.9999999999999024,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00090,ctc_PhC-C2DH-U373_02_f090_s18_to_f091_t18,"simulated_strict_release,raw_topK_reference",False,True,True,16,"100,300","2,3,4,11,12,15,16,17",PhC-C2DH-U373,2,320090,090-091,90,0.9999999999998944,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00091,ctc_PhC-C2DH-U373_02_f091_s18_to_f092_t18,"simulated_strict_release,raw_topK_reference",False,True,True,10,"100,300","1,5,7,16,17",PhC-C2DH-U373,2,320091,091-092,91,0.9999999999998844,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00092,ctc_PhC-C2DH-U373_02_f092_s18_to_f093_t18,"simulated_strict_release,raw_topK_reference",False,True,True,10,"100,300","1,6,11,16,19",PhC-C2DH-U373,2,320092,092-093,92,0.9999999999998844,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00093,ctc_Fluo-N2DL-HeLa_02_f047_s316_to_f048_t316,"simulated_strict_release,raw_topK_reference",False,True,True,12,"100,300","1,5,9,10,12,17",Fluo-N2DL-HeLa,2,220047,047-048,93,0.999999999999884,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00094,ctc_PhC-C2DH-U373_02_f094_s18_to_f095_t18,"simulated_strict_release,raw_topK_reference",False,True,True,20,"100,300","8,9,10,11,12,13,14,16,17,19",PhC-C2DH-U373,2,320094,094-095,94,0.9999999999998832,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00095,ctc_Fluo-N2DL-HeLa_02_f015_s807_to_f016_t807,"simulated_strict_release,raw_topK_reference",False,True,True,8,"100,300","1,3,8,16",Fluo-N2DL-HeLa,2,220015,015-016,95,0.999999999999882,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00096,ctc_PhC-C2DH-U373_02_f095_s18_to_f096_t18,"simulated_strict_release,raw_topK_reference",False,True,True,12,"100,300","4,8,9,13,14,17",PhC-C2DH-U373,2,320095,095-096,96,0.999999999999876,same_cell_link,yes,high,1.0,1.0
