blinded_item_id,source_audit_id,domain,dataset,task,candidate_unit,source_arm,asset_ref,context_ref,audit_question,support_semantics,score_recorded_in_key_only,candidate_rank_recorded_in_key_only,packet_freeze_status,external_label_status,asset_locator_status,claim_role,source_template
EXTAUD-00022,iwild-raw-000063,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,raw_topK_iwildcam_matched_count,iwildcam_l449_img4012_d001_animal,location=449 video=44900 frame=11,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.9394014477729796,63,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_iwildcam_matched_count
EXTAUD-00023,iwild-raw-000040,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,raw_topK_iwildcam_matched_count,iwildcam_l57_img3251_d001_animal,location=57 video=5701 frame=50,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.9412175416946412,40,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_iwildcam_matched_count
EXTAUD-00024,SPRAW-000011,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,raw_topK_spacenet_matched_count,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::3450->3450::9e6763d05de1ada6->9e6763d05de1ada6,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,visual_same_building_temporal_link_support,0.9997469183720288,,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_spacenet_matched_count
EXTAUD-00025,iwild-raw-000126,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,raw_topK_iwildcam_matched_count,iwildcam_l119_img5754_d001_animal,location=119 video=11903 frame=153,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.9357648491859436,126,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_iwildcam_matched_count
EXTAUD-00026,SPREL-000014,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,PARC_release_spacenet_prospective_packet,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::2570->2570::fc2065c8bad21876->fc2065c8bad21876,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,visual_same_building_temporal_link_support,0.9997470345993044,,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,PARC_release_spacenet_prospective_packet
EXTAUD-00027,iwild-raw-000028,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,raw_topK_iwildcam_matched_count,iwildcam_l176_img5562_d001_animal,location=176 video=17604 frame=161,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.9429720640182496,28,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_iwildcam_matched_count
EXTAUD-00028,SPREL-000022,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,PARC_release_spacenet_prospective_packet,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::2059->2059::6f6f63e6823da487->6f6f63e6823da487,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,visual_same_building_temporal_link_support,0.9997470233869824,,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,PARC_release_spacenet_prospective_packet
EXTAUD-00029,iwild-raw-000026,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,raw_topK_iwildcam_matched_count,iwildcam_l526_img4940_d001_animal,location=526 video=52603 frame=139,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.943178415298462,26,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_iwildcam_matched_count
EXTAUD-00030,SPRAW-000216,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,raw_topK_spacenet_matched_count,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::2137->2137::8f505b4f8240ba0b->8f505b4f8240ba0b,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,visual_same_building_temporal_link_support,0.9997463645111304,,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_spacenet_matched_count
EXTAUD-00031,SPREL-000050,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,PARC_release_spacenet_prospective_packet,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::5625->5625::23470edfc1e7d9ae->23470edfc1e7d9ae,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,visual_same_building_temporal_link_support,0.9997469657903226,,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,PARC_release_spacenet_prospective_packet
EXTAUD-00032,SPRAW-000179,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,raw_topK_spacenet_matched_count,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::2150->2150::f05759f3b94a718b->f05759f3b94a718b,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,visual_same_building_temporal_link_support,0.9997464446395692,,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_spacenet_matched_count
EXTAUD-00033,iwild-rel-000141,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,PARC_release_iwildcam_alpha0.20_K50,iwildcam_l392_img3111_d001_animal,location=392 video=39202 frame=110,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.9352765083312988,141,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,PARC_release_iwildcam_alpha0.20_K50
EXTAUD-00034,iwild-rel-000004,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,PARC_release_iwildcam_alpha0.20_K50,iwildcam_l512_img3627_d001_animal,location=512 video=51200 frame=26,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.9473800659179688,4,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,PARC_release_iwildcam_alpha0.20_K50
EXTAUD-00035,iwild-rel-000007,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,PARC_release_iwildcam_alpha0.20_K50,iwildcam_l449_img4025_d001_animal,location=449 video=44900 frame=24,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.9462645649909972,7,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,PARC_release_iwildcam_alpha0.20_K50
EXTAUD-00036,iwild-rel-000053,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,PARC_release_iwildcam_alpha0.20_K50,iwildcam_l57_img3222_d001_animal,location=57 video=5700 frame=21,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.9402663707733154,53,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,PARC_release_iwildcam_alpha0.20_K50
EXTAUD-00037,SPREL-000037,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,PARC_release_spacenet_prospective_packet,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::582->582::14e5fd5a10e485b0->14e5fd5a10e485b0,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,visual_same_building_temporal_link_support,0.9997469953409576,,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,PARC_release_spacenet_prospective_packet
EXTAUD-00038,iwild-raw-000221,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,raw_topK_iwildcam_matched_count,iwildcam_l57_img3307_d001_animal,location=57 video=5702 frame=106,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.9316532015800476,221,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_iwildcam_matched_count
EXTAUD-00039,iwild-rel-000075,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,PARC_release_iwildcam_alpha0.20_K50,iwildcam_l218_img2370_d001_animal,location=218 video=21804 frame=169,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.9387057423591614,75,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,PARC_release_iwildcam_alpha0.20_K50
EXTAUD-00040,iwild-raw-000169,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,raw_topK_iwildcam_matched_count,iwildcam_l526_img4809_d001_animal,location=526 video=52600 frame=8,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.9340291023254396,169,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_iwildcam_matched_count
EXTAUD-00041,iwild-rel-000107,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,PARC_release_iwildcam_alpha0.20_K50,iwildcam_l212_img198_d001_animal,location=212 video=21204 frame=197,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.936654269695282,107,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,PARC_release_iwildcam_alpha0.20_K50
EXTAUD-00042,SPRAW-000138,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,raw_topK_spacenet_matched_count,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::4670->4670::3bc70bd28b1ef4ee->3bc70bd28b1ef4ee,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,visual_same_building_temporal_link_support,0.9997465415750372,,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_spacenet_matched_count
EXTAUD-00043,iwild-raw-000079,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,raw_topK_iwildcam_matched_count,iwildcam_l218_img2375_d001_animal,location=218 video=21804 frame=174,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.9385533928871156,79,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_iwildcam_matched_count
EXTAUD-00044,iwild-raw-000017,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,raw_topK_iwildcam_matched_count,iwildcam_l449_img4052_d001_animal,location=449 video=44901 frame=51,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.9441157579421996,17,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_iwildcam_matched_count
EXTAUD-00045,SPRAW-000025,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,raw_topK_spacenet_matched_count,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::3404->3404::138075d142d76e94->138075d142d76e94,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,visual_same_building_temporal_link_support,0.9997468660048452,,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_spacenet_matched_count
EXTAUD-00046,SPRAW-000076,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,raw_topK_spacenet_matched_count,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::2815->2815::ee61cc872402673f->ee61cc872402673f,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,visual_same_building_temporal_link_support,0.9997466829358204,,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_spacenet_matched_count
EXTAUD-00047,SPRAW-000163,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,raw_topK_spacenet_matched_count,SN7::L15-0595E-1278N_2383_3079_13::2019-12->2020-01::1510->1510::6bfe1d2d42c5553b->6bfe1d2d42c5553b,aoi=L15-0595E-1278N_2383_3079_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,visual_same_building_temporal_link_support,0.999746483997424,,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_spacenet_matched_count
EXTAUD-00048,SPREL-000051,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,PARC_release_spacenet_prospective_packet,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::5703->5703::870e7541a9367e66->870e7541a9367e66,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,visual_same_building_temporal_link_support,0.9997469638793084,,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,PARC_release_spacenet_prospective_packet
EXTAUD-00049,SPREL-000056,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,PARC_release_spacenet_prospective_packet,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::4002->4002::0f6f1e89e7ca8a30->0f6f1e89e7ca8a30,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,visual_same_building_temporal_link_support,0.9997469429093946,,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,PARC_release_spacenet_prospective_packet
