blinded_item_id,domain,dataset,task,candidate_unit,auditor_A_label,auditor_B_label,adjudicated_label,adjudication_reason,conservative_false_release_flag,adjudicator_id,adjudication_timestamp
EXTAUD-00066,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00067,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00068,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00069,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00070,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00071,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00072,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00073,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00074,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00075,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00076,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00077,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00078,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00079,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00080,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00081,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00082,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00083,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00084,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00085,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00086,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00087,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00088,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00089,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00090,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00091,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00092,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00093,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00094,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00095,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00096,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00097,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00098,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00099,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00100,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00101,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00102,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00103,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00104,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00105,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00106,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00107,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00108,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00109,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00110,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00111,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00112,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00113,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00114,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00115,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00116,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00117,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00118,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00119,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00120,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00121,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00122,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00123,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00124,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00125,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00126,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00127,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00128,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00129,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00130,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00131,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00132,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00133,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00134,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00135,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00136,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00137,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00138,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00139,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00140,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00141,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00142,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00143,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00144,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00145,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00146,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00147,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00148,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00149,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00150,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00151,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00152,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00153,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00154,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00155,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00156,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00157,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00158,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00159,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00160,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00161,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00162,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00163,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00164,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00165,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00166,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00167,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00168,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00169,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00170,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00171,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00172,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00173,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00174,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00175,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00176,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00177,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00178,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00179,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00180,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00181,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00182,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00183,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00184,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00185,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00186,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00187,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00188,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00189,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00190,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00191,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00192,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00193,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00194,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00195,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00196,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00197,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00198,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00199,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00200,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00201,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00202,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00203,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00204,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00205,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00206,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00207,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00208,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00209,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00210,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00211,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00212,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00213,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00214,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00215,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00216,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00217,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00218,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00219,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00220,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00221,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00222,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00223,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00224,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00225,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00226,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00227,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00228,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00229,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00230,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00231,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00232,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00233,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00234,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00235,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00236,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00237,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00238,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00239,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00240,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00241,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00242,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00243,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00244,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00245,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00246,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00247,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00248,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00249,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00250,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00251,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00252,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00253,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00254,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00255,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00256,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00257,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00258,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00259,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00260,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00261,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00262,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00263,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00264,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00265,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00266,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00267,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
