chemical_system,entry_id,formula,energy,energy_per_atom,thermo_type,database_version
Ac-As-Pd,mp-1105134-GGA,AsPd3,-86.63060959,-5.414413099375,GGA_GGA+U,2025.09.25
Ac-As-Pd,mp-1183069-GGA,Ac,-12.22825102,-4.076083673333334,GGA_GGA+U,2025.09.25
Ac-As-Pd,mp-10-GGA,As,-4.5467212,-4.5467212,GGA_GGA+U,2025.09.25
Ac-As-Pd,mp-1096826-GGA,As,-4.10052398,-4.10052398,GGA_GGA+U,2025.09.25
Ac-As-Pd,mp-862690-GGA,Ac,-16.48470003,-4.1211750075,GGA_GGA+U,2025.09.25
Ac-As-Pd,mp-1183057-GGA,Ac,-12.31676763,-4.10558921,GGA_GGA+U,2025.09.25
Ac-As-Pd,mp-8073-GGA,AsPd2,-64.55351816,-5.379459846666666,GGA_GGA+U,2025.09.25
Ac-As-Pd,mp-158-GGA,As,-18.544446,-4.6361115,GGA_GGA+U,2025.09.25
Ac-As-Pt,mp-11-GGA,As,-9.31823681,-4.659118405,GGA_GGA+U,2025.09.25
Ac-As-Pt,mp-1183186-GGA,AsPt3,-22.64703196,-5.66175799,GGA_GGA+U,2025.09.25
Ac-As-Pt,mp-1183069-GGA,Ac,-12.22825102,-4.076083673333334,GGA_GGA+U,2025.09.25
Ac-As-Pt,mp-10018-GGA,Ac,-4.10076552,-4.10076552,GGA_GGA+U,2025.09.25
Ac-As-Pt,mp-1238842-GGA,As,-12.74168177,-4.247227256666666,GGA_GGA+U,2025.09.25
Ac-As-Pt,mp-10-GGA,As,-4.5467212,-4.5467212,GGA_GGA+U,2025.09.25
Ac-As-Pt,mp-1096826-GGA,As,-4.10052398,-4.10052398,GGA_GGA+U,2025.09.25
Ac-As-Pt,mp-2646979-GGA,Pt,-5.9640945,-5.9640945,GGA_GGA+U,2025.09.25
Ac-As-Pt,mp-126-GGA,Pt,-6.07113332,-6.07113332,GGA_GGA+U,2025.09.25
Ac-As-Pt,mp-1182332-GGA,As,-7.13733721,-3.568668605,GGA_GGA+U,2025.09.25
Ac-As-Pt,mp-862690-GGA,Ac,-16.48470003,-4.1211750075,GGA_GGA+U,2025.09.25
Ac-As-Pt,mp-1183057-GGA,Ac,-12.31676763,-4.10558921,GGA_GGA+U,2025.09.25
Ac-As-Pt,mp-2647022-GGA,Pt,-12.00407921,-6.002039605,GGA_GGA+U,2025.09.25
Ac-As-Pt,mp-158-GGA,As,-18.544446,-4.6361115,GGA_GGA+U,2025.09.25
Ac-As-Pt,mp-2513-GGA,As2Pt,-67.76840999,-5.647367499166666,GGA_GGA+U,2025.09.25
Ac-As-Pt,mp-1183320-GGA,AsPt3,-45.36184405,-5.67023050625,GGA_GGA+U,2025.09.25
Ac-Au-Pt,mp-1219709-GGA,PtAu,-9.26323292,-4.63161646,GGA_GGA+U,2025.09.25
Ac-Au-Pt,mp-1183064-GGA,Ac3Au,-16.02914147,-4.0072853675,GGA_GGA+U,2025.09.25
Ac-Au-Pt,mp-2647022-GGA,Pt,-12.00407921,-6.002039605,GGA_GGA+U,2025.09.25
Ac-Au-Pt,mp-2647062-GGA,Au,-3.2519973,-3.2519973,GGA_GGA+U,2025.09.25
Ac-Au-Pt,mp-1008634-GGA,Au,-6.5371618,-3.2685809,GGA_GGA+U,2025.09.25
Ac-Au-Pt,mp-126-GGA,Pt,-6.07113332,-6.07113332,GGA_GGA+U,2025.09.25
Ac-Au-Pt,mp-2646979-GGA,Pt,-5.9640945,-5.9640945,GGA_GGA+U,2025.09.25
Ac-Au-Pt,mp-867838-GGA,AcAu3,-33.39687901,-4.17460987625,GGA_GGA+U,2025.09.25
Ac-Au-Pt,mp-1238808-GGA,Au,-6.311001,-3.1555005,GGA_GGA+U,2025.09.25
Ac-Au-Pt,mp-81-GGA,Au,-3.273882,-3.273882,GGA_GGA+U,2025.09.25
Ac-Au-Pt,mp-862690-GGA,Ac,-16.48470003,-4.1211750075,GGA_GGA+U,2025.09.25
Ac-Au-Pt,mp-1186779-GGA,PtAu,-9.21183877,-4.605919385,GGA_GGA+U,2025.09.25
Ac-Au-Pt,mp-1183057-GGA,Ac,-12.31676763,-4.10558921,GGA_GGA+U,2025.09.25
Ac-Au-Pt,mp-1183069-GGA,Ac,-12.22825102,-4.076083673333334,GGA_GGA+U,2025.09.25
Ac-Au-Pt,mp-10018-GGA,Ac,-4.10076552,-4.10076552,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-567540-GGA,Ga,-60.32827181,-3.0164135905,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-142-GGA,Ga,-12.11238409,-3.0280960225,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-1025551-GGA,GaPt,-41.43682095,-5.17960261875,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-2647022-GGA,Pt,-12.00407921,-6.002039605,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-1007857-GGA,Ga,-12.05081059,-3.0127026475,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-1184218-GGA,Ga3Pt,-15.81538448,-3.95384612,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-21400-GGA,Ga3Pt2,-24.21079909,-4.842159818,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-30663-GGA,Ga3Pt5,-43.87828467,-5.48478558375,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-1067880-GGA,Ga,-12.09309103,-3.0232727575,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-1183069-GGA,Ac,-12.22825102,-4.076083673333334,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-1188512-GGA,Ga7Pt3,-89.58206274,-4.479103137,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-623066-GGA,GaPt3,-91.99614564,-5.7497591025,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-569423-GGA,Ga,-18.10051829,-3.0167530483333334,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-1183057-GGA,Ac,-12.31676763,-4.10558921,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-1184308-GGA,Ga3Pt,-31.50115073,-3.93764384125,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-2223-GGA,GaPt2,-134.15601192,-5.58983383,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-1078666-GGA,GaPt3,-45.92351348,-5.740439185,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-11407-GGA,GaPt3,-22.96514435,-5.7412860875,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-140-GGA,Ga,-3.00392285,-3.00392285,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-22095-GGA,Ga2Pt,-13.87047368,-4.623491226666666,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-569007-GGA,Ga,-65.86870808,-2.9940321854545457,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-1199016-GGA,Ga5Pt,-184.3668409,-3.8409758520833335,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-1184210-GGA,Ga3Pt,-15.76637633,-3.9415940825,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-862621-GGA,GaPt3,-46.03629151,-5.75453643875,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-867815-GGA,AcGa3,-30.66552448,-3.83319056,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-1181673-GGA,GaPt3,-90.02025835,-5.626266146875,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-126-GGA,Pt,-6.07113332,-6.07113332,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-2646979-GGA,Pt,-5.9640945,-5.9640945,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-10021-GGA,Ga,-6.02564345,-3.012821725,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-862690-GGA,Ac,-16.48470003,-4.1211750075,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-571406-GGA,Ga2Pt,-221.48667135,-4.614305653125,GGA_GGA+U,2025.09.25
Ac-Ga-Pt,mp-10018-GGA,Ac,-4.10076552,-4.10076552,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-567540-GGA,Ga,-60.32827181,-3.0164135905,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-142-GGA,Ga,-12.11238409,-3.0280960225,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-1340-GGA,Ga2Se3,-41.76932305,-4.176932305,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-1007857-GGA,Ga,-12.05081059,-3.0127026475,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-11342-GGA,GaSe,-16.35759628,-4.08939907,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-680721-GGA,GaSe2,-276.11998267,-3.834999759305556,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-542605-GGA,Se,-111.68586991,-3.4901834346875,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-1067880-GGA,Ga,-12.09309103,-3.0232727575,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-12771-GGA,Se,-5.96358155,-2.981790775,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-7755-GGA,Se,-3.31467609,-3.31467609,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-569423-GGA,Ga,-18.10051829,-3.0167530483333334,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-1183057-GGA,Ac,-12.31676763,-4.10558921,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-568128-GGA,GaSe,-29.519294700000003,-3.6899118375,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-119-GGA,Se,-2.90028467,-2.90028467,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-1224809-GGA,Ga2Se3,-20.83150652,-4.166301304,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-1943-GGA,GaSe,-32.71215383,-4.08901922875,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-867800-GGA,AcSe3,-40.36878411,-5.04609801375,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-140-GGA,Ga,-3.00392285,-3.00392285,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-568263-GGA,GaSe,-65.42613614,-4.08913350875,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-1009757-GGA,Se,-6.63130265,-3.315651325,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-1572-GGA,GaSe,-32.71344076,-4.089180095,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-570481-GGA,Se,-223.73833457,-3.49591147765625,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-1183234-GGA,AcSe3,-20.21366468,-5.05341617,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-672302-GGA,Ga2Se3,-37.43085952,-3.743085952,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-569007-GGA,Ga,-65.86870808,-2.9940321854545457,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-147-GGA,Se,-20.80085513,-3.466809188333333,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-542461-GGA,Se,-111.66501356,-3.48953167375,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-867815-GGA,AcGa3,-30.66552448,-3.83319056,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-1247808-GGA,Se,-13.3590354,-3.33975885,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-14-GGA,Se,-10.46643352,-3.4888111733333336,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-1184214-GGA,Ga3Se,-13.25281504,-3.31320376,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-10021-GGA,Ga,-6.02564345,-3.012821725,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-862690-GGA,Ac,-16.48470003,-4.1211750075,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-1183069-GGA,Ac,-12.22825102,-4.076083673333334,GGA_GGA+U,2025.09.25
Ac-Ga-Se,mp-10018-GGA,Ac,-4.10076552,-4.10076552,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-2647022-GGA,Pt,-12.00407921,-6.002039605,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-1223977-GGA,In5Pt11,-86.68300278,-5.41768767375,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-1184857-GGA,In3Pt,-14.40145547,-3.6003638675,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-1184511-GGA,In,-10.80579563,-2.7014489075,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-973111-GGA,In,-5.4079664,-2.7039832,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-22075-GGA,In7Pt3,-83.56112396,-4.178056198,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-510438-GGA,InPt,-48.64805627,-4.864805627,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-1223728-GGA,In2Pt,-12.1144828,-4.038160933333333,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-1184825-GGA,In3Pt,-14.426181,-3.60654525,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-20516-GGA,InPt3,-22.38181248,-5.59545312,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-1184693-GGA,In,-78.25285427,-2.698374285172414,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-571060-GGA,In9Pt13,-113.03949391,-5.138158814090909,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-22682-GGA,In2Pt,-12.9749298,-4.3249766,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-1223755-GGA,InPt2,-128.5150037,-5.354791820833333,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-1069815-GGA,In3Pt2,-22.71657428,-4.543314856,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-1055994-GGA,In,-2.72188849,-2.72188849,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-1224042-GGA,In3Pt5,-40.87091161,-5.10886395125,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-85-GGA,In,-2.71487315,-2.71487315,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-1223656-GGA,InPt,-9.31410798,-4.65705399,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-510439-GGA,In2Pt3,-104.354344,-5.2177172,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-1183057-GGA,Ac,-12.31676763,-4.10558921,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-1184478-GGA,In,-2.71684631,-2.71684631,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-1184502-GGA,In,-8.25505119,-2.75168373,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-985305-GGA,Ac3In,-31.51158554,-3.9389481925,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-126-GGA,Pt,-6.07113332,-6.07113332,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-2646979-GGA,Pt,-5.9640945,-5.9640945,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-867297-GGA,AcIn3,-28.01234011,-3.50154251375,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-1224298-GGA,In3Pt4,-106.78006911,-5.084765195714286,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-862690-GGA,Ac,-16.48470003,-4.1211750075,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-1183069-GGA,Ac,-12.22825102,-4.076083673333334,GGA_GGA+U,2025.09.25
Ac-In-Pt,mp-10018-GGA,Ac,-4.10076552,-4.10076552,GGA_GGA+U,2025.09.25
Ac-Ir-Pt,mp-2647047-GGA,Ir,-8.24945127,-8.24945127,GGA_GGA+U,2025.09.25
Ac-Ir-Pt,mp-2647032-GGA,Ir,-17.55103452,-8.77551726,GGA_GGA+U,2025.09.25
Ac-Ir-Pt,mp-1184759-GGA,IrPt3,-26.72528498,-6.681321245,GGA_GGA+U,2025.09.25
Ac-Ir-Pt,mp-2647022-GGA,Pt,-12.00407921,-6.002039605,GGA_GGA+U,2025.09.25
Ac-Ir-Pt,mp-126-GGA,Pt,-6.07113332,-6.07113332,GGA_GGA+U,2025.09.25
Ac-Ir-Pt,mp-1060567-GGA,Ir,-10.11504374,-5.05752187,GGA_GGA+U,2025.09.25
Ac-Ir-Pt,mp-101-GGA,Ir,-8.83843418,-8.83843418,GGA_GGA+U,2025.09.25
Ac-Ir-Pt,mp-2646979-GGA,Pt,-5.9640945,-5.9640945,GGA_GGA+U,2025.09.25
Ac-Ir-Pt,mp-862690-GGA,Ac,-16.48470003,-4.1211750075,GGA_GGA+U,2025.09.25
Ac-Ir-Pt,mp-1183057-GGA,Ac,-12.31676763,-4.10558921,GGA_GGA+U,2025.09.25
Ac-Ir-Pt,mp-1183069-GGA,Ac,-12.22825102,-4.076083673333334,GGA_GGA+U,2025.09.25
Ac-Ir-Pt,mp-10018-GGA,Ac,-4.10076552,-4.10076552,GGA_GGA+U,2025.09.25
Ac-Ir-Pt,mp-1223665-GGA,IrPt,-14.74669793,-7.373348965,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-1185033-GGA,KAc3,-12.10414923,-3.0260373075,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-1184764-GGA,K,-3.26356712,-1.0878557066666663,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-1068966-GGA,K,-4.65632006,-0.931264012,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-2647022-GGA,Pt,-12.00407921,-6.002039605,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-1180991-GGA,K,-4.98716699,-0.997433398,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-573691-GGA,K,-8.62728555,-1.07841069375,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-1184755-GGA,K,-2.19756261,-1.098781305,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-1184808-GGA,K,-8.61405937,-1.07675742125,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-1080043-GGA,K,-8.37422738,-1.0467784225,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-1185053-GGA,KPt3,-35.16639727,-4.39579965875,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-998881-GGA,K,-0.99023383,-0.99023383,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-58-GGA,K,-1.1008385,-1.1008385,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-604325-GGA,K,-2.07371566,-1.03685783,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-604318-GGA,K,-4.39472201,-1.0986805025,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-1062676-GGA,K2Pt,-8.26389712,-2.754632373333333,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-1185153-GGA,KPt,-6.63452381,-3.317261905,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-1183057-GGA,Ac,-12.31676763,-4.10558921,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-1184792-GGA,K3Ac,-11.42144375,-1.42768046875,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-1199937-GGA,K,-85.90866139,-1.0606007579012346,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-1078640-GGA,K,-7.55238953,-0.94404869125,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-10157-GGA,K,-1.09807417,-1.09807417,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-1056027-GGA,K,-0.61416936,-0.61416936,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-972981-GGA,K,-2.20404441,-1.102022205,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-1180961-GGA,K,-2.07759152,-1.03879576,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-1185032-GGA,KAc3,-12.13711028,-3.03427757,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-126-GGA,Pt,-6.07113332,-6.07113332,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-2646979-GGA,Pt,-5.9640945,-5.9640945,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-1184804-GGA,K,-8.74609609,-1.09326201125,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-862690-GGA,Ac,-16.48470003,-4.1211750075,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-1184905-GGA,K,-22.20797894,-1.110398947,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-1183069-GGA,Ac,-12.22825102,-4.076083673333334,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-10018-GGA,Ac,-4.10076552,-4.10076552,GGA_GGA+U,2025.09.25
Ac-K-Pt,mp-1185201-GGA,K,-31.12487004,-1.0732713806896552,GGA_GGA+U,2025.09.25
Ac-K-Se,mp-1185033-GGA,KAc3,-12.10414923,-3.0260373075,GGA_GGA+U,2025.09.25
Ac-K-Se,mp-1184764-GGA,K,-3.26356712,-1.0878557066666663,GGA_GGA+U,2025.09.25
Ac-K-Se,mp-1068966-GGA,K,-4.65632006,-0.931264012,GGA_GGA+U,2025.09.25
Ac-K-Se,mp-1180991-GGA,K,-4.98716699,-0.997433398,GGA_GGA+U,2025.09.25
Ac-K-Se,mp-573691-GGA,K,-8.62728555,-1.07841069375,GGA_GGA+U,2025.09.25
Ac-K-Se,mp-685089-GGA,K57Se34,-289.33466777,-3.179501843626374,GGA_GGA+U,2025.09.25
Ac-K-Se,mp-1184755-GGA,K,-2.19756261,-1.098781305,GGA_GGA+U,2025.09.25
Ac-K-Se,mp-734654-GGA,KSe,-106.29833894,-3.321823091875,GGA_GGA+U,2025.09.25
Ac-K-Se,mp-7670-GGA,K2Se3,-36.23985547,-3.623985547,GGA_GGA+U,2025.09.25
Ac-K-Se,mp-1184808-GGA,K,-8.61405937,-1.07675742125,GGA_GGA+U,2025.09.25
Ac-K-Se,mp-1080043-GGA,K,-8.37422738,-1.0467784225,GGA_GGA+U,2025.09.25
Ac-K-Se,mp-542605-GGA,Se,-111.68586991,-3.4901834346875,GGA_GGA+U,2025.09.25
Ac-K-Se,mp-998881-GGA,K,-0.99023383,-0.99023383,GGA_GGA+U,2025.09.25
Ac-K-Se,mp-12771-GGA,Se,-5.96358155,-2.981790775,GGA_GGA+U,2025.09.25
Ac-K-Se,mp-58-GGA,K,-1.1008385,-1.1008385,GGA_GGA+U,2025.09.25
Ac-K-Se,mp-604325-GGA,K,-2.07371566,-1.03685783,GGA_GGA+U,2025.09.25
Ac-K-Se,mp-604318-GGA,K,-4.39472201,-1.0986805025,GGA_GGA+U,2025.09.25
