chemical_system,drift_class,n
Br-Mg,unstable_to_stable,4
Br-Mg-Rb,unstable_to_stable,1
Br-Mg-Se,stable_to_stable,1
Br-Mn,stable_to_stable,5
Br-Mn,unstable_to_stable,1
Br-Mn-Rb,stable_to_stable,1
Br-Mn-Se,stable_to_stable,1
Br-Mo,stable_to_stable,2
Br-Nd,stable_to_stable,1
Br-Nd,unstable_to_stable,1
Br-Ni,stable_to_stable,4
Br-Np,stable_to_stable,1
Br-Pb,stable_to_stable,2
Br-Pb,unstable_to_stable,1
Br-Pd,stable_to_stable,3
Br-Pr,stable_to_stable,2
Br-Pt,stable_to_unstable,1
Br-Pu,stable_to_stable,3
Br-Pu-Rb,stable_to_stable,2
Br-Rb,unstable_to_stable,1
Br-Rb-S,stable_to_stable,1
Br-Rb-Tm,stable_to_stable,2
Br-Rh,stable_to_stable,1
Br-Sb,stable_to_stable,2
Br-Sc,stable_to_stable,2
Br-Sc,unstable_to_stable,1
Br-Sm,stable_to_stable,1
Br-Sm,unstable_to_stable,2
Br-Sr,stable_to_unstable,7
Br-Sr,unstable_to_unstable,2
Br-Tb,stable_to_stable,3
Br-Ti,unstable_to_stable,1
Br-Tm,stable_to_stable,2
Br-Tm,unstable_to_stable,1
Br-V,stable_to_stable,2
Br-Y,stable_to_stable,1
Br-Y,unstable_to_stable,2
Br-Yb,stable_to_unresolved,7
Br-Yb,unstable_to_unresolved,2
Br-Zr,stable_to_stable,1
C-Cl-N-Np,unstable_to_unstable,1
C-Gd-I,stable_to_stable,1
C-Gd-I-N,stable_to_stable,1
C-N-Pr,stable_to_stable,1
Ca-Cd-F,unstable_to_unstable,1
Ca-Cd-F-Li,unstable_to_unstable,1
Ca-Cl,stable_to_unstable,4
Ca-Cl,unstable_to_unstable,2
Ca-Cl-K,unstable_to_stable,1
Ca-Cl-Sr,unstable_to_stable,1
Ca-Cs-F,unstable_to_unstable,1
Ca-Dy-F-Li,stable_to_unstable,1
Ca-Dy-F-Na,stable_to_unstable,1
Ca-Er-F-Li,stable_to_unstable,1
Ca-Er-F-Na,stable_to_unstable,1
Ca-Eu-F,unstable_to_unstable,1
Ca-Eu-F-Li,stable_to_unstable,1
Ca-F,unstable_to_unstable,2
Ca-F-Ga,unstable_to_unstable,1
Ca-F-Gd,stable_to_unstable,1
Ca-F-Gd,unstable_to_unstable,1
Ca-F-Gd-Li,stable_to_unstable,1
Ca-F-Gd-Na,stable_to_unstable,1
Ca-F-Hg,stable_to_unstable,2
Ca-F-Hg,unstable_to_unstable,1
Ca-F-Ho-Li,stable_to_unstable,1
Ca-F-Ho-Na,stable_to_unstable,1
Ca-F-In,unstable_to_unstable,1
Ca-F-In-Li,unstable_to_unstable,1
Ca-F-K,unstable_to_unstable,2
Ca-F-La-Na,stable_to_unstable,1
Ca-F-Li,unstable_to_unstable,3
Ca-F-Li-Mg,unstable_to_unstable,1
Ca-F-Li-Ni,unstable_to_unstable,1
Ca-F-Li-Pa,stable_to_unstable,1
Ca-F-Li-Pr,unstable_to_unstable,1
Ca-F-Li-Sc,unstable_to_unstable,1
Ca-F-Li-Sm,unstable_to_unstable,1
Ca-F-Li-Sr,unstable_to_unstable,1
Ca-F-Li-Tb,stable_to_unstable,1
Ca-F-Li-Tm,stable_to_unstable,1
Ca-F-Li-Y,unstable_to_unstable,1
Ca-F-Li-Zn,unstable_to_unstable,1
Ca-F-Lu-Na,stable_to_unstable,1
Ca-F-Mg,unstable_to_unstable,1
Ca-F-Na,stable_to_unstable,2
Ca-F-Na-Nd,unstable_to_unstable,1
Ca-F-Na-Pa,stable_to_unstable,1
Ca-F-Na-Sc,unstable_to_unstable,1
Ca-F-Na-Sr,stable_to_unstable,1
Ca-F-Na-Tm,stable_to_unstable,1
Ca-F-Na-Y,stable_to_unstable,1
Ca-F-Ni,unstable_to_unstable,1
Ca-F-Pa,stable_to_unstable,1
Ca-F-Sc,unstable_to_unstable,1
Ca-F-Sr,unstable_to_unstable,1
Ca-F-Tm,stable_to_unstable,1
Ca-F-Y,unstable_to_unstable,1
Ca-F-Yb,unstable_to_unresolved,2
Ca-F-Zn,unstable_to_unstable,1
Ca-Gd-I,stable_to_stable,1
Ca-I,stable_to_stable,1
Cd-Cl-Cs,unstable_to_unstable,1
Cd-Cl-Rb,stable_to_stable,1
Cd-Co-F,unstable_to_unstable,1
Cd-Cs-F,stable_to_unstable,1
Cd-Cs-Pa-Se,stable_to_stable,1
Cd-Cu-F,stable_to_unstable,1
Cd-Dy-F,unstable_to_unstable,1
Cd-Er-F,unstable_to_unstable,1
Cd-Eu-F,stable_to_unstable,1
Cd-Eu-F,unstable_to_unstable,1
Cd-F,unstable_to_unstable,2
Cd-F-Ga,unstable_to_unstable,1
Cd-F-Gd,stable_to_unstable,2
Cd-F-Hg,stable_to_unstable,1
Cd-F-Ho,unstable_to_unstable,1
Cd-F-In,unstable_to_unstable,1
Cd-F-La,unstable_to_unstable,1
Cd-F-Mg,unstable_to_unstable,1
Cd-F-Nd,unstable_to_unstable,1
Cd-F-Ni,stable_to_unstable,1
Cd-F-Pa,stable_to_unstable,1
Cd-F-Pb,unstable_to_unstable,1
Cd-F-Sc,unstable_to_unstable,2
Cd-F-Sm,unstable_to_unstable,1
Cd-F-Sr,unstable_to_unstable,1
Cd-F-Tl,unstable_to_unstable,1
Cd-F-Tm,stable_to_unstable,1
Cd-F-Y,unstable_to_unstable,1
Cd-F-Zn,unstable_to_unstable,1
Ce-Cl,stable_to_stable,3
Ce-Cl,unstable_to_stable,2
Ce-Cl-Rb,stable_to_stable,2
Ce-Cl-Se,stable_to_unstable,1
Ce-F,unstable_to_unstable,1
Ce-F-I,unstable_to_unstable,1
Ce-F-K,unstable_to_unstable,1
Ce-F-Pa,stable_to_unstable,1
Ce-I,stable_to_stable,2
Ce-Se,stable_to_unstable,1
Cl-Co,stable_to_stable,3
Cl-Co-Cs,stable_to_stable,1
Cl-Co-K,stable_to_unstable,1
Cl-Co-Li,stable_to_stable,1
Cl-Co-Pd,stable_to_unstable,1
Cl-Co-Rb,stable_to_stable,1
Cl-Cr,stable_to_stable,1
Cl-Cr-K,stable_to_stable,1
Cl-Cr-Rb,stable_to_stable,1
Cl-Cs,stable_to_stable,2
Cl-Cs-Cu,stable_to_unstable,2
Cl-Cs-Dy,unstable_to_unstable,3
Cl-Cs-Er,unstable_to_stable,2
Cl-Cs-Er,unstable_to_unstable,1
Cl-Cs-Ga,unstable_to_stable,1
Cl-Cs-Gd,unstable_to_stable,1
Cl-Cs-Ho,unstable_to_unstable,2
Cl-Cs-I,stable_to_unstable,2
Cl-Cs-K-Mg,unstable_to_stable,1
Cl-Cs-La,unstable_to_stable,2
Cl-Cs-Lu,stable_to_unstable,1
Cl-Cs-Mg,stable_to_stable,1
Cl-Cs-Mg-Rb,unstable_to_unstable,1
Cl-Cs-Nd,unstable_to_unstable,1
Cl-Cs-Ni,stable_to_stable,1
Cl-Cs-Pr,unstable_to_unstable,2
Cl-Cs-Rb,unstable_to_stable,1
Cl-Cs-Rh,stable_to_stable,1
Cl-Cs-Ru,stable_to_unstable,1
Cl-Cs-Sc,unstable_to_stable,2
Cl-Cs-Sm,unstable_to_stable,2
Cl-Cs-Sr,unstable_to_stable,1
Cl-Cs-Tb,unstable_to_stable,2
Cl-Cs-Tm,unstable_to_unstable,2
Cl-Cs-Y,unstable_to_stable,2
Cl-Cs-Y,unstable_to_unstable,1
Cl-Cs-Zn,stable_to_stable,1
Cl-Cs-Zn,unstable_to_stable,2
Cl-Cu,stable_to_unstable,2
Cl-Cu-K,stable_to_unstable,1
Cl-Cu-Li,stable_to_unstable,1
Cl-Cu-Rb,stable_to_unstable,2
Cl-Dy,stable_to_unstable,1
Cl-Dy,unstable_to_unstable,2
Cl-Dy-K,unstable_to_unstable,1
Cl-Dy-Rb,unstable_to_unstable,1
Cl-Er,stable_to_stable,1
Cl-Er,unstable_to_stable,3
Cl-Er-K,unstable_to_stable,3
Cl-Eu,stable_to_stable,1
Cl-Eu,unstable_to_stable,2
Cl-Eu-K,unstable_to_stable,1
Cl-Gd,unstable_to_stable,2
Cl-Gd-K,unstable_to_stable,1
Cl-Gd-Rb,unstable_to_stable,2
Cl-Hg,unstable_to_stable,1
Cl-Ho,stable_to_unstable,1
Cl-Ho,unstable_to_unstable,3
Cl-Ho-K,unstable_to_stable,1
Cl-Ho-K,unstable_to_unstable,1
Cl-In,stable_to_unstable,4
Cl-In-K,unstable_to_unstable,2
Cl-In-Rb,stable_to_unstable,2
Cl-Ir,stable_to_unstable,1
Cl-Ir-K,stable_to_stable,1
Cl-Ir-Rb,stable_to_stable,1
Cl-K-Lu,stable_to_stable,1
Cl-K-Lu,unstable_to_stable,1
Cl-K-Ni,stable_to_stable,1
Cl-K-Pr,unstable_to_stable,1
Cl-K-Rh,stable_to_stable,1
Cl-K-Sc,unstable_to_stable,2
Cl-K-Sm,unstable_to_stable,1
Cl-K-Tb,unstable_to_stable,1
Cl-K-Tb,unstable_to_unstable,1
Cl-K-Tm,unstable_to_unstable,1
Cl-K-Y,unstable_to_stable,2
Cl-K-Zn,unstable_to_unstable,1
Cl-La,unstable_to_stable,3
Cl-Li-Ni,stable_to_stable,1
Cl-Li-Pd,stable_to_unstable,1
Cl-Lu,stable_to_stable,1
Cl-Lu,unstable_to_stable,2
Cl-Lu-Rb,unstable_to_stable,2
Cl-Mg,stable_to_stable,1
Cl-Mg,unstable_to_stable,2
Cl-Mg-Rb,stable_to_unstable,1
Cl-Mg-Rb,unstable_to_unstable,1
Cl-Mn,stable_to_stable,6
Cl-N-Pa,stable_to_unstable,1
Cl-Nd,unstable_to_unstable,3
Cl-Ni,stable_to_stable,3
Cl-Ni-Rb,stable_to_stable,2
Cl-Np,unstable_to_stable,1
Cl-Np-P,unstable_to_stable,1
Cl-Np-Si,unstable_to_stable,1
Cl-Np-Te,unstable_to_unstable,1
Cl-P,stable_to_stable,1
Cl-P-Yb,stable_to_unresolved,1
Cl-Pb,unstable_to_unstable,1
Cl-Pd,stable_to_unstable,3
Cl-Pr,stable_to_stable,1
Cl-Pr,unstable_to_stable,2
Cl-Pr-Rb,unstable_to_unstable,1
Cl-Pt,stable_to_unstable,1
Cl-Pu,stable_to_stable,1
Cl-Rb,stable_to_stable,2
Cl-Rb-Rh,stable_to_stable,1
Cl-Rb-Ru,stable_to_unstable,1
Cl-Rb-Sc,stable_to_stable,1
Cl-Rb-Sc,unstable_to_stable,1
Cl-Rb-Sm,unstable_to_stable,2
Cl-Rb-Y,unstable_to_unstable,1
Cl-Rb-Zn,stable_to_unstable,1
Cl-Rb-Zn,unstable_to_unstable,1
Cl-Rh,stable_to_stable,1
Cl-Ru,stable_to_unstable,1
Cl-Sb,stable_to_unstable,1
Cl-Sc,stable_to_stable,2
Cl-Sc,unstable_to_stable,2
Cl-Sm,stable_to_unstable,3
Cl-Sm,unstable_to_unstable,1
Cl-Sr,stable_to_stable,4
Cl-Sr,unstable_to_stable,3
Cl-Tb,stable_to_unstable,1
Cl-Tb,unstable_to_unstable,2
Cl-Ti,unstable_to_stable,1
Cl-Tm,unstable_to_unstable,2
Cl-U,unstable_to_stable,1
Cl-Y,stable_to_stable,1
Cl-Y,unstable_to_stable,2
Cl-Yb,stable_to_unresolved,3
Cl-Zn,unstable_to_stable,1
Co-Cs-F,stable_to_stable,1
Co-Cu-F,stable_to_stable,1
Co-F,stable_to_stable,1
Co-F-K,stable_to_stable,1
Co-F-Na,stable_to_stable,1
Co-F-Pa,stable_to_stable,1
Co-Pm-Te,stable_to_stable,1
Cr-F-Np,unstable_to_unstable,1
Cr-F-Pa,stable_to_stable,4
Cr-Pm-Te,stable_to_stable,1
Cs-Dy-F,stable_to_unstable,1
Cs-Eu-F,stable_to_unstable,1
Cs-F-Fe,stable_to_stable,1
Cs-F-Gd,stable_to_stable,2
Cs-F-Hg,stable_to_unstable,1
Cs-F-Ho,stable_to_unstable,1
Cs-F-Lu,unstable_to_unstable,1
Cs-F-Nd,stable_to_unstable,1
Cs-F-Ni,stable_to_unstable,1
Cs-F-Os,stable_to_unstable,1
Cs-F-Pb,stable_to_stable,1
Cs-F-Ta,stable_to_stable,1
Cs-F-Ti,stable_to_stable,2
Cs-F-Tm,stable_to_stable,4
Cs-F-Tm,unstable_to_stable,1
Cs-F-Y,stable_to_unstable,1
Cs-F-Y,unstable_to_unstable,1
Cs-F-Zr,unstable_to_unstable,1
Cs-Mn-Pa-Se,stable_to_stable,1
Cs-Np-Te-Zn,stable_to_unstable,1
Cs-Pa-Se,stable_to_stable,2
Cs-Pa-Se-Zn,stable_to_stable,1
Cs-Pa-Te,stable_to_unstable,1
Cs-Pm-Te,stable_to_unstable,1
Cu-Dy-F,stable_to_unstable,1
Cu-Er-F,stable_to_unstable,1
Cu-F,stable_to_stable,4
Cu-F-Hg,stable_to_unstable,1
Cu-F-Ho,stable_to_unstable,1
Cu-F-K,stable_to_stable,3
Cu-F-Lu,stable_to_unstable,1
Cu-F-Na,stable_to_unstable,2
Cu-F-Ni,stable_to_stable,1
Cu-F-Pa,stable_to_stable,1
Cu-F-Rb,stable_to_unstable,1
Cu-F-Sc,stable_to_unstable,1
Cu-F-Sr,stable_to_unstable,4
Cu-F-Tb,stable_to_unstable,1
Cu-F-Tm,stable_to_stable,1
Cu-F-Y,stable_to_unstable,1
Cu-F-Yb,stable_to_unresolved,2
Cu-Gd-I,stable_to_unstable,1
Cu-K-Pa-Se,stable_to_unstable,1
Cu-Pa-Se-Tl,stable_to_unstable,1
Cu-Pm-Te,stable_to_stable,1
Dy-F,unstable_to_unstable,1
Dy-F-K,unstable_to_unstable,2
Dy-F-Li,unstable_to_unstable,1
Dy-F-Li-Sr,stable_to_unstable,1
Dy-F-Mg,unstable_to_unstable,1
Dy-F-Na-Sr,stable_to_unstable,1
Dy-F-Pa,stable_to_unstable,1
Dy-F-Rb,unstable_to_unstable,2
Dy-F-Zn,unstable_to_unstable,1
Dy-I,stable_to_stable,1
Dy-La-O,unstable_to_unstable,1
Dy-Se,stable_to_stable,1
Er-F-Li,unstable_to_unstable,1
Er-F-Li-Sr,stable_to_unstable,1
Er-F-Mg,unstable_to_unstable,1
Er-F-Na-Sr,stable_to_unstable,1
Er-F-Pa,stable_to_unstable,1
Er-F-Rb,unstable_to_unstable,1
Er-F-Zn,unstable_to_unstable,2
Er-I,stable_to_stable,1
Er-La-O,unstable_to_unstable,1
Er-Se,stable_to_stable,1
Eu-F-K,stable_to_unstable,1
Eu-F-K,unstable_to_unstable,2
Eu-F-Li,stable_to_unstable,1
Eu-F-Mg,unstable_to_unstable,1
Eu-F-Na,stable_to_unstable,3
Eu-F-Na-Sr,stable_to_unstable,1
Eu-F-Rb,stable_to_unstable,1
Eu-F-Rb,unstable_to_unstable,1
Eu-F-Sr,unstable_to_unstable,1
Eu-F-Tm,stable_to_unstable,1
Eu-F-Yb,unstable_to_unresolved,1
Eu-F-Zn,stable_to_unstable,1
F-Fe-Pa,stable_to_stable,3
F-Ga-Mg,unstable_to_unstable,1
F-Ga-Np,unstable_to_unstable,1
F-Ga-Pa,stable_to_stable,2
F-Ga-Sr,unstable_to_unstable,1
F-Ga-Zn,unstable_to_stable,1
F-Gd,stable_to_stable,2
F-Gd-I,stable_to_unstable,1
F-Gd-Li,stable_to_stable,1
F-Gd-Li-Sr,stable_to_unstable,1
F-Gd-Mg,stable_to_unstable,1
F-Gd-Na,stable_to_stable,1
F-Gd-Na-Sr,stable_to_unstable,1
F-Gd-Ni,stable_to_stable,1
F-Gd-Rb,unstable_to_unstable,1
F-Gd-Sr,stable_to_unstable,1
F-Gd-Zn,stable_to_stable,1
F-Ge-Pa,stable_to_stable,1
F-Hf-K,unstable_to_unstable,2
F-Hf-Li,stable_to_unstable,1
F-Hf-Na,unstable_to_unstable,1
F-Hf-Rb,unstable_to_unstable,2
F-Hg-In,stable_to_unstable,1
F-Hg-In,unstable_to_unstable,1
F-Hg-Mg,stable_to_unstable,1
F-Hg-Mg,unstable_to_unstable,1
F-Hg-Ni,stable_to_unstable,1
F-Hg-Pa,stable_to_stable,1
F-Hg-Rb,stable_to_unstable,1
F-Hg-Sc,unstable_to_unstable,2
F-Hg-Sr,stable_to_unstable,3
F-Hg-Tm,stable_to_stable,1
F-Hg-Zn,stable_to_unstable,1
F-Ho-K,unstable_to_unstable,1
F-Ho-Li,unstable_to_unstable,1
F-Ho-Li-Sr,stable_to_unstable,1
F-Ho-Mg,unstable_to_unstable,1
F-Ho-Na-Sr,stable_to_unstable,1
F-Ho-Pa,stable_to_unstable,1
F-Ho-Rb,unstable_to_unstable,1
F-Ho-Zn,unstable_to_unstable,1
F-In,unstable_to_stable,1
F-In-K,unstable_to_stable,2
F-In-Mg,unstable_to_unstable,1
F-In-Na,unstable_to_stable,2
F-In-Ni,unstable_to_stable,1
F-In-Pa,stable_to_stable,1
F-In-Tm,stable_to_stable,1
F-Ir-Na,stable_to_unstable,1
F-K-La,unstable_to_unstable,3
F-K-Lu,unstable_to_unstable,1
F-K-Mn,stable_to_stable,1
F-K-Nd,unstable_to_unstable,1
F-K-Sc,unstable_to_unstable,2
F-K-Sm,unstable_to_unstable,1
F-K-Ti,unstable_to_stable,1
F-K-Tm,unstable_to_unstable,2
F-K-Y,unstable_to_unstable,1
F-K-Zr,unstable_to_unstable,2
F-La-Li,unstable_to_unstable,1
F-La-Mg,unstable_to_unstable,1
F-La-Na,stable_to_unstable,1
F-La-Na,unstable_to_unstable,2
F-La-Ni,unstable_to_unstable,1
F-La-Pa,stable_to_unstable,1
F-La-Sr,unstable_to_unstable,1
F-Li-Lu,unstable_to_unstable,1
F-Li-Mg,unstable_to_unstable,3
F-Li-Nd,unstable_to_unstable,1
F-Li-Nd-Sr,unstable_to_unstable,1
F-Li-Pa,stable_to_stable,2
F-Li-Pa-Sr,stable_to_unstable,1
F-Li-Pa-Yb,stable_to_unresolved,1
F-Li-Pr,unstable_to_unstable,1
F-Li-Pr-Sr,unstable_to_unstable,1
F-Li-Sc,unstable_to_unstable,1
F-Li-Sc-Sr,unstable_to_unstable,1
F-Li-Sm,unstable_to_unstable,1
F-Li-Sm-Sr,unstable_to_unstable,1
F-Li-Sr,unstable_to_unstable,2
F-Li-Sr-Tb,stable_to_unstable,1
F-Li-Sr-Tm,stable_to_unstable,1
F-Li-Sr-Y,unstable_to_unstable,1
F-Li-Sr-Yb,unstable_to_unresolved,1
F-Li-Tb,unstable_to_unstable,1
F-Li-Ti,unstable_to_stable,1
F-Li-Tm,stable_to_unstable,2
F-Li-Tm-Yb,stable_to_unresolved,1
F-Li-Y,unstable_to_unstable,1
F-Li-Zn,stable_to_stable,1
F-Li-Zr,unstable_to_unstable,1
F-Lu,unstable_to_unstable,1
F-Lu-Mg,unstable_to_unstable,1
F-Lu-Na,stable_to_unstable,1
F-Lu-Pa,stable_to_unstable,1
F-Lu-Rb,unstable_to_unstable,1
F-Lu-Zn,unstable_to_unstable,1
F-Mg,unstable_to_unstable,1
F-Mg-Ni,unstable_to_unstable,1
F-Mg-Pa,stable_to_unstable,1
F-Mg-Sc,unstable_to_unstable,2
F-Mg-Sr,unstable_to_unstable,1
F-Mg-Tm,stable_to_unstable,1
F-Mg-Y,unstable_to_unstable,1
F-Mg-Zn,unstable_to_unstable,1
F-Mn-Na,stable_to_stable,2
F-Mn-Np,unstable_to_unstable,2
F-Mn-Pa,stable_to_stable,2
F-Mn-Rb,stable_to_stable,1
F-N-Pa,stable_to_stable,1
F-N-Pu,stable_to_stable,1
F-Na-Nd-Sr,unstable_to_unstable,1
F-Na-Ni,stable_to_unstable,1
F-Na-Pa,stable_to_stable,1
F-Na-Pd,stable_to_unstable,2
F-Na-Pr-Sr,unstable_to_unstable,1
F-Na-Rh,stable_to_unstable,1
F-Na-Sc,unstable_to_unstable,1
F-Na-Sc-Sr,unstable_to_unstable,1
F-Na-Sm,unstable_to_unstable,1
F-Na-Sm-Sr,unstable_to_unstable,1
F-Na-Sr,stable_to_unstable,2
F-Na-Sr-Tb,stable_to_unstable,1
F-Na-Sr-Tm,stable_to_unstable,1
F-Na-Sr-Y,unstable_to_unstable,1
F-Na-Ti,unstable_to_stable,1
F-Na-Tm,stable_to_stable,5
F-Na-Tm-Yb,stable_to_unresolved,1
F-Na-Zn,unstable_to_stable,1
F-Na-Zr,unstable_to_unstable,1
F-Nb-Pa,stable_to_stable,1
