dataset,video_id,path_id,query,category_id,score,objectness,semantic_margin,temporal_stability,association_score,matched_gt_id,matched_iou,temporal_overlap,is_unmatched,cell_id,novelty_bin,query_cluster,occ_bin,domain_bin,frame_start,frame_end,clip_path,montage_path,method,candidate_budget_M,selected_rank,e_value,p_any,p_block,tau_k,self_consistency_margin,release_source
OVT-B,40,ovtb_v40_p002441,bee,73,0.8958413004875183,0.8958413004875183,0.8958413004875183,1,0.0,,0.0,0.0,True,cat:73,unknown,bee,unknown,global,246,246,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v40_p002441.jpg,parc_track_gamma_tuned_uniform_scs,150,15,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,702,ovtb_v702_p007161,spectacles,862,0.8949059545993805,0.8949059545993805,0.8949059545993805,8,0.875,5731.0,0.9028163265835504,0.625,False,cat:862,unknown,spectacles,unknown,global,0,17,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v702_p007161.jpg,parc_track_gamma_tuned_uniform_scs,150,16,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,702,ovtb_v702_p007159,person,669,0.8948943540453911,0.8948943540453911,0.8948943540453911,8,0.875,5732.0,0.9851757363767696,1.0,False,cat:669,unknown,person,unknown,global,0,17,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v702_p007159.jpg,parc_track_gamma_tuned_uniform_scs,150,17,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,505,ovtb_v505_p005659,person,669,0.8943640440702438,0.8943640440702438,0.8943640440702438,8,0.875,4377.0,0.9859422870098274,1.0,False,cat:669,unknown,person,unknown,global,0,34,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v505_p005659.jpg,parc_track_gamma_tuned_uniform_scs,150,18,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,350,ovtb_v350_p004643,person,669,0.8938878029584885,0.8938878029584885,0.8938878029584885,8,0.875,3472.0,0.9940388007068304,1.0,False,cat:669,unknown,person,unknown,global,0,14,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v350_p004643.jpg,parc_track_gamma_tuned_uniform_scs,150,19,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,679,ovtb_v679_p007002,spectacles,862,0.8933110535144806,0.8933110535144806,0.8933110535144806,8,0.875,5583.0,0.7981614890844824,1.0,False,cat:862,unknown,spectacles,unknown,global,0,19,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v679_p007002.jpg,parc_track_gamma_tuned_uniform_scs,150,20,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,285,ovtb_v285_p004165,person,669,0.892672099173069,0.892672099173069,0.892672099173069,8,0.875,3034.0,0.9922421034259205,1.0,False,cat:669,unknown,person,unknown,global,0,23,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v285_p004165.jpg,parc_track_gamma_tuned_uniform_scs,150,21,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,162,ovtb_v162_p003339,person,669,0.8908472284674644,0.8908472284674644,0.8908472284674644,8,0.875,2252.0,0.9911517617754432,1.0,False,cat:669,unknown,person,unknown,global,0,15,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v162_p003339.jpg,parc_track_gamma_tuned_uniform_scs,150,22,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,827,ovtb_v827_p008084,spectacles,862,0.8901302888989449,0.8901302888989449,0.8901302888989449,8,0.875,6460.0,0.901318679107239,1.0,False,cat:862,unknown,spectacles,unknown,global,0,11,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v827_p008084.jpg,parc_track_gamma_tuned_uniform_scs,150,23,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,618,ovtb_v618_p006504,person,669,0.8899737894535065,0.8899737894535065,0.8899737894535065,8,0.875,5202.0,0.9796474442739496,1.0,False,cat:669,unknown,person,unknown,global,0,20,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v618_p006504.jpg,parc_track_gamma_tuned_uniform_scs,150,24,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,650,ovtb_v650_p006742,mechanical pencil,581,0.8899510949850082,0.8899510949850082,0.8899510949850082,4,0.75,5410.0,0.9672290413190964,1.0,False,cat:581,unknown,mechanical pencil,unknown,global,3,23,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v650_p006742.jpg,parc_track_gamma_tuned_uniform_scs,150,25,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,965,ovtb_v965_p009115,person,669,0.8871642723679543,0.8871642723679543,0.8871642723679543,8,0.875,7385.0,0.9943464323922644,1.0,False,cat:669,unknown,person,unknown,global,0,11,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v965_p009115.jpg,parc_track_gamma_tuned_uniform_scs,150,26,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,901,ovtb_v901_p008642,basket,56,0.8854349255561829,0.8854349255561829,0.8854349255561829,8,0.875,6959.0,0.9911023833536188,1.0,False,cat:56,unknown,basket,unknown,global,0,15,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v901_p008642.jpg,parc_track_gamma_tuned_uniform_scs,150,27,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,862,ovtb_v862_p008308,person,669,0.884813517332077,0.884813517332077,0.884813517332077,8,0.875,6692.0,0.987737859583493,1.0,False,cat:669,unknown,person,unknown,global,0,11,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v862_p008308.jpg,parc_track_gamma_tuned_uniform_scs,150,28,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,541,ovtb_v541_p005917,person,669,0.8846374452114105,0.8846374452114105,0.8846374452114105,8,0.875,4613.0,0.9671133737150232,1.0,False,cat:669,unknown,person,unknown,global,0,16,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v541_p005917.jpg,parc_track_gamma_tuned_uniform_scs,150,29,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,456,ovtb_v456_p005335,person,669,0.882443368434906,0.882443368434906,0.882443368434906,8,0.875,4051.0,0.9865368191364752,1.0,False,cat:669,unknown,person,unknown,global,0,19,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v456_p005335.jpg,parc_track_gamma_tuned_uniform_scs,150,30,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,823,ovtb_v823_p008059,person,669,0.8823338747024536,0.8823338747024536,0.8823338747024536,8,0.875,6436.0,0.992967840819009,1.0,False,cat:669,unknown,person,unknown,global,0,29,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v823_p008059.jpg,parc_track_gamma_tuned_uniform_scs,150,31,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,582,ovtb_v582_p006275,person,669,0.8815149515867233,0.8815149515867233,0.8815149515867233,8,0.875,4986.0,0.9970160197970612,1.0,False,cat:669,unknown,person,unknown,global,0,39,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v582_p006275.jpg,parc_track_gamma_tuned_uniform_scs,150,32,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,654,ovtb_v654_p006776,watch,1012,0.880547285079956,0.880547285079956,0.880547285079956,4,0.75,5430.0,0.9702072927359452,1.0,False,cat:1012,unknown,watch,unknown,global,7,17,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v654_p006776.jpg,parc_track_gamma_tuned_uniform_scs,150,33,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,650,ovtb_v650_p006741,mechanical pencil,581,0.8801487684249878,0.8801487684249878,0.8801487684249878,1,0.0,5410.0,0.9552629314142392,1.0,False,cat:581,unknown,mechanical pencil,unknown,global,0,0,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v650_p006741.jpg,parc_track_gamma_tuned_uniform_scs,150,34,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,342,ovtb_v342_p004578,person,669,0.8797286301851273,0.8797286301851273,0.8797286301851273,8,0.875,3407.0,0.973319623050066,1.0,False,cat:669,unknown,person,unknown,global,0,15,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v342_p004578.jpg,parc_track_gamma_tuned_uniform_scs,150,35,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,521,ovtb_v521_p005744,person,669,0.8770516291260719,0.8770516291260719,0.8770516291260719,8,0.875,4467.0,0.8868704716705798,1.0,False,cat:669,unknown,person,unknown,global,0,24,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v521_p005744.jpg,parc_track_gamma_tuned_uniform_scs,150,36,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,851,ovtb_v851_p008238,person,669,0.8770276978611946,0.8770276978611946,0.8770276978611946,8,0.875,6645.0,0.9907565134557615,1.0,False,cat:669,unknown,person,unknown,global,0,19,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v851_p008238.jpg,parc_track_gamma_tuned_uniform_scs,150,37,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,121,ovtb_v121_p003090,person,669,0.8764418289065361,0.8764418289065361,0.8764418289065361,8,0.875,2032.0,0.6019796116805212,1.0,False,cat:669,unknown,person,unknown,global,0,20,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v121_p003090.jpg,parc_track_gamma_tuned_uniform_scs,150,38,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,773,ovtb_v773_p007682,person,669,0.8761383891105652,0.8761383891105652,0.8761383891105652,8,0.875,6154.0,0.99526861356842,1.0,False,cat:669,unknown,person,unknown,global,0,14,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v773_p007682.jpg,parc_track_gamma_tuned_uniform_scs,150,39,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,40,ovtb_v40_p002435,bee,73,0.8760741353034973,0.8760741353034973,0.8760741353034973,1,0.0,1655.0,0.5265268936556118,1.0,False,cat:73,unknown,bee,unknown,global,211,211,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v40_p002435.jpg,parc_track_gamma_tuned_uniform_scs,150,40,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,651,ovtb_v651_p006758,person,669,0.8749831840395927,0.8749831840395927,0.8749831840395927,8,0.875,5412.0,0.974866576573804,1.0,False,cat:669,unknown,person,unknown,global,0,29,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v651_p006758.jpg,parc_track_gamma_tuned_uniform_scs,150,41,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,651,ovtb_v651_p006756,cone,242,0.8749365210533142,0.8749365210533142,0.8749365210533142,1,0.0,5415.0,0.4947775139982936,0.0,True,cat:242,unknown,cone,unknown,global,21,21,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v651_p006756.jpg,parc_track_gamma_tuned_uniform_scs,150,42,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,384,ovtb_v384_p004822,person,669,0.8746001198887825,0.8746001198887825,0.8746001198887825,8,0.875,3632.0,0.9541140826045972,1.0,False,cat:669,unknown,person,unknown,global,0,29,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v384_p004822.jpg,parc_track_gamma_tuned_uniform_scs,150,43,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,675,ovtb_v675_p006956,person,669,0.8737949430942535,0.8737949430942535,0.8737949430942535,8,0.875,5556.0,0.9638728542092356,1.0,False,cat:669,unknown,person,unknown,global,0,14,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v675_p006956.jpg,parc_track_gamma_tuned_uniform_scs,150,44,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,651,ovtb_v651_p006757,cone,242,0.8734851479530334,0.8734851479530334,0.8734851479530334,1,0.0,5415.0,0.5244438063795874,1.0,False,cat:242,unknown,cone,unknown,global,25,25,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v651_p006757.jpg,parc_track_gamma_tuned_uniform_scs,150,45,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,675,ovtb_v675_p006955,person,669,0.8723711520433426,0.8723711520433426,0.8723711520433426,8,0.875,5555.0,0.985307924087332,1.0,False,cat:669,unknown,person,unknown,global,0,14,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v675_p006955.jpg,parc_track_gamma_tuned_uniform_scs,150,46,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,40,ovtb_v40_p002410,bee,73,0.8722729682922363,0.8722729682922363,0.8722729682922363,1,0.0,1562.0,0.3060661255472798,0.0,True,cat:73,unknown,bee,unknown,global,35,35,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v40_p002410.jpg,parc_track_gamma_tuned_uniform_scs,150,47,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,333,ovtb_v333_p004539,beluga whale,82,0.8701018765568733,0.8701018765568733,0.8701018765568733,8,0.875,3351.0,0.9824530427427508,1.0,False,cat:82,unknown,beluga whale,unknown,global,0,9,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v333_p004539.jpg,parc_track_gamma_tuned_uniform_scs,150,48,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,119,ovtb_v119_p003084,person,669,0.8657373338937759,0.8657373338937759,0.8657373338937759,8,0.875,2026.0,0.9894487303782746,1.0,False,cat:669,unknown,person,unknown,global,0,14,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v119_p003084.jpg,parc_track_gamma_tuned_uniform_scs,150,49,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
