method,alpha1,seed,candidate_budget_M,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,self_consistency_margin,empty_reason,empty_diagnostic,unsupported_audited,unsupported_audit_coverage_rate,unsupported_audit_fully_covered
parc_track_gamma_tuned_uniform_scs,0.05,0,200,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.05,0,250,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
confidence_threshold,0.05,0,75,75,75,0,,,,,0.0,0.0,,0.96,,,,0.0,1.0,True
tracklet_p_bh,0.05,0,75,75,75,0,,,,,0.0,0.0,,0.96,,,,0.0,1.0,True
tracklet_e_bh,0.05,0,75,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
post_filter_e_bh,0.05,0,75,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
greedy_score_no_risk,0.05,0,75,75,75,0,,,,,0.0,0.0,,0.96,,,,0.0,1.0,True
confidence_threshold,0.05,0,100,100,98,2,,,,,0.02,0.25,,0.97,,,,2.0,1.0,True
tracklet_p_bh,0.05,0,100,100,98,2,,,,,0.02,0.25,,0.97,,,,2.0,1.0,True
tracklet_e_bh,0.05,0,100,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
post_filter_e_bh,0.05,0,100,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
greedy_score_no_risk,0.05,0,100,100,98,2,,,,,0.02,0.25,,0.97,,,,2.0,1.0,True
confidence_threshold,0.05,0,125,125,121,4,,,,,0.032,0.25,,0.976,,,,4.0,1.0,True
tracklet_p_bh,0.05,0,125,125,121,4,,,,,0.032,0.25,,0.976,,,,4.0,1.0,True
tracklet_e_bh,0.05,0,125,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
post_filter_e_bh,0.05,0,125,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
greedy_score_no_risk,0.05,0,125,125,121,4,,,,,0.032,0.25,,0.976,,,,4.0,1.0,True
confidence_threshold,0.05,0,150,150,145,5,,,,,0.0333333333333333,0.25,,0.98,,,,5.0,1.0,True
tracklet_p_bh,0.05,0,150,150,145,5,,,,,0.0333333333333333,0.25,,0.98,,,,5.0,1.0,True
tracklet_e_bh,0.05,0,150,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
post_filter_e_bh,0.05,0,150,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
greedy_score_no_risk,0.05,0,150,150,145,5,,,,,0.0333333333333333,0.25,,0.98,,,,5.0,1.0,True
confidence_threshold,0.05,0,175,175,169,6,,,,,0.0342857142857142,0.25,,0.9828571428571428,,,,6.0,1.0,True
tracklet_p_bh,0.05,0,175,175,169,6,,,,,0.0342857142857142,0.25,,0.9828571428571428,,,,6.0,1.0,True
tracklet_e_bh,0.05,0,175,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
post_filter_e_bh,0.05,0,175,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
greedy_score_no_risk,0.05,0,175,175,169,6,,,,,0.0342857142857142,0.25,,0.9828571428571428,,,,6.0,1.0,True
confidence_threshold,0.05,0,200,200,192,8,,,,,0.04,0.25,,0.985,,,,8.0,1.0,True
tracklet_p_bh,0.05,0,200,200,192,8,,,,,0.04,0.25,,0.985,,,,8.0,1.0,True
tracklet_e_bh,0.05,0,200,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
post_filter_e_bh,0.05,0,200,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
greedy_score_no_risk,0.05,0,200,200,192,8,,,,,0.04,0.25,,0.985,,,,8.0,1.0,True
confidence_threshold,0.05,0,250,250,239,11,,,,,0.044,0.25,,0.988,,,,11.0,1.0,True
tracklet_p_bh,0.05,0,250,250,239,11,,,,,0.044,0.25,,0.988,,,,11.0,1.0,True
tracklet_e_bh,0.05,0,250,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
post_filter_e_bh,0.05,0,250,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
greedy_score_no_risk,0.05,0,250,250,239,11,,,,,0.044,0.25,,0.988,,,,11.0,1.0,True
unmatched_as_false_block,0.05,1,75,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0.0,1.0,True
unmatched_as_false_block,0.05,1,100,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0.0,1.0,True
unmatched_as_false_block,0.05,1,125,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0.0,1.0,True
unmatched_as_false_block,0.05,1,150,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0.0,1.0,True
unmatched_as_false_block,0.05,1,175,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0.0,1.0,True
unmatched_as_false_block,0.05,1,200,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0.0,1.0,True
unmatched_as_false_block,0.05,1,250,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0.0,1.0,True
null_superset_no_audit,0.05,1,75,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
null_superset_no_audit,0.05,1,100,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
null_superset_no_audit,0.05,1,125,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
null_superset_no_audit,0.05,1,150,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
null_superset_no_audit,0.05,1,175,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
null_superset_no_audit,0.05,1,200,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
null_superset_no_audit,0.05,1,250,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.05,1,75,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.05,1,100,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.05,1,125,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.05,1,150,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.05,1,175,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.05,1,200,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.05,1,250,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
confidence_threshold,0.05,1,75,75,75,0,,,,,0.0,0.0,,0.9466666666666668,,,,0.0,1.0,True
tracklet_p_bh,0.05,1,75,75,75,0,,,,,0.0,0.0,,0.9466666666666668,,,,0.0,1.0,True
tracklet_e_bh,0.05,1,75,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
post_filter_e_bh,0.05,1,75,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
greedy_score_no_risk,0.05,1,75,75,75,0,,,,,0.0,0.0,,0.9466666666666668,,,,0.0,1.0,True
confidence_threshold,0.05,1,100,100,99,1,,,,,0.01,0.0,,0.96,,,,1.0,1.0,True
tracklet_p_bh,0.05,1,100,100,99,1,,,,,0.01,0.0,,0.96,,,,1.0,1.0,True
tracklet_e_bh,0.05,1,100,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
post_filter_e_bh,0.05,1,100,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
greedy_score_no_risk,0.05,1,100,100,99,1,,,,,0.01,0.0,,0.96,,,,1.0,1.0,True
confidence_threshold,0.05,1,125,125,123,2,,,,,0.016,0.0,,0.968,,,,2.0,1.0,True
tracklet_p_bh,0.05,1,125,125,123,2,,,,,0.016,0.0,,0.968,,,,2.0,1.0,True
tracklet_e_bh,0.05,1,125,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
post_filter_e_bh,0.05,1,125,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
greedy_score_no_risk,0.05,1,125,125,123,2,,,,,0.016,0.0,,0.968,,,,2.0,1.0,True
confidence_threshold,0.05,1,150,150,144,6,,,,,0.04,0.0,,0.9733333333333334,,,,6.0,1.0,True
tracklet_p_bh,0.05,1,150,150,144,6,,,,,0.04,0.0,,0.9733333333333334,,,,6.0,1.0,True
tracklet_e_bh,0.05,1,150,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
post_filter_e_bh,0.05,1,150,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
greedy_score_no_risk,0.05,1,150,150,144,6,,,,,0.04,0.0,,0.9733333333333334,,,,6.0,1.0,True
confidence_threshold,0.05,1,175,175,167,8,,,,,0.0457142857142857,0.0,,0.9714285714285714,,,,8.0,1.0,True
tracklet_p_bh,0.05,1,175,175,167,8,,,,,0.0457142857142857,0.0,,0.9714285714285714,,,,8.0,1.0,True
tracklet_e_bh,0.05,1,175,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
post_filter_e_bh,0.05,1,175,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
greedy_score_no_risk,0.05,1,175,175,167,8,,,,,0.0457142857142857,0.0,,0.9714285714285714,,,,8.0,1.0,True
confidence_threshold,0.05,1,200,200,191,9,,,,,0.045,0.0,,0.975,,,,9.0,1.0,True
tracklet_p_bh,0.05,1,200,200,191,9,,,,,0.045,0.0,,0.975,,,,9.0,1.0,True
tracklet_e_bh,0.05,1,200,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
post_filter_e_bh,0.05,1,200,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
greedy_score_no_risk,0.05,1,200,200,191,9,,,,,0.045,0.0,,0.975,,,,9.0,1.0,True
confidence_threshold,0.05,1,250,250,235,15,,,,,0.06,0.0,,0.976,,,,15.0,1.0,True
tracklet_p_bh,0.05,1,250,250,235,15,,,,,0.06,0.0,,0.976,,,,15.0,1.0,True
tracklet_e_bh,0.05,1,250,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
post_filter_e_bh,0.05,1,250,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
greedy_score_no_risk,0.05,1,250,250,235,15,,,,,0.06,0.0,,0.976,,,,15.0,1.0,True
unmatched_as_false_block,0.05,2,75,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0.0,1.0,True
unmatched_as_false_block,0.05,2,100,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0.0,1.0,True
unmatched_as_false_block,0.05,2,125,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0.0,1.0,True
unmatched_as_false_block,0.05,2,150,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0.0,1.0,True
unmatched_as_false_block,0.05,2,175,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0.0,1.0,True
unmatched_as_false_block,0.05,2,200,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0.0,1.0,True
unmatched_as_false_block,0.05,2,250,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0.0,1.0,True
null_superset_no_audit,0.05,2,75,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
null_superset_no_audit,0.05,2,100,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
null_superset_no_audit,0.05,2,125,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
null_superset_no_audit,0.05,2,150,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
null_superset_no_audit,0.05,2,175,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
null_superset_no_audit,0.05,2,200,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
null_superset_no_audit,0.05,2,250,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.05,2,75,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.05,2,100,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.05,2,125,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.05,2,150,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.05,2,175,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.05,2,200,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.05,2,250,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
confidence_threshold,0.05,2,75,75,75,0,,,,,0.0,0.0,,0.96,,,,0.0,1.0,True
tracklet_p_bh,0.05,2,75,75,75,0,,,,,0.0,0.0,,0.96,,,,0.0,1.0,True
tracklet_e_bh,0.05,2,75,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
post_filter_e_bh,0.05,2,75,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
greedy_score_no_risk,0.05,2,75,75,75,0,,,,,0.0,0.0,,0.96,,,,0.0,1.0,True
confidence_threshold,0.05,2,100,100,99,1,,,,,0.01,0.0,,0.97,,,,1.0,1.0,True
tracklet_p_bh,0.05,2,100,100,99,1,,,,,0.01,0.0,,0.97,,,,1.0,1.0,True
tracklet_e_bh,0.05,2,100,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
post_filter_e_bh,0.05,2,100,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
greedy_score_no_risk,0.05,2,100,100,99,1,,,,,0.01,0.0,,0.97,,,,1.0,1.0,True
confidence_threshold,0.05,2,125,125,124,1,,,,,0.008,0.0,,0.976,,,,1.0,1.0,True
tracklet_p_bh,0.05,2,125,125,124,1,,,,,0.008,0.0,,0.976,,,,1.0,1.0,True
tracklet_e_bh,0.05,2,125,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
post_filter_e_bh,0.05,2,125,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
greedy_score_no_risk,0.05,2,125,125,124,1,,,,,0.008,0.0,,0.976,,,,1.0,1.0,True
confidence_threshold,0.05,2,150,150,148,2,,,,,0.0133333333333333,0.0,,0.9733333333333334,,,,2.0,1.0,True
tracklet_p_bh,0.05,2,150,150,148,2,,,,,0.0133333333333333,0.0,,0.9733333333333334,,,,2.0,1.0,True
tracklet_e_bh,0.05,2,150,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
post_filter_e_bh,0.05,2,150,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
greedy_score_no_risk,0.05,2,150,150,148,2,,,,,0.0133333333333333,0.0,,0.9733333333333334,,,,2.0,1.0,True
confidence_threshold,0.05,2,175,175,170,5,,,,,0.0285714285714285,0.0,,0.9714285714285714,,,,5.0,1.0,True
tracklet_p_bh,0.05,2,175,175,170,5,,,,,0.0285714285714285,0.0,,0.9714285714285714,,,,5.0,1.0,True
tracklet_e_bh,0.05,2,175,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
post_filter_e_bh,0.05,2,175,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
greedy_score_no_risk,0.05,2,175,175,170,5,,,,,0.0285714285714285,0.0,,0.9714285714285714,,,,5.0,1.0,True
confidence_threshold,0.05,2,200,200,195,5,,,,,0.025,0.0,,0.975,,,,5.0,1.0,True
tracklet_p_bh,0.05,2,200,200,195,5,,,,,0.025,0.0,,0.975,,,,5.0,1.0,True
tracklet_e_bh,0.05,2,200,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
post_filter_e_bh,0.05,2,200,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
greedy_score_no_risk,0.05,2,200,200,195,5,,,,,0.025,0.0,,0.975,,,,5.0,1.0,True
confidence_threshold,0.05,2,250,250,242,8,,,,,0.032,0.0,,0.976,,,,8.0,1.0,True
tracklet_p_bh,0.05,2,250,250,242,8,,,,,0.032,0.0,,0.976,,,,8.0,1.0,True
tracklet_e_bh,0.05,2,250,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
post_filter_e_bh,0.05,2,250,0,0,0,,,,,0.0,,,,,,baseline_selected_empty,0.0,1.0,True
greedy_score_no_risk,0.05,2,250,250,242,8,,,,,0.032,0.0,,0.976,,,,8.0,1.0,True
unmatched_as_false_block,0.1,0,75,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
unmatched_as_false_block,0.1,0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
unmatched_as_false_block,0.1,0,125,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
unmatched_as_false_block,0.1,0,150,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
unmatched_as_false_block,0.1,0,175,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
unmatched_as_false_block,0.1,0,200,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
unmatched_as_false_block,0.1,0,250,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
null_superset_no_audit,0.1,0,75,75,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5979740293455666,,,0.0,1.0,True
null_superset_no_audit,0.1,0,100,31,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8587057216215257,,,0.0,1.0,True
null_superset_no_audit,0.1,0,125,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
null_superset_no_audit,0.1,0,150,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
null_superset_no_audit,0.1,0,175,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
null_superset_no_audit,0.1,0,200,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
null_superset_no_audit,0.1,0,250,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.1,0,75,75,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.452046882355045,,,0.0,1.0,True
