method,alpha1,candidate_budget_M,rows,nonempty_rows,released_sum,unsupported_sum,unsupported_unlabeled_sum,min_coverage,all_unsupported_covered
unmatched_as_false_block,0.05,150,3,0,0,0,0.0,1.0,True
unmatched_as_false_block,0.05,175,3,0,0,0,0.0,1.0,True
unmatched_as_false_block,0.05,200,3,0,0,0,0.0,1.0,True
unmatched_as_false_block,0.05,250,3,0,0,0,0.0,1.0,True
unmatched_as_false_block,0.1,75,3,0,0,0,0.0,1.0,True
unmatched_as_false_block,0.1,100,3,0,0,0,0.0,1.0,True
unmatched_as_false_block,0.1,125,3,0,0,0,0.0,1.0,True
unmatched_as_false_block,0.1,150,3,0,0,0,0.0,1.0,True
unmatched_as_false_block,0.1,175,3,0,0,0,0.0,1.0,True
unmatched_as_false_block,0.1,200,3,0,0,0,0.0,1.0,True
unmatched_as_false_block,0.1,250,3,0,0,0,0.0,1.0,True
unmatched_as_false_block,0.2,75,3,3,225,0,0.0,1.0,True
unmatched_as_false_block,0.2,100,3,3,297,3,3.0,0.0,False
unmatched_as_false_block,0.2,125,3,0,0,0,0.0,1.0,True
unmatched_as_false_block,0.2,150,3,0,0,0,0.0,1.0,True
unmatched_as_false_block,0.2,175,3,0,0,0,0.0,1.0,True
unmatched_as_false_block,0.2,200,3,0,0,0,0.0,1.0,True
unmatched_as_false_block,0.2,250,3,0,0,0,0.0,1.0,True
