method,alpha1,candidate_budget_M,released_mean,released_std,released_max,nonempty_rate,utr_mean,conservative_ftr_mean,margin_mean,unsupported_unlabeled_sum
null_superset_no_audit,0.1,75,75.0,0.0,75,1.0,0.0,0.0,0.593119874381354,0.0
null_superset_no_audit,0.1,100,21.666666666666668,18.823743871327334,34,0.6666666666666666,0.0,0.0,3.379017408333249,0.0
null_superset_no_audit,0.1,125,0.0,0.0,0,0.0,0.0,,,0.0
null_superset_no_audit,0.1,150,0.0,0.0,0,0.0,0.0,,,0.0
null_superset_no_audit,0.1,175,0.0,0.0,0,0.0,0.0,,,0.0
null_superset_no_audit,0.1,200,0.0,0.0,0,0.0,0.0,,,0.0
null_superset_no_audit,0.1,250,0.0,0.0,0,0.0,0.0,,,0.0
null_superset_no_audit,0.2,75,75.0,0.0,75,1.0,0.0,0.0,5.593119874381354,0.0
null_superset_no_audit,0.2,100,100.0,0.0,100,1.0,0.013333333333333334,0.013333333333333334,3.3588827719052907,3.0
null_superset_no_audit,0.2,125,125.0,0.0,125,1.0,0.018666666666666668,0.018666666666666668,1.6807469486245328,6.0
null_superset_no_audit,0.2,150,140.33333333333334,14.224392195567917,150,1.0,0.027359373857069668,0.027359373857069668,0.3803238148661056,11.0
null_superset_no_audit,0.2,175,127.0,40.33608806019741,164,1.0,0.026758970597224735,0.0247264502720215,0.06070494657890383,10.0
null_superset_no_audit,0.2,200,21.666666666666668,18.823743871327334,34,0.6666666666666666,0.0,0.0,3.379017408333249,0.0
null_superset_no_audit,0.2,250,0.0,0.0,0,0.0,0.0,,,0.0
parc_track_gamma_tuned_uniform_scs,0.05,75,0.0,0.0,0,0.0,0.0,,,0.0
parc_track_gamma_tuned_uniform_scs,0.05,100,0.0,0.0,0,0.0,0.0,,,0.0
parc_track_gamma_tuned_uniform_scs,0.05,125,0.0,0.0,0,0.0,0.0,,,0.0
parc_track_gamma_tuned_uniform_scs,0.05,150,0.0,0.0,0,0.0,0.0,,,0.0
parc_track_gamma_tuned_uniform_scs,0.05,175,0.0,0.0,0,0.0,0.0,,,0.0
parc_track_gamma_tuned_uniform_scs,0.05,200,0.0,0.0,0,0.0,0.0,,,0.0
parc_track_gamma_tuned_uniform_scs,0.05,250,0.0,0.0,0,0.0,0.0,,,0.0
parc_track_gamma_tuned_uniform_scs,0.1,75,75.0,0.0,75,1.0,0.0,0.0,3.439604111400662,0.0
parc_track_gamma_tuned_uniform_scs,0.1,100,90.33333333333333,8.504900548115382,100,1.0,0.0071647509578544,0.0071647509578544,1.3379868486028528,2.0
parc_track_gamma_tuned_uniform_scs,0.1,125,13.666666666666666,23.671361036774655,41,0.3333333333333333,0.0,0.0,3.4831128077825824,0.0
parc_track_gamma_tuned_uniform_scs,0.1,150,0.0,0.0,0,0.0,0.0,,,0.0
parc_track_gamma_tuned_uniform_scs,0.1,175,0.0,0.0,0,0.0,0.0,,,0.0
parc_track_gamma_tuned_uniform_scs,0.1,200,0.0,0.0,0,0.0,0.0,,,0.0
parc_track_gamma_tuned_uniform_scs,0.1,250,0.0,0.0,0,0.0,0.0,,,0.0
parc_track_gamma_tuned_uniform_scs,0.2,75,75.0,0.0,75,1.0,0.0,0.0,8.439604111400662,0.0
parc_track_gamma_tuned_uniform_scs,0.2,100,100.0,0.0,100,1.0,0.013333333333333334,0.013333333333333334,3.9260285609984997,3.0
parc_track_gamma_tuned_uniform_scs,0.2,125,125.0,0.0,125,1.0,0.018666666666666668,0.018666666666666668,1.9560004374628044,6.0
parc_track_gamma_tuned_uniform_scs,0.2,150,141.33333333333334,15.011106998930273,150,1.0,0.02713261648745517,0.02713261648745517,0.575308195231381,11.0
parc_track_gamma_tuned_uniform_scs,0.2,175,130.33333333333334,40.41451884327381,167,1.0,0.026137506009878034,0.0241414980258461,0.24597071152575153,10.0
parc_track_gamma_tuned_uniform_scs,0.2,200,92.33333333333333,11.930353445448853,106,1.0,0.010120725800621665,0.010120725800621665,1.526666093885872,3.0
parc_track_gamma_tuned_uniform_scs,0.2,250,13.666666666666666,23.671361036774655,41,0.3333333333333333,0.0,0.0,3.4831128077825824,0.0
post_filter_e_bh,0.05,75,0.0,0.0,0,0.0,0.0,,,0.0
post_filter_e_bh,0.05,100,0.0,0.0,0,0.0,0.0,,,0.0
post_filter_e_bh,0.05,125,0.0,0.0,0,0.0,0.0,,,0.0
post_filter_e_bh,0.05,150,0.0,0.0,0,0.0,0.0,,,0.0
post_filter_e_bh,0.05,175,0.0,0.0,0,0.0,0.0,,,0.0
post_filter_e_bh,0.05,200,0.0,0.0,0,0.0,0.0,,,0.0
post_filter_e_bh,0.05,250,0.0,0.0,0,0.0,0.0,,,0.0
post_filter_e_bh,0.1,75,75.0,0.0,75,1.0,0.0,0.9555555555555556,3.439604111400662,0.0
post_filter_e_bh,0.1,100,90.33333333333333,8.504900548115382,100,1.0,0.0071647509578544,0.9632676518883416,1.3379868486028528,0.0
post_filter_e_bh,0.1,125,13.666666666666666,23.671361036774655,41,0.3333333333333333,0.0,0.951219512195122,3.4831128077825824,0.0
post_filter_e_bh,0.1,150,0.0,0.0,0,0.0,0.0,,,0.0
post_filter_e_bh,0.1,175,0.0,0.0,0,0.0,0.0,,,0.0
post_filter_e_bh,0.1,200,0.0,0.0,0,0.0,0.0,,,0.0
post_filter_e_bh,0.1,250,0.0,0.0,0,0.0,0.0,,,0.0
post_filter_e_bh,0.2,75,75.0,0.0,75,1.0,0.0,0.9555555555555556,8.439604111400662,0.0
post_filter_e_bh,0.2,100,100.0,0.0,100,1.0,0.013333333333333334,0.9666666666666667,3.9260285609984997,0.0
post_filter_e_bh,0.2,125,125.0,0.0,125,1.0,0.018666666666666668,0.9733333333333333,1.9560004374628044,0.0
post_filter_e_bh,0.2,150,141.33333333333334,15.011106998930273,150,1.0,0.02713261648745517,0.9763799283154122,0.575308195231381,0.0
post_filter_e_bh,0.2,175,130.33333333333334,40.41451884327381,167,1.0,0.026137506009878034,0.9712264371332844,0.2459707115257518,0.0
post_filter_e_bh,0.2,200,92.33333333333333,11.930353445448853,106,1.0,0.010120725800621665,0.9640223688694737,1.526666093885872,0.0
post_filter_e_bh,0.2,250,13.666666666666666,23.671361036774655,41,0.3333333333333333,0.0,0.951219512195122,3.4831128077825824,0.0
tracklet_e_bh,0.05,75,0.0,0.0,0,0.0,0.0,,,0.0
tracklet_e_bh,0.05,100,0.0,0.0,0,0.0,0.0,,,0.0
tracklet_e_bh,0.05,125,0.0,0.0,0,0.0,0.0,,,0.0
tracklet_e_bh,0.05,150,0.0,0.0,0,0.0,0.0,,,0.0
tracklet_e_bh,0.05,175,0.0,0.0,0,0.0,0.0,,,0.0
tracklet_e_bh,0.05,200,0.0,0.0,0,0.0,0.0,,,0.0
tracklet_e_bh,0.05,250,0.0,0.0,0,0.0,0.0,,,0.0
tracklet_e_bh,0.1,75,75.0,0.0,75,1.0,0.0,0.9555555555555556,5.119316312483112,0.0
tracklet_e_bh,0.1,100,100.0,0.0,100,1.0,0.013333333333333334,0.9666666666666667,1.8306156369334838,0.0
tracklet_e_bh,0.1,125,111.33333333333333,23.671361036774655,125,1.0,0.016,0.9694285714285714,0.5582527824961634,0.0
tracklet_e_bh,0.1,150,0.0,0.0,0,0.0,0.0,,,0.0
tracklet_e_bh,0.1,175,0.0,0.0,0,0.0,0.0,,,0.0
tracklet_e_bh,0.1,200,0.0,0.0,0,0.0,0.0,,,0.0
tracklet_e_bh,0.1,250,0.0,0.0,0,0.0,0.0,,,0.0
tracklet_e_bh,0.2,75,75.0,0.0,75,1.0,0.0,0.9555555555555556,10.119316312483113,0.0
tracklet_e_bh,0.2,100,100.0,0.0,100,1.0,0.013333333333333334,0.9666666666666667,6.830615636933484,0.0
tracklet_e_bh,0.2,125,125.0,0.0,125,1.0,0.018666666666666668,0.9733333333333333,5.207660843334884,0.0
tracklet_e_bh,0.2,150,150.0,0.0,150,1.0,0.028888888888888867,0.9755555555555556,3.1859980530739933,0.0
tracklet_e_bh,0.2,175,175.0,0.0,175,1.0,0.036190476190476134,0.9752380952380952,2.4817024990440717,0.0
tracklet_e_bh,0.2,200,200.0,0.0,200,1.0,0.03666666666666667,0.9783333333333334,2.2903555065589085,0.0
tracklet_e_bh,0.2,250,250.0,0.0,250,1.0,0.04533333333333334,0.98,1.1894904090716965,0.0
tracklet_p_bh,0.05,75,75.0,0.0,75,1.0,0.0,0.9555555555555556,,0.0
tracklet_p_bh,0.05,100,100.0,0.0,100,1.0,0.013333333333333334,0.9666666666666667,,0.0
tracklet_p_bh,0.05,125,125.0,0.0,125,1.0,0.018666666666666668,0.9733333333333333,,0.0
tracklet_p_bh,0.05,150,150.0,0.0,150,1.0,0.028888888888888867,0.9755555555555556,,0.0
tracklet_p_bh,0.05,175,175.0,0.0,175,1.0,0.036190476190476134,0.9752380952380952,,0.0
tracklet_p_bh,0.05,200,200.0,0.0,200,1.0,0.03666666666666667,0.9783333333333334,,0.0
tracklet_p_bh,0.05,250,250.0,0.0,250,1.0,0.04533333333333334,0.98,,0.0
tracklet_p_bh,0.1,75,75.0,0.0,75,1.0,0.0,0.9555555555555556,,0.0
tracklet_p_bh,0.1,100,100.0,0.0,100,1.0,0.013333333333333334,0.9666666666666667,,0.0
tracklet_p_bh,0.1,125,125.0,0.0,125,1.0,0.018666666666666668,0.9733333333333333,,0.0
tracklet_p_bh,0.1,150,150.0,0.0,150,1.0,0.028888888888888867,0.9755555555555556,,0.0
tracklet_p_bh,0.1,175,175.0,0.0,175,1.0,0.036190476190476134,0.9752380952380952,,0.0
tracklet_p_bh,0.1,200,200.0,0.0,200,1.0,0.03666666666666667,0.9783333333333334,,0.0
tracklet_p_bh,0.1,250,250.0,0.0,250,1.0,0.04533333333333334,0.98,,0.0
tracklet_p_bh,0.2,75,75.0,0.0,75,1.0,0.0,0.9555555555555556,,0.0
tracklet_p_bh,0.2,100,100.0,0.0,100,1.0,0.013333333333333334,0.9666666666666667,,0.0
tracklet_p_bh,0.2,125,125.0,0.0,125,1.0,0.018666666666666668,0.9733333333333333,,0.0
tracklet_p_bh,0.2,150,150.0,0.0,150,1.0,0.028888888888888867,0.9755555555555556,,0.0
tracklet_p_bh,0.2,175,175.0,0.0,175,1.0,0.036190476190476134,0.9752380952380952,,0.0
tracklet_p_bh,0.2,200,200.0,0.0,200,1.0,0.03666666666666667,0.9783333333333334,,0.0
tracklet_p_bh,0.2,250,250.0,0.0,250,1.0,0.04533333333333334,0.98,,0.0
unmatched_as_false_block,0.05,75,0.0,0.0,0,0.0,0.0,,,0.0
unmatched_as_false_block,0.05,100,0.0,0.0,0,0.0,0.0,,,0.0
unmatched_as_false_block,0.05,125,0.0,0.0,0,0.0,0.0,,,0.0
unmatched_as_false_block,0.05,150,0.0,0.0,0,0.0,0.0,,,0.0
unmatched_as_false_block,0.05,175,0.0,0.0,0,0.0,0.0,,,0.0
unmatched_as_false_block,0.05,200,0.0,0.0,0,0.0,0.0,,,0.0
unmatched_as_false_block,0.05,250,0.0,0.0,0,0.0,0.0,,,0.0
unmatched_as_false_block,0.1,75,0.0,0.0,0,0.0,0.0,,,0.0
unmatched_as_false_block,0.1,100,0.0,0.0,0,0.0,0.0,,,0.0
unmatched_as_false_block,0.1,125,0.0,0.0,0,0.0,0.0,,,0.0
unmatched_as_false_block,0.1,150,0.0,0.0,0,0.0,0.0,,,0.0
unmatched_as_false_block,0.1,175,0.0,0.0,0,0.0,0.0,,,0.0
unmatched_as_false_block,0.1,200,0.0,0.0,0,0.0,0.0,,,0.0
unmatched_as_false_block,0.1,250,0.0,0.0,0,0.0,0.0,,,0.0
unmatched_as_false_block,0.2,75,75.0,0.0,75,1.0,0.0,0.0,1.0810203526526434,0.0
unmatched_as_false_block,0.2,100,99.0,1.7320508075688772,100,1.0,0.010103092783505133,0.010103092783505133,0.3874835606838443,3.0
unmatched_as_false_block,0.2,125,0.0,0.0,0,0.0,0.0,,,0.0
unmatched_as_false_block,0.2,150,0.0,0.0,0,0.0,0.0,,,0.0
unmatched_as_false_block,0.2,175,0.0,0.0,0,0.0,0.0,,,0.0
unmatched_as_false_block,0.2,200,0.0,0.0,0,0.0,0.0,,,0.0
unmatched_as_false_block,0.2,250,0.0,0.0,0,0.0,0.0,,,0.0
