query,category_id,released,supported,score_mean,e_value_mean,unsupported,utr,dataset,generator,alpha1,seed,candidate_budget_M
person,669,102,101,0.8762174611728565,22.746225198916047,1,0.00980392156862745,OVT-B,GroundingDINO,0.1,1,150
school bus,793,1,1,0.8563653901219368,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.1,1,150
seagull,802,1,1,0.8855689689517021,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.1,1,150
seaplane,805,1,1,0.8884598165750504,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.1,1,150
short pants,824,2,2,0.879147857427597,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.1,1,150
spectacles,862,4,4,0.8847854863852262,27.451583036956187,0,0.0,OVT-B,GroundingDINO,0.1,1,150
sphygmomanometer,864,1,0,0.8663057908415794,20.70154565670066,1,1.0,OVT-B,GroundingDINO,0.1,1,150
spider,865,2,2,0.8727087438106537,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.1,1,150
sunglasses,900,2,2,0.9162638996328627,37.20674236442314,0,0.0,OVT-B,GroundingDINO,0.1,1,150
sweet potato,907,1,1,0.8568050041794777,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.1,1,150
swimsuit,911,1,1,0.8838513642549515,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.1,1,150
tv,984,1,1,0.888970285654068,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.1,1,150
wolf,1040,1,1,0.8911200165748596,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.1,1,150
woodpecker,1043,1,1,0.9352500587701796,37.20674236442314,0,0.0,OVT-B,GroundingDINO,0.1,1,150
zebra,1052,1,0,0.8648730516433716,20.70154565670066,1,1.0,OVT-B,GroundingDINO,0.1,1,150
accordion,1,1,1,0.8635283187031746,20.83233802276235,0,0.0,OVT-B,GroundingDINO,0.1,2,150
barbell,48,1,1,0.8589383214712143,20.83233802276235,0,0.0,OVT-B,GroundingDINO,0.1,2,150
baseball cap,54,3,3,0.8887975886464119,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.1,2,150
bee,73,3,1,0.8814729650815328,37.44649344759844,2,0.6666666666666666,OVT-B,GroundingDINO,0.1,2,150
coffee maker,231,1,1,0.9069922417402267,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.1,2,150
deck chair,275,1,1,0.8714550510048866,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.1,2,150
defibrillator,277,1,1,0.8608748093247414,20.83233802276235,0,0.0,OVT-B,GroundingDINO,0.1,2,150
dog,290,1,1,0.8989420160651207,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.1,2,150
doughnut,299,1,1,0.9073417683442434,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.1,2,150
egg yolk,334,1,1,0.8564060404896736,20.83233802276235,0,0.0,OVT-B,GroundingDINO,0.1,2,150
excavator,345,1,1,0.8684893175959587,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.1,2,150
garbage truck,397,1,1,0.8811084181070328,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.1,2,150
golf ball,418,2,2,0.9215337000787258,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.1,2,150
helicopter,465,1,1,0.8709823712706566,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.1,2,150
jacket,494,1,1,0.8814528807997704,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.1,2,150
mechanical pencil,581,6,6,0.8747018596955708,31.908441639319744,0,0.0,OVT-B,GroundingDINO,0.1,2,150
music box,604,1,1,0.8732407838106155,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.1,2,150
person,669,94,94,0.8794841067799439,33.558074092849566,0,0.0,OVT-B,GroundingDINO,0.1,2,150
picnic basket,675,1,1,0.8696878552436829,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.1,2,150
police car,702,1,1,0.8734080940485001,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.1,2,150
polo shirt,703,1,1,0.8567109107971191,20.83233802276235,0,0.0,OVT-B,GroundingDINO,0.1,2,150
pool table,706,1,1,0.8612140044569969,20.83233802276235,0,0.0,OVT-B,GroundingDINO,0.1,2,150
ring,764,2,2,0.8627216666936874,29.139415735180396,0,0.0,OVT-B,GroundingDINO,0.1,2,150
seagull,802,1,1,0.8855689689517021,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.1,2,150
sheep,816,1,1,0.8837988376617432,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.1,2,150
short pants,824,4,4,0.8791995644569397,29.139415735180396,0,0.0,OVT-B,GroundingDINO,0.1,2,150
spectacles,862,7,7,0.8878523015550205,35.07304267262186,0,0.0,OVT-B,GroundingDINO,0.1,2,150
sphygmomanometer,864,1,0,0.8663057908415794,37.44649344759844,1,1.0,OVT-B,GroundingDINO,0.1,2,150
sunglasses,900,2,2,0.9162638996328627,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.1,2,150
swimsuit,911,1,1,0.8838513642549515,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.1,2,150
train,966,1,1,0.8680336276690165,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.1,2,150
watch,1012,3,3,0.8780104617277781,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.1,2,150
whale,1025,1,1,0.9022035002708436,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.1,2,150
woodpecker,1043,1,1,0.9352500587701796,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.1,2,150
army tank,22,1,1,0.875883512198925,21.432273310978573,0,0.0,OVT-B,GroundingDINO,0.2,0,150
baseball cap,54,2,2,0.8627054989337921,15.203791937034106,0,0.0,OVT-B,GroundingDINO,0.2,0,150
bear,70,1,1,0.9511613079479764,38.546439933685846,0,0.0,OVT-B,GroundingDINO,0.2,0,150
bed,71,1,1,0.8483148887753487,9.864783778505611,0,0.0,OVT-B,GroundingDINO,0.2,0,150
bubble gum,131,1,1,0.8443723693490028,9.864783778505611,0,0.0,OVT-B,GroundingDINO,0.2,0,150
coffee maker,231,1,1,0.9069922417402267,38.546439933685846,0,0.0,OVT-B,GroundingDINO,0.2,0,150
computer keyboard,240,1,1,0.8522335141897202,9.864783778505611,0,0.0,OVT-B,GroundingDINO,0.2,0,150
cone,242,2,1,0.8744077682495117,21.432273310978573,1,0.5,OVT-B,GroundingDINO,0.2,0,150
defibrillator,277,1,1,0.8608748093247414,15.203791937034106,0,0.0,OVT-B,GroundingDINO,0.2,0,150
dirt bike,284,1,1,0.9090235754847528,38.546439933685846,0,0.0,OVT-B,GroundingDINO,0.2,0,150
dog,290,3,3,0.8922222728530566,32.841717726116755,0,0.0,OVT-B,GroundingDINO,0.2,0,150
doughnut,299,1,1,0.9073417683442434,38.546439933685846,0,0.0,OVT-B,GroundingDINO,0.2,0,150
frisbee,389,1,1,0.8524246737360954,9.864783778505611,0,0.0,OVT-B,GroundingDINO,0.2,0,150
garbage truck,397,1,1,0.8811084181070328,21.432273310978573,0,0.0,OVT-B,GroundingDINO,0.2,0,150
hat,456,1,1,0.8591142818331718,15.203791937034106,0,0.0,OVT-B,GroundingDINO,0.2,0,150
hippopotamus,471,1,1,0.8834720253944397,21.432273310978573,0,0.0,OVT-B,GroundingDINO,0.2,0,150
jacket,494,1,1,0.8814528807997704,21.432273310978573,0,0.0,OVT-B,GroundingDINO,0.2,0,150
mechanical pencil,581,2,2,0.8754339729036604,18.31803262400634,0,0.0,OVT-B,GroundingDINO,0.2,0,150
microphone,585,1,1,0.8481123074889183,9.864783778505611,0,0.0,OVT-B,GroundingDINO,0.2,0,150
minivan,590,1,1,0.929937519133091,38.546439933685846,0,0.0,OVT-B,GroundingDINO,0.2,0,150
music box,604,1,1,0.8732407838106155,21.432273310978573,0,0.0,OVT-B,GroundingDINO,0.2,0,150
nectarine,613,1,1,0.8423473153795514,9.864783778505611,0,0.0,OVT-B,GroundingDINO,0.2,0,150
person,669,97,97,0.867326630349831,17.760954672184713,0,0.0,OVT-B,GroundingDINO,0.2,0,150
picnic basket,675,1,1,0.8696878552436829,21.432273310978573,0,0.0,OVT-B,GroundingDINO,0.2,0,150
police car,702,1,1,0.8734080940485001,21.432273310978573,0,0.0,OVT-B,GroundingDINO,0.2,0,150
polo shirt,703,1,1,0.8567109107971191,15.203791937034106,0,0.0,OVT-B,GroundingDINO,0.2,0,150
poultry,716,1,1,0.8424113988876343,9.864783778505611,0,0.0,OVT-B,GroundingDINO,0.2,0,150
radio receiver,744,1,1,0.8531214892864227,9.864783778505611,0,0.0,OVT-B,GroundingDINO,0.2,0,150
ring,764,4,4,0.8543641611933708,14.091408201255975,0,0.0,OVT-B,GroundingDINO,0.2,0,150
seagull,802,1,1,0.8855689689517021,21.432273310978573,0,0.0,OVT-B,GroundingDINO,0.2,0,150
sedan,808,1,1,0.8887259513139725,21.432273310978573,0,0.0,OVT-B,GroundingDINO,0.2,0,150
shoe,821,1,1,0.8451412618160248,9.864783778505611,0,0.0,OVT-B,GroundingDINO,0.2,0,150
short pants,824,2,2,0.8457532860338688,9.864783778505611,0,0.0,OVT-B,GroundingDINO,0.2,0,150
skateboard,836,1,1,0.891389012336731,21.432273310978573,0,0.0,OVT-B,GroundingDINO,0.2,0,150
spectacles,862,8,8,0.8879702193662524,26.40414960293468,0,0.0,OVT-B,GroundingDINO,0.2,0,150
vulture,1001,2,2,0.8561537601053715,12.534287857769858,0,0.0,OVT-B,GroundingDINO,0.2,0,150
zebra,1052,1,0,0.8648730516433716,15.203791937034106,1,1.0,OVT-B,GroundingDINO,0.2,0,150
accordion,1,1,1,0.8635283187031746,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.2,1,150
army tank,22,1,1,0.875883512198925,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.2,1,150
barbell,48,1,1,0.8589383214712143,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.2,1,150
baseball cap,54,4,4,0.874245406438907,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.2,1,150
basket,56,1,1,0.8854187503457069,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.2,1,150
bass guitar,58,1,1,0.8573458269238472,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.2,1,150
bear,70,5,5,0.9098474230085101,30.60466368133415,0,0.0,OVT-B,GroundingDINO,0.2,1,150
bird,93,1,1,0.874662458896637,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.2,1,150
brass plaque,125,1,1,0.8996793106198311,37.20674236442314,0,0.0,OVT-B,GroundingDINO,0.2,1,150
cone,242,2,1,0.8744077682495117,20.70154565670066,1,0.5,OVT-B,GroundingDINO,0.2,1,150
dog,290,1,1,0.8989420160651207,37.20674236442314,0,0.0,OVT-B,GroundingDINO,0.2,1,150
excavator,345,1,1,0.8713892176747322,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.2,1,150
garbage truck,397,1,1,0.8811084181070328,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.2,1,150
golf ball,418,1,1,0.8879429996013641,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.2,1,150
kangaroo,506,1,1,0.8687141016125679,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.2,1,150
mechanical pencil,581,5,5,0.8789628520607948,24.00258499824516,0,0.0,OVT-B,GroundingDINO,0.2,1,150
person,669,102,101,0.8762174611728565,22.746225198916047,1,0.00980392156862745,OVT-B,GroundingDINO,0.2,1,150
school bus,793,1,1,0.8563653901219368,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.2,1,150
seagull,802,1,1,0.8855689689517021,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.2,1,150
seaplane,805,1,1,0.8884598165750504,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.2,1,150
short pants,824,2,2,0.879147857427597,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.2,1,150
spectacles,862,4,4,0.8847854863852262,27.451583036956187,0,0.0,OVT-B,GroundingDINO,0.2,1,150
sphygmomanometer,864,1,0,0.8663057908415794,20.70154565670066,1,1.0,OVT-B,GroundingDINO,0.2,1,150
spider,865,2,2,0.8727087438106537,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.2,1,150
sunglasses,900,2,2,0.9162638996328627,37.20674236442314,0,0.0,OVT-B,GroundingDINO,0.2,1,150
sweet potato,907,1,1,0.8568050041794777,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.2,1,150
swimsuit,911,1,1,0.8838513642549515,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.2,1,150
tv,984,1,1,0.888970285654068,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.2,1,150
wolf,1040,1,1,0.8911200165748596,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.2,1,150
woodpecker,1043,1,1,0.9352500587701796,37.20674236442314,0,0.0,OVT-B,GroundingDINO,0.2,1,150
zebra,1052,1,0,0.8648730516433716,20.70154565670066,1,1.0,OVT-B,GroundingDINO,0.2,1,150
accordion,1,1,1,0.8635283187031746,20.83233802276235,0,0.0,OVT-B,GroundingDINO,0.2,2,150
barbell,48,1,1,0.8589383214712143,20.83233802276235,0,0.0,OVT-B,GroundingDINO,0.2,2,150
baseball cap,54,3,3,0.8887975886464119,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.2,2,150
bee,73,3,1,0.8814729650815328,37.44649344759844,2,0.6666666666666666,OVT-B,GroundingDINO,0.2,2,150
coffee maker,231,1,1,0.9069922417402267,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.2,2,150
deck chair,275,1,1,0.8714550510048866,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.2,2,150
defibrillator,277,1,1,0.8608748093247414,20.83233802276235,0,0.0,OVT-B,GroundingDINO,0.2,2,150
dog,290,1,1,0.8989420160651207,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.2,2,150
doughnut,299,1,1,0.9073417683442434,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.2,2,150
egg yolk,334,1,1,0.8564060404896736,20.83233802276235,0,0.0,OVT-B,GroundingDINO,0.2,2,150
excavator,345,1,1,0.8684893175959587,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.2,2,150
garbage truck,397,1,1,0.8811084181070328,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.2,2,150
golf ball,418,2,2,0.9215337000787258,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.2,2,150
helicopter,465,1,1,0.8709823712706566,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.2,2,150
jacket,494,1,1,0.8814528807997704,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.2,2,150
mechanical pencil,581,6,6,0.8747018596955708,31.908441639319744,0,0.0,OVT-B,GroundingDINO,0.2,2,150
music box,604,1,1,0.8732407838106155,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.2,2,150
person,669,94,94,0.8794841067799439,33.558074092849566,0,0.0,OVT-B,GroundingDINO,0.2,2,150
picnic basket,675,1,1,0.8696878552436829,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.2,2,150
police car,702,1,1,0.8734080940485001,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.2,2,150
polo shirt,703,1,1,0.8567109107971191,20.83233802276235,0,0.0,OVT-B,GroundingDINO,0.2,2,150
pool table,706,1,1,0.8612140044569969,20.83233802276235,0,0.0,OVT-B,GroundingDINO,0.2,2,150
ring,764,2,2,0.8627216666936874,29.139415735180396,0,0.0,OVT-B,GroundingDINO,0.2,2,150
seagull,802,1,1,0.8855689689517021,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.2,2,150
sheep,816,1,1,0.8837988376617432,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.2,2,150
short pants,824,4,4,0.8791995644569397,29.139415735180396,0,0.0,OVT-B,GroundingDINO,0.2,2,150
spectacles,862,7,7,0.8878523015550205,35.07304267262186,0,0.0,OVT-B,GroundingDINO,0.2,2,150
sphygmomanometer,864,1,0,0.8663057908415794,37.44649344759844,1,1.0,OVT-B,GroundingDINO,0.2,2,150
sunglasses,900,2,2,0.9162638996328627,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.2,2,150
swimsuit,911,1,1,0.8838513642549515,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.2,2,150
train,966,1,1,0.8680336276690165,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.2,2,150
watch,1012,3,3,0.8780104617277781,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.2,2,150
whale,1025,1,1,0.9022035002708436,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.2,2,150
woodpecker,1043,1,1,0.9352500587701796,37.44649344759844,0,0.0,OVT-B,GroundingDINO,0.2,2,150
airplane,4,4,4,0.8968017399311066,22.534523841965672,0,0.0,TAO,GroundingDINO,0.2,0,150
army tank,1078,7,7,0.8529077825092134,11.125829271420555,0,0.0,TAO,GroundingDINO,0.2,0,150
baby,805,58,56,0.8659073253766265,17.32359293512599,2,0.034482758620689655,TAO,GroundingDINO,0.2,0,150
bear,78,1,1,0.9214472770690918,33.97091768583136,0,0.0,TAO,GroundingDINO,0.2,0,150
bicycle,95,1,1,0.8231156468391418,6.584191142833872,0,0.0,TAO,GroundingDINO,0.2,0,150
bird,99,2,2,0.9074269950389863,33.97091768583136,0,0.0,TAO,GroundingDINO,0.2,0,150
bottle,133,5,5,0.8667423248291015,14.851239350201478,0,0.0,TAO,GroundingDINO,0.2,0,150
cellular telephone,235,9,9,0.866322069256394,21.386906895716447,0,0.0,TAO,GroundingDINO,0.2,0,150
cow,81,1,1,0.957849197089672,33.97091768583136,0,0.0,TAO,GroundingDINO,0.2,0,150
crow,336,2,2,0.8621169030666351,20.277554414332617,0,0.0,TAO,GroundingDINO,0.2,0,150
dog,382,3,3,0.8467813730239868,11.467410440640874,0,0.0,TAO,GroundingDINO,0.2,0,150
eagle,415,1,1,0.8307744413614273,7.498137557212531,0,0.0,TAO,GroundingDINO,0.2,0,150
giraffe,502,6,6,0.9196632405122122,33.97091768583136,0,0.0,TAO,GroundingDINO,0.2,0,150
guitar,531,1,1,0.8418566584587097,8.744213113844921,0,0.0,TAO,GroundingDINO,0.2,0,150
gun,533,1,0,0.8284822106361389,7.498137557212531,1,1.0,TAO,GroundingDINO,0.2,0,150
helicopter,567,2,2,0.8516967073082924,11.098129998099981,0,0.0,TAO,GroundingDINO,0.2,0,150
heron,569,1,1,0.8334323316812515,8.744213113844921,0,0.0,TAO,GroundingDINO,0.2,0,150
hippopotamus,572,3,3,0.8438585817813874,10.313491036681627,0,0.0,TAO,GroundingDINO,0.2,0,150
horse,579,5,5,0.8536265852550665,11.136908980748785,0,0.0,TAO,GroundingDINO,0.2,0,150
kayak,611,3,3,0.8282627860705057,7.608847271297108,0,0.0,TAO,GroundingDINO,0.2,0,150
laptop computer,642,2,2,0.8432322790225346,11.098129998099981,0,0.0,TAO,GroundingDINO,0.2,0,150
lawn mower,645,1,1,0.8455335021018981,10.55449215882328,0,0.0,TAO,GroundingDINO,0.2,0,150
motor scooter,711,3,1,0.8470357010761896,11.882768959518335,2,0.6666666666666666,TAO,GroundingDINO,0.2,0,150
motorcycle,714,4,4,0.8379533964963186,8.894361324166479,0,0.0,TAO,GroundingDINO,0.2,0,150
notebook,736,1,1,0.8375251069664955,8.744213113844921,0,0.0,TAO,GroundingDINO,0.2,0,150
pumpkin,868,1,1,0.8466944932937622,13.452046882355043,0,0.0,TAO,GroundingDINO,0.2,0,150
sheep,961,4,4,0.8508581481873989,15.050889256841531,0,0.0,TAO,GroundingDINO,0.2,0,150
skateboard,980,5,5,0.8513856053352356,11.568913374950995,0,0.0,TAO,GroundingDINO,0.2,0,150
spider,1016,2,2,0.8757262289524078,23.7114822840932,0,0.0,TAO,GroundingDINO,0.2,0,150
surfboard,1057,10,10,0.8886514484882355,24.605800413637702,0,0.0,TAO,GroundingDINO,0.2,0,150
turtle,1152,1,1,0.8254765868186951,6.584191142833872,0,0.0,TAO,GroundingDINO,0.2,0,150
airplane,4,1,1,0.8338495492935181,7.518479889006937,0,0.0,TAO,GroundingDINO,0.2,1,150
army tank,1078,6,6,0.8508601006534365,10.01959412365798,0,0.0,TAO,GroundingDINO,0.2,1,150
baby,805,56,55,0.8734121498309684,18.582392779555644,1,0.017857142857142856,TAO,GroundingDINO,0.2,1,150
bear,78,1,1,0.8885005787014961,18.988413562833053,0,0.0,TAO,GroundingDINO,0.2,1,150
bicycle,95,4,4,0.8351656422019005,8.20138366604079,0,0.0,TAO,GroundingDINO,0.2,1,150
bird,99,2,2,0.9074269950389863,34.068163221773965,0,0.0,TAO,GroundingDINO,0.2,1,150
bottle,133,2,2,0.8791221976280212,19.983515130926424,0,0.0,TAO,GroundingDINO,0.2,1,150
bull,162,1,1,0.8458603024482727,10.583483684930153,0,0.0,TAO,GroundingDINO,0.2,1,150
cellular telephone,235,8,8,0.8654683362692595,14.952091283837918,0,0.0,TAO,GroundingDINO,0.2,1,150
cow,81,1,1,0.853557288646698,10.583483684930153,0,0.0,TAO,GroundingDINO,0.2,1,150
dog,382,4,4,0.849477156996727,10.543691988466424,0,0.0,TAO,GroundingDINO,0.2,1,150
elephant,429,1,1,0.8580035169919332,13.489320694998458,0,0.0,TAO,GroundingDINO,0.2,1,150
football helmet,473,5,4,0.832888412475586,6.870634749435714,1,0.2,TAO,GroundingDINO,0.2,1,150
giraffe,502,7,5,0.8977264903840564,23.749189186729048,2,0.2857142857142857,TAO,GroundingDINO,0.2,1,150
grocery bag,529,1,1,0.8626161217689514,13.489320694998458,0,0.0,TAO,GroundingDINO,0.2,1,150
gun,533,1,0,0.8284822106361389,5.8988670400788825,1,1.0,TAO,GroundingDINO,0.2,1,150
horse,579,12,12,0.8608262810028262,14.35490155634429,0,0.0,TAO,GroundingDINO,0.2,1,150
laptop computer,642,1,1,0.8509688675403595,10.583483684930153,0,0.0,TAO,GroundingDINO,0.2,1,150
lawn mower,645,1,1,0.8455335021018981,10.583483684930153,0,0.0,TAO,GroundingDINO,0.2,1,150
microphone,697,1,1,0.8300679922103882,5.8988670400788825,0,0.0,TAO,GroundingDINO,0.2,1,150
motor scooter,711,3,3,0.8578737725814184,11.499040426334616,0,0.0,TAO,GroundingDINO,0.2,1,150
motorcycle,714,2,2,0.8484351933002472,10.503900292002697,0,0.0,TAO,GroundingDINO,0.2,1,150
penguin,798,1,1,0.8472936078906059,10.583483684930153,0,0.0,TAO,GroundingDINO,0.2,1,150
pumpkin,868,1,1,0.8466944932937622,10.583483684930153,0,0.0,TAO,GroundingDINO,0.2,1,150
rabbit,875,1,1,0.8596064075827599,13.489320694998458,0,0.0,TAO,GroundingDINO,0.2,1,150
school bus,936,1,1,0.8266560435295105,5.8988670400788825,0,0.0,TAO,GroundingDINO,0.2,1,150
