candidate_id,formula,reduced_formula,elements,anonymous_formula,n_sites,space_group,source_prototype_id,model_family,frozen_model_score,block_id,public_label_status,novelty_status,duplicate_status,keep_for_followup,exclusion_reason,evidence_status,structure_ref,structure_sha256,has_structure_ref
pgcgm-6fb71cfbdf58763c,Rb2Ga2Bi,Rb2Ga2Bi,Rb|Ga|Bi,AB2C2,40.0,P4/mmm,P4#mmm,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C2::Bi-Ga-Rb,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::P4#mmm---309_1.cif,6fb71cfbdf58763c092a207abfbb18960f30972dc751c6c82925644550591cd7,True
pgcgm-4e6d50894923d53b,MgHgMo,MgHgMo,Mg|Hg|Mo,ABC,36.0,P6_3mc,P6_3mc,PGCGM_generated_pool_pending_ALIGNN_FF,,ABC::Hg-Mg-Mo,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::P6_3mc---967_0.cif,4e6d50894923d53bfd85470c56f7ffa3d9d765d8281c95baae2bc43b96792994,True
pgcgm-1370d6427f61db07,Be2HgAs,Be2HgAs,Be|Hg|As,ABC2,32.0,P4/mmm,P4#mmm,PGCGM_generated_pool_pending_ALIGNN_FF,,ABC2::As-Be-Hg,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::P4#mmm---317_1.cif,1370d6427f61db075358724e071635e163a33e213af9906d9be2f50faa119202,True
pgcgm-cebc6aa4d10ccddd,Al2Cu2Pd,Al2Cu2Pd,Al|Cu|Pd,AB2C2,40.0,P4/mmm,P4#mmm,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C2::Al-Cu-Pd,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::P4#mmm---572_1.cif,cebc6aa4d10ccddd46f0a3d907f73f37a09a854dd047b2e81ad40bfce7bf11a2,True
pgcgm-10534e6da750aa46,Y2Cr2Au,Y2Cr2Au,Y|Cr|Au,AB2C2,30.0,P-3m1,P-3m1,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C2::Au-Cr-Y,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::P-3m1---422_2.cif,10534e6da750aa46141024f9ca2ab1b53296e7dc4d5d3bf16e5341de0a532c08,True
pgcgm-45655fc81a848043,CrPbW,CrPbW,Cr|Pb|W,ABC,36.0,P-3m1,P-3m1,PGCGM_generated_pool_pending_ALIGNN_FF,,ABC::Cr-Pb-W,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::P-3m1---574_1.cif,45655fc81a848043866689bcb349b0793c9add3be06eb97ea6b1de046d4291ef,True
pgcgm-4efd2f436b6939d6,Zn2HIr2,Zn2HIr2,Zn|H|Ir,AB2C2,20.0,Immm,Immm,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C2::H-Ir-Zn,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Immm---818_0.cif,4efd2f436b6939d66e665aabfb722f4bfbfa32d707935ce0588a6fa22c860634,True
pgcgm-c9f78dedd6c27d49,LiZrMo,LiZrMo,Li|Zr|Mo,ABC,24.0,Pnma,Pnma,PGCGM_generated_pool_pending_ALIGNN_FF,,ABC::Li-Mo-Zr,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Pnma---497_2.cif,c9f78dedd6c27d49a5314d8bf66a48e3ed1a4897ad888a99fd00c6b070adfae3,True
pgcgm-da89ba20b9e8751e,InBiW,InBiW,In|Bi|W,ABC,36.0,P6_3mc,P6_3mc,PGCGM_generated_pool_pending_ALIGNN_FF,,ABC::Bi-In-W,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::P6_3mc---638_0.cif,da89ba20b9e8751eae351029d2373bbdc8392ff0b87865ad2da391d959166bcd,True
pgcgm-8e73275bfaa301d0,Li2Sc2Rh,Li2Sc2Rh,Li|Sc|Rh,AB2C2,30.0,P6_3mc,P6_3mc,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C2::Li-Rh-Sc,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::P6_3mc---436_1.cif,8e73275bfaa301d072344ad98e5b54f54ad6a8839931546a03aa0ba2e9c8a70a,True
pgcgm-2ad2fef5f28aaf38,Cd(HIr2)2,Cd(HIr2)2,Cd|H|Ir,AB2C4,28.0,P4/mmm,P4#mmm,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C4::Cd-H-Ir,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::P4#mmm---369_2.cif,2ad2fef5f28aaf3848fe1c78c1676992f83d9af181e1b96064b324f4cea76b9e,True
pgcgm-59b246c418941185,Ga2As2N,Ga2As2N,Ga|As|N,AB2C2,40.0,Cmcm,Cmcm,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C2::As-Ga-N,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Cmcm---523_0.cif,59b246c4189411857c34ee7d9150b8e5d35bd26d5f3d6e8c5e814e6b1db0d67e,True
pgcgm-7631d69e25b1b9e5,Tc2Te2Pb,Tc2Te2Pb,Tc|Te|Pb,AB2C2,30.0,P-3m1,P-3m1,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C2::Pb-Tc-Te,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::P-3m1---40_2.cif,7631d69e25b1b9e567d179ff1c3e4403ca62638e27f8a656ec218a40a2d0dc49,True
pgcgm-b0667df9c27e328e,Mo(PCl)2,Mo(PCl)2,Mo|P|Cl,AB2C2,40.0,P4/nmm,P4#nmm,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C2::Cl-Mo-P,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::P4#nmm---837_2.cif,b0667df9c27e328e53b05349e81c7fa8e43180609469ee0550a650353a051967,True
pgcgm-0c4f24a53ffdd315,Y(Ag2Cl)2,Y(Ag2Cl)2,Y|Ag|Cl,AB2C4,28.0,Immm,Immm,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C4::Ag-Cl-Y,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Immm---822_2.cif,0c4f24a53ffdd315b2df9054a3c0167a8ce79f57d2260a227e336a39e89152a3,True
pgcgm-029fe696366b4694,Li2Ge2S,Li2Ge2S,Li|Ge|S,AB2C2,40.0,Immm,Immm,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C2::Ge-Li-S,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Immm---202_1.cif,029fe696366b46940bab5560048504ac5b7a6e93c43aff15a297d273f33ce204,True
pgcgm-7134d101d11b651b,BaLiFe,BaLiFe,Ba|Li|Fe,ABC,24.0,Pnma,Pnma,PGCGM_generated_pool_pending_ALIGNN_FF,,ABC::Ba-Fe-Li,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Pnma---176_2.cif,7134d101d11b651ba36ca2892a11cfa779b2f938b7265ac2d41f21355f699032,True
pgcgm-bb0cecaa820e6d39,Zr2FeAs2,Zr2FeAs2,Zr|Fe|As,AB2C2,30.0,P-3m1,P-3m1,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C2::As-Fe-Zr,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::P-3m1---190_1.cif,bb0cecaa820e6d39bf81724773a266a61ecef794205d2fbcc537d33689416f2b,True
pgcgm-03bd11b72d25977f,Cs(SiTe)2,Cs(SiTe)2,Cs|Si|Te,AB2C2,40.0,Immm,Immm,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C2::Cs-Si-Te,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Immm---964_0.cif,03bd11b72d25977f9e49b30f04ee44d3ec360972468f91e9c468ddecd9c1493f,True
pgcgm-6e8487282064e355,Sn(RuAu)2,Sn(RuAu)2,Sn|Ru|Au,AB2C2,30.0,P-3m1,P-3m1,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C2::Au-Ru-Sn,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::P-3m1---640_0.cif,6e8487282064e355b0e43dc2e4760daf1cfa36a19126038bbde3332328e6e827,True
pgcgm-a36d63fcb5adb436,AlAgRh,AlAgRh,Al|Ag|Rh,ABC,24.0,Pnma,Pnma,PGCGM_generated_pool_pending_ALIGNN_FF,,ABC::Ag-Al-Rh,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Pnma---536_0.cif,a36d63fcb5adb4367ec02e2b12ef82f69985b00358c567b75e41c16f5947192b,True
pgcgm-acf88a91de9fed06,MnRuS,MnRuS,Mn|Ru|S,ABC,24.0,Pnma,Pnma,PGCGM_generated_pool_pending_ALIGNN_FF,,ABC::Mn-Ru-S,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Pnma---208_2.cif,acf88a91de9fed06f7e5741f794cb87479c082daa1b9f31f2ad1135497007ab1,True
pgcgm-69ee3c45a52f0365,Ba2Nb2O,Ba2Nb2O,Ba|Nb|O,AB2C2,40.0,Immm,Immm,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C2::Ba-Nb-O,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Immm---624_0.cif,69ee3c45a52f03658f60ce86b1f199e0f5c42a0138e2dacad0d65b7874db2216,True
pgcgm-199caa92a8afbb42,ReSbSe,ReSbSe,Re|Sb|Se,ABC,36.0,P6_3mc,P6_3mc,PGCGM_generated_pool_pending_ALIGNN_FF,,ABC::Re-Sb-Se,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::P6_3mc---550_1.cif,199caa92a8afbb42c4ff0688bdaa5ca0b9f0994933464b73bc789b446451272d,True
pgcgm-63a7cd8b932fe84a,RbLiTl2,RbLiTl2,Rb|Li|Tl,ABC2,32.0,Immm,Immm,PGCGM_generated_pool_pending_ALIGNN_FF,,ABC2::Li-Rb-Tl,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Immm---70_2.cif,63a7cd8b932fe84a9f56b80508f736d7f971f51f7c3bb0e4e25f99cece7ef4ed,True
pgcgm-e0e5ee00422aa5ab,Mn2PBr2,Mn2PBr2,Mn|P|Br,AB2C2,40.0,Immm,Immm,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C2::Br-Mn-P,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Immm---185_0.cif,e0e5ee00422aa5ab8665f7d12ca403f36612a6c99663bebc6584915a16d75e58,True
pgcgm-55e32feaf2b126eb,Na2PSe2,Na2PSe2,Na|P|Se,AB2C2,40.0,Immm,Immm,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C2::Na-P-Se,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Immm---703_0.cif,55e32feaf2b126eb4e84ac88b5535e51dfc11972119be36d0b399bd083ec9fea,True
pgcgm-af4bafae176d7e16,CaHfRe,CaHfRe,Ca|Hf|Re,ABC,24.0,Pnma,Pnma,PGCGM_generated_pool_pending_ALIGNN_FF,,ABC::Ca-Hf-Re,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Pnma---323_1.cif,af4bafae176d7e16869e3d18ddef4f4314e4f8bf1c6d7ff9a562a0fbb10b9fe5,True
pgcgm-b93502d945004bcd,Rb(AgTe)2,Rb(AgTe)2,Rb|Ag|Te,AB2C2,20.0,Immm,Immm,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C2::Ag-Rb-Te,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Immm---222_2.cif,b93502d945004bcd7e59456b4b7b661d1fef09f0a782603f56f2965655051ee4,True
pgcgm-37b96947acc3c310,Sr4Zr2Se,Sr4Zr2Se,Sr|Zr|Se,AB2C4,28.0,Immm,Immm,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C4::Se-Sr-Zr,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Immm---164_1.cif,37b96947acc3c310e8ba436e9df23981e31300bdde227246ac2421d40a776627,True
pgcgm-6ef544b18439d0e7,KCoRu,KCoRu,K|Co|Ru,ABC,24.0,Pnma,Pnma,PGCGM_generated_pool_pending_ALIGNN_FF,,ABC::Co-K-Ru,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Pnma---169_1.cif,6ef544b18439d0e702c33ac0d70a6f778d47c56b5359998df4eaa9cf44ea367c,True
pgcgm-824338adcb535f2d,Rh4Pb4S,Rh4Pb4S,Rh|Pb|S,AB4C4,36.0,Immm,Immm,PGCGM_generated_pool_pending_ALIGNN_FF,,AB4C4::Pb-Rh-S,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Immm---296_1.cif,824338adcb535f2dff05075eb9538a537b7c5144ef92a82c2d010a1edea73658,True
pgcgm-88c0debfa0de8a25,CsAgI,CsAgI,Cs|Ag|I,ABC,24.0,Pnma,Pnma,PGCGM_generated_pool_pending_ALIGNN_FF,,ABC::Ag-Cs-I,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Pnma---998_2.cif,88c0debfa0de8a256b3aae33e78fcc792484c8bafe2afb153edd49e1f3f09f3c,True
pgcgm-3b1cfd4f8d57f22e,Be2SbH,Be2SbH,Be|Sb|H,ABC2,32.0,I4/mmm,I4#mmm,PGCGM_generated_pool_pending_ALIGNN_FF,,ABC2::Be-H-Sb,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::I4#mmm---980_1.cif,3b1cfd4f8d57f22e89037578e1669b86a193521881c4da511f26ec02b174c52a,True
pgcgm-3e339504da8c4e4d,Cr2GaO2,Cr2GaO2,Cr|Ga|O,AB2C2,40.0,Immm,Immm,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C2::Cr-Ga-O,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Immm---279_0.cif,3e339504da8c4e4d96ab147b9883fdea7db83fda157166feac0701ccb5107a07,True
pgcgm-4ca3c81d766556f6,TaOs2F,TaOs2F,Ta|Os|F,ABC2,32.0,Cmcm,Cmcm,PGCGM_generated_pool_pending_ALIGNN_FF,,ABC2::F-Os-Ta,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Cmcm---715_2.cif,4ca3c81d766556f69b493898468c31faa71688e59840c5a676f0c8e68ba4b4ab,True
pgcgm-05ecd9ab4fe442da,K2AsC2,K2AsC2,K|As|C,AB2C2,40.0,P4/mmm,P4#mmm,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C2::As-C-K,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::P4#mmm---212_0.cif,05ecd9ab4fe442dab63351ef69b163b8e55189a0d76c565e5e63bb59428d40d7,True
