candidate_id,source,formula,n_sites,block_id,stable_DFT,structure_ref,structure_sha256,chgnet_energy_per_atom,frozen_model_score,score_status,element_reference_energy_per_atom,predicted_formation_energy_proxy
pgcgm-da89ba20b9e8751e,PGCGM_generated_candidates,InBiW,36.0,ABC::Bi-In-W,,1.tar.gz::P6_3mc---638_0.cif,da89ba20b9e8751eae351029d2373bbdc8392ff0b87865ad2da391d959166bcd,3.6505684852600098,-10.159734234941345,scored,-6.509165749681335,10.159734234941345
pgcgm-8e73275bfaa301d0,PGCGM_generated_candidates,Li2Sc2Rh,30.0,AB2C2::Li-Rh-Sc,,1.tar.gz::P6_3mc---436_1.cif,8e73275bfaa301d072344ad98e5b54f54ad6a8839931546a03aa0ba2e9c8a70a,5.756505966186523,-10.55141403536514,scored,-4.794908069178616,10.55141403536514
pgcgm-2ad2fef5f28aaf38,PGCGM_generated_candidates,Cd(HIr2)2,28.0,AB2C4::Cd-H-Ir,,1.tar.gz::P4#mmm---369_2.cif,2ad2fef5f28aaf3848fe1c78c1676992f83d9af181e1b96064b324f4cea76b9e,4.403244495391846,-10.580051907205009,scored,-6.176807411813163,10.580051907205009
pgcgm-59b246c418941185,PGCGM_generated_candidates,Ga2As2N,40.0,AB2C2::As-Ga-N,,1.tar.gz::Cmcm---523_0.cif,59b246c4189411857c34ee7d9150b8e5d35bd26d5f3d6e8c5e814e6b1db0d67e,5.141966342926025,-9.899889492821712,scored,-4.757923149895687,9.899889492821712
pgcgm-7631d69e25b1b9e5,PGCGM_generated_candidates,Tc2Te2Pb,30.0,AB2C2::Pb-Tc-Te,,1.tar.gz::P-3m1---40_2.cif,7631d69e25b1b9e567d179ff1c3e4403ca62638e27f8a656ec218a40a2d0dc49,2.872520923614502,-9.054086989558064,scored,-6.181566065943562,9.054086989558064
pgcgm-b0667df9c27e328e,PGCGM_generated_candidates,Mo(PCl)2,40.0,AB2C2::Cl-Mo-P,,1.tar.gz::P4#nmm---837_2.cif,b0667df9c27e328e53b05349e81c7fa8e43180609469ee0550a650353a051967,6.019931793212891,-11.096408096043731,scored,-5.076476302830841,11.096408096043731
pgcgm-0c4f24a53ffdd315,PGCGM_generated_candidates,Y(Ag2Cl)2,28.0,AB2C4::Ag-Cl-Y,,1.tar.gz::Immm---822_2.cif,0c4f24a53ffdd315b2df9054a3c0167a8ce79f57d2260a227e336a39e89152a3,4.433221340179443,-7.511938936333837,scored,-3.0787175961543936,7.511938936333837
pgcgm-029fe696366b4694,PGCGM_generated_candidates,Li2Ge2S,40.0,AB2C2::Ge-Li-S,,1.tar.gz::Immm---202_1.cif,029fe696366b46940bab5560048504ac5b7a6e93c43aff15a297d273f33ce204,7.338770866394043,-10.788586916008946,scored,-3.4498160496149017,10.788586916008946
pgcgm-7134d101d11b651b,PGCGM_generated_candidates,BaLiFe,24.0,ABC::Ba-Fe-Li,,1.tar.gz::Pnma---176_2.cif,7134d101d11b651ba36ca2892a11cfa779b2f938b7265ac2d41f21355f699032,2.0086255073547363,-6.128425220610728,scored,-4.119799713255992,6.128425220610728
pgcgm-bb0cecaa820e6d39,PGCGM_generated_candidates,Zr2FeAs2,30.0,AB2C2::As-Fe-Zr,,1.tar.gz::P-3m1---190_1.cif,bb0cecaa820e6d39bf81724773a266a61ecef794205d2fbcc537d33689416f2b,2.7784204483032227,-9.789537062775086,scored,-7.011116614471864,9.789537062775086
pgcgm-03bd11b72d25977f,PGCGM_generated_candidates,Cs(SiTe)2,40.0,AB2C2::Cs-Si-Te,,1.tar.gz::Immm---964_0.cif,03bd11b72d25977f9e49b30f04ee44d3ec360972468f91e9c468ddecd9c1493f,6.842103958129883,-10.479901471010116,scored,-3.6377975128802342,10.479901471010116
pgcgm-6e8487282064e355,PGCGM_generated_candidates,Sn(RuAu)2,30.0,AB2C2::Au-Ru-Sn,,1.tar.gz::P-3m1---640_0.cif,6e8487282064e355b0e43dc2e4760daf1cfa36a19126038bbde3332328e6e827,3.943737983703613,-9.802523170282434,scored,-5.858785186578821,9.802523170282434
pgcgm-a36d63fcb5adb436,PGCGM_generated_candidates,AlAgRh,24.0,ABC::Ag-Al-Rh,,1.tar.gz::Pnma---536_0.cif,a36d63fcb5adb4367ec02e2b12ef82f69985b00358c567b75e41c16f5947192b,7.877264976501465,-12.555718763362218,scored,-4.678453786860754,12.555718763362218
pgcgm-acf88a91de9fed06,PGCGM_generated_candidates,MnRuS,24.0,ABC::Mn-Ru-S,,1.tar.gz::Pnma---208_2.cif,acf88a91de9fed06f7e5741f794cb87479c082daa1b9f31f2ad1135497007ab1,5.435294628143311,-13.00581898991026,scored,-7.570524361766949,13.00581898991026
pgcgm-69ee3c45a52f0365,PGCGM_generated_candidates,Ba2Nb2O,40.0,AB2C2::Ba-Nb-O,,1.tar.gz::Immm---624_0.cif,69ee3c45a52f03658f60ce86b1f199e0f5c42a0138e2dacad0d65b7874db2216,7.443900108337402,-13.272987846975017,scored,-5.829087738637614,13.272987846975017
pgcgm-199caa92a8afbb42,PGCGM_generated_candidates,ReSbSe,36.0,ABC::Re-Sb-Se,,1.tar.gz::P6_3mc---550_1.cif,199caa92a8afbb42c4ff0688bdaa5ca0b9f0994933464b73bc789b446451272d,2.137749671936035,-8.831839020880958,scored,-6.694089348944923,8.831839020880958
pgcgm-63a7cd8b932fe84a,PGCGM_generated_candidates,RbLiTl2,32.0,ABC2::Li-Rb-Tl,,1.tar.gz::Immm---70_2.cif,63a7cd8b932fe84a9f56b80508f736d7f971f51f7c3bb0e4e25f99cece7ef4ed,11.781598091125488,-13.709385120675442,scored,-1.927787029549953,13.709385120675442
pgcgm-e0e5ee00422aa5ab,PGCGM_generated_candidates,Mn2PBr2,40.0,AB2C2::Br-Mn-P,,1.tar.gz::Immm---185_0.cif,e0e5ee00422aa5ab8665f7d12ca403f36612a6c99663bebc6584915a16d75e58,5.852987766265869,-11.237780724899025,scored,-5.384792958633157,11.237780724899025
pgcgm-55e32feaf2b126eb,PGCGM_generated_candidates,Na2PSe2,40.0,AB2C2::Na-P-Se,,1.tar.gz::Immm---703_0.cif,55e32feaf2b126eb4e84ac88b5535e51dfc11972119be36d0b399bd083ec9fea,0.1705117225646972,-3.189475010448435,scored,-3.0189632878837376,3.189475010448435
pgcgm-af4bafae176d7e16,PGCGM_generated_candidates,CaHfRe,24.0,ABC::Ca-Hf-Re,,1.tar.gz::Pnma---323_1.cif,af4bafae176d7e16869e3d18ddef4f4314e4f8bf1c6d7ff9a562a0fbb10b9fe5,2.946354866027832,-11.083294659460746,scored,-8.136939793432914,11.083294659460746
pgcgm-b93502d945004bcd,PGCGM_generated_candidates,Rb(AgTe)2,20.0,AB2C2::Ag-Rb-Te,,1.tar.gz::Immm---222_2.cif,b93502d945004bcd7e59456b4b7b661d1fef09f0a782603f56f2965655051ee4,7.633275032043457,-10.23661829297506,scored,-2.603343260931602,10.23661829297506
pgcgm-37b96947acc3c310,PGCGM_generated_candidates,Sr4Zr2Se,28.0,AB2C4::Se-Sr-Zr,,1.tar.gz::Immm---164_1.cif,37b96947acc3c310e8ba436e9df23981e31300bdde227246ac2421d40a776627,2.6547188758850098,-6.571746682631593,scored,-3.917027806746583,6.571746682631593
pgcgm-6ef544b18439d0e7,PGCGM_generated_candidates,KCoRu,24.0,ABC::Co-K-Ru,,1.tar.gz::Pnma---169_1.cif,6ef544b18439d0e702c33ac0d70a6f778d47c56b5359998df4eaa9cf44ea367c,7.077619552612305,-12.945356811092559,scored,-5.867737258480255,12.945356811092559
pgcgm-824338adcb535f2d,PGCGM_generated_candidates,Rh4Pb4S,36.0,AB4C4::Pb-Rh-S,,1.tar.gz::Immm---296_1.cif,824338adcb535f2dff05075eb9538a537b7c5144ef92a82c2d010a1edea73658,5.231814861297607,-10.64633911625553,scored,-5.414524254957923,10.64633911625553
pgcgm-88c0debfa0de8a25,PGCGM_generated_candidates,CsAgI,24.0,ABC::Ag-Cs-I,,1.tar.gz::Pnma---998_2.cif,88c0debfa0de8a256b3aae33e78fcc792484c8bafe2afb153edd49e1f3f09f3c,4.314242839813232,-6.0738496224979475,scored,-1.7596067826847155,6.0738496224979475
pgcgm-3b1cfd4f8d57f22e,PGCGM_generated_candidates,Be2SbH,32.0,ABC2::Be-H-Sb,,1.tar.gz::I4#mmm---980_1.cif,3b1cfd4f8d57f22e89037578e1669b86a193521881c4da511f26ec02b174c52a,0.8810830116271973,-4.654829796759626,scored,-3.7737467851324284,4.654829796759626
pgcgm-3e339504da8c4e4d,PGCGM_generated_candidates,Cr2GaO2,40.0,AB2C2::Cr-Ga-O,,1.tar.gz::Immm---279_0.cif,3e339504da8c4e4d96ab147b9883fdea7db83fda157166feac0701ccb5107a07,4.428570747375488,-10.883526317521754,scored,-6.454955570146266,10.883526317521754
pgcgm-4ca3c81d766556f6,PGCGM_generated_candidates,TaOs2F,32.0,ABC2::F-Os-Ta,,1.tar.gz::Cmcm---715_2.cif,4ca3c81d766556f69b493898468c31faa71688e59840c5a676f0c8e68ba4b4ab,-4.1441426277160645,-4.975837559990273,scored,-9.119980187706338,4.975837559990273
pgcgm-05ecd9ab4fe442da,PGCGM_generated_candidates,K2AsC2,40.0,AB2C2::As-C-K,,1.tar.gz::P4#mmm---212_0.cif,05ecd9ab4fe442dab63351ef69b163b8e55189a0d76c565e5e63bb59428d40d7,6.822437286376953,-11.915776433569036,scored,-5.093339147192083,11.915776433569036
pgcgm-202bd3f50ed0e06f,PGCGM_generated_candidates,Cd(TeSe)4,36.0,AB4C4::Cd-Se-Te,,1.tar.gz::Immm---905_0.cif,202bd3f50ed0e06f0762e01ddc5be695249f6134beeeb0fc302a4dbd4fc2832f,6.6937127113342285,-9.764611504162144,scored,-3.070898792827914,9.764611504162144
pgcgm-2f3b8099dac65bd4,PGCGM_generated_candidates,Cs(Cr2I)2,28.0,AB2C4::Cr-Cs-I,,1.tar.gz::Immm---480_2.cif,2f3b8099dac65bd440fcabf31780586801759b6ffc8a6ea16dd2eeb40618ac10,6.999223232269287,-13.091313344649539,scored,-6.092090112380252,13.091313344649539
pgcgm-d0cb27068e4f0514,PGCGM_generated_candidates,ScBeRh2,32.0,ABC2::Be-Rh-Sc,,1.tar.gz::Immm---143_2.cif,d0cb27068e4f05143727270e599edf2eb7cbedfcab98b30e79aa7b184afd8800,0.7852482795715332,-7.03146729362983,scored,-6.246219014058297,7.03146729362983
pgcgm-69d11605c41f32ba,PGCGM_generated_candidates,InBiW,36.0,ABC::Bi-In-W,,1.tar.gz::P6_3mc---638_1.cif,69d11605c41f32baa35dbef78988444c4201344fde5e2c63c343c1b464fba733,5.44096040725708,-11.950126156938415,scored,-6.509165749681335,11.950126156938415
pgcgm-38f15e7d6a62a094,PGCGM_generated_candidates,SiPdO,24.0,ABC::O-Pd-Si,,1.tar.gz::Pnma---567_0.cif,38f15e7d6a62a094a8ac9c9a95b3a08c10305b8c9d178f6527daa7043701305e,6.263236045837402,-11.456208300696515,scored,-5.192972254859113,11.456208300696515
pgcgm-125fbe9d54f11d55,PGCGM_generated_candidates,NaMoO,24.0,ABC::Mo-Na-O,,1.tar.gz::Pnma---951_1.cif,125fbe9d54f11d55c0241b5e2c415c4f55d9482a0ecdb2a0c9eec2ebff2225e7,-4.977548122406006,-0.7027874112783952,scored,-5.680335533684401,0.7027874112783952
pgcgm-39052ffce844aee5,PGCGM_generated_candidates,Cr2PbW2,30.0,AB2C2::Cr-Pb-W,,1.tar.gz::P-3m1---574_2.cif,39052ffce844aee5c8a479a5d7cc3a599de75cd562335f15de206f1da6b8b47e,4.124154090881348,-13.905629413228809,scored,-9.781475322347461,13.905629413228809
pgcgm-4a823257c46b9515,PGCGM_generated_candidates,MnInPd,36.0,ABC::In-Mn-Pd,,1.tar.gz::P6_3mc---649_0.cif,4a823257c46b9515a1661f95742783eb236e288bb5ad699cb71cef1c2d2624a8,1.5272274017333984,-7.248442110282358,scored,-5.72121470854896,7.248442110282358
pgcgm-d21d961af4e19ce0,PGCGM_generated_candidates,Sn(BN)4,36.0,AB4C4::B-N-Sn,,1.tar.gz::Immm---140_2.cif,d21d961af4e19ce05add592e7fc6cba3687a727be062e19cbc35cba3f67866cb,3.875396728515625,-11.000223625144994,scored,-7.124826896629368,11.000223625144994
pgcgm-cdbf1898792ef2fc,PGCGM_generated_candidates,CaZnFe,24.0,ABC::Ca-Fe-Zn,,1.tar.gz::Pnma---107_0.cif,cdbf1898792ef2fce1513661940cfeffbe5c7e9f499a83f7a67b446fdbf5b27c,4.648412704467773,-8.580024034325568,scored,-3.9316113298577937,8.580024034325568
pgcgm-27b496781d3487f2,PGCGM_generated_candidates,NiIO,24.0,ABC::I-Ni-O,,1.tar.gz::Pnma---307_2.cif,27b496781d3487f2c931d324af8e7222f98afce299ee39fad4a55699c5a9cdf9,7.037039756774902,-11.118699391879364,scored,-4.081659635104461,11.118699391879364
pgcgm-07a020ac98b8a4b2,PGCGM_generated_candidates,TaOsF2,32.0,ABC2::F-Os-Ta,,1.tar.gz::Cmcm---715_0.cif,07a020ac98b8a4b216eb21ebde707e3fd4f7febb82b11fd90cf99f49e3265d4e,3.8534460067749023,-10.62196336855105,scored,-6.768517361776148,10.62196336855105
pgcgm-195fe38f51d3fd97,PGCGM_generated_candidates,Fe2Pb2Au,40.0,AB2C2::Au-Fe-Pb,,1.tar.gz::Immm---902_0.cif,195fe38f51d3fd97ddf84c7b951e1af29d4dd20c280c9a26e875f742caef6dc5,8.35392951965332,-13.901358557885908,scored,-5.547429038232588,13.901358557885908
pgcgm-60b65bf43233e2ed,PGCGM_generated_candidates,NiAs2W,32.0,ABC2::As-Ni-W,,1.tar.gz::P4#nmm---162_2.cif,60b65bf43233e2ed0f00e7ba1819d97f8f088dc9836dd165f0127238d07e6669,6.816157341003418,-13.843286097977884,scored,-7.0271287569744665,13.843286097977884
pgcgm-1ad85ba80421f23b,PGCGM_generated_candidates,Sr(PdO)2,40.0,AB2C2::O-Pd-Sr,,1.tar.gz::Immm---508_0.cif,1ad85ba80421f23b50aa8608bf5302ebd65aaadcf841e8ee450d32d0e3206bec,3.883856773376465,-8.272799054841876,scored,-4.388942281465411,8.272799054841876
pgcgm-68669bba75358589,PGCGM_generated_candidates,Tl4CuPd2,28.0,AB2C4::Cu-Pd-Tl,,1.tar.gz::Immm---862_2.cif,68669bba753585890e6dd43698fb49af6d3e0d226e1b61eb0b9954958e35ad57,3.0151844024658203,-6.461313751755173,scored,-3.446129349289353,6.461313751755173
pgcgm-194dc0570321c29f,PGCGM_generated_candidates,Hf(SiPb)4,36.0,AB4C4::Hf-Pb-Si,,1.tar.gz::Immm---953_2.cif,194dc0570321c29f767ec6fc4dc8126e6763c9eda30749bb3b9f50449658cbcc,7.721897125244141,-12.906006460860947,scored,-5.184109335616807,12.906006460860947
pgcgm-6d2314dd53ffb80f,PGCGM_generated_candidates,Rh4PbS4,36.0,AB4C4::Pb-Rh-S,,1.tar.gz::Immm---296_2.cif,6d2314dd53ffb80fa8aeb51a18ee2bf0a52b9e5a4b0f5fc6de9c6b368bb4842b,-3.229438066482544,-2.3326941992347505,scored,-5.5621322657172945,2.3326941992347505
pgcgm-22ab7b00845b55b6,PGCGM_generated_candidates,Ba2I2N,40.0,AB2C2::Ba-I-N,,1.tar.gz::Immm---512_0.cif,22ab7b00845b55b6260d1551bf43a860e565a924873318c8f6635776a6235b9b,7.102932929992676,-10.139759998183642,scored,-3.0368270681909673,10.139759998183642
pgcgm-249818787bc49fb7,PGCGM_generated_candidates,Ba4Te4Se,36.0,AB4C4::Ba-Se-Te,,1.tar.gz::P4#mmm---673_2.cif,249818787bc49fb7460daed356931d388f67fffda37d4b70d7f27031e633939d,5.46429443359375,-8.129796600418572,scored,-2.6655021668248224,8.129796600418572
pgcgm-ffbd3ee843fc5a57,PGCGM_generated_candidates,RbHO,24.0,ABC::H-O-Rb,,1.tar.gz::Pnma---973_0.cif,ffbd3ee843fc5a57919eee5658dd8b28f085e0296972121380ab70a1b1954191,6.2676286697387695,-9.370651226684526,scored,-3.1030225569457563,9.370651226684526
pgcgm-a70f41d98c03c410,PGCGM_generated_candidates,Re4BIr4,36.0,AB4C4::B-Ir-Re,,1.tar.gz::Immm---898_0.cif,a70f41d98c03c410276d9cca211ec608e838bff42cb7d220fc3efb9923c113b7,-1.0065679550170898,-9.231337467082165,scored,-10.237905422099255,9.231337467082165
pgcgm-6fcd68b59611561f,PGCGM_generated_candidates,Li2Hf2Os,40.0,AB2C2::Hf-Li-Os,,1.tar.gz::Immm---517_0.cif,6fcd68b59611561f1b1259ed9639fdbd5d7add6605af83eb074fedd33269c961,0.9521260261535645,-7.962150171814505,scored,-7.010024145660941,7.962150171814505
pgcgm-29b23d87a4657a14,PGCGM_generated_candidates,Ga4Sb4Pt,36.0,AB4C4::Ga-Pt-Sb,,1.tar.gz::Immm---500_2.cif,29b23d87a4657a14d9f4ee53b11d38372fe8d65c39cfdd8f921d822d095cdf0c,7.55094051361084,-11.411967721943729,scored,-3.8610272083328887,11.411967721943729
pgcgm-18c8a3f83b7b9711,PGCGM_generated_candidates,MnFeAs,24.0,ABC::As-Fe-Mn,,1.tar.gz::Pnma---580_1.cif,18c8a3f83b7b97119a28343444d13a63ce75562a3bf7b8c82957614db7805e98,4.257251739501953,-11.715032992461229,scored,-7.457781252959275,11.715032992461229
pgcgm-0840b9f1f6d50e94,PGCGM_generated_candidates,MnPBr2,32.0,ABC2::Br-Mn-P,,1.tar.gz::Immm---185_1.cif,0840b9f1f6d50e9402f840d10e6937f51b1d4cae16fed4ccd6af1a0e648ac631,4.299755096435547,-8.733559233859912,scored,-4.4338041374243655,8.733559233859912
pgcgm-372cd151c6bb22d7,PGCGM_generated_candidates,Ga2BiAu2,40.0,AB2C2::Au-Bi-Ga,,1.tar.gz::Immm---404_0.cif,372cd151c6bb22d798e662f229a4820555149309ee60085988be3cac98ebbc55,6.939157962799072,-10.242916442401494,scored,-3.3037584796024224,10.242916442401494
pgcgm-3a1c2c9c0b5f96ca,PGCGM_generated_candidates,Ta2GeIr2,40.0,AB2C2::Ge-Ir-Ta,,1.tar.gz::Immm---808_1.cif,3a1c2c9c0b5f96caee2f1e7f9db7bb127bedcebb5e11e74e6921c4fee6315a67,3.428441047668457,-12.676938054104582,scored,-9.248497006436125,12.676938054104582
pgcgm-1b136a1d023fc06f,PGCGM_generated_candidates,YCrAu,36.0,ABC::Au-Cr-Y,,1.tar.gz::P-3m1---422_0.cif,1b136a1d023fc06f0be8270d6d26e85196bf7b871acae65d5621aee39f3058e5,5.757226943969727,-12.235965176040349,scored,-6.478738232070623,12.235965176040349
pgcgm-170f93d6bcf3073e,PGCGM_generated_candidates,Zr(FeAs)2,30.0,AB2C2::As-Fe-Zr,,1.tar.gz::P-3m1---190_2.cif,170f93d6bcf3073ebf99694f75a81de2e547b586aa2e9edc63f12b7f6f6d6217,3.810853958129883,-10.802955470730229,scored,-6.992101512600347,10.802955470730229
