reannotation_sample_id,dataset,video_id,path_id,pending_montage_path,second_reviewer_label,second_reviewer_verified_positive_for_calibration,second_reviewer_reason,second_reviewer_confidence,review_status
audit2000_reann_1343,TAO,415,ovtb_v415_p000336,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v415_p000336.jpg,,,,,
audit2000_reann_0231,OVT-B,529,ovtb_v529_p005834,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v529_p005834.jpg,,,,,
audit2000_reann_1032,TAO,4885,ovtb_v4885_p003284,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4885_p003284.jpg,,,,,
audit2000_reann_0865,TAO,4751,ovtb_v4751_p003067,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4751_p003067.jpg,,,,,
audit2000_reann_1496,BURST,404,ovtb_v404_p000695,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v404_p000695.jpg,,,,,
audit2000_reann_1766,BURST,773,ovtb_v773_p001184,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v773_p001184.jpg,,,,,
audit2000_reann_0207,OVT-B,42,ovtb_v42_p002544,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v42_p002544.jpg,,,,,
audit2000_reann_0266,OVT-B,881,ovtb_v881_p008504,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v881_p008504.jpg,,,,,
audit2000_reann_0138,OVT-B,42,ovtb_v42_p002572,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v42_p002572.jpg,,,,,
audit2000_reann_0245,OVT-B,810,ovtb_v810_p007961,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v810_p007961.jpg,,,,,
audit2000_reann_0780,TAO,5694,ovtb_v5694_p004137,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5694_p004137.jpg,,,,,
audit2000_reann_1638,BURST,1536,ovtb_v1536_p001877,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1536_p001877.jpg,,,,,
audit2000_reann_1261,TAO,2215,ovtb_v2215_p001184,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v2215_p001184.jpg,,,,,
audit2000_reann_1423,BURST,2421,ovtb_v2421_p003130,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v2421_p003130.jpg,,,,,
audit2000_reann_0583,OVT-B,295,ovtb_v295_p004263,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v295_p004263.jpg,,,,,
audit2000_reann_1338,TAO,1453,ovtb_v1453_p000601,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v1453_p000601.jpg,,,,,
audit2000_reann_1187,TAO,239,ovtb_v239_p000119,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v239_p000119.jpg,,,,,
audit2000_reann_0915,TAO,5261,ovtb_v5261_p003628,,,,,,
audit2000_reann_0387,OVT-B,55,ovtb_v55_p002702,,,,,,
audit2000_reann_0937,TAO,220,ovtb_v220_p000102,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v220_p000102.jpg,,,,,
audit2000_reann_0699,OVT-B,900,ovtb_v900_p008635,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v900_p008635.jpg,,,,,
audit2000_reann_1455,BURST,1680,ovtb_v1680_p002150,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1680_p002150.jpg,,,,,
audit2000_reann_0108,OVT-B,556,ovtb_v556_p006045,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v556_p006045.jpg,,,,,
audit2000_reann_1776,BURST,1452,ovtb_v1452_p001910,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1452_p001910.jpg,,,,,
audit2000_reann_0979,TAO,2491,ovtb_v2491_p001162,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v2491_p001162.jpg,,,,,
audit2000_reann_1745,BURST,2510,ovtb_v2510_p003158,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v2510_p003158.jpg,,,,,
audit2000_reann_1708,BURST,1018,ovtb_v1018_p001229,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1018_p001229.jpg,,,,,
audit2000_reann_1312,TAO,5881,ovtb_v5881_p004396,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5881_p004396.jpg,,,,,
audit2000_reann_0399,OVT-B,43,ovtb_v43_p002597,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v43_p002597.jpg,,,,,
audit2000_reann_0073,OVT-B,813,ovtb_v813_p007998,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v813_p007998.jpg,,,,,
audit2000_reann_0939,TAO,2699,ovtb_v2699_p001432,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v2699_p001432.jpg,,,,,
audit2000_reann_0593,OVT-B,634,ovtb_v634_p006616,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v634_p006616.jpg,,,,,
audit2000_reann_1045,TAO,4004,ovtb_v4004_p002381,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4004_p002381.jpg,,,,,
audit2000_reann_1084,TAO,4155,ovtb_v4155_p002376,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4155_p002376.jpg,,,,,
audit2000_reann_1145,TAO,5277,ovtb_v5277_p003703,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5277_p003703.jpg,,,,,
audit2000_reann_0923,TAO,3331,ovtb_v3331_p001820,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3331_p001820.jpg,,,,,
audit2000_reann_0246,OVT-B,230,ovtb_v230_p003762,,,,,,
audit2000_reann_0572,OVT-B,99,ovtb_v99_p002965,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v99_p002965.jpg,,,,,
audit2000_reann_0502,OVT-B,466,ovtb_v466_p005412,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v466_p005412.jpg,,,,,
audit2000_reann_0883,TAO,2340,ovtb_v2340_p001157,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v2340_p001157.jpg,,,,,
audit2000_reann_0042,OVT-B,911,ovtb_v911_p008696,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v911_p008696.jpg,,,,,
audit2000_reann_1307,TAO,4155,ovtb_v4155_p002377,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4155_p002377.jpg,,,,,
audit2000_reann_0009,OVT-B,40,ovtb_v40_p002423,,,,,,
audit2000_reann_0960,TAO,2491,ovtb_v2491_p001131,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v2491_p001131.jpg,,,,,
audit2000_reann_0722,TAO,4493,ovtb_v4493_p002930,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4493_p002930.jpg,,,,,
audit2000_reann_0688,OVT-B,434,ovtb_v434_p005170,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v434_p005170.jpg,,,,,
audit2000_reann_0165,OVT-B,600,ovtb_v600_p006377,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v600_p006377.jpg,,,,,
audit2000_reann_1889,BURST,1713,ovtb_v1713_p002284,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1713_p002284.jpg,,,,,
audit2000_reann_1383,TAO,369,ovtb_v369_p000290,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v369_p000290.jpg,,,,,
audit2000_reann_1750,BURST,2490,ovtb_v2490_p003118,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v2490_p003118.jpg,,,,,
audit2000_reann_0831,TAO,3014,ovtb_v3014_p001427,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3014_p001427.jpg,,,,,
audit2000_reann_0692,OVT-B,942,ovtb_v942_p008976,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v942_p008976.jpg,,,,,
audit2000_reann_1340,TAO,5277,ovtb_v5277_p003692,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5277_p003692.jpg,,,,,
audit2000_reann_1035,TAO,4830,ovtb_v4830_p003039,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4830_p003039.jpg,,,,,
audit2000_reann_0577,OVT-B,529,ovtb_v529_p005840,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v529_p005840.jpg,,,,,
audit2000_reann_0457,OVT-B,80,ovtb_v80_p002844,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v80_p002844.jpg,,,,,
audit2000_reann_1044,TAO,4976,ovtb_v4976_p003490,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4976_p003490.jpg,,,,,
audit2000_reann_0880,TAO,1982,ovtb_v1982_p000857,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v1982_p000857.jpg,,,,,
audit2000_reann_0811,TAO,5015,ovtb_v5015_p003471,,,,,,
audit2000_reann_1319,TAO,3876,ovtb_v3876_p002326,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3876_p002326.jpg,,,,,
audit2000_reann_0703,TAO,4172,ovtb_v4172_p002681,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4172_p002681.jpg,,,,,
audit2000_reann_1382,TAO,2238,ovtb_v2238_p001200,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v2238_p001200.jpg,,,,,
audit2000_reann_0912,TAO,5082,ovtb_v5082_p003541,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5082_p003541.jpg,,,,,
audit2000_reann_1097,TAO,661,ovtb_v661_p000406,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v661_p000406.jpg,,,,,
audit2000_reann_1306,TAO,4671,ovtb_v4671_p002950,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4671_p002950.jpg,,,,,
audit2000_reann_1389,TAO,4653,ovtb_v4653_p002941,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4653_p002941.jpg,,,,,
audit2000_reann_1210,TAO,3572,ovtb_v3572_p002199,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3572_p002199.jpg,,,,,
audit2000_reann_1282,TAO,2845,ovtb_v2845_p001476,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v2845_p001476.jpg,,,,,
audit2000_reann_0124,OVT-B,443,ovtb_v443_p005239,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v443_p005239.jpg,,,,,
audit2000_reann_1781,BURST,1156,ovtb_v1156_p001689,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1156_p001689.jpg,,,,,
audit2000_reann_0755,TAO,2076,ovtb_v2076_p000985,,,,,,
audit2000_reann_0671,OVT-B,757,ovtb_v757_p007542,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v757_p007542.jpg,,,,,
audit2000_reann_1386,TAO,3014,ovtb_v3014_p001425,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3014_p001425.jpg,,,,,
audit2000_reann_1232,TAO,1370,ovtb_v1370_p000708,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v1370_p000708.jpg,,,,,
audit2000_reann_1085,TAO,4057,ovtb_v4057_p002432,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4057_p002432.jpg,,,,,
audit2000_reann_0030,OVT-B,130,ovtb_v130_p003147,,,,,,
audit2000_reann_0949,TAO,5877,ovtb_v5877_p004237,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5877_p004237.jpg,,,,,
audit2000_reann_0959,TAO,5945,ovtb_v5945_p004450,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5945_p004450.jpg,,,,,
audit2000_reann_0417,OVT-B,278,ovtb_v278_p004128,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v278_p004128.jpg,,,,,
audit2000_reann_1329,TAO,5881,ovtb_v5881_p004391,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5881_p004391.jpg,,,,,
audit2000_reann_1017,TAO,2059,ovtb_v2059_p000968,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v2059_p000968.jpg,,,,,
audit2000_reann_0895,TAO,3630,ovtb_v3630_p002305,,,,,,
audit2000_reann_1337,TAO,5331,ovtb_v5331_p003802,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5331_p003802.jpg,,,,,
audit2000_reann_0598,OVT-B,91,ovtb_v91_p002920,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v91_p002920.jpg,,,,,
audit2000_reann_0125,OVT-B,419,ovtb_v419_p005064,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v419_p005064.jpg,,,,,
audit2000_reann_0521,OVT-B,998,ovtb_v998_p009339,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v998_p009339.jpg,,,,,
audit2000_reann_1052,TAO,3394,ovtb_v3394_p002069,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3394_p002069.jpg,,,,,
audit2000_reann_0434,OVT-B,5,ovtb_v5_p000265,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v5_p000265.jpg,,,,,
audit2000_reann_0732,TAO,2197,ovtb_v2197_p000962,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v2197_p000962.jpg,,,,,
audit2000_reann_0436,OVT-B,982,ovtb_v982_p009228,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v982_p009228.jpg,,,,,
