dataset,video_id,path_id,split,query,category_id,score,objectness,semantic_margin,temporal_stability,association_score,frame_start,frame_end,path_length,candidate_rank,is_dummy,matched_gt_id,matched_iou,temporal_overlap,matched_frames,is_matched_to_gt,is_unmatched,audit_label,verified_positive_for_calibration,cell_id,novelty_bin,query_cluster,occ_bin,domain_bin,fallback_level,score_source,label,reason,auditor,confidence,review_status,verified_positive_for_calibration_label,is_verified_positive,truth,e_value,generator,alpha1,seed
OVT-B,1925,ovtb_v1925_p015931,test,person,669,0.8556187748908997,0.8556187748908997,0.8556187748908997,1,0.0,89,89,1,345,False,,0.0,0.0,0,False,True,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy,,,,,,,False,,20.70154565670066,GroundingDINO,0.2,1
OVT-B,40,ovtb_v40_p002441,test,bee,73,0.8958861231803894,0.8958861231803894,0.8958861231803894,1,0.0,246,246,1,70,False,,0.0,0.0,0,False,True,actually_true,no,cat:73,unknown,bee,unknown,global,0,final_score_proxy,,,,,,,False,,37.44649344759844,GroundingDINO,0.2,2
OVT-B,40,ovtb_v40_p002410,test,bee,73,0.8723716735839844,0.8723716735839844,0.8723716735839844,1,0.0,35,35,1,204,False,1562.0,0.3060659425015704,0.0,0,False,True,actually_true,no,cat:73,unknown,bee,unknown,global,0,final_score_proxy,,,,,,,False,,37.44649344759844,GroundingDINO,0.2,2
OVT-B,1327,ovtb_v1327_p011765,test,sphygmomanometer,864,0.8663057908415794,0.8663057908415794,0.8663057908415794,8,0.875,0,19,8,250,False,9694.0,0.0818698471034325,0.0,0,False,True,,no,cat:864,unknown,sphygmomanometer,unknown,global,0,final_score_proxy,,,,,,,False,,37.44649344759844,GroundingDINO,0.2,2
TAO,1826,ovtb_v1826_p000760,test,motor scooter,711,0.85379958152771,0.85379958152771,0.85379958152771,1,0.0,1740,1740,1,226,False,,0.0,0.0,0,False,True,actually_true,no,cat:711,unknown,motor scooter,unknown,global,0,final_score_proxy,actually_true,released_unsupported_small_motor_scooter_confirmed_true,codex_visual_audit_v4_released_unsupported,medium,released_unsupported_review_confirmed_true,no,False,1.0,13.452046882355043,GroundingDINO,0.2,0
TAO,3326,ovtb_v3326_p001814,test,baby,805,0.8427113592624664,0.8427113592624664,0.8427113592624664,4,0.75,528,936,4,270,False,,0.0,0.0,0,False,True,actually_false,no,cat:805,unknown,baby,unknown,global,0,final_score_proxy,actually_false,wrong_category_adult_or_nonbaby_region,codex_visual_audit_v1_tao_model_assisted,high,model_assisted_second_dataset_audit,no,False,0.0,8.744213113844921,GroundingDINO,0.2,0
TAO,4634,ovtb_v4634_p002918,test,baby,805,0.8332734704017639,0.8332734704017639,0.8332734704017639,1,0.0,930,930,1,325,False,,0.0,0.0,0,False,True,,no,cat:805,unknown,baby,unknown,global,0,final_score_proxy,,,,,,,False,,8.744213113844921,GroundingDINO,0.2,0
TAO,1826,ovtb_v1826_p000754,test,motor scooter,711,0.8327430486679077,0.8327430486679077,0.8327430486679077,1,0.0,1080,1080,1,330,False,,0.0,0.0,0,False,True,,no,cat:711,unknown,motor scooter,unknown,global,0,final_score_proxy,,,,,,,False,,8.744213113844921,GroundingDINO,0.2,0
TAO,4559,ovtb_v4559_p003014,test,gun,533,0.8284822106361389,0.8284822106361389,0.8284822106361389,1,0.0,552,552,1,352,False,,0.0,0.0,0,False,True,,no,cat:533,unknown,gun,unknown,global,0,final_score_proxy,,,,,,,False,,7.498137557212531,GroundingDINO,0.2,0
TAO,5409,ovtb_v5409_p003899,test,giraffe,502,0.8456054925918579,0.8456054925918579,0.8456054925918579,1,0.0,2520,2520,1,259,False,,0.0,0.0,0,False,True,actually_true,no,cat:502,unknown,giraffe,unknown,global,0,final_score_proxy,actually_true,real_giraffe_partial_single_frame,codex_visual_audit_v3_release_supplement,medium,,no,False,1.0,10.583483684930153,GroundingDINO,0.2,1
TAO,4996,ovtb_v4996_p003433,test,football helmet,473,0.8348198533058167,0.8348198533058167,0.8348198533058167,1,0.0,2220,2220,1,316,False,30208.0,0.4609822664281079,0.0,0,False,True,,no,cat:473,unknown,football helmet,unknown,global,0,final_score_proxy,,,,,,,False,,7.518479889006937,GroundingDINO,0.2,1
TAO,4559,ovtb_v4559_p003014,test,gun,533,0.8284822106361389,0.8284822106361389,0.8284822106361389,1,0.0,552,552,1,352,False,,0.0,0.0,0,False,True,,no,cat:533,unknown,gun,unknown,global,0,final_score_proxy,,,,,,,False,,5.8988670400788825,GroundingDINO,0.2,1
TAO,4243,ovtb_v4243_p002481,test,baby,805,0.8263193964958191,0.8263193964958191,0.8263193964958191,1,0.0,270,270,1,367,False,,0.0,0.0,0,False,True,,no,cat:805,unknown,baby,unknown,global,0,final_score_proxy,,,,,,,False,,5.8988670400788825,GroundingDINO,0.2,1
TAO,5409,ovtb_v5409_p003896,test,giraffe,502,0.8239815831184387,0.8239815831184387,0.8239815831184387,1,0.0,2340,2340,1,379,False,,0.0,0.0,0,False,True,,no,cat:502,unknown,giraffe,unknown,global,0,final_score_proxy,,,,,,,False,,5.8988670400788825,GroundingDINO,0.2,1
TAO,5409,ovtb_v5409_p003899,test,giraffe,502,0.8456054925918579,0.8456054925918579,0.8456054925918579,1,0.0,2520,2520,1,259,False,,0.0,0.0,0,False,True,actually_true,no,cat:502,unknown,giraffe,unknown,global,0,final_score_proxy,actually_true,real_giraffe_partial_single_frame,codex_visual_audit_v3_release_supplement,medium,,no,False,1.0,10.49646553935783,GroundingDINO,0.2,2
