audit_item_id,ctc_dataset,sequence_id,frame_start,frame_end,source_image_path,source_frame_index,source_bbox_x,source_bbox_y,source_bbox_w,source_bbox_h,target_image_path,target_frame_index,target_bbox_x,target_bbox_y,target_bbox_w,target_bbox_h,packet,strong_model_label,strong_model_confidence,strong_model_support_score,model_reason,strong_model_id,auditor_id,human_label,human_confidence,human_notes,human_accepts_ai_label,evidence_scope
CTC-PHASE81-0043,DIC-C2DH-HeLa,2,49,50,DIC-C2DH-HeLa/02/t049,49,206,176,19,19,DIC-C2DH-HeLa/02/t050,50,206,176,19,19,calibration_audit,uncertain,medium,0.624578,mixed image-template and geometry evidence; route to human adjudication if used evidentially,phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,uncertain,medium,model-surrogate replacement label; not external human evidence; mixed image-template and geometry evidence; route to human adjudication if used evidentially,model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0045,Fluo-N2DH-GOWT1,2,63,64,Fluo-N2DH-GOWT1/02/t063,63,182,53,29,29,Fluo-N2DH-GOWT1/02/t064,64,184,53,29,29,calibration_audit,uncertain,medium,0.591685,mixed image-template and geometry evidence; route to human adjudication if used evidentially,phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,uncertain,medium,model-surrogate replacement label; not external human evidence; mixed image-template and geometry evidence; route to human adjudication if used evidentially,model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0057,PhC-C2DH-U373,2,10,11,PhC-C2DH-U373/02/t010,10,560,97,9,9,PhC-C2DH-U373/02/t011,11,556,97,13,9,calibration_audit,same_cell_supported,medium,0.774822,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,medium,"model-surrogate replacement label; not external human evidence; image-template, local-crop and geometry evidence support adjacent-frame same-cell link",model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0059,Fluo-N2DL-HeLa,2,51,52,Fluo-N2DL-HeLa/02/t051,51,908,275,5,5,Fluo-N2DL-HeLa/02/t052,52,908,275,5,5,calibration_audit,same_cell_supported,high,0.957518,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,high,"model-surrogate replacement label; not external human evidence; image-template, local-crop and geometry evidence support adjacent-frame same-cell link",model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0063,Fluo-N2DL-HeLa,2,10,11,Fluo-N2DL-HeLa/02/t010,10,583,162,5,5,Fluo-N2DL-HeLa/02/t011,11,583,161,5,6,calibration_audit,same_cell_supported,high,0.940802,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,high,"model-surrogate replacement label; not external human evidence; image-template, local-crop and geometry evidence support adjacent-frame same-cell link",model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0067,PhC-C2DH-U373,2,90,91,PhC-C2DH-U373/02/t090,90,51,288,1,1,PhC-C2DH-U373/02/t091,91,52,286,1,1,calibration_audit,uncertain,medium,0.684732,mixed image-template and geometry evidence; route to human adjudication if used evidentially,phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,uncertain,medium,model-surrogate replacement label; not external human evidence; mixed image-template and geometry evidence; route to human adjudication if used evidentially,model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0068,DIC-C2DH-HeLa,2,59,60,DIC-C2DH-HeLa/02/t059,59,220,301,19,19,DIC-C2DH-HeLa/02/t060,60,220,301,19,19,calibration_audit,uncertain,medium,0.626348,mixed image-template and geometry evidence; route to human adjudication if used evidentially,phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,uncertain,medium,model-surrogate replacement label; not external human evidence; mixed image-template and geometry evidence; route to human adjudication if used evidentially,model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0071,DIC-C2DH-HeLa,2,61,62,DIC-C2DH-HeLa/02/t061,61,286,435,19,19,DIC-C2DH-HeLa/02/t062,62,286,435,19,19,calibration_audit,uncertain,medium,0.722745,mixed image-template and geometry evidence; route to human adjudication if used evidentially,phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,uncertain,medium,model-surrogate replacement label; not external human evidence; mixed image-template and geometry evidence; route to human adjudication if used evidentially,model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0074,Fluo-N2DL-HeLa,2,12,13,Fluo-N2DL-HeLa/02/t012,12,583,286,6,5,Fluo-N2DL-HeLa/02/t013,13,584,286,5,5,calibration_audit,same_cell_supported,high,0.890243,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,high,"model-surrogate replacement label; not external human evidence; image-template, local-crop and geometry evidence support adjacent-frame same-cell link",model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0085,Fluo-N2DH-GOWT1,2,76,77,Fluo-N2DH-GOWT1/02/t076,76,513,515,40,41,Fluo-N2DH-GOWT1/02/t077,77,513,515,39,39,calibration_audit,same_cell_supported,high,0.924254,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,high,"model-surrogate replacement label; not external human evidence; image-template, local-crop and geometry evidence support adjacent-frame same-cell link",model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0086,Fluo-N2DH-GOWT1,2,33,34,Fluo-N2DH-GOWT1/02/t033,33,392,192,18,19,Fluo-N2DH-GOWT1/02/t034,34,392,193,22,23,calibration_audit,same_cell_supported,medium,0.835134,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,medium,"model-surrogate replacement label; not external human evidence; image-template, local-crop and geometry evidence support adjacent-frame same-cell link",model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0089,DIC-C2DH-HeLa,2,12,13,DIC-C2DH-HeLa/02/t012,12,146,49,15,15,DIC-C2DH-HeLa/02/t013,13,147,48,13,14,calibration_audit,uncertain,medium,0.596589,mixed image-template and geometry evidence; route to human adjudication if used evidentially,phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,uncertain,medium,model-surrogate replacement label; not external human evidence; mixed image-template and geometry evidence; route to human adjudication if used evidentially,model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0092,Fluo-N2DH-GOWT1,2,45,46,Fluo-N2DH-GOWT1/02/t045,45,431,241,33,33,Fluo-N2DH-GOWT1/02/t046,46,430,241,33,33,calibration_audit,same_cell_supported,high,0.887951,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,high,"model-surrogate replacement label; not external human evidence; image-template, local-crop and geometry evidence support adjacent-frame same-cell link",model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0094,DIC-C2DH-HeLa,2,21,22,DIC-C2DH-HeLa/02/t021,21,398,328,19,19,DIC-C2DH-HeLa/02/t022,22,398,328,19,19,calibration_audit,same_cell_supported,medium,0.761774,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,medium,"model-surrogate replacement label; not external human evidence; image-template, local-crop and geometry evidence support adjacent-frame same-cell link",model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0097,PhC-C2DH-U373,2,112,113,PhC-C2DH-U373/02/t112,112,54,339,3,3,PhC-C2DH-U373/02/t113,113,54,342,3,3,calibration_audit,uncertain,medium,0.73537,mixed image-template and geometry evidence; route to human adjudication if used evidentially,phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,uncertain,medium,model-surrogate replacement label; not external human evidence; mixed image-template and geometry evidence; route to human adjudication if used evidentially,model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0100,Fluo-N2DH-GOWT1,2,42,43,Fluo-N2DH-GOWT1/02/t042,42,128,461,39,40,Fluo-N2DH-GOWT1/02/t043,43,129,461,39,41,calibration_audit,same_cell_supported,medium,0.778011,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,medium,"model-surrogate replacement label; not external human evidence; image-template, local-crop and geometry evidence support adjacent-frame same-cell link",model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0106,DIC-C2DH-HeLa,2,63,64,DIC-C2DH-HeLa/02/t063,63,50,75,19,19,DIC-C2DH-HeLa/02/t064,64,50,75,19,19,calibration_audit,uncertain,medium,0.62895,mixed image-template and geometry evidence; route to human adjudication if used evidentially,phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,uncertain,medium,model-surrogate replacement label; not external human evidence; mixed image-template and geometry evidence; route to human adjudication if used evidentially,model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0112,Fluo-N2DH-GOWT1,2,10,11,Fluo-N2DH-GOWT1/02/t010,10,399,725,34,33,Fluo-N2DH-GOWT1/02/t011,11,399,722,36,33,calibration_audit,same_cell_supported,high,0.92287,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,high,"model-surrogate replacement label; not external human evidence; image-template, local-crop and geometry evidence support adjacent-frame same-cell link",model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0116,DIC-C2DH-HeLa,2,21,22,DIC-C2DH-HeLa/02/t021,21,322,204,19,19,DIC-C2DH-HeLa/02/t022,22,322,204,19,19,calibration_audit,same_cell_supported,medium,0.758004,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,medium,"model-surrogate replacement label; not external human evidence; image-template, local-crop and geometry evidence support adjacent-frame same-cell link",model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0118,PhC-C2DH-U373,2,34,35,PhC-C2DH-U373/02/t034,34,88,240,10,9,PhC-C2DH-U373/02/t035,35,92,243,9,10,calibration_audit,same_cell_supported,medium,0.811269,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,medium,"model-surrogate replacement label; not external human evidence; image-template, local-crop and geometry evidence support adjacent-frame same-cell link",model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0136,DIC-C2DH-HeLa,2,25,26,DIC-C2DH-HeLa/02/t025,25,322,204,19,19,DIC-C2DH-HeLa/02/t026,26,322,204,19,19,calibration_audit,same_cell_supported,medium,0.76808,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,medium,"model-surrogate replacement label; not external human evidence; image-template, local-crop and geometry evidence support adjacent-frame same-cell link",model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0138,DIC-C2DH-HeLa,2,82,83,DIC-C2DH-HeLa/02/t082,82,179,184,19,19,DIC-C2DH-HeLa/02/t083,83,179,184,19,19,calibration_audit,uncertain,medium,0.728305,mixed image-template and geometry evidence; route to human adjudication if used evidentially,phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,uncertain,medium,model-surrogate replacement label; not external human evidence; mixed image-template and geometry evidence; route to human adjudication if used evidentially,model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0141,PhC-C2DH-U373,2,41,42,PhC-C2DH-U373/02/t041,41,95,260,9,10,PhC-C2DH-U373/02/t042,42,95,265,10,9,calibration_audit,same_cell_supported,medium,0.828035,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,medium,"model-surrogate replacement label; not external human evidence; image-template, local-crop and geometry evidence support adjacent-frame same-cell link",model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0151,DIC-C2DH-HeLa,2,34,35,DIC-C2DH-HeLa/02/t034,34,234,307,19,19,DIC-C2DH-HeLa/02/t035,35,234,307,19,19,calibration_audit,same_cell_supported,medium,0.801876,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,medium,"model-surrogate replacement label; not external human evidence; image-template, local-crop and geometry evidence support adjacent-frame same-cell link",model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0154,PhC-C2DH-U373,2,16,17,PhC-C2DH-U373/02/t016,16,606,444,11,11,PhC-C2DH-U373/02/t017,17,597,445,11,11,calibration_audit,uncertain,medium,0.710292,mixed image-template and geometry evidence; route to human adjudication if used evidentially,phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,uncertain,medium,model-surrogate replacement label; not external human evidence; mixed image-template and geometry evidence; route to human adjudication if used evidentially,model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
