risk_model,n_rows,base_flip_rate,mean_roc_auc,std_roc_auc,mean_average_precision,std_average_precision,mean_brier_score,top20_risk_flip_rate,bottom20_risk_flip_rate,top20_enrichment_vs_base,feature_names,cv_scheme,evidence_scope,delta_auc_vs_candidate_margin,system_beats_candidate_margin,combined_beats_candidate_margin,primary_prediction_signal,model_role,panel,K,retain_fraction,flagged_fraction,n_total,n_retained_low_risk,n_flagged_high_risk,retained_flip_rate,flagged_flip_rate,relative_flip_rate_reduction_retained,fraction_flips_flagged,retained_beta_UCB_observed,triage_secondary_success,alpha0,release_size_candidate_level,nonempty_folds,fold_count,min_test_retained_n_across_folds,safe_folds_t1,observed_FTR_t1,observed_flip_rate_retained,mean_FTR_t0_by_design,beta_UCB_max_across_calibration_folds,beta_UCB_mean_across_calibration_folds,alpha0_plus_beta_UCB,budget_pass_pre_eval,seed_level_gate_available,primary_success_candidate_level,primary_success_full_certificate,paper_role
candidate_margin_only,,0.2248995983935743,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,300.0,0.7,0.30000000000000004,249.0,174.0,75.0,0.1896551724137931,0.30666666666666664,0.15671182266009853,0.4107142857142857,0.25436549177986023,False,,,,,,,,,,,,,,,,,
candidate_margin_only,,0.2248995983935743,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,300.0,0.8,0.19999999999999996,249.0,199.0,50.0,0.22110552763819097,0.24,0.016870064608757986,0.21428571428571427,0.2837418142921885,False,,,,,,,,,,,,,,,,,
candidate_margin_only,,0.2248995983935743,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,300.0,1.0,0.0,249.0,249.0,0.0,0.2248995983935743,,0.0,0.0,0.2807130375285646,False,,,,,,,,,,,,,,,,,
candidate_margin_only,,0.22916666666666666,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,500.0,0.3,0.7,192.0,57.0,135.0,0.24561403508771928,0.2222222222222222,-0.07177033492822965,0.6818181818181818,0.3710254384107928,False,,,,,,,,,,,,,,,,,
candidate_margin_only,,0.22916666666666666,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,500.0,0.4,0.6,192.0,76.0,116.0,0.18421052631578946,0.25862068965517243,0.19617224880382778,0.6818181818181818,0.2857847102440753,False,,,,,,,,,,,,,,,,,
candidate_margin_only,,0.22916666666666666,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,500.0,0.5,0.5,192.0,96.0,96.0,0.16666666666666666,0.2916666666666667,0.27272727272727276,0.6363636363636364,0.25371170521149716,False,,,,,,,,,,,,,,,,,
candidate_margin_only,,0.22916666666666666,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,500.0,0.6,0.4,192.0,115.0,77.0,0.17391304347826086,0.3116883116883117,0.24110671936758893,0.5454545454545454,0.2534119619620207,False,,,,,,,,,,,,,,,,,
candidate_margin_only,,0.22916666666666666,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,500.0,0.7,0.30000000000000004,192.0,134.0,58.0,0.23134328358208955,0.22413793103448276,-0.009497964721845368,0.29545454545454547,0.3096257499638566,False,,,,,,,,,,,,,,,,,
candidate_margin_only,,0.22916666666666666,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,500.0,0.8,0.19999999999999996,192.0,153.0,39.0,0.23529411764705882,0.20512820512820512,-0.02673796791443853,0.18181818181818182,0.3084798054668959,False,,,,,,,,,,,,,,,,,
candidate_margin_only,,0.22916666666666666,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,500.0,1.0,0.0,192.0,192.0,0.0,0.22916666666666666,,0.0,0.0,0.293583868424809,False,,,,,,,,,,,,,,,,,
candidate_plus_system,,0.2248995983935743,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,300.0,0.3,0.7,249.0,74.0,175.0,0.08108108108108109,0.2857142857142857,0.6394787644787644,0.8928571428571429,0.16582138239479394,True,,,,,,,,,,,,,,,,,
candidate_plus_system,,0.2248995983935743,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,300.0,0.4,0.6,249.0,99.0,150.0,0.08080808080808081,0.32,0.6406926406926408,0.8571428571428571,0.15141969336531508,True,,,,,,,,,,,,,,,,,
candidate_plus_system,,0.2248995983935743,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,300.0,0.5,0.5,249.0,124.0,125.0,0.07258064516129033,0.376,0.6772753456221198,0.8392857142857143,0.1321972009378224,True,,,,,,,,,,,,,,,,,
candidate_plus_system,,0.2248995983935743,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,300.0,0.6,0.4,249.0,149.0,100.0,0.09395973154362416,0.42,0.5822147651006712,0.75,0.15153506411484974,True,,,,,,,,,,,,,,,,,
candidate_plus_system,,0.2248995983935743,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,300.0,0.7,0.30000000000000004,249.0,174.0,75.0,0.1206896551724138,0.4666666666666667,0.4633620689655172,0.625,0.17745830610846045,True,,,,,,,,,,,,,,,,,
candidate_plus_system,,0.2248995983935743,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,300.0,0.8,0.19999999999999996,249.0,199.0,50.0,0.19095477386934673,0.36,0.1509332376166547,0.32142857142857145,0.2512150192606816,False,,,,,,,,,,,,,,,,,
candidate_plus_system,,0.2248995983935743,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,300.0,1.0,0.0,249.0,249.0,0.0,0.2248995983935743,,0.0,0.0,0.2807130375285646,False,,,,,,,,,,,,,,,,,
candidate_plus_system,,0.22916666666666666,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,500.0,0.3,0.7,192.0,57.0,135.0,0.0,0.32592592592592595,1.0,1.0,0.06314100878346394,True,,,,,,,,,,,,,,,,,
candidate_plus_system,,0.22916666666666666,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,500.0,0.4,0.6,192.0,76.0,116.0,0.02631578947368421,0.3620689655172414,0.8851674641148325,0.9545454545454546,0.09096795750937933,True,,,,,,,,,,,,,,,,,
candidate_plus_system,,0.22916666666666666,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,500.0,0.5,0.5,192.0,96.0,96.0,0.0625,0.3958333333333333,0.7272727272727273,0.8636363636363636,0.12971104936160943,True,,,,,,,,,,,,,,,,,
candidate_plus_system,,0.22916666666666666,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,500.0,0.6,0.4,192.0,115.0,77.0,0.06956521739130435,0.4675324675324675,0.6964426877470355,0.8181818181818182,0.13129014501456757,True,,,,,,,,,,,,,,,,,
candidate_plus_system,,0.22916666666666666,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,500.0,0.7,0.30000000000000004,192.0,134.0,58.0,0.1044776119402985,0.5172413793103449,0.5440976933514247,0.6818181818181818,0.167741015337124,True,,,,,,,,,,,,,,,,,
candidate_plus_system,,0.22916666666666666,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,500.0,0.8,0.19999999999999996,192.0,153.0,39.0,0.16993464052287582,0.46153846153846156,0.2584670231729055,0.4090909090909091,0.23735150668696917,False,,,,,,,,,,,,,,,,,
candidate_plus_system,,0.22916666666666666,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,500.0,1.0,0.0,192.0,192.0,0.0,0.22916666666666666,,0.0,0.0,0.293583868424809,False,,,,,,,,,,,,,,,,,
candidate_t0_score_only,,0.2248995983935743,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,300.0,0.3,0.7,249.0,74.0,175.0,0.25675675675675674,0.21142857142857144,-0.14165057915057913,0.6607142857142857,0.36654659459649164,False,,,,,,,,,,,,,,,,,
candidate_t0_score_only,,0.2248995983935743,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,300.0,0.4,0.6,249.0,99.0,150.0,0.21212121212121213,0.23333333333333334,0.05681818181818176,0.625,0.302615280774591,False,,,,,,,,,,,,,,,,,
candidate_t0_score_only,,0.2248995983935743,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,300.0,0.5,0.5,249.0,124.0,125.0,0.20161290322580644,0.248,0.10354262672811063,0.5535714285714286,0.28070315408146096,False,,,,,,,,,,,,,,,,,
candidate_t0_score_only,,0.2248995983935743,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,300.0,0.6,0.4,249.0,149.0,100.0,0.2214765100671141,0.23,0.015220517737296171,0.4107142857142857,0.29467992384711456,False,,,,,,,,,,,,,,,,,
candidate_t0_score_only,,0.2248995983935743,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,300.0,0.7,0.30000000000000004,249.0,174.0,75.0,0.2471264367816092,0.17333333333333334,-0.0988300492610838,0.23214285714285715,0.31621944580412,False,,,,,,,,,,,,,,,,,
candidate_t0_score_only,,0.2248995983935743,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,300.0,0.8,0.19999999999999996,249.0,199.0,50.0,0.24120603015075376,0.16,-0.072505384063173,0.14285714285714285,0.30518632648316896,False,,,,,,,,,,,,,,,,,
candidate_t0_score_only,,0.2248995983935743,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,300.0,1.0,0.0,249.0,249.0,0.0,0.2248995983935743,,0.0,0.0,0.2807130375285646,False,,,,,,,,,,,,,,,,,
candidate_t0_score_only,,0.22916666666666666,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,500.0,0.3,0.7,192.0,57.0,135.0,0.2807017543859649,0.2074074074074074,-0.2248803827751196,0.6363636363636364,0.40830445082723554,False,,,,,,,,,,,,,,,,,
candidate_t0_score_only,,0.22916666666666666,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,500.0,0.4,0.6,192.0,76.0,116.0,0.2631578947368421,0.20689655172413793,-0.1483253588516746,0.5454545454545454,0.371814568610999,False,,,,,,,,,,,,,,,,,
candidate_t0_score_only,,0.22916666666666666,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,500.0,0.5,0.5,192.0,96.0,96.0,0.2604166666666667,0.19791666666666666,-0.1363636363636365,0.4318181818181818,0.35621242556596444,False,,,,,,,,,,,,,,,,,
candidate_t0_score_only,,0.22916666666666666,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,500.0,0.6,0.4,192.0,115.0,77.0,0.25217391304347825,0.19480519480519481,-0.10039525691699604,0.3409090909090909,0.3386717345624406,False,,,,,,,,,,,,,,,,,
candidate_t0_score_only,,0.22916666666666666,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,500.0,0.7,0.30000000000000004,192.0,134.0,58.0,0.26119402985074625,0.15517241379310345,-0.1397557666214382,0.20454545454545456,0.3414861010615281,False,,,,,,,,,,,,,,,,,
candidate_t0_score_only,,0.22916666666666666,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,500.0,0.8,0.19999999999999996,192.0,153.0,39.0,0.26143790849673204,0.10256410256410256,-0.14081996434937621,0.09090909090909091,0.33629958818590744,False,,,,,,,,,,,,,,,,,
candidate_t0_score_only,,0.22916666666666666,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,500.0,1.0,0.0,192.0,192.0,0.0,0.22916666666666666,,0.0,0.0,0.293583868424809,False,,,,,,,,,,,,,,,,,
chemical_system_exploration_only,,0.2248995983935743,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,300.0,0.3,0.7,249.0,74.0,175.0,0.06756756756756757,0.2914285714285714,0.699565637065637,0.9107142857142857,0.14861386104924684,True,,,,,,,,,,,,,,,,,
