claim_id,claim_text,evidence_type,positive_evidence,scope,artifact_path,hash,validation_command,status,overclaim_guardrail
DUR-001,Version-shift accounting decomposes FTR_t1 into FTR_t0 plus stable-to-unstable drift minus unstable-to-stable correction.,deterministic_accounting_identity,yes,deterministic_accounting_identity_not_new_risk_control_theorem,outputs/milestones/ncs_phase66_certificate_durability/table_version_shift_decomposition_by_k.csv,7c986e0eab2bf5bd67dc22198c1eaa2a67c080267b6c655626382a108feb2822,make reproduce-ncs-phase66-certificate-durability,PASS,do_not_present_as_deep_risk_control_theorem_or_t1_alpha_certificate
DUR-002,A t0 certificate inherited at t1 degrades by the released-set stable-to-unstable drift term.,inherited_certificate_decay_bound,yes,expectation_level_inherited_bound_requires_drift_term,outputs/milestones/ncs_phase66_certificate_durability/supplement_certificate_durability.tex,836ba523ab971e4119c89d8c747c101a9465bb2669ed9ee0eddceb5f2d01cc9a,make reproduce-ncs-phase66-certificate-durability,PASS,do_not_claim_prospective_t1_alpha_control_without_pre_update_drift_bound
DUR-003,A margin buffer converts historical reference drift into an operational durability design diagnostic.,margin_buffer_durability_diagnostic,partial,empirical_drift_calibrated_design_principle,outputs/milestones/ncs_phase66_certificate_durability/table_historical_drift_tail_by_margin.csv,2d97ad72d4a452a9d64945e9590598ab77c724e6c653b609f4613a80b5f9f5f8,make reproduce-ncs-phase66-certificate-durability,PASS,historical_drift_tails_are_not_absolute_future_guarantees
DUR-004,t1 recertification restores a version-specific PARC certificate or returns certified refusal.,versioned_recertification_theorem_and_frontier,partial,relative_to_selected_t1_reference_not_absolute_physical_truth,outputs/milestones/ncs_phase66_certificate_durability/table_parc_r_k_sweep_gate_audit.csv,4af31fbb3b76e89903d4f3d3f9ed2345aa1a4a38df28e939938067045a283221,make reproduce-ncs-phase66-certificate-durability,PASS,do_not_claim_absolute_truth_DFT_or_prospective_materials_discovery
DUR-005,The small-K PARC-R frontier tests whether current-MP recertification recovers a smaller release after high-volume refusal.,predeclared_K_sweep_recertification_frontier,no,completed_frontier_no_positive_current_MP_recertification_gate,outputs/milestones/ncs_phase66_certificate_durability/table_parc_r_k_sweep_frontier.csv,8280bf2800a1a2249e49b77b1bb28c1e975c0465942ffa0a7c9cecadf18acde4,make reproduce-ncs-phase66-certificate-durability,PASS,report_all_K_values_do_not_select_K_by_post_release_FTR
DUR-MARGIN-001,Margin-stable certification tests whether requiring t0 hull margin m yields a current-MP surviving release frontier.,margin_stable_certification_frontier,partial,t0_margin_release_card_diagnostic_not_prospective_discovery,outputs/milestones/ncs_phase67_margin_stable_certification/table_margin_stable_certification_frontier.csv,8fe73bed01a3f1076504179c465ec76e3ab845db11471c25a59fe99523ffdf67,make reproduce-ncs-phase67-margin-stable-certification,PASS,do_not_claim_DFT_evidence_or_prospective_materials_discovery_or_raw_score_ranking
DUR-MARGIN-HARD-001,Hard t0-margin eligibility tests whether a deterministic margin buffer yields a current-MP surviving release frontier.,hard_margin_eligibility_frontier,partial,t0_margin_eligibility_design_diagnostic_not_prospective_discovery,outputs/milestones/ncs_phase67b_hard_margin_eligibility/table_hard_margin_frontier.csv,75275536e66ec712a35ca34542f2c52b311bdc989cc297af00b844d432528fb1,make reproduce-ncs-phase67b-hard-margin-eligibility,PASS,do_not_claim_DFT_evidence_or_prospective_materials_discovery_or_hidden_label_discovery
DUR-RISK-001,Durability failure after reference drift is evaluated as a t0-time candidate/system risk-prediction problem.,durability_risk_prediction_diagnostic,yes,prediction_diagnostic_not_release_certificate,outputs/milestones/ncs_phase67c_durability_risk_prediction/table_durability_risk_prediction_model_comparison.csv,14cff686f1d26343582b8bf9f81c66f77ef164283c40b9546ae2cd9ad158199f,make reproduce-ncs-phase67c-durability-risk-prediction,PASS,do_not_claim_release_certificate_DFT_evidence_or_prospective_materials_discovery
MAT-DFTV2-CHECKPOINT-001,DFT v2 local VASP execution is monitored as an execution checkpoint without stable_exact outcomes.,DFT_execution_checkpoint,no,execution_progress_only_not_DFT_validation,outputs/milestones/ncs_phase70_dft_v2_checkpoint/table_dft_v2_execution_checkpoint_summary.csv,f0ab024b441f03c5f5108bf0d231c9423cc240949b440271d3f852faeb148e7c,make reproduce-ncs-phase70-dft-v2-checkpoint,PASS,do_not_claim_stability_DFT_validation_or_prospective_discovery
CTC-PARCA-001,"A 0.5% score-targeted one-sided audit turns CTC K=100 from refusal into 20/20 safe certified release, while matched-budget random audit remains empty.",certificate_directed_active_verification,yes,primary_CTC_only_not_materials_discovery,outputs/milestones/ncs_phase63_parc_a_certificate_directed_active_verification/table_parc_a_primary_gate.csv,b9ed00767c1cb1ac20f46f558bba5932d83d593db561985e10e967ef4623688b,make reproduce-ncs-phase63-parc-a-active-verification,PASS,do_not_claim_new_human_labels_DFT_or_prospective_materials_discovery
CTC-PARCA-MECH-001,Score-targeted CTC active audit works by removing high-scoring positive calibration block maxima that constrain PARC evidence.,mechanism_diagnostic,partial,CTC_primary_only_existing_labels_no_new_human_audit,outputs/milestones/ncs_phase65b_parc_a_mechanism_diagnostics/table_parc_a_mechanism_gate.csv,cc3741a6c6d1553d7da3e88c73d2c764ebdd4fb72c2fbd007f180b2c620d02c1,make reproduce-ncs-phase65b-parc-a-mechanism-diagnostics,PASS,do_not_claim_new_human_labels_or_materials_primary_success
PARC-D-PRIMARY-BUDGET,A durability-budgeted candidate-level release row satisfies alpha0 + beta_UCB <= 0.10 and observed retained t1 FTR <= 0.10.,durability_budgeted_release_card,yes,not_full_release_alpha_certificate;seed_level_gate_not_available;not_DFT_evidence,outputs/milestones/ncs_phase69_durability_budgeted_parc/table_durability_budgeted_release_frontier.csv,cd45214bdcb96ac231ed77701345234faadebf2508eaa10d0a20925e11285e5c,make reproduce-ncs-phase69-durability-budgeted-parc,PASS,not_full_release_alpha_certificate;seed_level_gate_not_available;not_DFT_evidence
PARC-D-TRIAGE,Durability-risk triage reduces retained stable-to-unstable flip burden and routes high-risk rows to recertification.,durability_budgeted_release_card,yes,triage_not_repaired_alpha_certificate;not_label_free_deployment_predictor,outputs/milestones/ncs_phase69_durability_budgeted_parc/table_risk_triage_frontier.csv,f564a6fee0d96fd41a2c95a88a4c498c7ebb061fadaa516a604ed755aff3b275,make reproduce-ncs-phase69-durability-budgeted-parc,PASS,triage_not_repaired_alpha_certificate;not_label_free_deployment_predictor
PARC-D-CERT-001,Risk-gated filtered-universe recertification recomputes the null-superset denominator but does not recover a current-MP release certificate.,risk_gated_recertification,no,completed_no_go_risk_gated_recertification,outputs/milestones/ncs_phase74_risk_gated_recertification/table_risk_gated_primary_row.csv,6564c2143f8ba20c3ade106ec0c60a5c069d3fb01e0c56a712a2e7108a051beb,make reproduce-ncs-phase74-risk-gated-recertification,PASS,do_not_claim_alpha_certificate_DFT_or_prospective_discovery
PARC-ACTIVE-RECERT-001,Active current-MP t1 recertification tests whether targeted calibration-side one-sided support restores self-consistent release after passive refusal.,active_versioned_recertification,no,completed_active_recertification_no_go,outputs/milestones/ncs_phase75_active_versioned_recertification/table_active_recertification_policy_comparison.csv,6d7e2c24083030c4fcb5e8d3cde88e6d2a02f40434f750cd11ff87a0bb43b9c3,make reproduce-ncs-phase75-active-versioned-recertification,PASS,do_not_claim_DFT_evidence_prospective_discovery_or_label_free_predictor
PARC-LIFECYCLE-001,"PARC is represented as a release-card lifecycle calculus covering release, refusal, active audit, expiry, recertification and risk triage.",lifecycle_calculus_synthesis,yes,completed_lifecycle_calculus_synthesis,outputs/milestones/ncs_phase76_parc_lifecycle_calculus/table_lifecycle_baseline_capabilities.csv,3d763b5290f8ccb1b5b68e1d4f65174d93a2b00313a515a023034e7ceae6dcba,make reproduce-ncs-phase76-parc-lifecycle-calculus,PASS,do_not_claim_new_empirical_evidence_DFT_or_prospective_discovery
NCS-ARCH-001,"The NCS manuscript architecture is frozen around PARC lifecycle calculus, PARC-A CTC primary positive, and materials lifecycle stress-test boundaries.",manuscript_architecture_freeze,yes,completed_NCS_architecture_freeze,outputs/milestones/ncs_phase77_ncs_architecture_freeze/NCS_CLAIM_HIERARCHY.csv,b363938896db2644ca6823c22e91b3f946c4bdae479423cece342cfe839e4bf5,make reproduce-ncs-phase77-architecture-freeze,PASS,do_not_claim_new_empirical_evidence_materials_alpha_certificate_or_DFT_validation
CTC-REAL-AUDIT-001,The CTC strict-release queue has human-confirmed one-sided review support with zero observed false or uncertain rows.,human_confirmed_one_sided_audit,yes,completed_CTC_real_one_sided_audit_integration,outputs/milestones/ncs_phase78_ctc_real_one_sided_audit/table_ctc_real_audit_release_gate.csv,e45958c9acdcb4508b2504e3335e8b63de4c868d0a58931c5e6e11abb74e5da3,make reproduce-ncs-phase78-ctc-real-one-sided-audit,PASS,do_not_claim_microscopy_expert_adjudication_new_domain_materials_evidence_or_DFT_validation
SIM-BREADTH-001,"A controlled evolving-reference simulation recovers candidate-driven and neighborhood-driven durability signatures, supporting the conceptual breadth of the materials durability-risk finding.",controlled_mechanism_simulation,yes,completed_controlled_generality_simulation,outputs/milestones/ncs_phase79_controlled_evolving_reference_simulation/table_controlled_simulation_go_no_go.csv,e03d8fe11f9360a41e918173e2bbb39387d822cb50eae55a765d86df27be633b,make reproduce-ncs-phase79-controlled-evolving-reference-simulation,PASS,do_not_claim_external_domain_release_certificate_DFT_evidence_or_prospective_materials_discovery
NCS-PHASE80-001,"Phase80 freezes the finding-first NCS submission package around PARC-A, durability-risk, and Phase79 controlled breadth support.",paperization_scope_freeze,synthesis_only,NCS_phase80_finding_first_submission_package;synthesis_of_completed_phase67c_76_78_79_artifacts;not_new_empirical_result;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery,outputs/milestones/ncs_phase80_finding_first_submission_package/table_phase80_finding_hierarchy.csv,5d703fae5f482cfa0a7810d1c238d31d09d80cbcb1f16498dc01375fadf11cb8,make reproduce-ncs-phase80-finding-first-submission-package,PASS,do_not_treat_phase80_as_new_empirical_result_or_release_certificate
DUR-RISK-HARDEN-001,"The durability-risk headline display uses a pruned t0-only system margin-landscape/activity model with bootstrap CI, calibration and base-rate controls.",review_hardening,yes,completed_durability_risk_headline_hardening;phase67c_review_hardening;features_t0_only;group_cv_by_chemical_system;chemical_system_bootstrap_CI;calibration_and_base_rate_controls;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery,outputs/milestones/ncs_phase67d_durability_risk_headline_hardening/table_headline_pruned_model_summary.csv,38ab59ce214fc610c9a943ffac3a4da96475eac4f2c49c88902faef67e63c54d,make reproduce-ncs-phase67d-durability-risk-headline-hardening,PASS,not_release_certificate_not_DFT_not_label_free_predictor
CTC-EXT-BLIND-AUDIT-001,A CTC external blind one-sided audit mini-study packet is frozen for two independent auditors.,external_blind_audit_packet,no,packet_frozen_pending_independent_labels;not_completed_audit,outputs/milestones/ncs_phase81_ctc_external_blind_audit_mini_study/table_ctc_external_blind_audit_claim_gate.csv,6e1b44190dd728765157c872cc392c9ba3574b4085a47db6da0a997a5c35c51d,make reproduce-ncs-phase81-ctc-external-blind-audit-mini-study,PASS,do_not_claim_completed_external_audit_expert_adjudication_raw_only_comparator_or_new_positive_evidence
CTC-AI-PREANNOTATION-001,AI preannotations were generated for the frozen CTC external blind audit packet before human review.,ai_preannotation_review_aid,no,human_review_pending;not_completed_audit,outputs/milestones/ncs_phase82_ctc_ai_preannotation_for_human_review/table_ctc_ai_preannotation_claim_gate.csv,1ca9cb1712017b8e3f32c6b26c0f93ee205e1c4b46a94fab5a335dbb82f64f47,make reproduce-ncs-phase82-ctc-ai-preannotation-for-human-review,PASS,do_not_claim_completed_human_review_external_audit_success_expert_adjudication_or_ground_truth_from_AI_labels
NCS-PHASE83-001,Phase83 packages one-sided necessity principles and completed prevented-harm artifacts for the release-card lifecycle framing.,paperization_synthesis,synthesis_only,completed_theory_and_completed_artifact_synthesis;not_new_empirical_result,outputs/milestones/ncs_phase83_necessity_and_prevented_harm/table_phase83_claim_gate.csv,ce3c9f018bf5e22e3fbbcdc8597f373f595e077212849434678ebe991e25f2d5,make reproduce-ncs-phase83-necessity-and-prevented-harm,PASS,do_not_claim_new_labels_DFT_prospective_materials_discovery_or_new_alpha_certificate
CTC-PHASE84-REAL-AUDIT-PARCA-001,Phase84 freezes a real-audit PARC-A workflow replication packet before external human labels are returned.,external_audit_protocol_packet,no,external_labels_pending;not_completed_audit,outputs/milestones/ncs_phase84_real_audit_parc_a_replication/table_phase84_claim_gate.csv,28430021189b8c316e1d7a48a35515844a3104faa3f1b321059eeff8fef94fa7,make reproduce-ncs-phase84-real-audit-parc-a-replication,PASS,do_not_claim_real_audit_success_completed_external_adjudication_new_CTC_ground_truth_raw_only_superiority_materials_or_DFT_evidence
B-PHASE85-CLAIM-DECAY-PILOT-001,Phase85 freezes a B-line external AI-materials claim-decay audit pilot protocol before current-reference verdicts are produced.,external_claim_audit_protocol,no,current_reference_verdicts_pending;not_A_paper_main_evidence,outputs/milestones/b_phase85_external_ai_materials_claim_decay_pilot/table_phase85_claim_gate.csv,f2ca002a193729d770b4fd92691378f855ff4c3800cd6d4c403f87c20f340deb,make reproduce-b-phase85-external-ai-materials-claim-decay-pilot,PASS,do_not_claim_decay_rate_source_failure_prospective_discovery_new_DFT_PARC_validation_or_A_paper_main_evidence
B-PHASE86-ACCESS-PREFLIGHT-001,Phase86 records source-access and dependency preflight for the B-line claim-decay audit before any current-reference verdicts are produced.,source_access_preflight,no,claim_registry_empty;current_reference_verdicts_pending;not_A_paper_main_evidence,outputs/milestones/b_phase86_claim_decay_access_preflight/table_phase86_claim_gate.csv,2b6dfe43290aa5a22ef079ef63a42ba3b2ddf11d522bad4b79d9da7d5a6c7542,make reproduce-b-phase86-claim-decay-access-preflight,PASS,do_not_claim_decay_rate_source_failure_successful_ingestion_legal_redistribution_approval_A_paper_evidence_or_new_DFT
