audit_item_id,ctc_dataset,sequence_id,frame_start,frame_end,source_image_path,source_frame_index,source_bbox_x,source_bbox_y,source_bbox_w,source_bbox_h,target_image_path,target_frame_index,target_bbox_x,target_bbox_y,target_bbox_w,target_bbox_h,auditor_label,auditor_confidence,auditor_notes
CTC-PHASE81-0227,PhC-C2DH-U373,2,3,4,PhC-C2DH-U373/02/t003,3,578,106,9,9,PhC-C2DH-U373/02/t004,4,578,106,9,9,,,
CTC-PHASE81-0230,PhC-C2DH-U373,2,0,1,PhC-C2DH-U373/02/t000,0,582,108,9,9,PhC-C2DH-U373/02/t001,1,581,108,9,9,,,
CTC-PHASE81-0233,PhC-C2DH-U373,2,37,38,PhC-C2DH-U373/02/t037,37,92,244,9,9,PhC-C2DH-U373/02/t038,38,92,244,9,9,,,
CTC-PHASE81-0234,PhC-C2DH-U373,2,96,97,PhC-C2DH-U373/02/t096,96,67,416,5,5,PhC-C2DH-U373/02/t097,97,67,416,5,5,,,
CTC-PHASE81-0238,PhC-C2DH-U373,2,72,73,PhC-C2DH-U373/02/t072,72,58,422,5,6,PhC-C2DH-U373/02/t073,73,58,423,5,5,,,
CTC-PHASE81-0250,PhC-C2DH-U373,2,36,37,PhC-C2DH-U373/02/t036,36,92,244,9,9,PhC-C2DH-U373/02/t037,37,92,244,9,9,,,
CTC-PHASE81-0253,PhC-C2DH-U373,2,31,32,PhC-C2DH-U373/02/t031,31,547,148,9,9,PhC-C2DH-U373/02/t032,32,547,148,9,9,,,
CTC-PHASE81-0260,Fluo-N2DL-HeLa,2,13,14,Fluo-N2DL-HeLa/02/t013,13,384,631,5,5,Fluo-N2DL-HeLa/02/t014,14,384,631,5,5,,,
CTC-PHASE81-0261,PhC-C2DH-U373,2,56,57,PhC-C2DH-U373/02/t056,56,63,423,5,5,PhC-C2DH-U373/02/t057,57,63,422,5,5,,,
CTC-PHASE81-0271,PhC-C2DH-U373,2,42,43,PhC-C2DH-U373/02/t042,42,638,296,3,3,PhC-C2DH-U373/02/t043,43,638,296,3,3,,,
CTC-PHASE81-0275,Fluo-N2DL-HeLa,2,83,84,Fluo-N2DL-HeLa/02/t083,83,494,276,3,3,Fluo-N2DL-HeLa/02/t084,84,494,276,3,3,,,
CTC-PHASE81-0278,Fluo-N2DL-HeLa,2,4,5,Fluo-N2DL-HeLa/02/t004,4,387,630,5,5,Fluo-N2DL-HeLa/02/t005,5,387,630,5,5,,,
CTC-PHASE81-0280,PhC-C2DH-U373,2,1,2,PhC-C2DH-U373/02/t001,1,581,108,9,9,PhC-C2DH-U373/02/t002,2,581,107,9,9,,,
CTC-PHASE81-0292,Fluo-N2DL-HeLa,2,8,9,Fluo-N2DL-HeLa/02/t008,8,559,104,5,5,Fluo-N2DL-HeLa/02/t009,9,559,104,5,5,,,
CTC-PHASE81-0295,Fluo-N2DL-HeLa,2,1,2,Fluo-N2DL-HeLa/02/t001,1,918,283,5,5,Fluo-N2DL-HeLa/02/t002,2,918,283,5,5,,,
CTC-PHASE81-0297,Fluo-N2DL-HeLa,2,1,2,Fluo-N2DL-HeLa/02/t001,1,696,602,5,5,Fluo-N2DL-HeLa/02/t002,2,696,602,5,5,,,
CTC-PHASE81-0300,Fluo-N2DL-HeLa,2,14,15,Fluo-N2DL-HeLa/02/t014,14,720,33,5,5,Fluo-N2DL-HeLa/02/t015,15,720,33,5,5,,,
CTC-PHASE81-0306,Fluo-N2DL-HeLa,2,36,37,Fluo-N2DL-HeLa/02/t036,36,590,571,1,1,Fluo-N2DL-HeLa/02/t037,37,590,571,1,1,,,
CTC-PHASE81-0307,Fluo-N2DL-HeLa,2,21,22,Fluo-N2DL-HeLa/02/t021,21,580,604,2,1,Fluo-N2DL-HeLa/02/t022,22,580,604,1,1,,,
CTC-PHASE81-0323,Fluo-N2DL-HeLa,2,74,75,Fluo-N2DL-HeLa/02/t074,74,328,66,3,3,Fluo-N2DL-HeLa/02/t075,75,328,66,3,3,,,
CTC-PHASE81-0339,PhC-C2DH-U373,2,70,71,PhC-C2DH-U373/02/t070,70,480,458,3,3,PhC-C2DH-U373/02/t071,71,480,458,3,3,,,
CTC-PHASE81-0340,Fluo-N2DL-HeLa,2,81,82,Fluo-N2DL-HeLa/02/t081,81,324,63,3,3,Fluo-N2DL-HeLa/02/t082,82,324,63,3,3,,,
CTC-PHASE81-0352,PhC-C2DH-U373,2,77,78,PhC-C2DH-U373/02/t077,77,187,172,9,9,PhC-C2DH-U373/02/t078,78,187,172,9,9,,,
CTC-PHASE81-0361,Fluo-N2DL-HeLa,2,90,91,Fluo-N2DL-HeLa/02/t090,90,503,285,3,3,Fluo-N2DL-HeLa/02/t091,91,503,285,3,3,,,
CTC-PHASE81-0369,PhC-C2DH-U373,2,55,56,PhC-C2DH-U373/02/t055,55,56,437,5,5,PhC-C2DH-U373/02/t056,56,56,437,5,5,,,
CTC-PHASE81-0371,PhC-C2DH-U373,2,24,25,PhC-C2DH-U373/02/t024,24,643,324,3,3,PhC-C2DH-U373/02/t025,25,642,324,3,3,,,
CTC-PHASE81-0373,PhC-C2DH-U373,2,31,32,PhC-C2DH-U373/02/t031,31,565,457,5,5,PhC-C2DH-U373/02/t032,32,564,457,5,5,,,
CTC-PHASE81-0377,Fluo-N2DL-HeLa,2,13,14,Fluo-N2DL-HeLa/02/t013,13,456,566,5,5,Fluo-N2DL-HeLa/02/t014,14,456,566,5,5,,,
CTC-PHASE81-0379,Fluo-N2DL-HeLa,2,49,50,Fluo-N2DL-HeLa/02/t049,49,488,86,3,3,Fluo-N2DL-HeLa/02/t050,50,488,86,3,3,,,
CTC-PHASE81-0388,Fluo-N2DL-HeLa,2,1,2,Fluo-N2DL-HeLa/02/t001,1,598,124,5,5,Fluo-N2DL-HeLa/02/t002,2,598,124,5,5,,,
CTC-PHASE81-0389,Fluo-N2DL-HeLa,2,0,1,Fluo-N2DL-HeLa/02/t000,0,767,65,5,5,Fluo-N2DL-HeLa/02/t001,1,767,65,5,5,,,
CTC-PHASE81-0395,PhC-C2DH-U373,2,4,5,PhC-C2DH-U373/02/t004,4,196,181,11,11,PhC-C2DH-U373/02/t005,5,196,181,11,11,,,
CTC-PHASE81-0401,PhC-C2DH-U373,2,25,26,PhC-C2DH-U373/02/t025,25,112,422,7,7,PhC-C2DH-U373/02/t026,26,112,422,8,8,,,
CTC-PHASE81-0410,Fluo-N2DL-HeLa,2,19,20,Fluo-N2DL-HeLa/02/t019,19,582,606,1,1,Fluo-N2DL-HeLa/02/t020,20,582,606,1,1,,,
CTC-PHASE81-0418,Fluo-N2DL-HeLa,2,23,24,Fluo-N2DL-HeLa/02/t023,23,675,537,5,5,Fluo-N2DL-HeLa/02/t024,24,675,537,5,5,,,
CTC-PHASE81-0425,Fluo-N2DL-HeLa,2,0,1,Fluo-N2DL-HeLa/02/t000,0,696,602,5,5,Fluo-N2DL-HeLa/02/t001,1,696,602,5,5,,,
CTC-PHASE81-0439,PhC-C2DH-U373,2,103,104,PhC-C2DH-U373/02/t103,103,424,431,3,3,PhC-C2DH-U373/02/t104,104,424,431,3,3,,,
CTC-PHASE81-0447,Fluo-N2DL-HeLa,2,56,57,Fluo-N2DL-HeLa/02/t056,56,489,76,3,3,Fluo-N2DL-HeLa/02/t057,57,489,76,3,3,,,
CTC-PHASE81-0448,PhC-C2DH-U373,2,89,90,PhC-C2DH-U373/02/t089,89,162,178,9,9,PhC-C2DH-U373/02/t090,90,162,178,9,9,,,
CTC-PHASE81-0457,Fluo-N2DL-HeLa,2,90,91,Fluo-N2DL-HeLa/02/t090,90,642,240,3,3,Fluo-N2DL-HeLa/02/t091,91,642,240,3,3,,,
CTC-PHASE81-0459,PhC-C2DH-U373,2,78,79,PhC-C2DH-U373/02/t078,78,187,172,9,9,PhC-C2DH-U373/02/t079,79,187,172,9,9,,,
CTC-PHASE81-0460,PhC-C2DH-U373,2,3,4,PhC-C2DH-U373/02/t003,3,64,289,9,9,PhC-C2DH-U373/02/t004,4,64,289,9,9,,,
CTC-PHASE81-0481,Fluo-N2DL-HeLa,2,17,18,Fluo-N2DL-HeLa/02/t017,17,810,658,5,5,Fluo-N2DL-HeLa/02/t018,18,810,658,5,5,,,
CTC-PHASE81-0484,PhC-C2DH-U373,2,16,17,PhC-C2DH-U373/02/t016,16,641,325,3,3,PhC-C2DH-U373/02/t017,17,640,325,3,3,,,
CTC-PHASE81-0493,Fluo-N2DL-HeLa,2,1,2,Fluo-N2DL-HeLa/02/t001,1,767,65,5,5,Fluo-N2DL-HeLa/02/t002,2,767,65,5,5,,,
CTC-PHASE81-0494,Fluo-N2DL-HeLa,2,4,5,Fluo-N2DL-HeLa/02/t004,4,618,168,5,5,Fluo-N2DL-HeLa/02/t005,5,618,168,5,5,,,
CTC-PHASE81-0495,Fluo-N2DL-HeLa,2,7,8,Fluo-N2DL-HeLa/02/t007,7,427,602,5,5,Fluo-N2DL-HeLa/02/t008,8,427,602,5,5,,,
CTC-PHASE81-0499,PhC-C2DH-U373,2,88,89,PhC-C2DH-U373/02/t088,88,61,420,5,5,PhC-C2DH-U373/02/t089,89,61,420,5,5,,,
CTC-PHASE81-0508,Fluo-N2DL-HeLa,2,12,13,Fluo-N2DL-HeLa/02/t012,12,847,432,5,5,Fluo-N2DL-HeLa/02/t013,13,847,432,5,5,,,
CTC-PHASE81-0514,Fluo-N2DL-HeLa,2,23,24,Fluo-N2DL-HeLa/02/t023,23,633,592,3,3,Fluo-N2DL-HeLa/02/t024,24,633,592,3,3,,,
CTC-PHASE81-0519,PhC-C2DH-U373,2,40,41,PhC-C2DH-U373/02/t040,40,60,447,5,5,PhC-C2DH-U373/02/t041,41,60,447,5,5,,,
CTC-PHASE81-0523,PhC-C2DH-U373,2,87,88,PhC-C2DH-U373/02/t087,87,61,420,5,5,PhC-C2DH-U373/02/t088,88,61,420,5,5,,,
CTC-PHASE81-0547,Fluo-N2DL-HeLa,2,14,15,Fluo-N2DL-HeLa/02/t014,14,588,403,5,5,Fluo-N2DL-HeLa/02/t015,15,588,403,5,5,,,
CTC-PHASE81-0554,Fluo-N2DL-HeLa,2,5,6,Fluo-N2DL-HeLa/02/t005,5,732,40,5,5,Fluo-N2DL-HeLa/02/t006,6,732,40,5,5,,,
CTC-PHASE81-0560,PhC-C2DH-U373,2,43,44,PhC-C2DH-U373/02/t043,43,638,296,3,3,PhC-C2DH-U373/02/t044,44,638,296,3,3,,,
CTC-PHASE81-0562,PhC-C2DH-U373,2,80,81,PhC-C2DH-U373/02/t080,80,60,423,5,6,PhC-C2DH-U373/02/t081,81,60,424,5,5,,,
CTC-PHASE81-0567,PhC-C2DH-U373,2,77,78,PhC-C2DH-U373/02/t077,77,58,423,5,5,PhC-C2DH-U373/02/t078,78,58,423,5,5,,,
CTC-PHASE81-0568,PhC-C2DH-U373,2,2,3,PhC-C2DH-U373/02/t002,2,194,180,11,11,PhC-C2DH-U373/02/t003,3,194,180,11,11,,,
CTC-PHASE81-0569,PhC-C2DH-U373,2,85,86,PhC-C2DH-U373/02/t085,85,61,420,5,5,PhC-C2DH-U373/02/t086,86,61,420,5,5,,,
CTC-PHASE81-0577,Fluo-N2DL-HeLa,2,26,27,Fluo-N2DL-HeLa/02/t026,26,638,594,3,3,Fluo-N2DL-HeLa/02/t027,27,638,594,3,3,,,
CTC-PHASE81-0579,Fluo-N2DL-HeLa,2,61,62,Fluo-N2DL-HeLa/02/t061,61,487,73,3,3,Fluo-N2DL-HeLa/02/t062,62,487,73,3,3,,,
CTC-PHASE81-0590,PhC-C2DH-U373,2,82,83,PhC-C2DH-U373/02/t082,82,60,424,5,5,PhC-C2DH-U373/02/t083,83,60,424,5,5,,,
CTC-PHASE81-0591,PhC-C2DH-U373,2,84,85,PhC-C2DH-U373/02/t084,84,635,265,3,3,PhC-C2DH-U373/02/t085,85,635,265,3,3,,,
CTC-PHASE81-0597,Fluo-N2DL-HeLa,2,72,73,Fluo-N2DL-HeLa/02/t072,72,493,250,3,3,Fluo-N2DL-HeLa/02/t073,73,493,250,3,3,,,
