element,pseudo_path,pseudo_file,pseudo_sha256,source
Co,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Co_pbe_v1.2.uspp.F.UPF,Co_pbe_v1.2.uspp.F.UPF,a5f392a0d35fc78cc9e2ac1636bb1cd02e9b80a063ea368e85be83b0e4523c45,SSSP_efficiency_v1.1
Cr,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/cr_pbe_v1.5.uspp.F.UPF,cr_pbe_v1.5.uspp.F.UPF,c7449bbfea358d76832cf2f7b43dc89101ead6891806773121bfaa93a140f6de,SSSP_efficiency_v1.1
Cs,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Cs_pbe_v1.uspp.F.UPF,Cs_pbe_v1.uspp.F.UPF,5039c3123828de0c626459254b67b6637225866dd81d5ee1d855e26f99d3ac2c,SSSP_efficiency_v1.1
Cu,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Cu_pbe_v1.2.uspp.F.UPF,Cu_pbe_v1.2.uspp.F.UPF,9dede247b34c656925badd5241675d0ad77e199249917cd4a927bf0a2e2ab004,SSSP_efficiency_v1.1
Dy,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Dy.GGA-PBE-paw-v1.0.UPF,Dy.GGA-PBE-paw-v1.0.UPF,05c9718e721659702686644d9eb483a48cbf50c06f51501fbf59c2a7aa5cb5b5,SSSP_efficiency_v1.1
Er,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Er.GGA-PBE-paw-v1.0.UPF,Er.GGA-PBE-paw-v1.0.UPF,da574f4bdcf21b3eaaea796a61ec2d15800de1244b2e05f58070c538d5a5bc1d,SSSP_efficiency_v1.1
F,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/f_pbe_v1.4.uspp.F.UPF,f_pbe_v1.4.uspp.F.UPF,9802dd8e5c30fe92ff0a8dc0865f4fb9023d6a3a42caccdd33c0de6de83d0883,SSSP_efficiency_v1.1
Fe,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Fe.pbe-spn-kjpaw_psl.0.2.1.UPF,Fe.pbe-spn-kjpaw_psl.0.2.1.UPF,2317a0d3b136c09b6263e1ba328b505fb1ebf33bb4b28dc3df9e39af3184ef19,SSSP_efficiency_v1.1
Ga,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Ga.pbe-dn-kjpaw_psl.1.0.0.UPF,Ga.pbe-dn-kjpaw_psl.1.0.0.UPF,cf8a2be9b30552dd9bb12304d2aa96978e5d10636ca562b42d5a37dc385acd15,SSSP_efficiency_v1.1
Ge,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/ge_pbe_v1.4.uspp.F.UPF,ge_pbe_v1.4.uspp.F.UPF,1b95046ab0f3228e0404719ca66d0309af5a62313be0b22171b963566c90430b,SSSP_efficiency_v1.1
H,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/H.pbe-rrkjus_psl.1.0.0.UPF,H.pbe-rrkjus_psl.1.0.0.UPF,27f8a7e87851d59a2698237d6ab4578d62950640f4f175781b015a0ce731f962,SSSP_efficiency_v1.1
Hf,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Hf-sp.oncvpsp.upf,Hf-sp.oncvpsp.upf,f019947b40f1831f9bd44a630e9445a07c1e864ce81f0ac6286035a1e0c2080b,SSSP_efficiency_v1.1
Hg,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Hg_ONCV_PBE-1.0.oncvpsp.upf,Hg_ONCV_PBE-1.0.oncvpsp.upf,d9739c3b83e714fdbc820832d91c04a1bf0768e71e51f99fa72ab2c36b0a3f87,SSSP_efficiency_v1.1
Ho,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Ho.GGA-PBE-paw-v1.0.UPF,Ho.GGA-PBE-paw-v1.0.UPF,f7c5151fcd9f62b8dfdb20d9b685f373cafe5ac0163636bf53e8df31935a919b,SSSP_efficiency_v1.1
I,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/I.pbe-n-kjpaw_psl.0.2.UPF,I.pbe-n-kjpaw_psl.0.2.UPF,24cb9b3d87f9cd94b025b333aef9360b1e1a721e82ca0efacc5cc33f8370ae8f,SSSP_efficiency_v1.1
In,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/In.pbe-dn-rrkjus_psl.0.2.2.UPF,In.pbe-dn-rrkjus_psl.0.2.2.UPF,ac76860606654bf63d2950129329ee50267d50ad92296728a7d42e9355bcfb39,SSSP_efficiency_v1.1
Ir,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Ir_pbe_v1.2.uspp.F.UPF,Ir_pbe_v1.2.uspp.F.UPF,7fb680571391e90cc59b343841d65f69fbf47382191c6fc511717f0e0b689e03,SSSP_efficiency_v1.1
K,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/K.pbe-spn-kjpaw_psl.1.0.0.UPF,K.pbe-spn-kjpaw_psl.1.0.0.UPF,1dcce1298a9d62eb5625f379743a3da1f4dca353d989d7893ad12e9b3a561c21,SSSP_efficiency_v1.1
La,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/La.GGA-PBE-paw-v1.0.UPF,La.GGA-PBE-paw-v1.0.UPF,9835d28fe2426d776537e131054c70beab37acd4df609ad2df4229e8ee82a12c,SSSP_efficiency_v1.1
Li,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/li_pbe_v1.4.uspp.F.UPF,li_pbe_v1.4.uspp.F.UPF,02cc4b3810e28a43b570277840d9631ca24f634d922928200c047b72c0a86bf5,SSSP_efficiency_v1.1
Lu,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Lu.GGA-PBE-paw-v1.0.UPF,Lu.GGA-PBE-paw-v1.0.UPF,87008e40c1255b98e4ddee33d15ae06a3c2586a35a7bbfcdef11e400d220d78a,SSSP_efficiency_v1.1
Mg,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Mg.pbe-n-kjpaw_psl.0.3.0.UPF,Mg.pbe-n-kjpaw_psl.0.3.0.UPF,f057a22e5d8484686a1b3fe3724aa01af4236fe8a845e5c2f772c472f107639f,SSSP_efficiency_v1.1
Mn,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/mn_pbe_v1.5.uspp.F.UPF,mn_pbe_v1.5.uspp.F.UPF,c5b6117e22f571895b69dbec8491df6afb2efee1206dad54680881dbd33eb8f0,SSSP_efficiency_v1.1
Mo,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Mo_ONCV_PBE-1.0.oncvpsp.upf,Mo_ONCV_PBE-1.0.oncvpsp.upf,bf2bf79aec40a5e0f0b390faabb4be1a33829e8e25d28040e01a08f0ab1dcb03,SSSP_efficiency_v1.1
N,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/N.pbe-n-radius_5.UPF,N.pbe-n-radius_5.UPF,9efee6eb6465c9020af3c8f395fa837810e8f1263ac6cfd52e437a170f8f6e9a,SSSP_efficiency_v1.1
Na,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/na_pbe_v1.5.uspp.F.UPF,na_pbe_v1.5.uspp.F.UPF,f84820c4280d21603bd50ae76a08e15c26864391ea055cf50affc4aedefc8f87,SSSP_efficiency_v1.1
Nb,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Nb.pbe-spn-kjpaw_psl.0.3.0.UPF,Nb.pbe-spn-kjpaw_psl.0.3.0.UPF,ccf07218ea34daaa63ff57d9f44ca8b4b529728cccbc8f74dd5fc804ac01e48e,SSSP_efficiency_v1.1
Ni,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/ni_pbe_v1.4.uspp.F.UPF,ni_pbe_v1.4.uspp.F.UPF,f76b86ce60cde3d83dfcc8df79ba05478db573d158289f1b226919442d977d25,SSSP_efficiency_v1.1
O,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/O.pbe-n-kjpaw_psl.0.1.UPF,O.pbe-n-kjpaw_psl.0.1.UPF,7c4b6ed541f83d0afdf5c1d3a8c611340f073f3e2b11e95b7963bb2ee26929aa,SSSP_efficiency_v1.1
Os,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Os_pbe_v1.2.uspp.F.UPF,Os_pbe_v1.2.uspp.F.UPF,fb26113f4c4f67a8e0f996bff2a6411a1abdbd12c0d023912361536fdfde4d28,SSSP_efficiency_v1.1
P,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/P.pbe-n-rrkjus_psl.1.0.0.UPF,P.pbe-n-rrkjus_psl.1.0.0.UPF,2d112dfec2e2d9b75a971574d9116aa92249988177791659bbcd2ba15f23c20c,SSSP_efficiency_v1.1
Pb,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Pb.pbe-dn-kjpaw_psl.0.2.2.UPF,Pb.pbe-dn-kjpaw_psl.0.2.2.UPF,b67ab5c757bc89933ccd96deecdf3b629c72783a38b6c23d78457e4abb61219d,SSSP_efficiency_v1.1
Pd,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Pd_ONCV_PBE-1.0.oncvpsp.upf,Pd_ONCV_PBE-1.0.oncvpsp.upf,ef259baba5cf16c89389729e960cfb851e4cba656aef62fd8bf1a93de2124020,SSSP_efficiency_v1.1
Pr,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Pr.GGA-PBE-paw-v1.0.UPF,Pr.GGA-PBE-paw-v1.0.UPF,413f709cc7a2b58c104b7b62b3d7fc204a20f186457c95a34c698690f1056a46,SSSP_efficiency_v1.1
Pt,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/pt_pbe_v1.4.uspp.F.UPF,pt_pbe_v1.4.uspp.F.UPF,69f60fd2451b1845888681f987a801a2c45a8df104d0fe0b43ad4cd1c6e3ad81,SSSP_efficiency_v1.1
Rb,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Rb_ONCV_PBE-1.0.oncvpsp.upf,Rb_ONCV_PBE-1.0.oncvpsp.upf,b5f77d0adb6f4ae9fbae600bd3a16681e6fc46c301f5502e94f741491e065d90,SSSP_efficiency_v1.1
Re,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Re_pbe_v1.2.uspp.F.UPF,Re_pbe_v1.2.uspp.F.UPF,61146e72676c25b08fce566316216ce8c1e4ec1317f418513daf36e6e52a65eb,SSSP_efficiency_v1.1
Rh,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Rh_ONCV_PBE-1.0.oncvpsp.upf,Rh_ONCV_PBE-1.0.oncvpsp.upf,e9b88f5513e25cd2833cd4587d2d34b46dd0be86aaa0e7b00404147510a87504,SSSP_efficiency_v1.1
Ru,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Ru_ONCV_PBE-1.0.oncvpsp.upf,Ru_ONCV_PBE-1.0.oncvpsp.upf,b9e3df964a103d42e34c2027028361cb6592bdb0bff60275bbaa48c5eaf2adff,SSSP_efficiency_v1.1
S,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/s_pbe_v1.4.uspp.F.UPF,s_pbe_v1.4.uspp.F.UPF,84ad731864187f416f714e961c3ad2f04dcbf811618e724d277885c18cb470df,SSSP_efficiency_v1.1
Sb,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/sb_pbe_v1.4.uspp.F.UPF,sb_pbe_v1.4.uspp.F.UPF,efe7c83d2aca3ab7d66eb1fc5b50c6e865e18521318454a41a9c106cb1f456d0,SSSP_efficiency_v1.1
Sc,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Sc_ONCV_PBE-1.0.oncvpsp.upf,Sc_ONCV_PBE-1.0.oncvpsp.upf,60775605c9d2ea22ab38f061d8ef6421bb0e8ec71f0de4d7ea24a1e0936b702b,SSSP_efficiency_v1.1
Se,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Se_pbe_v1.uspp.F.UPF,Se_pbe_v1.uspp.F.UPF,fcb1fe6e9c54d43fd3537f1103b9003ba92975e80c0a0214b21d1bf4abb494c8,SSSP_efficiency_v1.1
Si,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Si.pbe-n-rrkjus_psl.1.0.0.UPF,Si.pbe-n-rrkjus_psl.1.0.0.UPF,ae3aefd0811f9499dbc4a72f1f9ae02ef4fc7f3568bf6f559b68668719c69e2b,SSSP_efficiency_v1.1
Sm,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Sm.GGA-PBE-paw-v1.0.UPF,Sm.GGA-PBE-paw-v1.0.UPF,546386422d6cd3d5eea8e28282cd08901f34da134914fbe32115451ef94bc075,SSSP_efficiency_v1.1
Sn,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Sn_pbe_v1.uspp.F.UPF,Sn_pbe_v1.uspp.F.UPF,2985a215143f6458f0a627315a843123d534bff482dc09b40415af4605359431,SSSP_efficiency_v1.1
Sr,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Sr_pbe_v1.uspp.F.UPF,Sr_pbe_v1.uspp.F.UPF,292f7f1da5cae4b18da817ab2e82943ad90e74f267a06a6172db8dbcb6edf0ce,SSSP_efficiency_v1.1
Ta,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Ta_pbe_v1.uspp.F.UPF,Ta_pbe_v1.uspp.F.UPF,e0850b94d7007d47691d131db1fa5ffdaaa6f6a573c1ebf1fb425e46ed891ee1,SSSP_efficiency_v1.1
Tb,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Tb.GGA-PBE-paw-v1.0.UPF,Tb.GGA-PBE-paw-v1.0.UPF,cde673681d993b83b0a65e3945537e1c4ec61bbfee3c4b0a432f2fb38bbeb478,SSSP_efficiency_v1.1
Te,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Te_pbe_v1.uspp.F.UPF,Te_pbe_v1.uspp.F.UPF,5f18f14282ab78c660a46a08ed8787a1247036c7509b7c0436d8441faf497e36,SSSP_efficiency_v1.1
Ti,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/ti_pbe_v1.4.uspp.F.UPF,ti_pbe_v1.4.uspp.F.UPF,747afa52fa17dc061e9eff72bcea534e81ffa5a4a5d33af3eb8fc9f1b3aee580,SSSP_efficiency_v1.1
Tl,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Tl_pbe_v1.2.uspp.F.UPF,Tl_pbe_v1.2.uspp.F.UPF,018619075345aa953f960db6fbb6d7bba035adf76a8b210d57179489d14b1be2,SSSP_efficiency_v1.1
Tm,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Tm.GGA-PBE-paw-v1.0.UPF,Tm.GGA-PBE-paw-v1.0.UPF,219d7ba1e216b5f8101468aad272e3db75eb813efc546acbe8844147c22498ee,SSSP_efficiency_v1.1
V,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/v_pbe_v1.4.uspp.F.UPF,v_pbe_v1.4.uspp.F.UPF,4fc8afef98a911c82908fb9142edf71b2f598dd98762b355a6d291d834fb6d0c,SSSP_efficiency_v1.1
W,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/W_pbe_v1.2.uspp.F.UPF,W_pbe_v1.2.uspp.F.UPF,3cb024d05ba2413340c9e993bc149bf94d44fb23e609642466d87ca30c88c569,SSSP_efficiency_v1.1
Y,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Y_pbe_v1.uspp.F.UPF,Y_pbe_v1.uspp.F.UPF,5be8c6f04a4624425acd919bf34103b4498606638e23b0adb6386ce4f6fc86fc,SSSP_efficiency_v1.1
Yb,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Yb.GGA-PBE-paw-v1.0.UPF,Yb.GGA-PBE-paw-v1.0.UPF,e140c7c53c784a5ce52eec1c3f7a97b2641f0fd6a97762cdf27ff2b08f86dbf2,SSSP_efficiency_v1.1
Zn,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Zn_pbe_v1.uspp.F.UPF,Zn_pbe_v1.uspp.F.UPF,7710c776159022cdfa14188f04942712811d9a24ad0e74db5ce7c3bdfb95dbbf,SSSP_efficiency_v1.1
Zr,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Zr_pbe_v1.uspp.F.UPF,Zr_pbe_v1.uspp.F.UPF,d56e2997788a4b3d90bb829416161ff9eb6ccdfe377cb52acfbdd2175f4b4acf,SSSP_efficiency_v1.1
