dataset,generator,alpha1,seed,stress_level,split_rule,result_status,released,UTR,audited_FTR,conservative_FTR,mass_ratio,emax,empty_reason,assumption_status,paper_use
OVT-B,GroundingDINO,0.2,2,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,assumption_boundary_design,design_row_not_certificate
OVT-B,GroundingDINO,0.2,2,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,actual_assumption_boundary_rerun,150.0,0.0533333333333333,0.0,0.02,3.4498203336303983,30.8851209998927,nan,assumption_boundary_actual_rerun,assumption_boundary_result
TAO,GroundingDINO,0.1,0,iid_baseline,existing_random_seed_splits,actual_existing_certificate,0.0,0.0,0.0,0.0,0.02264727845722091,33.97091768583136,no_k_satisfies_uniform_self_consistency,main_iid_reference,main_reference
TAO,GroundingDINO,0.1,0,mild_scene_shift,scene_or_video_family_split,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,not_claimed_until_rerun,design_row_not_certificate
TAO,GroundingDINO,0.1,0,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,assumption_boundary_design,design_row_not_certificate
TAO,GroundingDINO,0.1,0,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,actual_assumption_boundary_rerun,0.0,0.0,0.0,0.0,0.0,33.240220081899686,no_k_satisfies_uniform_self_consistency,assumption_boundary_actual_rerun,assumption_boundary_result
TAO,GroundingDINO,0.1,1,iid_baseline,existing_random_seed_splits,actual_existing_certificate,0.0,0.0,0.0,0.0,0.022712108814515977,34.068163221773965,no_k_satisfies_uniform_self_consistency,main_iid_reference,main_reference
TAO,GroundingDINO,0.1,1,mild_scene_shift,scene_or_video_family_split,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,not_claimed_until_rerun,design_row_not_certificate
TAO,GroundingDINO,0.1,1,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,assumption_boundary_design,design_row_not_certificate
TAO,GroundingDINO,0.1,1,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,actual_assumption_boundary_rerun,0.0,0.0,0.0,0.0,0.0,33.240220081899686,no_k_satisfies_uniform_self_consistency,assumption_boundary_actual_rerun,assumption_boundary_result
TAO,GroundingDINO,0.1,2,iid_baseline,existing_random_seed_splits,actual_existing_certificate,0.0,0.0,0.0,0.0,0.022517533317600667,33.776299976401,no_k_satisfies_uniform_self_consistency,main_iid_reference,main_reference
TAO,GroundingDINO,0.1,2,mild_scene_shift,scene_or_video_family_split,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,not_claimed_until_rerun,design_row_not_certificate
TAO,GroundingDINO,0.1,2,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,assumption_boundary_design,design_row_not_certificate
TAO,GroundingDINO,0.1,2,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,actual_assumption_boundary_rerun,0.0,0.0,0.0,0.0,0.0,33.240220081899686,no_k_satisfies_uniform_self_consistency,assumption_boundary_actual_rerun,assumption_boundary_result
TAO,GroundingDINO,0.2,0,iid_baseline,existing_random_seed_splits,actual_existing_certificate,150.0,0.0333333333333333,0.2,0.0266666666666666,1.1766095486506838,33.97091768583136,nan,main_iid_reference,main_reference
TAO,GroundingDINO,0.2,0,mild_scene_shift,scene_or_video_family_split,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,not_claimed_until_rerun,design_row_not_certificate
TAO,GroundingDINO,0.2,0,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,assumption_boundary_design,design_row_not_certificate
TAO,GroundingDINO,0.2,0,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,actual_assumption_boundary_rerun,44.0,0.0909090909090909,0.1666666666666666,0.0227272727272727,1.0874567284535706,33.240220081899686,nan,assumption_boundary_actual_rerun,assumption_boundary_result
TAO,GroundingDINO,0.2,1,iid_baseline,existing_random_seed_splits,actual_existing_certificate,150.0,0.0333333333333333,0.0,0.0266666666666666,1.1797734080157765,34.068163221773965,nan,main_iid_reference,main_reference
TAO,GroundingDINO,0.2,1,mild_scene_shift,scene_or_video_family_split,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,not_claimed_until_rerun,design_row_not_certificate
TAO,GroundingDINO,0.2,1,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,assumption_boundary_design,design_row_not_certificate
TAO,GroundingDINO,0.2,1,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,actual_assumption_boundary_rerun,44.0,0.0909090909090909,0.1666666666666666,0.0227272727272727,1.0874567284535706,33.240220081899686,nan,assumption_boundary_actual_rerun,assumption_boundary_result
TAO,GroundingDINO,0.2,2,iid_baseline,existing_random_seed_splits,actual_existing_certificate,142.0,0.0070422535211267,0.0,0.0,1.00313951993378,33.776299976401,nan,main_iid_reference,main_reference
TAO,GroundingDINO,0.2,2,mild_scene_shift,scene_or_video_family_split,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,not_claimed_until_rerun,design_row_not_certificate
TAO,GroundingDINO,0.2,2,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,assumption_boundary_design,design_row_not_certificate
TAO,GroundingDINO,0.2,2,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,actual_assumption_boundary_rerun,44.0,0.0909090909090909,0.1666666666666666,0.0227272727272727,1.0874567284535706,33.240220081899686,nan,assumption_boundary_actual_rerun,assumption_boundary_result
BURST,GroundingDINO,0.1,0,iid_baseline,existing_random_seed_splits,actual_existing_certificate,150.0,0.04,0.0,0.04,1.398232229130564,24.917887765177458,nan,main_iid_reference,main_reference
BURST,GroundingDINO,0.1,0,mild_scene_shift,scene_or_video_family_split,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,not_claimed_until_rerun,design_row_not_certificate
BURST,GroundingDINO,0.1,0,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,assumption_boundary_design,design_row_not_certificate
BURST,GroundingDINO,0.1,0,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,assumption_boundary_design,design_row_not_certificate
BURST,GroundingDINO,0.1,1,iid_baseline,existing_random_seed_splits,actual_existing_certificate,150.0,0.04,0.0,0.04,1.3898344569291232,24.76470919866719,nan,main_iid_reference,main_reference
BURST,GroundingDINO,0.1,1,mild_scene_shift,scene_or_video_family_split,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,not_claimed_until_rerun,design_row_not_certificate
BURST,GroundingDINO,0.1,1,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,assumption_boundary_design,design_row_not_certificate
BURST,GroundingDINO,0.1,1,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,assumption_boundary_design,design_row_not_certificate
BURST,GroundingDINO,0.1,2,iid_baseline,existing_random_seed_splits,actual_existing_certificate,0.0,0.0,0.0,0.0,0.016781901344506887,25.172852016760327,no_k_satisfies_uniform_self_consistency,main_iid_reference,main_reference
BURST,GroundingDINO,0.1,2,mild_scene_shift,scene_or_video_family_split,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,not_claimed_until_rerun,design_row_not_certificate
BURST,GroundingDINO,0.1,2,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,assumption_boundary_design,design_row_not_certificate
BURST,GroundingDINO,0.1,2,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,assumption_boundary_design,design_row_not_certificate
BURST,GroundingDINO,0.2,0,iid_baseline,existing_random_seed_splits,actual_existing_certificate,150.0,0.04,0.0,0.04,2.796464458261128,24.917887765177458,nan,main_iid_reference,main_reference
BURST,GroundingDINO,0.2,0,mild_scene_shift,scene_or_video_family_split,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,not_claimed_until_rerun,design_row_not_certificate
BURST,GroundingDINO,0.2,0,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,assumption_boundary_design,design_row_not_certificate
BURST,GroundingDINO,0.2,0,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,assumption_boundary_design,design_row_not_certificate
BURST,GroundingDINO,0.2,1,iid_baseline,existing_random_seed_splits,actual_existing_certificate,150.0,0.04,0.0,0.04,2.7796689138582464,24.76470919866719,nan,main_iid_reference,main_reference
BURST,GroundingDINO,0.2,1,mild_scene_shift,scene_or_video_family_split,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,not_claimed_until_rerun,design_row_not_certificate
BURST,GroundingDINO,0.2,1,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,assumption_boundary_design,design_row_not_certificate
BURST,GroundingDINO,0.2,1,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,assumption_boundary_design,design_row_not_certificate
BURST,GroundingDINO,0.2,2,iid_baseline,existing_random_seed_splits,actual_existing_certificate,150.0,0.0466666666666666,0.0,0.0466666666666666,1.5845114960100246,25.172852016760327,nan,main_iid_reference,main_reference
BURST,GroundingDINO,0.2,2,mild_scene_shift,scene_or_video_family_split,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,not_claimed_until_rerun,design_row_not_certificate
BURST,GroundingDINO,0.2,2,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,assumption_boundary_design,design_row_not_certificate
BURST,GroundingDINO,0.2,2,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,assumption_boundary_design,design_row_not_certificate
