dataset,task,certified_risk_target_alpha,seed,M,released,official_unsupported_rate,conservative_unknown_as_false_rate,mass_ratio,empty_reason,mask_iou_threshold,paper_scope,paper_placement
LVVIS,LVVIS_SAM_mask_path_certification,0.1,2,150,150.0,0.0066666666666666,0.0066666666666666,1.3675420338264208,,0.3,SAM_box_prompt_mask_benchmark_without_official_mask_gt,appendix_proof_of_principle
LVVIS,LVVIS_SAM_mask_path_certification,0.1,2,150,150.0,0.0066666666666666,0.0066666666666666,1.3675420338264208,,0.5,SAM_box_prompt_mask_benchmark_without_official_mask_gt,appendix_proof_of_principle
LVVIS,LVVIS_SAM_mask_path_certification,0.1,2,150,150.0,0.0066666666666666,0.0066666666666666,1.3675420338264208,,0.7,SAM_box_prompt_mask_benchmark_without_official_mask_gt,appendix_proof_of_principle
LVVIS,LVVIS_SAM_mask_path_certification,0.2,0,150,150.0,0.02,0.02,6.94954327912127,,0.3,SAM_box_prompt_mask_benchmark_without_official_mask_gt,appendix_proof_of_principle
LVVIS,LVVIS_SAM_mask_path_certification,0.2,0,150,150.0,0.02,0.02,6.94954327912127,,0.5,SAM_box_prompt_mask_benchmark_without_official_mask_gt,appendix_proof_of_principle
LVVIS,LVVIS_SAM_mask_path_certification,0.2,0,150,150.0,0.02,0.02,6.94954327912127,,0.7,SAM_box_prompt_mask_benchmark_without_official_mask_gt,appendix_proof_of_principle
LVVIS,LVVIS_SAM_mask_path_certification,0.2,1,150,150.0,0.0066666666666666,0.0066666666666666,2.7127628414849765,,0.3,SAM_box_prompt_mask_benchmark_without_official_mask_gt,appendix_proof_of_principle
LVVIS,LVVIS_SAM_mask_path_certification,0.2,1,150,150.0,0.0066666666666666,0.0066666666666666,2.7127628414849765,,0.5,SAM_box_prompt_mask_benchmark_without_official_mask_gt,appendix_proof_of_principle
LVVIS,LVVIS_SAM_mask_path_certification,0.2,1,150,150.0,0.0066666666666666,0.0066666666666666,2.7127628414849765,,0.7,SAM_box_prompt_mask_benchmark_without_official_mask_gt,appendix_proof_of_principle
LVVIS,LVVIS_SAM_mask_path_certification,0.2,2,150,150.0,0.0066666666666666,0.0066666666666666,2.7350840676528416,,0.3,SAM_box_prompt_mask_benchmark_without_official_mask_gt,appendix_proof_of_principle
LVVIS,LVVIS_SAM_mask_path_certification,0.2,2,150,150.0,0.0066666666666666,0.0066666666666666,2.7350840676528416,,0.5,SAM_box_prompt_mask_benchmark_without_official_mask_gt,appendix_proof_of_principle
LVVIS,LVVIS_SAM_mask_path_certification,0.2,2,150,150.0,0.0066666666666666,0.0066666666666666,2.7350840676528416,,0.7,SAM_box_prompt_mask_benchmark_without_official_mask_gt,appendix_proof_of_principle
OVIS_CERTIFICATION,mask_path_certification,0.1,0,150,0.0,0.0,0.0,0.0,no_k_satisfies_uniform_self_consistency,,box_to_mask_or_mask_path_proof_of_principle,appendix_proof_of_principle
OVIS_CERTIFICATION,mask_path_certification,0.1,1,150,0.0,0.0,0.0,0.0,no_k_satisfies_uniform_self_consistency,,box_to_mask_or_mask_path_proof_of_principle,appendix_proof_of_principle
OVIS_CERTIFICATION,mask_path_certification,0.1,2,150,0.0,0.0,0.0,0.0,no_k_satisfies_uniform_self_consistency,,box_to_mask_or_mask_path_proof_of_principle,appendix_proof_of_principle
OVIS_CERTIFICATION,mask_path_certification,0.2,0,150,0.0,0.0,0.0,0.0,no_k_satisfies_uniform_self_consistency,,box_to_mask_or_mask_path_proof_of_principle,appendix_proof_of_principle
OVIS_CERTIFICATION,mask_path_certification,0.2,1,150,0.0,0.0,0.0,0.0,no_k_satisfies_uniform_self_consistency,,box_to_mask_or_mask_path_proof_of_principle,appendix_proof_of_principle
OVIS_CERTIFICATION,mask_path_certification,0.2,2,150,0.0,0.0,0.0,0.0,no_k_satisfies_uniform_self_consistency,,box_to_mask_or_mask_path_proof_of_principle,appendix_proof_of_principle
