audit_id,sample_set,dataset,domain,generator,aoi,video_id,path_id,source_building_id,target_building_id,frame_start,frame_end,source_year,source_month,target_year,target_month,score,candidate_rank,bbox_iou,centroid_distance_score,area_ratio,base_geometry_score,deterministic_noise,_true,audit_role
SPCAL-000011,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0571E-1075N_2287_3888_13,1010,SN7::L15-0571E-1075N_2287_3888_13::2019-01->2019-02::9976->9976::ea79c4603c818b79->ea79c4603c818b79,9976,9976,10,11,2019,1,2019,2,0.999713567101511,205005,1.0,1.0,1.0,1.0,4.948048033881509e-05,True,calibration
SPCAL-000012,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0571E-1075N_2287_3888_13,1011,SN7::L15-0571E-1075N_2287_3888_13::2019-02->2019-03::1172->1172::8a683b0094a69f5e->8a683b0094a69f5e,1172,1172,11,12,2019,2,2019,3,0.9997162764619321,170797,1.0,1.0,1.0,1.0,0.0003102351086354,True,calibration
SPCAL-000013,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0571E-1075N_2287_3888_13,1012,SN7::L15-0571E-1075N_2287_3888_13::2019-03->2019-04::5415->5415::21fda0cc25189698->21fda0cc25189698,5415,5415,12,13,2019,3,2019,4,0.9997189936617993,139728,1.0,1.0,1.0,1.0,5.46625356960819e-05,True,calibration
SPCAL-000014,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0571E-1075N_2287_3888_13,1013,SN7::L15-0571E-1075N_2287_3888_13::2019-04->2019-05::9754->9754::cf6518b30eff6355->cf6518b30eff6355,9754,9754,13,14,2019,4,2019,5,0.9997216641647347,111845,1.0,1.0,1.0,1.0,0.0001213311221377,True,calibration
SPCAL-000015,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0571E-1075N_2287_3888_13,1014,SN7::L15-0571E-1075N_2287_3888_13::2019-05->2019-06::9538->9538::236cac4ddcfa104a->236cac4ddcfa104a,9538,9538,14,15,2019,5,2019,6,0.9997243182668002,87349,1.0,1.0,1.0,1.0,4.68759904244111e-05,True,calibration
SPCAL-000016,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0571E-1075N_2287_3888_13,1015,SN7::L15-0571E-1075N_2287_3888_13::2019-06->2019-08::8014->8014::90d26e4c42dfbb2b->90d26e4c42dfbb2b,8014,8014,15,16,2019,6,2019,8,0.9997269078228879,66400,1.0,1.0,1.0,1.0,0.0005956790025791,True,calibration
SPCAL-000017,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0571E-1075N_2287_3888_13,1016,SN7::L15-0571E-1075N_2287_3888_13::2019-08->2019-09::1263->1263::a93f84eed71b6c77->a93f84eed71b6c77,1263,1263,16,17,2019,8,2019,9,0.9997295412307146,47718,1.0,1.0,1.0,1.0,5.1557354655784776e-05,True,calibration
SPCAL-000018,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0571E-1075N_2287_3888_13,1017,SN7::L15-0571E-1075N_2287_3888_13::2019-09->2019-11::4743->4743::849591fac732f8cc->849591fac732f8cc,4743,4743,17,18,2019,9,2019,11,0.9997321176518893,32845,1.0,1.0,1.0,1.0,1.8999600019498143e-05,True,calibration
SPCAL-000019,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0571E-1075N_2287_3888_13,1018,SN7::L15-0571E-1075N_2287_3888_13::2019-11->2020-01::3736->3736::e6a5b2d20345c96c->e6a5b2d20345c96c,3736,3736,18,19,2019,11,2020,1,0.9997346557920502,21223,1.0,1.0,1.0,1.0,0.0002111581528545,True,calibration
SPCAL-000020,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0614E-0946N_2459_4406_13,2000,SN7::L15-0614E-0946N_2459_4406_13::2018-03->2018-04::908->908::11efd2eb504d8c0e->11efd2eb504d8c0e,908,908,0,1,2018,3,2018,4,0.9996848168147565,711438,1.0,1.0,1.0,1.0,9.272128830062377e-05,True,calibration
SPCAL-000021,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0614E-0946N_2459_4406_13,2001,SN7::L15-0614E-0946N_2459_4406_13::2018-04->2018-05::2443->2443::c045e378c4f473c3->c045e378c4f473c3,2443,2443,1,2,2018,4,2018,5,0.99968782224949,646669,1.0,1.0,1.0,1.0,1.7163288422494877e-05,True,calibration
SPCAL-000022,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0614E-0946N_2459_4406_13,2002,SN7::L15-0614E-0946N_2459_4406_13::2018-05->2018-06::7697->7697::ae3bd060578716ee->ae3bd060578716ee,7697,7697,2,3,2018,5,2018,6,0.9996907929050987,585314,1.0,1.0,1.0,1.0,2.7595587937412445e-05,True,calibration
SPCAL-000023,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0614E-0946N_2459_4406_13,2003,SN7::L15-0614E-0946N_2459_4406_13::2018-06->2018-07::8979->8979::0c9efca9588056e9->0c9efca9588056e9,8979,8979,3,4,2018,6,2018,7,0.9996937349365802,527673,1.0,1.0,1.0,1.0,4.3122467079825966e-05,True,calibration
SPCAL-000024,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0614E-0946N_2459_4406_13,2004,SN7::L15-0614E-0946N_2459_4406_13::2018-07->2018-08::7321->7321::395c00cfab3359fe->395c00cfab3359fe,7321,7321,4,5,2018,7,2018,8,0.9996966523334029,472767,1.0,1.0,1.0,1.0,1.0847744810860188e-05,True,calibration
SPCAL-000025,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0614E-0946N_2459_4406_13,2005,SN7::L15-0614E-0946N_2459_4406_13::2018-08->2018-09::2830->2830::91a29834a4336b3d->91a29834a4336b3d,2830,2830,5,6,2018,8,2018,9,0.9996995401738261,420732,1.0,1.0,1.0,1.0,4.123239200737331e-06,True,calibration
SPCAL-000026,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0614E-0946N_2459_4406_13,2006,SN7::L15-0614E-0946N_2459_4406_13::2018-09->2018-11::7625->7625::d36fe1db66cad6aa->d36fe1db66cad6aa,7625,7625,6,7,2018,9,2018,11,0.9997023980044071,371838,1.0,1.0,1.0,1.0,3.422083310766778e-05,True,calibration
SPCAL-000027,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0614E-0946N_2459_4406_13,2007,SN7::L15-0614E-0946N_2459_4406_13::2018-11->2018-12::13068->13068::1ce0c3fbbbcc51a4->1ce0c3fbbbcc51a4,13068,13068,7,8,2018,11,2018,12,0.9997052211438305,326048,1.0,1.0,1.0,1.0,0.0001749316834285,True,calibration
SPCAL-000028,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0614E-0946N_2459_4406_13,2008,SN7::L15-0614E-0946N_2459_4406_13::2018-12->2019-01::8079->8079::0ccc61e6f6848679->0ccc61e6f6848679,8079,8079,8,9,2018,12,2019,1,0.9997080368998839,282798,1.0,1.0,1.0,1.0,2.763529872495961e-05,True,calibration
SPCAL-000029,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0614E-0946N_2459_4406_13,2009,SN7::L15-0614E-0946N_2459_4406_13::2019-01->2019-02::2243->2243::bec3774094c655fe->bec3774094c655fe,2243,2243,9,10,2019,1,2019,2,0.9997108176832382,242528,1.0,1.0,1.0,1.0,1.553417458666223e-06,True,calibration
SPCAL-000030,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0614E-0946N_2459_4406_13,2010,SN7::L15-0614E-0946N_2459_4406_13::2019-02->2019-03::14047->14047::c55a3308a3325b5b->c55a3308a3325b5b,14047,14047,10,11,2019,2,2019,3,0.9997135693782881,204971,1.0,1.0,1.0,1.0,1.4990196127939778e-05,True,calibration
SPCAL-000031,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0614E-0946N_2459_4406_13,2011,SN7::L15-0614E-0946N_2459_4406_13::2019-03->2019-04::15877->15877::1b4e8040aeb8205e->1b4e8040aeb8205e,15877,15877,11,12,2019,3,2019,4,0.9997162941185528,170585,1.0,1.0,1.0,1.0,4.035402898594512e-05,True,calibration
SPCAL-000032,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0614E-0946N_2459_4406_13,2012,SN7::L15-0614E-0946N_2459_4406_13::2019-04->2019-05::12101->12101::ece887145be7a38c->ece887145be7a38c,12101,12101,12,13,2019,4,2019,5,0.9997189925026101,139742,1.0,1.0,1.0,1.0,7.255540555206633e-05,True,calibration
SPCAL-000033,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0614E-0946N_2459_4406_13,2013,SN7::L15-0614E-0946N_2459_4406_13::2019-05->2019-06::7656->7656::46965ebe03db3560->46965ebe03db3560,7656,7656,13,14,2019,5,2019,6,0.999721670941085,111771,1.0,1.0,1.0,1.0,1.5760375337237122e-05,True,calibration
SPCAL-000034,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0614E-0946N_2459_4406_13,2014,SN7::L15-0614E-0946N_2459_4406_13::2019-06->2019-07::10332->10332::57694673adbd0448->57694673adbd0448,10332,10332,14,15,2019,6,2019,7,0.9997243192246945,87338,1.0,1.0,1.0,1.0,3.1818053493282265e-05,True,calibration
SPCAL-000035,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0614E-0946N_2459_4406_13,2015,SN7::L15-0614E-0946N_2459_4406_13::2019-07->2019-08::2106->2106::8efb6f7a90669033->8efb6f7a90669033,2106,2106,15,16,2019,7,2019,8,0.9997269433025372,66099,1.0,1.0,1.0,1.0,3.222450225237606e-05,True,calibration
SPCAL-000036,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0614E-0946N_2459_4406_13,2016,SN7::L15-0614E-0946N_2459_4406_13::2019-08->2019-09::8914->8914::e5577fd8ec024b46->e5577fd8ec024b46,8914,8914,16,17,2019,8,2019,9,0.9997295428849321,47703,1.0,1.0,1.0,1.0,2.5024941418649948e-05,True,calibration
SPCAL-000037,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0614E-0946N_2459_4406_13,2017,SN7::L15-0614E-0946N_2459_4406_13::2019-09->2019-10::5771->5771::5d9681f57878aa97->5d9681f57878aa97,5771,5771,17,18,2019,9,2019,10,0.9997321183340526,32842,1.0,1.0,1.0,1.0,8.001916850020081e-06,True,calibration
SPCAL-000038,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0614E-0946N_2459_4406_13,2018,SN7::L15-0614E-0946N_2459_4406_13::2019-10->2019-11::2977->2977::4b9946b08ceef440->4b9946b08ceef440,2977,2977,18,19,2019,10,2019,11,0.9997346619406597,21199,1.0,1.0,1.0,1.0,0.0001106127228283,True,calibration
SPCAL-000039,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0614E-0946N_2459_4406_13,2019,SN7::L15-0614E-0946N_2459_4406_13::2019-11->2020-01::3816->3816::a14003ae8d891aff->a14003ae8d891aff,3816,3816,19,20,2019,11,2020,1,0.9997371873185731,12694,1.0,1.0,1.0,1.0,0.0001156207404733,True,calibration
SPCAL-000040,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0586E-1127N_2345_3680_13,4000,SN7::L15-0586E-1127N_2345_3680_13::2018-01->2018-02::3570->3570::5e1e761015bf742d->5e1e761015bf742d,3570,3570,0,1,2018,1,2018,2,0.9996848106540985,711602,1.0,1.0,1.0,1.0,0.000177481414969,True,calibration
SPCAL-000041,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0586E-1127N_2345_3680_13,4001,SN7::L15-0586E-1127N_2345_3680_13::2018-02->2018-03::6549->6549::fcdc737e49ef2b40->fcdc737e49ef2b40,6549,6549,1,2,2018,2,2018,3,0.999687812388274,646899,1.0,1.0,1.0,1.0,0.0001541746330069,True,calibration
SPCAL-000042,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0586E-1127N_2345_3680_13,4002,SN7::L15-0586E-1127N_2345_3680_13::2018-03->2018-04::4395->4395::0581e1c14daf4b8e->0581e1c14daf4b8e,4395,4395,2,3,2018,3,2018,4,0.9996907932460446,585306,1.0,1.0,1.0,1.0,2.2787931328593995e-05,True,calibration
SPCAL-000043,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0586E-1127N_2345_3680_13,4003,SN7::L15-0586E-1127N_2345_3680_13::2018-04->2018-05::5856->5856::169e667fa7f4635b->169e667fa7f4635b,5856,5856,3,4,2018,4,2018,5,0.9996937376211879,527617,1.0,1.0,1.0,1.0,5.139164393597203e-06,True,calibration
SPCAL-000044,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0586E-1127N_2345_3680_13,4004,SN7::L15-0586E-1127N_2345_3680_13::2018-05->2018-06::5153->5153::ab453d8f579b5340->ab453d8f579b5340,5153,5153,4,5,2018,5,2018,6,0.9996966229091202,473270,1.0,1.0,1.0,1.0,0.0004314841837249,True,calibration
SPCAL-000045,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0586E-1127N_2345_3680_13,4005,SN7::L15-0586E-1127N_2345_3680_13::2018-06->2018-07::3000->3000::32387c338b3f6ac6->32387c338b3f6ac6,3000,3000,5,6,2018,6,2018,7,0.999699530832814,420910,1.0,1.0,1.0,1.0,0.0001389515426772,True,calibration
SPCAL-000046,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0586E-1127N_2345_3680_13,4006,SN7::L15-0586E-1127N_2345_3680_13::2018-07->2018-08::3189->3189::8d3c00cd1ba54fc2->8d3c00cd1ba54fc2,3189,3189,6,7,2018,7,2018,8,0.9997023993713179,371815,1.0,1.0,1.0,1.0,1.4293277438071123e-05,True,calibration
SPCAL-000047,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0586E-1127N_2345_3680_13,4007,SN7::L15-0586E-1127N_2345_3680_13::2018-08->2018-09::6738->6738::2f6290b82e9c858a->2f6290b82e9c858a,6738,6738,7,8,2018,8,2018,9,0.9997052320103129,325872,1.0,1.0,1.0,1.0,1.5070317331833448e-05,True,calibration
SPCAL-000048,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0586E-1127N_2345_3680_13,4008,SN7::L15-0586E-1127N_2345_3680_13::2018-09->2018-10::506->506::5dccb1547d1d1fa1->5dccb1547d1d1fa1,506,506,8,9,2018,9,2018,10,0.9997080297361008,282906,1.0,1.0,1.0,1.0,0.0001340523971151,True,calibration
SPCAL-000049,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0586E-1127N_2345_3680_13,4009,SN7::L15-0586E-1127N_2345_3680_13::2018-10->2018-11::3392->3392::1312d13a10871d50->1312d13a10871d50,3392,3392,9,10,2018,10,2018,11,0.9997107766765517,243106,1.0,1.0,1.0,1.0,0.0006164833541753,True,calibration
SPCAL-000050,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0586E-1127N_2345_3680_13,4010,SN7::L15-0586E-1127N_2345_3680_13::2018-11->2018-12::1599->1599::d93a249c0953e251->d93a249c0953e251,1599,1599,10,11,2018,11,2018,12,0.9997135667697635,205008,1.0,1.0,1.0,1.0,5.448074309555315e-05,True,calibration
SPCAL-000051,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0586E-1127N_2345_3680_13,4011,SN7::L15-0586E-1127N_2345_3680_13::2018-12->2019-01::1571->1571::a0dbfc8ed680e17a->a0dbfc8ed680e17a,1571,1571,11,12,2018,12,2019,1,0.9997162963579053,170556,1.0,1.0,1.0,1.0,6.102100204685734e-06,True,calibration
SPCAL-000052,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0586E-1127N_2345_3680_13,4012,SN7::L15-0586E-1127N_2345_3680_13::2019-01->2019-02::66->66::afeb5f52d51d63bf->afeb5f52d51d63bf,66,66,12,13,2019,1,2019,2,0.9997189943082682,139717,1.0,1.0,1.0,1.0,4.471797751293154e-05,True,calibration
SPCAL-000053,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0586E-1127N_2345_3680_13,4013,SN7::L15-0586E-1127N_2345_3680_13::2019-02->2019-03::3827->3827::07d5d34a4b8d5793->07d5d34a4b8d5793,3827,3827,13,14,2019,2,2019,3,0.9997216704001312,111782,1.0,1.0,1.0,1.0,2.4201354438702168e-05,True,calibration
SPCAL-000054,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0586E-1127N_2345_3680_13,4014,SN7::L15-0586E-1127N_2345_3680_13::2019-03->2019-04::6675->6675::19e6d3c195f5bb1b->19e6d3c195f5bb1b,6675,6675,14,15,2019,3,2019,4,0.999724315071608,87380,1.0,1.0,1.0,1.0,9.71434920842288e-05,True,calibration
SPCAL-000055,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0586E-1127N_2345_3680_13,4015,SN7::L15-0586E-1127N_2345_3680_13::2019-04->2019-05::1803->1803::44b11169067c4122->44b11169067c4122,1803,1803,15,16,2019,4,2019,5,0.9997269300258286,66225,1.0,1.0,1.0,1.0,0.0002430977764085,True,calibration
SPCAL-000056,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0586E-1127N_2345_3680_13,4016,SN7::L15-0586E-1127N_2345_3680_13::2019-05->2019-06::4501->4501::0db5aabb388e3e8f->0db5aabb388e3e8f,4501,4501,16,17,2019,5,2019,6,0.9997295372592633,47756,1.0,1.0,1.0,1.0,0.0001152420524057,True,calibration
SPCAL-000057,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0586E-1127N_2345_3680_13,4017,SN7::L15-0586E-1127N_2345_3680_13::2019-06->2019-07::2846->2846::3efbf285615bfe4e->3efbf285615bfe4e,2846,2846,17,18,2019,6,2019,7,0.999732112298655,32874,1.0,1.0,1.0,1.0,0.0001056753863117,True,calibration
SPCAL-000058,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0586E-1127N_2345_3680_13,4018,SN7::L15-0586E-1127N_2345_3680_13::2019-07->2019-08::1485->1485::f781ab38382c2ee6->f781ab38382c2ee6,1485,1485,18,19,2019,7,2019,8,0.9997346679628328,21169,1.0,1.0,1.0,1.0,1.221726686040374e-05,True,calibration
SPCAL-000059,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0586E-1127N_2345_3680_13,4019,SN7::L15-0586E-1127N_2345_3680_13::2019-08->2019-09::4346->4346::4f59b77532536859->4f59b77532536859,4346,4346,19,20,2019,8,2019,9,0.9997371908024415,12684,1.0,1.0,1.0,1.0,5.81432560444741e-05,True,calibration
SPCAL-000060,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0586E-1127N_2345_3680_13,4020,SN7::L15-0586E-1127N_2345_3680_13::2019-09->2019-10::3491->3491::3042fdfe99531f62->3042fdfe99531f62,3491,3491,20,21,2019,9,2019,10,0.9997396770549473,7045,1.0,1.0,1.0,1.0,0.0003140941879031,True,calibration
SPCAL-000061,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0586E-1127N_2345_3680_13,4021,SN7::L15-0586E-1127N_2345_3680_13::2019-10->2019-11::899->899::8d2dd06a0284cd65->8d2dd06a0284cd65,899,899,21,22,2019,10,2019,11,0.9997421572109525,3316,1.0,1.0,1.0,1.0,0.0002770940396565,True,calibration
SPCAL-000062,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0586E-1127N_2345_3680_13,4022,SN7::L15-0586E-1127N_2345_3680_13::2019-11->2019-12::1150->1150::857a9951fda88a3e->857a9951fda88a3e,1150,1150,22,23,2019,11,2019,12,0.9997446223826517,987,1.0,1.0,1.0,1.0,9.33967673368844e-05,True,calibration
SPCAL-000063,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0586E-1127N_2345_3680_13,4023,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::7365->7365::f4335fd2ab7f5e60->f4335fd2ab7f5e60,7365,7365,23,24,2019,12,2020,1,0.9997470548191608,2,1.0,1.0,1.0,1.0,6.700635432466153e-05,True,calibration
SPCAL-000064,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0544E-1228N_2176_3279_13,5000,SN7::L15-0544E-1228N_2176_3279_13::2018-01->2018-02::10053->10053::92540b2489d315f3->92540b2489d315f3,10053,10053,0,1,2018,1,2018,2,0.9996848161946958,711458,1.0,1.0,1.0,1.0,0.0001012459024067,True,calibration
SPCAL-000065,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0544E-1228N_2176_3279_13,5001,SN7::L15-0544E-1228N_2176_3279_13::2018-02->2018-03::7654->7654::9b66ff0311039b6d->9b66ff0311039b6d,7654,7654,1,2,2018,2,2018,3,0.9996878126408755,646893,1.0,1.0,1.0,1.0,0.0001506395861348,True,calibration
SPCAL-000066,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0544E-1228N_2176_3279_13,5002,SN7::L15-0544E-1228N_2176_3279_13::2018-03->2018-04::7094->7094::7f86af1ad032e43e->7f86af1ad032e43e,7094,7094,2,3,2018,3,2018,4,0.9996907872733015,585415,1.0,1.0,1.0,1.0,0.0001065650003795,True,calibration
SPCAL-000067,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0544E-1228N_2176_3279_13,5003,SN7::L15-0544E-1228N_2176_3279_13::2018-04->2018-05::5264->5264::b30f54c5db8b9695->b30f54c5db8b9695,5264,5264,3,4,2018,4,2018,5,0.9996937359715538,527654,1.0,1.0,1.0,1.0,2.848389344478629e-05,True,calibration
SPCAL-000068,prospective_calibration_audit,SpaceNet7,earth_observation_building_links,spacenet7_learned_geometry,L15-0544E-1228N_2176_3279_13,5004,SN7::L15-0544E-1228N_2176_3279_13::2018-05->2018-06::3613->3613::c60b5d5d26f08adb->c60b5d5d26f08adb,3613,3613,4,5,2018,5,2018,6,0.9996966493542849,472809,1.0,1.0,1.0,1.0,5.342667292396205e-05,True,calibration
