result_id,protocol_family,alpha,K,protocol_family_member,predeclared,source_artifact,source_sha256,membership_note
materials_cgcnn_ensemble_learned_materials_model_alpha0.1_K100,materials_frozen_alpha_rho_K_public_label_followup,0.1,100,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.1_K300,materials_frozen_alpha_rho_K_public_label_followup,0.1,300,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.1_K500,materials_frozen_alpha_rho_K_public_label_followup,0.1,500,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.1_K1000,materials_frozen_alpha_rho_K_public_label_followup,0.1,1000,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.1_K5000,materials_frozen_alpha_rho_K_public_label_followup,0.1,5000,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.2_K100,materials_frozen_alpha_rho_K_public_label_followup,0.2,100,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.2_K300,materials_frozen_alpha_rho_K_public_label_followup,0.2,300,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.2_K500,materials_frozen_alpha_rho_K_public_label_followup,0.2,500,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.2_K1000,materials_frozen_alpha_rho_K_public_label_followup,0.2,1000,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.2_K5000,materials_frozen_alpha_rho_K_public_label_followup,0.2,5000,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.1_K100,materials_frozen_alpha_rho_K_public_label_followup,0.1,100,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.1_K300,materials_frozen_alpha_rho_K_public_label_followup,0.1,300,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.1_K500,materials_frozen_alpha_rho_K_public_label_followup,0.1,500,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.1_K1000,materials_frozen_alpha_rho_K_public_label_followup,0.1,1000,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.1_K5000,materials_frozen_alpha_rho_K_public_label_followup,0.1,5000,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.2_K100,materials_frozen_alpha_rho_K_public_label_followup,0.2,100,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.2_K300,materials_frozen_alpha_rho_K_public_label_followup,0.2,300,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.2_K500,materials_frozen_alpha_rho_K_public_label_followup,0.2,500,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.2_K1000,materials_frozen_alpha_rho_K_public_label_followup,0.2,1000,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.2_K5000,materials_frozen_alpha_rho_K_public_label_followup,0.2,5000,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,utility under public labels; not prospective discovery
materials_release_error_reduction_ALIGNN_K300_K500,materials_frozen_alpha_rho_K_public_label_followup,0.10,300/500,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,"release-error reduction is certified stopping/refusal, not fixed-size reranking"
materials_external_OQMD,materials_external_source_stress,0.10,500,True,False,outputs/milestones/materials_source_discordance_stress_test/table_materials_external_source_stress_summary.csv,22bc966814623d947d9f604b83317d79f27e4d80c84efaefb863d55a05f27196,must not support primary positive validation
materials_external_alex_mp,materials_external_source_stress,0.10,500,True,False,outputs/milestones/materials_source_discordance_stress_test/table_materials_external_source_stress_summary.csv,22bc966814623d947d9f604b83317d79f27e4d80c84efaefb863d55a05f27196,must not support primary positive validation
ctc_strict_anchor_alpha010_K300,ctc_strict_sequence_disjoint_release,0.1,300,True,True,outputs/milestones/ctc_scientific_artifact_consequence/table_ctc_false_lineage_edges_avoided.csv,de683e5afd84d4aa67c9068f0470c1ae537d063f82b76cf279ab2412934ed1b8,"release certification, not an end-to-end tracker claim"
iwildcam_human_audit_alpha020_K50,real_human_partial_verification_release_refusal,0.2,50,True,True,outputs/milestones/cross_domain_blind_audit_main_evidence/table_cross_domain_audit_primary.csv,5baa1953d8d80e3ab8ed6711be5a85810d7ef748cd75e5b1dbabf0822e336115,operational alpha=0.20; strict alpha=0.10 refused
spacenet_real_audit_K50_K100,real_human_partial_verification_release_refusal,0.2,50/100,True,True,outputs/milestones/cross_domain_blind_audit_main_evidence/table_cross_domain_audit_primary.csv,5baa1953d8d80e3ab8ed6711be5a85810d7ef748cd75e5b1dbabf0822e336115,K=50 diagnostic release; K=100 primary request refused
A3_MatterGen_5k_pending,prospective_in_silico_DFT_bonus_track,0.1,100,True,True,outputs/milestones/mattergen_parc_prospective_dft_followup/table_v4_freeze_status.csv,bf01cca4b60ef71b8f7f09f78dbe251f5c875fb6f6d2c107c8d91aa6cf6d4b18,"no prospective materials discovery unless released_n>=25, frozen selection, DFT n>=25, and FTR<=alpha"
