claim_id,exact_manuscript_sentence,manuscript_role,evidence_state,completed_artifact,source_sha256,evidence_completed,claim_boundary
materials_cgcnn_ensemble_learned_materials_model_alpha0.1_K1000,,secondary_support,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.1_K5000,,secondary_support,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.2_K100,,secondary_support,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.2_K300,,secondary_support,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.2_K500,,secondary_support,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.2_K1000,,secondary_support,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.2_K5000,,secondary_support,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.1_K100,,secondary_support,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.1_K300,,secondary_support,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.1_K500,,secondary_support,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.1_K1000,,secondary_support,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.1_K5000,,secondary_support,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.2_K100,,secondary_support,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.2_K300,,secondary_support,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.2_K500,,secondary_support,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.2_K1000,,secondary_support,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.2_K5000,,secondary_support,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_release_error_reduction_ALIGNN_K300_K500,"At the ALIGNN-FF K=300 and K=500 budgets, PARC reduced released unstable materials relative to the raw top-K follow-up queue while returning a smaller certified queue.",primary_headline,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,"release-error reduction is certified stopping/refusal, not fixed-size reranking"
materials_external_OQMD,,diagnostic_only,completed_negative_diagnostic,outputs/milestones/materials_source_discordance_stress_test/table_materials_external_source_stress_summary.csv,22bc966814623d947d9f604b83317d79f27e4d80c84efaefb863d55a05f27196,True,must not support primary positive validation
materials_external_alex_mp,,stress_test,completed_negative_diagnostic,outputs/milestones/materials_source_discordance_stress_test/table_materials_external_source_stress_summary.csv,22bc966814623d947d9f604b83317d79f27e4d80c84efaefb863d55a05f27196,True,must not support primary positive validation
ctc_strict_anchor_alpha010_K300,"In CTC, PARC released sequence-disjoint learned cell-link candidates at alpha=0.10 with 20/20 non-empty seeds and zero held-out false-link fraction.",primary_headline,completed_strict_release,outputs/milestones/ctc_scientific_artifact_consequence/table_ctc_false_lineage_edges_avoided.csv,de683e5afd84d4aa67c9068f0470c1ae537d063f82b76cf279ab2412934ed1b8,True,"release certification, not an end-to-end tracker claim"
iwildcam_human_audit_alpha020_K50,,secondary_support,completed_human_audit_operational,outputs/milestones/cross_domain_blind_audit_main_evidence/table_cross_domain_audit_primary.csv,5baa1953d8d80e3ab8ed6711be5a85810d7ef748cd75e5b1dbabf0822e336115,True,operational alpha=0.20; strict alpha=0.10 refused
spacenet_real_audit_K50_K100,,secondary_support,completed_human_audit_diagnostic_and_refusal,outputs/milestones/cross_domain_blind_audit_main_evidence/table_cross_domain_audit_primary.csv,5baa1953d8d80e3ab8ed6711be5a85810d7ef748cd75e5b1dbabf0822e336115,True,K=50 diagnostic release; K=100 primary request refused
A3_MatterGen_5k_pending,,pending,pending,outputs/milestones/mattergen_parc_prospective_dft_followup/table_v4_freeze_status.csv,bf01cca4b60ef71b8f7f09f78dbe251f5c875fb6f6d2c107c8d91aa6cf6d4b18,False,"no prospective materials discovery unless released_n>=25, frozen selection, DFT n>=25, and FTR<=alpha"
