dataset,generator,alpha1,seed,candidate_budget_M,strategy,max_observed_e_reference,released,official_supported,unsupported,utr,audited_ftr_on_labeled_released,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,runtime_sec
OVT-B,GroundingDINO,0.3,1,150,coverage_conditional_parc,37.20674236442314,150,146,4,0.02666666666666667,,0.02666666666666667,1.0,0.0
OVT-B,GroundingDINO,0.3,2,150,coverage_conditional_parc,37.44649344759844,150,147,3,0.02,,0.02,1.0,0.0
TAO,GroundingDINO,0.05,0,150,coverage_conditional_parc,33.97091768583136,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,0.05,1,150,coverage_conditional_parc,34.068163221773965,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,0.05,2,150,coverage_conditional_parc,33.776299976401,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,0.1,0,150,coverage_conditional_parc,33.97091768583136,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,0.1,1,150,coverage_conditional_parc,34.068163221773965,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,0.1,2,150,coverage_conditional_parc,33.776299976401,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,0.15,0,150,coverage_conditional_parc,33.97091768583136,137,132,5,0.0364963503649635,0.2,0.029197080291970802,0.9133333333333333,0.0
TAO,GroundingDINO,0.15,1,150,coverage_conditional_parc,34.068163221773965,106,105,1,0.009433962264150943,0.0,0.0,0.7066666666666667,0.0
TAO,GroundingDINO,0.15,2,150,coverage_conditional_parc,33.776299976401,100,99,1,0.01,0.0,0.0,0.6666666666666666,0.0
TAO,GroundingDINO,0.2,0,150,coverage_conditional_parc,33.97091768583136,150,145,5,0.03333333333333333,0.2,0.02666666666666667,1.0,0.0
TAO,GroundingDINO,0.2,1,150,coverage_conditional_parc,34.068163221773965,150,145,5,0.03333333333333333,0.0,0.02666666666666667,1.0,0.0
TAO,GroundingDINO,0.2,2,150,coverage_conditional_parc,33.776299976401,142,141,1,0.007042253521126761,0.0,0.0,0.9466666666666667,0.0
TAO,GroundingDINO,0.25,0,150,coverage_conditional_parc,33.97091768583136,150,145,5,0.03333333333333333,0.2,0.02666666666666667,1.0,0.0
TAO,GroundingDINO,0.25,1,150,coverage_conditional_parc,34.068163221773965,150,145,5,0.03333333333333333,0.0,0.02666666666666667,1.0,0.0
TAO,GroundingDINO,0.25,2,150,coverage_conditional_parc,33.776299976401,150,148,2,0.013333333333333334,0.0,0.006666666666666667,1.0,0.0
TAO,GroundingDINO,0.3,0,150,coverage_conditional_parc,33.97091768583136,150,145,5,0.03333333333333333,0.2,0.02666666666666667,1.0,0.0
TAO,GroundingDINO,0.3,1,150,coverage_conditional_parc,34.068163221773965,150,145,5,0.03333333333333333,0.0,0.02666666666666667,1.0,0.0
TAO,GroundingDINO,0.3,2,150,coverage_conditional_parc,33.776299976401,150,148,2,0.013333333333333334,0.0,0.006666666666666667,1.0,0.0
OVT-B,OWLv2,0.05,0,150,coverage_conditional_parc,,0,0,0,0.0,,,0.0,0.0
OVT-B,OWLv2,0.05,1,150,coverage_conditional_parc,,0,0,0,0.0,,,0.0,0.0
OVT-B,OWLv2,0.05,2,150,coverage_conditional_parc,,0,0,0,0.0,,,0.0,0.0
OVT-B,OWLv2,0.1,0,150,coverage_conditional_parc,52.069925759461306,0,0,0,0.0,,,0.0,0.0
OVT-B,OWLv2,0.1,1,150,coverage_conditional_parc,28.86850998351219,0,0,0,0.0,,,0.0,0.0
OVT-B,OWLv2,0.1,2,150,coverage_conditional_parc,52.29831090625768,0,0,0,0.0,,,0.0,0.0
OVT-B,OWLv2,0.15,0,150,coverage_conditional_parc,52.069925759461306,0,0,0,0.0,,,0.0,0.0
OVT-B,OWLv2,0.15,1,150,coverage_conditional_parc,28.86850998351219,0,0,0,0.0,,,0.0,0.0
OVT-B,OWLv2,0.15,2,150,coverage_conditional_parc,52.29831090625768,0,0,0,0.0,,,0.0,0.0
OVT-B,OWLv2,0.2,0,150,coverage_conditional_parc,52.069925759461306,0,0,0,0.0,,,0.0,0.0
OVT-B,OWLv2,0.2,1,150,coverage_conditional_parc,28.86850998351219,0,0,0,0.0,,,0.0,0.0
OVT-B,OWLv2,0.2,2,150,coverage_conditional_parc,52.29831090625768,0,0,0,0.0,,,0.0,0.0
OVT-B,OWLv2,0.25,0,150,coverage_conditional_parc,52.069925759461306,0,0,0,0.0,,,0.0,0.0
OVT-B,OWLv2,0.25,1,150,coverage_conditional_parc,28.86850998351219,0,0,0,0.0,,,0.0,0.0
OVT-B,OWLv2,0.25,2,150,coverage_conditional_parc,52.29831090625768,0,0,0,0.0,,,0.0,0.0
OVT-B,OWLv2,0.3,0,150,coverage_conditional_parc,52.069925759461306,0,0,0,0.0,,,0.0,0.0
OVT-B,OWLv2,0.3,1,150,coverage_conditional_parc,28.86850998351219,0,0,0,0.0,,,0.0,0.0
OVT-B,OWLv2,0.3,2,150,coverage_conditional_parc,52.29831090625768,0,0,0,0.0,,,0.0,0.0
TAO,OWLv2,0.05,0,150,coverage_conditional_parc,,0,0,0,0.0,,,0.0,0.0
TAO,OWLv2,0.05,1,150,coverage_conditional_parc,,0,0,0,0.0,,,0.0,0.0
TAO,OWLv2,0.05,2,150,coverage_conditional_parc,,0,0,0,0.0,,,0.0,0.0
TAO,OWLv2,0.1,0,150,coverage_conditional_parc,37.781761838652166,0,0,0,0.0,,,0.0,0.0
TAO,OWLv2,0.1,1,150,coverage_conditional_parc,37.73389353320295,0,0,0,0.0,,,0.0,0.0
TAO,OWLv2,0.1,2,150,coverage_conditional_parc,37.6860161962012,0,0,0,0.0,,,0.0,0.0
TAO,OWLv2,0.15,0,150,coverage_conditional_parc,37.781761838652166,0,0,0,0.0,,,0.0,0.0
TAO,OWLv2,0.15,1,150,coverage_conditional_parc,37.73389353320295,0,0,0,0.0,,,0.0,0.0
TAO,OWLv2,0.15,2,150,coverage_conditional_parc,37.6860161962012,0,0,0,0.0,,,0.0,0.0
TAO,OWLv2,0.2,0,150,coverage_conditional_parc,37.781761838652166,0,0,0,0.0,,,0.0,0.0
TAO,OWLv2,0.2,1,150,coverage_conditional_parc,37.73389353320295,0,0,0,0.0,,,0.0,0.0
TAO,OWLv2,0.2,2,150,coverage_conditional_parc,37.6860161962012,0,0,0,0.0,,,0.0,0.0
TAO,OWLv2,0.25,0,150,coverage_conditional_parc,37.781761838652166,0,0,0,0.0,,,0.0,0.0
TAO,OWLv2,0.25,1,150,coverage_conditional_parc,37.73389353320295,0,0,0,0.0,,,0.0,0.0
TAO,OWLv2,0.25,2,150,coverage_conditional_parc,37.6860161962012,0,0,0,0.0,,,0.0,0.0
TAO,OWLv2,0.3,0,150,coverage_conditional_parc,37.781761838652166,0,0,0,0.0,,,0.0,0.0
TAO,OWLv2,0.3,1,150,coverage_conditional_parc,37.73389353320295,0,0,0,0.0,,,0.0,0.0
TAO,OWLv2,0.3,2,150,coverage_conditional_parc,37.6860161962012,0,0,0,0.0,,,0.0,0.0
