panel,domain,dataset,proposal_source,alpha,K,method,mean_release,release_rate,FTR_mean,empirical_FTR_mean,seeds,source_artifact,source_sha256,evidence_status,claim_boundary,method_family,certificate_type,uses_null_superset,uses_SCS_denominator,respects_compatibility,deployable,target_object,false_followups_mean,prevented_unstable_followups_mean,is_parc_certificate,has_full_release_certificate,false_count_mean
visual_full_baseline_matrix,visual_scientific_audit,BURST,OWLv2,0.1,150,Split conformal p-value threshold,150.0,1.0,0.9666666666666667,,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,split conformal candidate threshold,different_target,False,False,False,True,candidate-level threshold,,,False,False,145.0
visual_full_baseline_matrix,visual_scientific_audit,BURST,OWLv2,0.1,150,e-BH style selection,0.0,0.0,,,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,e-BH-style,different_target,True,False,False,True,e-value multiple testing,,,False,False,
visual_full_baseline_matrix,visual_scientific_audit,LVVIS,GroundingDINO,0.1,150,Fixed score threshold,150.0,1.0,0.011111111111111066,,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,fixed threshold,empirical_filter,False,False,False,True,score threshold,,,False,False,1.6666666666666599
visual_full_baseline_matrix,visual_scientific_audit,LVVIS,GroundingDINO,0.1,150,Full PARC,150.0,1.0,0.011111111111111066,,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,PARC,set_level_release_certificate,True,True,True,True,finite compatible release set,,,True,True,1.6666666666666599
visual_full_baseline_matrix,visual_scientific_audit,LVVIS,GroundingDINO,0.1,150,Per-generator calibrated score threshold,150.0,1.0,0.011111111111111066,,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,calibrated threshold,threshold_policy,False,False,False,True,calibrated score threshold,,,False,False,1.6666666666666599
visual_full_baseline_matrix,visual_scientific_audit,LVVIS,GroundingDINO,0.1,150,Post-filter e-value threshold,150.0,1.0,0.011111111111111066,,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,post-filter e-value,missing_SCS_denominator,True,False,False,True,candidate e-value filter,,,False,False,1.6666666666666599
visual_full_baseline_matrix,visual_scientific_audit,LVVIS,GroundingDINO,0.1,150,Raw top-M,150.0,1.0,0.011111111111111066,,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,raw top-K,no_certificate,False,False,False,True,ranked prefix,,,False,False,1.6666666666666599
visual_full_baseline_matrix,visual_scientific_audit,LVVIS,GroundingDINO,0.1,150,Split conformal p-value threshold,150.0,1.0,0.011111111111111066,,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,split conformal candidate threshold,different_target,False,False,False,True,candidate-level threshold,,,False,False,1.6666666666666599
visual_full_baseline_matrix,visual_scientific_audit,LVVIS,GroundingDINO,0.1,150,e-BH style selection,150.0,1.0,0.011111111111111066,,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,e-BH-style,different_target,True,False,False,True,e-value multiple testing,,,False,False,1.6666666666666599
visual_full_baseline_matrix,visual_scientific_audit,OVT-B,GroundingDINO,0.1,150,Fixed score threshold,150.0,1.0,0.9577777777777778,0.0,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,fixed threshold,empirical_filter,False,False,False,True,score threshold,,,False,False,143.66666666666669
visual_full_baseline_matrix,visual_scientific_audit,OVT-B,GroundingDINO,0.1,150,Full PARC,42.0,0.3333333333333333,0.0079365079365079,0.0,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,PARC,set_level_release_certificate,True,True,True,True,finite compatible release set,,,True,True,0.33333333333333176
visual_full_baseline_matrix,visual_scientific_audit,OVT-B,GroundingDINO,0.1,150,Per-generator calibrated score threshold,150.0,1.0,0.9577777777777778,0.0,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,calibrated threshold,threshold_policy,False,False,False,True,calibrated score threshold,,,False,False,143.66666666666669
visual_full_baseline_matrix,visual_scientific_audit,OVT-B,GroundingDINO,0.1,150,Post-filter e-value threshold,42.0,0.3333333333333333,0.9285714285714286,0.0,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,post-filter e-value,missing_SCS_denominator,True,False,False,True,candidate e-value filter,,,False,False,39.0
visual_full_baseline_matrix,visual_scientific_audit,OVT-B,GroundingDINO,0.1,150,Raw top-M,150.0,1.0,0.9577777777777778,0.0,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,raw top-K,no_certificate,False,False,False,True,ranked prefix,,,False,False,143.66666666666669
visual_full_baseline_matrix,visual_scientific_audit,OVT-B,GroundingDINO,0.1,150,Split conformal p-value threshold,150.0,1.0,0.9577777777777778,0.0,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,split conformal candidate threshold,different_target,False,False,False,True,candidate-level threshold,,,False,False,143.66666666666669
visual_full_baseline_matrix,visual_scientific_audit,OVT-B,GroundingDINO,0.1,150,e-BH style selection,42.0,0.3333333333333333,0.9285714285714286,0.0,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,e-BH-style,different_target,True,False,False,True,e-value multiple testing,,,False,False,39.0
visual_full_baseline_matrix,visual_scientific_audit,OVT-B,GroundingDINO + tracker,0.1,150,Oracle true upper bound,135.0,1.0,0.0,0.0,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,oracle prefix,non_deployable_oracle,False,False,False,False,full-label oracle diagnostic,,,False,False,0.0
visual_full_baseline_matrix,visual_scientific_audit,TAO,GroundingDINO,0.1,150,Fixed score threshold,150.0,1.0,0.9666666666666668,0.06666666666666667,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,fixed threshold,empirical_filter,False,False,False,True,score threshold,,,False,False,145.00000000000003
visual_full_baseline_matrix,visual_scientific_audit,TAO,GroundingDINO,0.1,150,Full PARC,0.0,0.0,,,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,PARC,set_level_release_certificate,True,True,True,True,finite compatible release set,,,True,True,
visual_full_baseline_matrix,visual_scientific_audit,TAO,GroundingDINO,0.1,150,Per-generator calibrated score threshold,150.0,1.0,0.9666666666666668,0.06666666666666667,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,calibrated threshold,threshold_policy,False,False,False,True,calibrated score threshold,,,False,False,145.00000000000003
visual_full_baseline_matrix,visual_scientific_audit,TAO,GroundingDINO,0.1,150,Post-filter e-value threshold,0.0,0.0,,,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,post-filter e-value,missing_SCS_denominator,True,False,False,True,candidate e-value filter,,,False,False,
visual_full_baseline_matrix,visual_scientific_audit,TAO,GroundingDINO,0.1,150,Raw top-M,150.0,1.0,0.9666666666666668,0.06666666666666667,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,raw top-K,no_certificate,False,False,False,True,ranked prefix,,,False,False,145.00000000000003
visual_full_baseline_matrix,visual_scientific_audit,TAO,GroundingDINO,0.1,150,Split conformal p-value threshold,150.0,1.0,0.9666666666666668,0.06666666666666667,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,split conformal candidate threshold,different_target,False,False,False,True,candidate-level threshold,,,False,False,145.00000000000003
visual_full_baseline_matrix,visual_scientific_audit,TAO,GroundingDINO,0.1,150,e-BH style selection,0.0,0.0,,,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,e-BH-style,different_target,True,False,False,True,e-value multiple testing,,,False,False,
visual_full_baseline_matrix,visual_scientific_audit,TAO,GroundingDINO + tracker,0.1,150,Oracle true upper bound,0.0,0.0,0.0,0.0,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,oracle prefix,non_deployable_oracle,False,False,False,False,full-label oracle diagnostic,,,False,False,0.0
materials_public_dft_baseline_frontier,Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.05,300,raw top-K,300.0,1.0,0.2349999999999999,0.2349999999999999,,outputs/milestones/fixed_budget_downstream_utility/table_materials_baseline_frontier.csv,d7555b47437953e4a6ced6352dcf5acf6b16e9ef48f7c4af5ab79c2cacee9717,completed_retrospective_public_label_diagnostic,retrospective public-DFT baseline frontier; not prospective discovery,raw top-K,no_certificate,False,False,False,True,ranked prefix,,,False,False,70.49999999999997
materials_public_dft_baseline_frontier,Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.05,300,raw top-R,111.7,1.0,0.0263138538256426,0.0263138538256426,,outputs/milestones/fixed_budget_downstream_utility/table_materials_baseline_frontier.csv,d7555b47437953e4a6ced6352dcf5acf6b16e9ef48f7c4af5ab79c2cacee9717,completed_retrospective_public_label_diagnostic,retrospective public-DFT baseline frontier; not prospective discovery,raw top-R,diagnostic_not_policy,False,False,False,False,matched-volume diagnostic,,,False,False,2.939257472324279
materials_public_dft_baseline_frontier,Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.05,300,split conformal,300.0,1.0,0.2349999999999999,0.2349999999999999,,outputs/milestones/fixed_budget_downstream_utility/table_materials_baseline_frontier.csv,d7555b47437953e4a6ced6352dcf5acf6b16e9ef48f7c4af5ab79c2cacee9717,completed_retrospective_public_label_diagnostic,retrospective public-DFT baseline frontier; not prospective discovery,split conformal candidate threshold,different_target,False,False,False,True,candidate-level threshold,,,False,False,70.49999999999997
materials_public_dft_baseline_frontier,Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.05,300,post-filter e-value,154.2,1.0,0.0845109870300157,0.0845109870300157,,outputs/milestones/fixed_budget_downstream_utility/table_materials_baseline_frontier.csv,d7555b47437953e4a6ced6352dcf5acf6b16e9ef48f7c4af5ab79c2cacee9717,completed_retrospective_public_label_diagnostic,retrospective public-DFT baseline frontier; not prospective discovery,post-filter e-value,missing_SCS_denominator,True,False,False,True,candidate e-value filter,,,False,False,13.031594200028419
materials_public_dft_baseline_frontier,Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.05,300,e-BH-style,0.0,0.0,,,,outputs/milestones/fixed_budget_downstream_utility/table_materials_baseline_frontier.csv,d7555b47437953e4a6ced6352dcf5acf6b16e9ef48f7c4af5ab79c2cacee9717,completed_retrospective_public_label_diagnostic,retrospective public-DFT baseline frontier; not prospective discovery,e-BH-style,different_target,True,False,False,True,e-value multiple testing,,,False,False,
materials_public_dft_baseline_frontier,Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.05,300,PARC,111.7,1.0,0.0263138538256426,0.0263138538256426,,outputs/milestones/fixed_budget_downstream_utility/table_materials_baseline_frontier.csv,d7555b47437953e4a6ced6352dcf5acf6b16e9ef48f7c4af5ab79c2cacee9717,completed_retrospective_public_label_diagnostic,retrospective public-DFT baseline frontier; not prospective discovery,PARC,set_level_release_certificate,True,True,True,True,finite compatible release set,,,True,True,2.939257472324279
materials_public_dft_baseline_frontier,Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,300,raw top-K,300.0,1.0,0.2349999999999999,0.2349999999999999,,outputs/milestones/fixed_budget_downstream_utility/table_materials_baseline_frontier.csv,d7555b47437953e4a6ced6352dcf5acf6b16e9ef48f7c4af5ab79c2cacee9717,completed_retrospective_public_label_diagnostic,retrospective public-DFT baseline frontier; not prospective discovery,raw top-K,no_certificate,False,False,False,True,ranked prefix,,,False,False,70.49999999999997
materials_public_dft_baseline_frontier,Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,300,raw top-R,163.8,1.0,0.091556238689795,0.091556238689795,,outputs/milestones/fixed_budget_downstream_utility/table_materials_baseline_frontier.csv,d7555b47437953e4a6ced6352dcf5acf6b16e9ef48f7c4af5ab79c2cacee9717,completed_retrospective_public_label_diagnostic,retrospective public-DFT baseline frontier; not prospective discovery,raw top-R,diagnostic_not_policy,False,False,False,False,matched-volume diagnostic,,,False,False,14.996911897388422
materials_public_dft_baseline_frontier,Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,300,split conformal,300.0,1.0,0.2349999999999999,0.2349999999999999,,outputs/milestones/fixed_budget_downstream_utility/table_materials_baseline_frontier.csv,d7555b47437953e4a6ced6352dcf5acf6b16e9ef48f7c4af5ab79c2cacee9717,completed_retrospective_public_label_diagnostic,retrospective public-DFT baseline frontier; not prospective discovery,split conformal candidate threshold,different_target,False,False,False,True,candidate-level threshold,,,False,False,70.49999999999997
materials_public_dft_baseline_frontier,Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,300,post-filter e-value,214.0,1.0,0.1624888642912147,0.1624888642912147,,outputs/milestones/fixed_budget_downstream_utility/table_materials_baseline_frontier.csv,d7555b47437953e4a6ced6352dcf5acf6b16e9ef48f7c4af5ab79c2cacee9717,completed_retrospective_public_label_diagnostic,retrospective public-DFT baseline frontier; not prospective discovery,post-filter e-value,missing_SCS_denominator,True,False,False,True,candidate e-value filter,,,False,False,34.772616958319944
materials_public_dft_baseline_frontier,Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,300,e-BH-style,0.0,0.0,,,,outputs/milestones/fixed_budget_downstream_utility/table_materials_baseline_frontier.csv,d7555b47437953e4a6ced6352dcf5acf6b16e9ef48f7c4af5ab79c2cacee9717,completed_retrospective_public_label_diagnostic,retrospective public-DFT baseline frontier; not prospective discovery,e-BH-style,different_target,True,False,False,True,e-value multiple testing,,,False,False,
materials_public_dft_baseline_frontier,Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,300,PARC,163.8,1.0,0.091556238689795,0.091556238689795,,outputs/milestones/fixed_budget_downstream_utility/table_materials_baseline_frontier.csv,d7555b47437953e4a6ced6352dcf5acf6b16e9ef48f7c4af5ab79c2cacee9717,completed_retrospective_public_label_diagnostic,retrospective public-DFT baseline frontier; not prospective discovery,PARC,set_level_release_certificate,True,True,True,True,finite compatible release set,,,True,True,14.996911897388422
materials_public_dft_baseline_frontier,Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,500,raw top-K,500.0,1.0,0.3258999999999999,0.3258999999999999,,outputs/milestones/fixed_budget_downstream_utility/table_materials_baseline_frontier.csv,d7555b47437953e4a6ced6352dcf5acf6b16e9ef48f7c4af5ab79c2cacee9717,completed_retrospective_public_label_diagnostic,retrospective public-DFT baseline frontier; not prospective discovery,raw top-K,no_certificate,False,False,False,True,ranked prefix,,,False,False,162.94999999999996
materials_public_dft_baseline_frontier,Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,500,raw top-R,118.8,1.0,0.0318972059842815,0.0318972059842815,,outputs/milestones/fixed_budget_downstream_utility/table_materials_baseline_frontier.csv,d7555b47437953e4a6ced6352dcf5acf6b16e9ef48f7c4af5ab79c2cacee9717,completed_retrospective_public_label_diagnostic,retrospective public-DFT baseline frontier; not prospective discovery,raw top-R,diagnostic_not_policy,False,False,False,False,matched-volume diagnostic,,,False,False,3.789388070932642
materials_public_dft_baseline_frontier,Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,500,split conformal,500.0,1.0,0.3258999999999999,0.3258999999999999,,outputs/milestones/fixed_budget_downstream_utility/table_materials_baseline_frontier.csv,d7555b47437953e4a6ced6352dcf5acf6b16e9ef48f7c4af5ab79c2cacee9717,completed_retrospective_public_label_diagnostic,retrospective public-DFT baseline frontier; not prospective discovery,split conformal candidate threshold,different_target,False,False,False,True,candidate-level threshold,,,False,False,162.94999999999996
materials_public_dft_baseline_frontier,Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,500,post-filter e-value,214.4,1.0,0.1627031500055005,0.1627031500055005,,outputs/milestones/fixed_budget_downstream_utility/table_materials_baseline_frontier.csv,d7555b47437953e4a6ced6352dcf5acf6b16e9ef48f7c4af5ab79c2cacee9717,completed_retrospective_public_label_diagnostic,retrospective public-DFT baseline frontier; not prospective discovery,post-filter e-value,missing_SCS_denominator,True,False,False,True,candidate e-value filter,,,False,False,34.88355536117931
materials_public_dft_baseline_frontier,Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,500,e-BH-style,0.0,0.0,,,,outputs/milestones/fixed_budget_downstream_utility/table_materials_baseline_frontier.csv,d7555b47437953e4a6ced6352dcf5acf6b16e9ef48f7c4af5ab79c2cacee9717,completed_retrospective_public_label_diagnostic,retrospective public-DFT baseline frontier; not prospective discovery,e-BH-style,different_target,True,False,False,True,e-value multiple testing,,,False,False,
materials_public_dft_baseline_frontier,Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.1,500,PARC,118.8,1.0,0.0318972059842815,0.0318972059842815,,outputs/milestones/fixed_budget_downstream_utility/table_materials_baseline_frontier.csv,d7555b47437953e4a6ced6352dcf5acf6b16e9ef48f7c4af5ab79c2cacee9717,completed_retrospective_public_label_diagnostic,retrospective public-DFT baseline frontier; not prospective discovery,PARC,set_level_release_certificate,True,True,True,True,finite compatible release set,,,True,True,3.789388070932642
