domain,target_row,audit_policy,audit_budget_fraction,release_rate,safe_release_rate,mean_release,actual_FTR_mean,alpha,cost_per_true_release_mean,first_safe_release_budget_fraction
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,top_score,1.0,1.0,1.0,100.0,0.0,0.1,722.995,0.005
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,random,0.0,0.0,0.0,0.0,0.0,0.1,inf,1.0
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,random,0.005,0.0,0.0,0.0,0.0,0.1,inf,1.0
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,random,0.01,0.0,0.0,0.0,0.0,0.1,inf,1.0
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,random,0.02,0.0,0.0,0.0,0.0,0.1,inf,1.0
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,random,0.05,0.0,0.0,0.0,0.0,0.1,inf,1.0
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,random,0.1,0.0,0.0,0.0,0.0,0.1,inf,1.0
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,random,0.2,0.0,0.0,0.0,0.0,0.1,inf,1.0
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,random,0.5,0.0,0.0,0.0,0.0,0.1,inf,1.0
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,random,1.0,1.0,1.0,300.0,0.0,0.1,240.99833333333333,1.0
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,top_score,0.0,0.0,0.0,0.0,0.0,0.1,inf,0.005
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,top_score,0.005,0.95,0.95,275.5,0.0,0.1,1.3125226860254084,0.005
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,top_score,0.01,1.0,1.0,300.0,0.0,0.1,2.41,0.005
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,top_score,0.02,1.0,1.0,300.0,0.0,0.1,4.819833333333333,0.005
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,top_score,0.05,1.0,1.0,300.0,0.0,0.1,12.049833333333332,0.005
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,top_score,0.1,1.0,1.0,300.0,0.0,0.1,24.099833333333333,0.005
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,top_score,0.2,1.0,1.0,300.0,0.0,0.1,48.199666666666666,0.005
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,top_score,0.5,1.0,1.0,300.0,0.0,0.1,120.49916666666667,0.005
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,top_score,1.0,1.0,1.0,300.0,0.0,0.1,240.99833333333333,0.005
materials_discovery,materials_alignn_exact_stable_alpha010_K300,random,0.0,0.0,0.0,0.0,0.0,0.1,inf,0.5
materials_discovery,materials_alignn_exact_stable_alpha010_K300,random,0.005,0.0,0.0,0.0,0.0,0.1,inf,0.5
materials_discovery,materials_alignn_exact_stable_alpha010_K300,random,0.01,0.0,0.0,0.0,0.0,0.1,inf,0.5
materials_discovery,materials_alignn_exact_stable_alpha010_K300,random,0.02,0.0,0.0,0.0,0.0,0.1,inf,0.5
materials_discovery,materials_alignn_exact_stable_alpha010_K300,random,0.05,0.0,0.0,0.0,0.0,0.1,inf,0.5
materials_discovery,materials_alignn_exact_stable_alpha010_K300,random,0.1,0.0,0.0,0.0,0.0,0.1,inf,0.5
materials_discovery,materials_alignn_exact_stable_alpha010_K300,random,0.2,0.0,0.0,0.0,0.0,0.1,inf,0.5
materials_discovery,materials_alignn_exact_stable_alpha010_K300,random,0.5,0.1,0.1,2.1,0.0,0.1,25700.714285714286,0.5
materials_discovery,materials_alignn_exact_stable_alpha010_K300,random,1.0,1.0,0.55,111.45,0.07990883479038961,0.1,1067.686943620178,0.5
materials_discovery,materials_alignn_exact_stable_alpha010_K300,top_score,0.0,0.0,0.0,0.0,0.0,0.1,inf,0.005
materials_discovery,materials_alignn_exact_stable_alpha010_K300,top_score,0.005,1.0,0.55,115.1,0.08700249484918587,0.1,5.220019342359768,0.005
materials_discovery,materials_alignn_exact_stable_alpha010_K300,top_score,0.01,1.0,0.55,115.1,0.08700249484918587,0.1,10.439071566731142,0.005
materials_discovery,materials_alignn_exact_stable_alpha010_K300,top_score,0.02,1.0,0.55,115.1,0.08700249484918587,0.1,20.87862669245648,0.005
materials_discovery,materials_alignn_exact_stable_alpha010_K300,top_score,0.05,1.0,0.55,115.1,0.08700249484918587,0.1,52.19729206963249,0.005
materials_discovery,materials_alignn_exact_stable_alpha010_K300,top_score,0.1,1.0,0.55,114.0,0.08529083163558596,0.1,105.20760233918128,0.005
materials_discovery,materials_alignn_exact_stable_alpha010_K300,top_score,0.2,1.0,0.55,114.0,0.08529083163558596,0.1,210.4156920077973,0.005
materials_discovery,materials_alignn_exact_stable_alpha010_K300,top_score,0.5,1.0,0.55,112.1,0.08039600118903616,0.1,531.4771048744461,0.005
materials_discovery,materials_alignn_exact_stable_alpha010_K300,top_score,1.0,1.0,0.55,111.45,0.07990883479038961,0.1,1067.686943620178,0.005
materials_discovery,materials_alignn_exact_stable_alpha010_K500,random,0.0,0.0,0.0,0.0,0.0,0.1,inf,1.0
materials_discovery,materials_alignn_exact_stable_alpha010_K500,random,0.005,0.0,0.0,0.0,0.0,0.1,inf,1.0
materials_discovery,materials_alignn_exact_stable_alpha010_K500,random,0.01,0.0,0.0,0.0,0.0,0.1,inf,1.0
materials_discovery,materials_alignn_exact_stable_alpha010_K500,random,0.02,0.0,0.0,0.0,0.0,0.1,inf,1.0
materials_discovery,materials_alignn_exact_stable_alpha010_K500,random,0.05,0.0,0.0,0.0,0.0,0.1,inf,1.0
materials_discovery,materials_alignn_exact_stable_alpha010_K500,random,0.1,0.0,0.0,0.0,0.0,0.1,inf,1.0
materials_discovery,materials_alignn_exact_stable_alpha010_K500,random,0.2,0.0,0.0,0.0,0.0,0.1,inf,1.0
materials_discovery,materials_alignn_exact_stable_alpha010_K500,random,0.5,0.0,0.0,0.0,0.0,0.1,inf,1.0
materials_discovery,materials_alignn_exact_stable_alpha010_K500,random,1.0,1.0,0.85,90.65,0.046468121323455805,0.1,1261.0181074766356,1.0
materials_discovery,materials_alignn_exact_stable_alpha010_K500,top_score,0.0,0.0,0.0,0.0,0.0,0.1,inf,0.005
materials_discovery,materials_alignn_exact_stable_alpha010_K500,top_score,0.005,1.0,0.85,90.75,0.04822076682610132,0.1,6.305490654205608,0.005
materials_discovery,materials_alignn_exact_stable_alpha010_K500,top_score,0.01,1.0,0.85,90.75,0.04822076682610132,0.1,12.609813084112151,0.005
materials_discovery,materials_alignn_exact_stable_alpha010_K500,top_score,0.02,1.0,0.85,90.75,0.04822076682610132,0.1,25.22021028037383,0.005
materials_discovery,materials_alignn_exact_stable_alpha010_K500,top_score,0.05,1.0,0.85,90.75,0.04822076682610132,0.1,63.05140186915888,0.005
materials_discovery,materials_alignn_exact_stable_alpha010_K500,top_score,0.1,1.0,0.85,90.65,0.046468121323455805,0.1,126.1016355140187,0.005
materials_discovery,materials_alignn_exact_stable_alpha010_K500,top_score,0.2,1.0,0.85,90.65,0.046468121323455805,0.1,252.20385514018696,0.005
materials_discovery,materials_alignn_exact_stable_alpha010_K500,top_score,0.5,1.0,0.85,90.65,0.046468121323455805,0.1,630.5081775700935,0.005
materials_discovery,materials_alignn_exact_stable_alpha010_K500,top_score,1.0,1.0,0.85,90.65,0.046468121323455805,0.1,1261.0181074766356,0.005
materials_discovery,materials_cgcnn_exact_stable_alpha010_K100,random,0.0,0.4,0.4,36.75,0.0010434782608695653,0.1,0.0,0.0
materials_discovery,materials_cgcnn_exact_stable_alpha010_K100,random,0.005,0.4,0.4,37.85,0.0015485287659200704,0.1,14.316976127320954,0.0
materials_discovery,materials_cgcnn_exact_stable_alpha010_K100,random,0.01,0.4,0.4,36.75,0.0010434782608695653,0.1,29.451568894952256,0.0
materials_discovery,materials_cgcnn_exact_stable_alpha010_K100,random,0.02,0.45,0.45,41.95,0.0015205144225762784,0.1,51.647129186602875,0.0
materials_discovery,materials_cgcnn_exact_stable_alpha010_K100,random,0.05,0.45,0.45,41.7,0.0015485287659200704,0.1,129.8965102286402,0.0
materials_discovery,materials_cgcnn_exact_stable_alpha010_K100,random,0.1,0.45,0.45,42.85,0.0015485287659200704,0.1,252.79391100702574,0.0
materials_discovery,materials_cgcnn_exact_stable_alpha010_K100,random,0.2,0.45,0.45,43.15,0.0015154639175257733,0.1,502.06162790697675,0.0
materials_discovery,materials_cgcnn_exact_stable_alpha010_K100,random,0.5,0.75,0.75,69.5,0.007460311166496733,0.1,784.4694767441861,0.0
materials_discovery,materials_cgcnn_exact_stable_alpha010_K100,random,1.0,1.0,1.0,100.0,0.03,0.1,1112.8159793814432,0.0
materials_discovery,materials_cgcnn_exact_stable_alpha010_K100,top_score,0.0,0.4,0.4,36.75,0.0010434782608695653,0.1,0.0,0.0
materials_discovery,materials_cgcnn_exact_stable_alpha010_K100,top_score,0.005,1.0,1.0,100.0,0.03,0.1,5.564432989690721,0.0
materials_discovery,materials_cgcnn_exact_stable_alpha010_K100,top_score,0.01,1.0,1.0,100.0,0.03,0.1,11.127835051546393,0.0
materials_discovery,materials_cgcnn_exact_stable_alpha010_K100,top_score,0.02,1.0,1.0,100.0,0.03,0.1,22.25618556701031,0.0
materials_discovery,materials_cgcnn_exact_stable_alpha010_K100,top_score,0.05,1.0,1.0,100.0,0.03,0.1,55.64123711340206,0.0
materials_discovery,materials_cgcnn_exact_stable_alpha010_K100,top_score,0.1,1.0,1.0,100.0,0.03,0.1,111.28144329896907,0.0
materials_discovery,materials_cgcnn_exact_stable_alpha010_K100,top_score,0.2,1.0,1.0,100.0,0.03,0.1,222.5634020618557,0.0
materials_discovery,materials_cgcnn_exact_stable_alpha010_K100,top_score,0.5,1.0,1.0,100.0,0.03,0.1,556.4072164948453,0.0
materials_discovery,materials_cgcnn_exact_stable_alpha010_K100,top_score,1.0,1.0,1.0,100.0,0.03,0.1,1112.8159793814432,0.0
