dataset,video_id,path_id,query,score,reason,confidence,montage_path
OVT-B,1,ovtb_v1_p000035,chicken,0.5240808178981146,multi_object_merge,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v1_p000035.jpg
OVT-B,1,ovtb_v1_p000086,chicken,0.4772757589817047,multi_object_merge,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v1_p000086.jpg
OVT-B,1,ovtb_v1_p000038,chicken,0.4660075008869171,multi_object_merge,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v1_p000038.jpg
OVT-B,1,ovtb_v1_p000057,chicken,0.453425536553065,multi_object_merge,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v1_p000057.jpg
OVT-B,1,ovtb_v1_p000087,chicken,0.4486062228679657,multi_object_merge,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v1_p000087.jpg
OVT-B,1,ovtb_v1_p000051,chicken,0.4183953255414963,multi_object_merge,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v1_p000051.jpg
OVT-B,1,ovtb_v1_p000044,chicken,0.4169466296831767,multi_object_merge,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v1_p000044.jpg
OVT-B,3,ovtb_v3_p000208,chicken,0.3866998106241226,multi_object_merge,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v3_p000208.jpg
OVT-B,1,ovtb_v1_p000041,chicken,0.3822492659091949,multi_object_merge,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v1_p000041.jpg
OVT-B,123,ovtb_v123_p003108,drawer,0.3161026179790497,ambiguous_category,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v123_p003108.jpg
OVT-B,78,ovtb_v78_p002832,hamster,0.3696271330118179,insufficient_visual_evidence,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v78_p002832.jpg
OVT-B,46,ovtb_v46_p002633,hamster,0.3609466297285897,insufficient_visual_evidence,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v46_p002633.jpg
OVT-B,228,ovtb_v228_p003749,lamp,0.4672647304832935,ambiguous_category,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v228_p003749.jpg
OVT-B,96,ovtb_v96_p002955,squirrel,0.4603521227836609,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v96_p002955.jpg
OVT-B,95,ovtb_v95_p002942,squirrel,0.4308983882268269,insufficient_visual_evidence,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v95_p002942.jpg
OVT-B,96,ovtb_v96_p002952,squirrel,0.4233806356787681,insufficient_visual_evidence,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v96_p002952.jpg
OVT-B,56,ovtb_v56_p002714,squirrel,0.3164693514506022,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v56_p002714.jpg
OVT-B,56,ovtb_v56_p002713,squirrel,0.3043230026960373,insufficient_visual_evidence,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v56_p002713.jpg
OVT-B,80,ovtb_v80_p002845,whale,0.4388605058193207,insufficient_visual_evidence,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v80_p002845.jpg
OVT-B,66,ovtb_v66_p002774,whale,0.3876075148582458,insufficient_visual_evidence,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v66_p002774.jpg
OVT-B,241,ovtb_v241_p003842,earplug,0.432156540453434,ambiguous_category,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v241_p003842.jpg
OVT-B,241,ovtb_v241_p003841,earplug,0.3141548931598663,ambiguous_category,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v241_p003841.jpg
OVT-B,133,ovtb_v133_p003185,short pants,0.4193096309900284,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v133_p003185.jpg
OVT-B,133,ovtb_v133_p003182,short pants,0.3975448459386825,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v133_p003182.jpg
OVT-B,133,ovtb_v133_p003183,short pants,0.326854517062505,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v133_p003183.jpg
OVT-B,13,ovtb_v13_p000586,goose,0.4182936698198318,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v13_p000586.jpg
OVT-B,13,ovtb_v13_p000588,goose,0.4011642336845398,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v13_p000588.jpg
OVT-B,16,ovtb_v16_p000773,goose,0.3527838438749313,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v16_p000773.jpg
OVT-B,240,ovtb_v240_p003837,towel,0.3812301196157932,ambiguous_category,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v240_p003837.jpg
OVT-B,49,ovtb_v49_p002657,cattle,0.3720732778310776,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v49_p002657.jpg
OVT-B,47,ovtb_v47_p002639,cattle,0.3327968046069145,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v47_p002639.jpg
OVT-B,191,ovtb_v191_p003469,beach towel,0.3704402347405751,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v191_p003469.jpg
OVT-B,148,ovtb_v148_p003268,swan,0.338661253452301,ambiguous_category,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v148_p003268.jpg
OVT-B,148,ovtb_v148_p003267,swan,0.3373698741197586,ambiguous_category,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v148_p003267.jpg
OVT-B,240,ovtb_v240_p003840,truck,0.333819534097399,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v240_p003840.jpg
OVT-B,122,ovtb_v122_p003104,smartwatch,0.3335082978010177,insufficient_visual_evidence,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v122_p003104.jpg
OVT-B,218,ovtb_v218_p003661,doorknob,0.3293809294700622,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v218_p003661.jpg
OVT-B,218,ovtb_v218_p003663,doorknob,0.3253832558790843,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v218_p003663.jpg
OVT-B,242,ovtb_v242_p003847,mast,0.3118326862653096,ambiguous_category,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v242_p003847.jpg
OVT-B,143,ovtb_v143_p003236,person,0.4280598536133766,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v143_p003236.jpg
OVT-B,38,ovtb_v38_p002286,ant,0.3712969273328781,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v38_p002286.jpg
OVT-B,38,ovtb_v38_p002310,ant,0.3697329759597778,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v38_p002310.jpg
OVT-B,1,ovtb_v1_p000042,chicken,0.3611129721005757,ambiguous_category,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v1_p000042.jpg
OVT-B,2,ovtb_v2_p000124,chicken,0.3494085967540741,ambiguous_category,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v2_p000124.jpg
OVT-B,38,ovtb_v38_p002278,ant,0.3460320979356766,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v38_p002278.jpg
OVT-B,140,ovtb_v140_p003219,person,0.3394812270998955,insufficient_visual_evidence,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v140_p003219.jpg
OVT-B,38,ovtb_v38_p002302,ant,0.3351114491621653,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v38_p002302.jpg
OVT-B,38,ovtb_v38_p002279,ant,0.3299918174743652,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v38_p002279.jpg
OVT-B,38,ovtb_v38_p002289,ant,0.3249525725841522,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v38_p002289.jpg
