source_milestone,source_file,copied_to,bytes,sha256,path_sanitized,coverage_role
phase2h_first_real_nonempty,outputs/milestones/phase2h_first_real_nonempty/per_video_candidate_coverage.csv,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty/per_video_candidate_coverage.csv,25090,869e6e1e9ab931aceda5cae891ca982a83e8f7f7981b5e3f853021b29eee2230,no,first real non-empty OVT-B certification milestone
phase2h_first_real_nonempty,outputs/milestones/phase2h_first_real_nonempty/pytest_log.txt,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty/pytest_log.txt,47,2afd9d13f00ad21c1fb593f189fe367352a4b07848408177186fb4af40582158,yes,first real non-empty OVT-B certification milestone
phase2h_first_real_nonempty,outputs/milestones/phase2h_first_real_nonempty/real_cert_summary.csv,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty/real_cert_summary.csv,9276,3844eb94a449931bd407f7c8a8f3c87de8d1cd23cce21ab8c869a6258977bf1f,no,first real non-empty OVT-B certification milestone
phase2h_first_real_nonempty,outputs/milestones/phase2h_first_real_nonempty/real_cert_summary.json,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty/real_cert_summary.json,839,0872f2197553f19c22afd0705b60f5b05edefbe7d76ba47f11e457801050508b,yes,first real non-empty OVT-B certification milestone
phase2h_first_real_nonempty,outputs/milestones/phase2h_first_real_nonempty/release_audit_metrics_M150.csv,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty/release_audit_metrics_M150.csv,373,1e7f4fbcae319642791fc8ce6c76a65fe92c0bb9f1ebbc8da03026d71d607cce,no,first real non-empty OVT-B certification milestone
phase2h_first_real_nonempty,outputs/milestones/phase2h_first_real_nonempty/release_audit_metrics_M150.json,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty/release_audit_metrics_M150.json,449,4f440a14d24ae6637e459054a928f7e441248e4ef5818dea5624f629554aafe3,no,first real non-empty OVT-B certification milestone
phase2h_first_real_nonempty,outputs/milestones/phase2h_first_real_nonempty/released_tracks.csv,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty/released_tracks.csv,64721,f2c6f591833b120ed6cf26c89bd489c278349d1f2759764c3da8fa20c3d1f352,yes,first real non-empty OVT-B certification milestone
phase2h_first_real_nonempty,outputs/milestones/phase2h_first_real_nonempty/released_tracks_manifest.json,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty/released_tracks_manifest.json,853,ec687219faa6a04918a5adad705b012b25e1a88ace99ab75209bc08df603cd41,yes,first real non-empty OVT-B certification milestone
phase2h_first_real_nonempty,outputs/milestones/phase2h_first_real_nonempty/table_baseline_three_methods_M150.csv,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty/table_baseline_three_methods_M150.csv,772,4bd58ff4601bc5d25da7098a37f366d0add76ce283cb1e310496d5050ec07950,no,first real non-empty OVT-B certification milestone
phase2h_first_real_nonempty,outputs/milestones/phase2h_first_real_nonempty/table_baseline_three_methods_with_audit.csv,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty/table_baseline_three_methods_with_audit.csv,3037,db9146a6ea535e7fe1f6992689679d563a0d9cb1700c7c7f5574169863400efe,no,first real non-empty OVT-B certification milestone
phase2h_first_real_nonempty,outputs/milestones/phase2h_first_real_nonempty/table_m_sweep_parc_full_with_audit.csv,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty/table_m_sweep_parc_full_with_audit.csv,1033,5c66d14368efea4abc33838867e5dba595c404c575413fcb6b3fe279748f8127,no,first real non-empty OVT-B certification milestone
phase2h_first_real_nonempty,outputs/milestones/phase2h_first_real_nonempty/table_real_first_nonempty.csv,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty/table_real_first_nonempty.csv,734,c2bc544b147e5368d0e1b1c4d0b2f9802a502aac6e92fe68a17cbba1aa0ffaf5,no,first real non-empty OVT-B certification milestone
phase2h_first_real_nonempty,outputs/milestones/phase2h_first_real_nonempty/table_seed_stability_M150.csv,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty/table_seed_stability_M150.csv,683,87a644ced41d76cd0668ae1c7484602b67d5ddf8dd833db92301c760df67b13b,no,first real non-empty OVT-B certification milestone
phase2h_first_real_nonempty,outputs/milestones/phase2h_first_real_nonempty/unsupported_released_audit.csv,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty/unsupported_released_audit.csv,5478,9b8db92779f282013d28bcfd45c1664782f5da6e25df064e6a4342edec1a4b95,yes,first real non-empty OVT-B certification milestone
phase2h_first_real_nonempty,outputs/milestones/phase2h_first_real_nonempty/unsupported_released_labels.csv,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty/unsupported_released_labels.csv,1125,21c52cd21ff8920a9365da498494361d2e6c45d6632bf2019fb1b50a1be1a3ba,no,first real non-empty OVT-B certification milestone
phase2h_first_real_nonempty,outputs/milestones/phase2h_first_real_nonempty/unsupported_released_summary.csv,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty/unsupported_released_summary.csv,184,6000f46b3086348b9ab6f1d9bb544b3355b8650d0881e2eeb090997a601ac74c,no,first real non-empty OVT-B certification milestone
core_results,outputs/milestones/core_results/audit_summary_after_uncertain_recheck.csv,outputs/milestones/legacy_core_results_v1/core_results/audit_summary_after_uncertain_recheck.csv,220,4230382eca46fa5b3982cbefedcf726f60c9a31657b8ca363764b44b4345d85c,no,early OVT-B alpha/seed/M/baseline release-core tables
core_results,outputs/milestones/core_results/latex/audit_summary_after_uncertain_recheck.tex,outputs/milestones/legacy_core_results_v1/core_results/latex/audit_summary_after_uncertain_recheck.tex,315,ba192a70b2c55e13bc9732f98bf82165da3dfe7c5967a375b72ee60f8c51bde8,no,early OVT-B alpha/seed/M/baseline release-core tables
core_results,outputs/milestones/core_results/latex/table_alpha_sweep.tex,outputs/milestones/legacy_core_results_v1/core_results/latex/table_alpha_sweep.tex,17718,b433471ab49a2619c4e4b531088cf2fb26b73da4d57eb90088f998b56c54879b,no,early OVT-B alpha/seed/M/baseline release-core tables
core_results,outputs/milestones/core_results/latex/table_alpha_sweep_meanstd.tex,outputs/milestones/legacy_core_results_v1/core_results/latex/table_alpha_sweep_meanstd.tex,17797,75ff0faa9df8f1cd568fdf6ea8d95799db4f83d4b2005d44ef9f6698eaa45caf,no,early OVT-B alpha/seed/M/baseline release-core tables
core_results,outputs/milestones/core_results/latex/table_baseline_expanded.tex,outputs/milestones/legacy_core_results_v1/core_results/latex/table_baseline_expanded.tex,278603,a26df2be952bffd5688f6b2d4e4e5a9167e7f13bdf93c1ebb558cb8bf1c77666,no,early OVT-B alpha/seed/M/baseline release-core tables
core_results,outputs/milestones/core_results/latex/table_baseline_expanded_meanstd.tex,outputs/milestones/legacy_core_results_v1/core_results/latex/table_baseline_expanded_meanstd.tex,885,d70d3a28c875b78d02b2362fcfe2ed0318f7f79d3e6498c02f1c1e6346211209,no,early OVT-B alpha/seed/M/baseline release-core tables
core_results,outputs/milestones/core_results/latex/table_baseline_three_methods_M150.tex,outputs/milestones/legacy_core_results_v1/core_results/latex/table_baseline_three_methods_M150.tex,930,1dc185d0582a62a113eba3c7e23fb9b0612f0d058e3dba017e5d4ab81ecdc4e1,no,early OVT-B alpha/seed/M/baseline release-core tables
core_results,outputs/milestones/core_results/latex/table_best_m_diagnostic.tex,outputs/milestones/legacy_core_results_v1/core_results/latex/table_best_m_diagnostic.tex,41634,7c139d8aca3e49e618a82a57a2671dc70381949bf4b5b1266ef6cf6152376087,no,early OVT-B alpha/seed/M/baseline release-core tables
core_results,outputs/milestones/core_results/latex/table_m_sweep_parc_full_with_audit.tex,outputs/milestones/legacy_core_results_v1/core_results/latex/table_m_sweep_parc_full_with_audit.tex,1306,96a0ecef5a1a81eb6edce60d93c15fafb4c738146d1d3d66c3a0e51072916cf3,no,early OVT-B alpha/seed/M/baseline release-core tables
core_results,outputs/milestones/core_results/latex/table_main_fixed_m.tex,outputs/milestones/legacy_core_results_v1/core_results/latex/table_main_fixed_m.tex,15343,e01cb81b96e8180a7921a86c99fa88342938bdea69155a75099b48e3ca363067,no,early OVT-B alpha/seed/M/baseline release-core tables
core_results,outputs/milestones/core_results/latex/table_main_tuned_m.tex,outputs/milestones/legacy_core_results_v1/core_results/latex/table_main_tuned_m.tex,52865,25572ba912531428ef6090f38f3e17eaaab00f9738e897b56b07649d355e4ad2,no,early OVT-B alpha/seed/M/baseline release-core tables
core_results,outputs/milestones/core_results/latex/table_real_first_nonempty.tex,outputs/milestones/legacy_core_results_v1/core_results/latex/table_real_first_nonempty.tex,843,7ef6d46a064865664639f90fa5cfdddb86205b04befeb534b308ff719413598d,no,early OVT-B alpha/seed/M/baseline release-core tables
core_results,outputs/milestones/core_results/latex/table_seed_empty_diagnostics.tex,outputs/milestones/legacy_core_results_v1/core_results/latex/table_seed_empty_diagnostics.tex,36980,1dfab58acc8f758aed6ff3330cc68ae6f0edfb74277739e92a10f22557b55434,no,early OVT-B alpha/seed/M/baseline release-core tables
core_results,outputs/milestones/core_results/latex/table_seed_stability_M150.tex,outputs/milestones/legacy_core_results_v1/core_results/latex/table_seed_stability_M150.tex,850,f34bf9f5af65b608bdf111a976a5441d38e98480213efa589dda7acabe3a34a3,no,early OVT-B alpha/seed/M/baseline release-core tables
core_results,outputs/milestones/core_results/manifest.json,outputs/milestones/legacy_core_results_v1/core_results/manifest.json,4156,6da4cae1e4c9142dde2f5edc4a2b91efa3017fe0ab97974412a620340e270abd,yes,early OVT-B alpha/seed/M/baseline release-core tables
core_results,outputs/milestones/core_results/table_alpha_sweep.csv,outputs/milestones/legacy_core_results_v1/core_results/table_alpha_sweep.csv,14855,3791d7ddf0bbc0ff0d4811a25ef108c91bfa6e1d435311ec1bbfab3df24d2da1,no,early OVT-B alpha/seed/M/baseline release-core tables
core_results,outputs/milestones/core_results/table_alpha_sweep_meanstd.csv,outputs/milestones/legacy_core_results_v1/core_results/table_alpha_sweep_meanstd.csv,13119,1a1a33012bf422246680deefe68e28cc296be194555f7c1d32f30e3efd30f8c2,no,early OVT-B alpha/seed/M/baseline release-core tables
core_results,outputs/milestones/core_results/table_baseline_expanded.csv,outputs/milestones/legacy_core_results_v1/core_results/table_baseline_expanded.csv,165787,94f642abbae9043634ca3079277e35c7c1ac6dd88d6e6e6c2fcea379b4e6c432,no,early OVT-B alpha/seed/M/baseline release-core tables
core_results,outputs/milestones/core_results/table_baseline_expanded_meanstd.csv,outputs/milestones/legacy_core_results_v1/core_results/table_baseline_expanded_meanstd.csv,661,9be219b3af57583b07ce38c707372f59862e6312d0c03118784a9d91328f0028,no,early OVT-B alpha/seed/M/baseline release-core tables
core_results,outputs/milestones/core_results/table_baseline_three_methods_M150.csv,outputs/milestones/legacy_core_results_v1/core_results/table_baseline_three_methods_M150.csv,772,4bd58ff4601bc5d25da7098a37f366d0add76ce283cb1e310496d5050ec07950,no,early OVT-B alpha/seed/M/baseline release-core tables
core_results,outputs/milestones/core_results/table_best_m_diagnostic.csv,outputs/milestones/legacy_core_results_v1/core_results/table_best_m_diagnostic.csv,25134,402a265676dee69be6bdfefae4006a15562c6a8b86314d00836fb224871c0bad,no,early OVT-B alpha/seed/M/baseline release-core tables
core_results,outputs/milestones/core_results/table_m_sweep_parc_full_with_audit.csv,outputs/milestones/legacy_core_results_v1/core_results/table_m_sweep_parc_full_with_audit.csv,1033,5c66d14368efea4abc33838867e5dba595c404c575413fcb6b3fe279748f8127,no,early OVT-B alpha/seed/M/baseline release-core tables
core_results,outputs/milestones/core_results/table_main_fixed_m.csv,outputs/milestones/legacy_core_results_v1/core_results/table_main_fixed_m.csv,9776,ed83994beb2e4e06bfbc7824e08a18670b8e8682e24c0f876bcde702c2dd25d7,no,early OVT-B alpha/seed/M/baseline release-core tables
core_results,outputs/milestones/core_results/table_main_tuned_m.csv,outputs/milestones/legacy_core_results_v1/core_results/table_main_tuned_m.csv,34092,8bba554e9591e59083c2db0e1572ae8d4fdbb04b5155a86fd7b33b27828f429d,no,early OVT-B alpha/seed/M/baseline release-core tables
core_results,outputs/milestones/core_results/table_real_first_nonempty.csv,outputs/milestones/legacy_core_results_v1/core_results/table_real_first_nonempty.csv,734,c2bc544b147e5368d0e1b1c4d0b2f9802a502aac6e92fe68a17cbba1aa0ffaf5,no,early OVT-B alpha/seed/M/baseline release-core tables
core_results,outputs/milestones/core_results/table_seed_empty_diagnostics.csv,outputs/milestones/legacy_core_results_v1/core_results/table_seed_empty_diagnostics.csv,31907,6177f7bf1497a42696600855fb2bdb92e3f838429383169eb8cb5286b75dee71,no,early OVT-B alpha/seed/M/baseline release-core tables
core_results,outputs/milestones/core_results/table_seed_stability_M150.csv,outputs/milestones/legacy_core_results_v1/core_results/table_seed_stability_M150.csv,683,87a644ced41d76cd0668ae1c7484602b67d5ddf8dd833db92301c760df67b13b,no,early OVT-B alpha/seed/M/baseline release-core tables
reliability_fortress_draft,outputs/milestones/reliability_fortress_draft/MANIFEST_SHA256.txt,outputs/milestones/legacy_core_results_v1/reliability_fortress_draft/MANIFEST_SHA256.txt,2166,da09d4efe6a3c5df34fbfc2fa7ddb3c6c404d1f5d562ad36fc55fe3be3323fe3,no,pre-v2 reliability fortress design/results scaffold
reliability_fortress_draft,outputs/milestones/reliability_fortress_draft/OVVIS_SCAFFOLD_REPORT.md,outputs/milestones/legacy_core_results_v1/reliability_fortress_draft/OVVIS_SCAFFOLD_REPORT.md,292,3f8af8fe26c6cc0f694f679dc5b00344423e95a2054045bba57ff75ceee28dff,no,pre-v2 reliability fortress design/results scaffold
reliability_fortress_draft,outputs/milestones/reliability_fortress_draft/PARC_CERTIFICATION_API.md,outputs/milestones/legacy_core_results_v1/reliability_fortress_draft/PARC_CERTIFICATION_API.md,481,9a8704977cf0225a09e0cc4eac8d031c7c08c005750a00e34c5522dcf1bf84d3,no,pre-v2 reliability fortress design/results scaffold
reliability_fortress_draft,outputs/milestones/reliability_fortress_draft/RUN_REPORT.md,outputs/milestones/legacy_core_results_v1/reliability_fortress_draft/RUN_REPORT.md,470,60ed8ecd5b6b53bbb9f243c59837c6ea2217e947525f91e2dc1391f7a32408fd,no,pre-v2 reliability fortress design/results scaffold
reliability_fortress_draft,outputs/milestones/reliability_fortress_draft/audit_benchmark_candidates.csv,outputs/milestones/legacy_core_results_v1/reliability_fortress_draft/audit_benchmark_candidates.csv,412271,3bfe5173b113e41e7c3e0f160058a024c28043767d3da2d7ec16240e19694584,yes,pre-v2 reliability fortress design/results scaffold
reliability_fortress_draft,outputs/milestones/reliability_fortress_draft/audit_benchmark_summary.csv,outputs/milestones/legacy_core_results_v1/reliability_fortress_draft/audit_benchmark_summary.csv,170,35537d21cfbfe05155df278e0921a47101e95b460c67f9f8b2db8e17d544dcaf,no,pre-v2 reliability fortress design/results scaffold
reliability_fortress_draft,outputs/milestones/reliability_fortress_draft/audit_error_taxonomy.csv,outputs/milestones/legacy_core_results_v1/reliability_fortress_draft/audit_error_taxonomy.csv,101,3beed589d5b5f6ea88db2ee83ca218fc86b517e5dd067ebe71265f911774cc97,no,pre-v2 reliability fortress design/results scaffold
reliability_fortress_draft,outputs/milestones/reliability_fortress_draft/audit_expansion_pending_labels.csv,outputs/milestones/legacy_core_results_v1/reliability_fortress_draft/audit_expansion_pending_labels.csv,95683,49937241b252a4bc3727023d53533770911ca504aaf330f6f70206aab165a701,no,pre-v2 reliability fortress design/results scaffold
reliability_fortress_draft,outputs/milestones/reliability_fortress_draft/audit_labels_gold.csv,outputs/milestones/legacy_core_results_v1/reliability_fortress_draft/audit_labels_gold.csv,132719,aae4dfe61c2bbd47a7ed09e5bcffbf64dd91fd71626801c34de9a844318d423c,yes,pre-v2 reliability fortress design/results scaffold
reliability_fortress_draft,outputs/milestones/reliability_fortress_draft/audit_protocol.md,outputs/milestones/legacy_core_results_v1/reliability_fortress_draft/audit_protocol.md,521,d34c302f074fbef22374608a61c07eb092f1c1d062d8d61fe016de0399125772,no,pre-v2 reliability fortress design/results scaffold
reliability_fortress_draft,outputs/milestones/reliability_fortress_draft/manifest.json,outputs/milestones/legacy_core_results_v1/reliability_fortress_draft/manifest.json,6428,7ad2843016f0e7f6f655a8fa9850690a4968417575fa0aa7ba36c052cfe14c24,yes,pre-v2 reliability fortress design/results scaffold
reliability_fortress_draft,outputs/milestones/reliability_fortress_draft/mask_path_nodes.csv,outputs/milestones/legacy_core_results_v1/reliability_fortress_draft/mask_path_nodes.csv,439621,e4a5c329af45f0a8055d64220ac8cbd6c6d670eecfb86fd957408af9d7460ef2,yes,pre-v2 reliability fortress design/results scaffold
reliability_fortress_draft,outputs/milestones/reliability_fortress_draft/mask_path_universe.csv,outputs/milestones/legacy_core_results_v1/reliability_fortress_draft/mask_path_universe.csv,157537,28bea2a6ac3e0ee233521fe6fea25c9c1951eebb3bfd5850b7e38716c709f8cb,no,pre-v2 reliability fortress design/results scaffold
reliability_fortress_draft,outputs/milestones/reliability_fortress_draft/ovtr_ovtb_published_tracker_alpha_seed_matrix.csv,outputs/milestones/legacy_core_results_v1/reliability_fortress_draft/ovtr_ovtb_published_tracker_alpha_seed_matrix.csv,5770,2a9626180f2800fefc85cc9afbf4914e0bb7b28a4986ddab0c29de68bf705d3d,no,pre-v2 reliability fortress design/results scaffold
reliability_fortress_draft,outputs/milestones/reliability_fortress_draft/second_rater_300_blind_template.csv,outputs/milestones/legacy_core_results_v1/reliability_fortress_draft/second_rater_300_blind_template.csv,44329,67c5c125fc377b45ac8647678beddf851a239ce8635ac235fdf6a26750cefb33,yes,pre-v2 reliability fortress design/results scaffold
reliability_fortress_draft,outputs/milestones/reliability_fortress_draft/table_anytime_release.csv,outputs/milestones/legacy_core_results_v1/reliability_fortress_draft/table_anytime_release.csv,10843,6488bd2d952be7d870ddf2f8f6cf073e3e3ca3422275274dbb9a28865d3daa96,no,pre-v2 reliability fortress design/results scaffold
reliability_fortress_draft,outputs/milestones/reliability_fortress_draft/table_mondrian_ablation_summary.csv,outputs/milestones/legacy_core_results_v1/reliability_fortress_draft/table_mondrian_ablation_summary.csv,2034,ff94f151f8aaeec84d18fadd6a19571e0638cba8c86d793cb7c46f8e30ecee15,no,pre-v2 reliability fortress design/results scaffold
reliability_fortress_draft,outputs/milestones/reliability_fortress_draft/table_nonexchangeability_stress_design.csv,outputs/milestones/legacy_core_results_v1/reliability_fortress_draft/table_nonexchangeability_stress_design.csv,2141,812e1e5b0aad35b9ef2e7b8ec8a06408de975af2b02cec83d477e1c82d3d1919,no,pre-v2 reliability fortress design/results scaffold
reliability_fortress_draft,outputs/milestones/reliability_fortress_draft/table_null_inflation_sensitivity_projection.csv,outputs/milestones/legacy_core_results_v1/reliability_fortress_draft/table_null_inflation_sensitivity_projection.csv,5097,21f9d6dccfbbbcdf1c0a6f11e99af7a67d42f894e22d08978fa609d6a17395c9,no,pre-v2 reliability fortress design/results scaffold
reliability_fortress_draft,outputs/milestones/reliability_fortress_draft/table_per_class_head_mid_tail_summary.csv,outputs/milestones/legacy_core_results_v1/reliability_fortress_draft/table_per_class_head_mid_tail_summary.csv,388,4702ce09f77a85ad7b47988baf9dff54c2239ba66f86541c0079876ac77613b3,no,pre-v2 reliability fortress design/results scaffold
reliability_fortress_draft,outputs/milestones/reliability_fortress_draft/table_published_tracker_certification.csv,outputs/milestones/legacy_core_results_v1/reliability_fortress_draft/table_published_tracker_certification.csv,25586,027c28c796c2602816a470d3a2a5a813c0889478081fbc23cad4c517f89d4672,no,pre-v2 reliability fortress design/results scaffold
reliability_fortress_draft,outputs/milestones/reliability_fortress_draft/table_published_tracker_meanstd.csv,outputs/milestones/legacy_core_results_v1/reliability_fortress_draft/table_published_tracker_meanstd.csv,2131,496e4f897bf3442ef94551be24098292e2c1df4cbd055d91eaee52bc54bc2d7e,no,pre-v2 reliability fortress design/results scaffold
reliability_fortress_draft,outputs/milestones/reliability_fortress_draft/tiny_fixture_audit_labels.csv,outputs/milestones/legacy_core_results_v1/reliability_fortress_draft/tiny_fixture_audit_labels.csv,105,1343a53d8a83d6a4f61898cc59c049a9cd053ce3f376cbc8e33b5ffb17ca1821,no,pre-v2 reliability fortress design/results scaffold
reliability_fortress_draft,outputs/milestones/reliability_fortress_draft/tiny_fixture_candidate_nodes.csv,outputs/milestones/legacy_core_results_v1/reliability_fortress_draft/tiny_fixture_candidate_nodes.csv,146,6ca6992f98f4cf08133954ea1bd84fa98466165977da4bf537851b6ed8fa6df7,no,pre-v2 reliability fortress design/results scaffold
reliability_fortress_draft,outputs/milestones/reliability_fortress_draft/tiny_fixture_candidate_universe.csv,outputs/milestones/legacy_core_results_v1/reliability_fortress_draft/tiny_fixture_candidate_universe.csv,507,2043fdf34bd123645f36caef1f7850622b1c386b38ca2e926104159f2bfc6482,no,pre-v2 reliability fortress design/results scaffold
reliability_fortress_draft,outputs/milestones/reliability_fortress_draft/reliability_fortress_summary.json,outputs/milestones/legacy_core_results_v1/reliability_fortress_draft/reliability_fortress_summary.json,463,6242b894ef34f581d8f27961e26eb85624ed30e15318d2d4b7151f60d7c71ef2,yes,pre-v2 reliability fortress design/results scaffold
ijcv_tao_full_v2_clean,outputs/milestones/ijcv_tao_full_v2_clean/audit_summary_clean.csv,outputs/milestones/legacy_core_results_v1/ijcv_tao_full_v2_clean/audit_summary_clean.csv,192,f359e5aade3978d1f36b2723042aeeb712ee31442050ed0e72d9e892e4d31750,no,clean TAO full matrix tables
ijcv_tao_full_v2_clean,outputs/milestones/ijcv_tao_full_v2_clean/latex/audit_summary_clean.tex,outputs/milestones/legacy_core_results_v1/ijcv_tao_full_v2_clean/latex/audit_summary_clean.tex,308,7a07f3141b306a71e6b3e929de8deb6ca58fca6bbdf47d9f0e8ec197d85f84ac,no,clean TAO full matrix tables
ijcv_tao_full_v2_clean,outputs/milestones/ijcv_tao_full_v2_clean/latex/table_alpha_sweep.tex,outputs/milestones/legacy_core_results_v1/ijcv_tao_full_v2_clean/latex/table_alpha_sweep.tex,17428,7913fd050052d3ff7ab41f0b4c4ec3f3cde2e90f57e36545f79be0f13bc42f26,no,clean TAO full matrix tables
ijcv_tao_full_v2_clean,outputs/milestones/ijcv_tao_full_v2_clean/latex/table_alpha_sweep_meanstd.tex,outputs/milestones/legacy_core_results_v1/ijcv_tao_full_v2_clean/latex/table_alpha_sweep_meanstd.tex,16949,d7135a6d8a1b925978a51132977ccdd234de1ec1a3b4b4f48e11dc369c49d9a4,no,clean TAO full matrix tables
ijcv_tao_full_v2_clean,outputs/milestones/ijcv_tao_full_v2_clean/latex/table_baseline_expanded.tex,outputs/milestones/legacy_core_results_v1/ijcv_tao_full_v2_clean/latex/table_baseline_expanded.tex,279149,6811b2c13a237301722ee7e010bc752e83ccb1d34ac6ed44cdda39a0f3d29491,no,clean TAO full matrix tables
ijcv_tao_full_v2_clean,outputs/milestones/ijcv_tao_full_v2_clean/latex/table_baseline_expanded_meanstd.tex,outputs/milestones/legacy_core_results_v1/ijcv_tao_full_v2_clean/latex/table_baseline_expanded_meanstd.tex,748,2a9a1af42c838d50091986e235856d5d6d5ae454a90b7fda8e6b9f6c3e398311,no,clean TAO full matrix tables
ijcv_tao_full_v2_clean,outputs/milestones/ijcv_tao_full_v2_clean/latex/table_best_m_diagnostic.tex,outputs/milestones/legacy_core_results_v1/ijcv_tao_full_v2_clean/latex/table_best_m_diagnostic.tex,41667,69b787b20ab7bfb382781bf7d94f4b94ba73d1bcd3d3073192c58c5dd41312c5,no,clean TAO full matrix tables
ijcv_tao_full_v2_clean,outputs/milestones/ijcv_tao_full_v2_clean/latex/table_main_fixed_m.tex,outputs/milestones/legacy_core_results_v1/ijcv_tao_full_v2_clean/latex/table_main_fixed_m.tex,15428,edbb3b1a3f3da873ddac38d91f73606a72018e3d343e7fb83b95d5fa381684ba,no,clean TAO full matrix tables
ijcv_tao_full_v2_clean,outputs/milestones/ijcv_tao_full_v2_clean/latex/table_main_tuned_m.tex,outputs/milestones/legacy_core_results_v1/ijcv_tao_full_v2_clean/latex/table_main_tuned_m.tex,52965,d95a3e4b17de61dee90bb5ca614b646e47483ab08793fdec69d7904573175873,no,clean TAO full matrix tables
ijcv_tao_full_v2_clean,outputs/milestones/ijcv_tao_full_v2_clean/latex/table_seed_empty_diagnostics.tex,outputs/milestones/legacy_core_results_v1/ijcv_tao_full_v2_clean/latex/table_seed_empty_diagnostics.tex,35765,c6c1862c0358647c35de0ea4517d986350796710da768d3aab032a5c341fe696,no,clean TAO full matrix tables
