alpha1,seed,candidate_budget_M,released,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,utr,conservative_ftr_uncertain_and_unlabeled_false,self_consistency_margin,empty_reason,empty_diagnostic,unsupported_labeled,unsupported_audit_coverage_rate
0.1,2,200,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.1,2,250,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.2,0,75,75,0,0.0,0.0,0.0,0.0,0.0,0.0,8.452046882355045,,,0.0,1.0
0.2,0,100,100,2,1.0,1.0,0.0,0.0,0.02,0.01,3.744213113844921,,,2.0,1.0
0.2,0,125,125,4,1.0,1.0,0.0,2.0,0.032,0.024,3.744213113844921,,,2.0,0.5
0.2,0,150,150,5,1.0,1.0,0.0,3.0,0.0333333333333333,0.0266666666666666,0.8830477432534183,,,2.0,0.4
0.2,0,175,175,6,1.0,1.0,0.0,4.0,0.0342857142857142,0.0285714285714285,0.3268377086130982,,,2.0,0.3333333333333333
0.2,0,200,200,8,1.0,1.0,0.0,6.0,0.04,0.035,0.3268377086130982,,,2.0,0.25
0.2,0,250,94,1,1.0,0.0,0.0,0.0,0.0106382978723404,0.0,0.1541745419295139,,,1.0,1.0
0.2,1,75,75,0,0.0,0.0,0.0,0.0,0.0,0.0,8.489320694998458,,,0.0,1.0
0.2,1,100,100,0,0.0,0.0,0.0,0.0,0.0,0.0,5.583483684930153,,,0.0,1.0
0.2,1,125,125,1,1.0,0.0,0.0,0.0,0.008,0.0,2.5184798890069366,,,1.0,1.0
0.2,1,150,150,5,1.0,0.0,0.0,4.0,0.0333333333333333,0.0266666666666666,0.8988670400788825,,,1.0,0.2
0.2,1,175,167,6,2.0,0.0,0.0,4.0,0.0359281437125748,0.0239520958083832,0.10158803062198,,,2.0,0.3333333333333333
0.2,1,200,106,1,1.0,0.0,0.0,0.0,0.0094339622641509,0.0,1.1495214207792106,,,1.0,1.0
0.2,1,250,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.2,2,75,75,0,0.0,0.0,0.0,0.0,0.0,0.0,8.377444756848483,,,0.0,1.0
0.2,2,100,100,1,1.0,0.0,0.0,0.0,0.01,0.0,5.49646553935783,,,1.0,1.0
0.2,2,125,125,1,1.0,0.0,0.0,0.0,0.008,0.0,1.5486069337763553,,,1.0,1.0
0.2,2,150,142,1,1.0,0.0,0.0,0.0,0.0070422535211267,0.0,0.0165819714812327,,,1.0,1.0
0.2,2,175,124,1,1.0,0.0,0.0,0.0,0.0080645161290322,0.0,0.4009695663767578,,,1.0,1.0
0.2,2,200,100,1,1.0,0.0,0.0,0.0,0.01,0.0,0.4964655393578301,,,1.0,1.0
0.2,2,250,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
