cv_id,dataset,video_id,path_id,query,category_id,query_segment,audit_source,score,objectness,semantic_margin,temporal_stability,association_score,matched_gt_id,matched_iou,temporal_overlap,is_unmatched,cell_id,frame_start,frame_end,audit200_montage_path,cv_montage_path,second_rater_label,second_rater_verified_positive_for_calibration,second_rater_reason,second_rater_confidence,second_rater,second_rater_notes
burst_cv60_011,BURST,1141,ovtb_v1141_p001466,toy,1130,head,high_score_unmatched,0.4881759285926819,0.4881759285926819,0.4881759285926819,5,0.8,,0.0,0.0,True,cat:1130,0,22,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/087_ovtb_v1141_p001466.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_011_087_ovtb_v1141_p001466.jpg,,,,,,
burst_cv60_012,BURST,45,ovtb_v45_p000091,toy,1130,head,high_score_unmatched,0.450623407959938,0.450623407959938,0.450623407959938,2,0.5,,0.0,0.0,True,cat:1130,11,17,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/109_ovtb_v45_p000091.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_012_109_ovtb_v45_p000091.jpg,,,,,,
burst_cv60_013,BURST,2933,ovtb_v2933_p003698,blanket,110,head,high_score_unmatched,0.4372798353433609,0.4372798353433609,0.4372798353433609,4,0.75,2.0,0.3399247866667672,0.0,True,cat:110,0,12,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/117_ovtb_v2933_p003698.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_013_117_ovtb_v2933_p003698.jpg,,,,,,
burst_cv60_014,BURST,1141,ovtb_v1141_p001474,toy,1130,head,high_score_unmatched,0.4067495167255401,0.4067495167255401,0.4067495167255401,2,0.5,,0.0,0.0,True,cat:1130,33,39,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/139_ovtb_v1141_p001474.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_014_139_ovtb_v1141_p001474.jpg,,,,,,
burst_cv60_015,BURST,2952,ovtb_v2952_p003438,camera,191,head,high_score_unmatched,0.3506360054016113,0.3506360054016113,0.3506360054016113,2,0.5,2.0,0.3094964412946198,0.0,True,cat:191,28,33,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/198_ovtb_v2952_p003438.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_015_198_ovtb_v2952_p003438.jpg,,,,,,
burst_cv60_016,BURST,277,ovtb_v277_p000487,water scooter,1191,mid,high_score_unmatched,0.595512330532074,0.595512330532074,0.595512330532074,2,0.5,,0.0,0.0,True,cat:1191,18,32,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/035_ovtb_v277_p000487.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_016_035_ovtb_v277_p000487.jpg,,,,,,
burst_cv60_017,BURST,2893,ovtb_v2893_p003561,chair,237,mid,high_score_unmatched,0.4937017932534218,0.4937017932534218,0.4937017932534218,8,0.875,,0.0,0.0,True,cat:237,0,41,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/084_ovtb_v2893_p003561.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_017_084_ovtb_v2893_p003561.jpg,,,,,,
burst_cv60_018,BURST,2311,ovtb_v2311_p002930,canoe,204,mid,high_score_unmatched,0.4392708837985992,0.4392708837985992,0.4392708837985992,2,0.5,,0.0,0.0,True,cat:204,0,6,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/115_ovtb_v2311_p002930.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_018_115_ovtb_v2311_p002930.jpg,,,,,,
burst_cv60_019,BURST,337,ovtb_v337_p000584,sweater,1062,mid,high_score_unmatched,0.3995127294744764,0.3995127294744764,0.3995127294744764,7,0.8571428571428571,3.0,0.2239236969255256,0.0,True,cat:1062,0,39,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/147_ovtb_v337_p000584.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_019_147_ovtb_v337_p000584.jpg,,,,,,
burst_cv60_020,BURST,1210,ovtb_v1210_p001564,chair,237,mid,high_score_unmatched,0.3793749064207077,0.3793749064207077,0.3793749064207077,2,0.5,5.0,0.0926534508227248,0.0,True,cat:237,0,6,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/174_ovtb_v1210_p001564.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_020_174_ovtb_v1210_p001564.jpg,,,,,,
burst_cv60_021,BURST,2317,ovtb_v2317_p002998,squirrel,1021,mid,high_score_unmatched,0.3788248797257741,0.3788248797257741,0.3788248797257741,3,0.6666666666666666,,0.0,0.0,True,cat:1021,6,28,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/175_ovtb_v2317_p002998.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_021_175_ovtb_v2317_p002998.jpg,,,,,,
burst_cv60_022,BURST,2793,ovtb_v2793_p003454,chair,237,mid,high_score_unmatched,0.3624988297621409,0.3624988297621409,0.3624988297621409,3,0.6666666666666666,2.0,0.491572939327249,0.0,True,cat:237,0,22,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/188_ovtb_v2793_p003454.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_022_188_ovtb_v2793_p003454.jpg,,,,,,
burst_cv60_023,BURST,54,ovtb_v54_p000076,spoon,1018,mid,high_score_unmatched,0.3611983805894851,0.3611983805894851,0.3611983805894851,2,0.5,,0.0,0.0,True,cat:1018,13,18,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/189_ovtb_v54_p000076.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_023_189_ovtb_v54_p000076.jpg,,,,,,
burst_cv60_024,BURST,1605,ovtb_v1605_p001994,sugar bowl,1050,tail,high_score_unmatched,0.5262871235609055,0.5262871235609055,0.5262871235609055,2,0.5,,0.0,0.0,True,cat:1050,6,11,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/060_ovtb_v1605_p001994.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_024_060_ovtb_v1605_p001994.jpg,,,,,,
burst_cv60_025,BURST,1067,ovtb_v1067_p001280,walking stick,1175,tail,high_score_unmatched,0.4547874629497528,0.4547874629497528,0.4547874629497528,2,0.5,5.0,0.467828102543102,0.0,True,cat:1175,17,22,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/105_ovtb_v1067_p001280.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_025_105_ovtb_v1067_p001280.jpg,,,,,,
burst_cv60_026,BURST,1067,ovtb_v1067_p001279,walking stick,1175,tail,high_score_unmatched,0.4535814374685287,0.4535814374685287,0.4535814374685287,4,0.75,5.0,0.4976588194050006,0.0,True,cat:1175,6,33,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/106_ovtb_v1067_p001279.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_026_106_ovtb_v1067_p001279.jpg,,,,,,
burst_cv60_027,BURST,2337,ovtb_v2337_p003021,toothpaste,1123,tail,high_score_unmatched,0.4532018701235453,0.4532018701235453,0.4532018701235453,3,0.6666666666666666,,0.0,0.0,True,cat:1123,28,39,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/107_ovtb_v2337_p003021.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_027_107_ovtb_v2337_p003021.jpg,,,,,,
burst_cv60_028,BURST,1605,ovtb_v1605_p001998,sugar bowl,1050,tail,high_score_unmatched,0.4442058602968852,0.4442058602968852,0.4442058602968852,3,0.6666666666666666,5.0,0.0204882783653571,0.0,True,cat:1050,28,39,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/112_ovtb_v1605_p001998.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_028_112_ovtb_v1605_p001998.jpg,,,,,,
burst_cv60_029,BURST,2337,ovtb_v2337_p003020,toothpaste,1123,tail,high_score_unmatched,0.4147460162639618,0.4147460162639618,0.4147460162639618,4,0.75,,0.0,0.0,True,cat:1123,6,28,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/131_ovtb_v2337_p003020.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_029_131_ovtb_v2337_p003020.jpg,,,,,,
burst_cv60_030,BURST,202,ovtb_v202_p000363,sword,1066,tail,high_score_unmatched,0.3912662640213966,0.3912662640213966,0.3912662640213966,4,0.75,,0.0,0.0,True,cat:1066,0,22,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/160_ovtb_v202_p000363.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_030_160_ovtb_v202_p000363.jpg,,,,,,
burst_cv60_031,BURST,422,ovtb_v422_p000750,bottle cap,208,tail,high_score_unmatched,0.3642435610294342,0.3642435610294342,0.3642435610294342,5,0.8,,0.0,0.0,True,cat:208,11,33,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/185_ovtb_v422_p000750.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_031_185_ovtb_v422_p000750.jpg,,,,,,
burst_cv60_032,BURST,1443,ovtb_v1443_p001783,cellular telephone,235,head,high_score_unmatched,0.6364340782165527,0.6364340782165527,0.6364340782165527,2,0.5,4.0,0.2353740681882715,0.0,True,cat:235,28,33,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/028_ovtb_v1443_p001783.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_032_028_ovtb_v1443_p001783.jpg,,,,,,
burst_cv60_033,BURST,1007,ovtb_v1007_p001390,cellular telephone,235,head,high_score_unmatched,0.5287090092897415,0.5287090092897415,0.5287090092897415,2,0.5,,0.0,0.0,True,cat:235,11,22,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/058_ovtb_v1007_p001390.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_033_058_ovtb_v1007_p001390.jpg,,,,,,
burst_cv60_034,BURST,1873,ovtb_v1873_p002253,zebra,1229,head,high_score_unmatched,0.4966388493776321,0.4966388493776321,0.4966388493776321,2,0.5,3.0,0.0018159773509197,0.0,True,cat:1229,17,22,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/082_ovtb_v1873_p002253.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_034_082_ovtb_v1873_p002253.jpg,,,,,,
burst_cv60_035,BURST,1000,ovtb_v1000_p001323,cellular telephone,235,head,high_score_unmatched,0.4769455939531326,0.4769455939531326,0.4769455939531326,2,0.5,,0.0,0.0,True,cat:235,17,28,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/091_ovtb_v1000_p001323.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_035_091_ovtb_v1000_p001323.jpg,,,,,,
burst_cv60_036,BURST,2840,ovtb_v2840_p003605,cellular telephone,235,head,high_score_unmatched,0.4430661648511886,0.4430661648511886,0.4430661648511886,2,0.5,,0.0,0.0,True,cat:235,25,30,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/113_ovtb_v2840_p003605.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_036_113_ovtb_v2840_p003605.jpg,,,,,,
burst_cv60_037,BURST,1611,ovtb_v1611_p002093,cellular telephone,235,head,high_score_unmatched,0.434138759970665,0.434138759970665,0.434138759970665,2,0.5,8.0,0.3143606033654761,0.0,True,cat:235,17,28,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/119_ovtb_v1611_p002093.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_037_119_ovtb_v1611_p002093.jpg,,,,,,
burst_cv60_038,BURST,1670,ovtb_v1670_p002277,zebra,1229,head,high_score_unmatched,0.4248174577951431,0.4248174577951431,0.4248174577951431,2,0.5,3.0,0.0920789827377671,0.0,True,cat:1229,30,35,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/125_ovtb_v1670_p002277.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_038_125_ovtb_v1670_p002277.jpg,,,,,,
burst_cv60_039,BURST,2141,ovtb_v2141_p002719,bowl,139,head,high_score_unmatched,0.3862750232219696,0.3862750232219696,0.3862750232219696,3,0.6666666666666666,,0.0,0.0,True,cat:139,15,25,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/165_ovtb_v2141_p002719.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_039_165_ovtb_v2141_p002719.jpg,,,,,,
burst_cv60_040,BURST,642,ovtb_v642_p001148,bucket,160,head,high_score_unmatched,0.3689774423837662,0.3689774423837662,0.3689774423837662,2,0.5,,0.0,0.0,True,cat:160,6,17,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/181_ovtb_v642_p001148.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_040_181_ovtb_v642_p001148.jpg,,,,,,
burst_cv60_041,BURST,2413,ovtb_v2413_p002877,camera,191,head,high_score_unmatched,0.3583591977755229,0.3583591977755229,0.3583591977755229,3,0.6666666666666666,6.0,0.0287379531981444,0.0,True,cat:191,6,22,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/191_ovtb_v2413_p002877.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_041_191_ovtb_v2413_p002877.jpg,,,,,,
burst_cv60_042,BURST,1067,ovtb_v1067_p001267,camera,191,head,high_score_unmatched,0.3572799265384674,0.3572799265384674,0.3572799265384674,2,0.5,6.0,0.3718173763876696,0.0,True,cat:191,17,22,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/192_ovtb_v1067_p001267.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_042_192_ovtb_v1067_p001267.jpg,,,,,,
burst_cv60_043,BURST,2095,ovtb_v2095_p002683,canister,202,mid,high_score_unmatched,0.5792741142213345,0.5792741142213345,0.5792741142213345,8,0.875,,0.0,0.0,True,cat:202,0,39,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/039_ovtb_v2095_p002683.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_043_039_ovtb_v2095_p002683.jpg,,,,,,
burst_cv60_044,BURST,2335,ovtb_v2335_p002965,calf,188,mid,high_score_unmatched,0.4389320909976959,0.4389320909976959,0.4389320909976959,5,0.8,4.0,0.0569212495459535,0.0,True,cat:188,0,39,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/116_ovtb_v2335_p002965.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_044_116_ovtb_v2335_p002965.jpg,,,,,,
burst_cv60_045,BURST,1514,ovtb_v1514_p001852,spectacles,1014,mid,high_score_unmatched,0.4101752936840057,0.4101752936840057,0.4101752936840057,2,0.5,,0.0,0.0,True,cat:1014,0,10,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/136_ovtb_v1514_p001852.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_045_136_ovtb_v1514_p001852.jpg,,,,,,
burst_cv60_046,BURST,2692,ovtb_v2692_p003469,vacuum cleaner,1160,mid,high_score_unmatched,0.4038061499595642,0.4038061499595642,0.4038061499595642,2,0.5,,0.0,0.0,True,cat:1160,11,37,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/142_ovtb_v2692_p003469.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_046_142_ovtb_v2692_p003469.jpg,,,,,,
burst_cv60_047,BURST,280,ovtb_v280_p000481,boat,118,mid,high_score_unmatched,0.3864004264275233,0.3864004264275233,0.3864004264275233,6,0.8333333333333334,,0.0,0.0,True,cat:118,6,39,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/164_ovtb_v280_p000481.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_047_164_ovtb_v280_p000481.jpg,,,,,,
burst_cv60_048,BURST,2239,ovtb_v2239_p002782,canister,202,mid,high_score_unmatched,0.3814291954040527,0.3814291954040527,0.3814291954040527,2,0.5,,0.0,0.0,True,cat:202,27,31,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/171_ovtb_v2239_p002782.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_048_171_ovtb_v2239_p002782.jpg,,,,,,
burst_cv60_049,BURST,1388,ovtb_v1388_p001939,stool,1037,tail,high_score_unmatched,0.5112805962562561,0.5112805962562561,0.5112805962562561,4,0.75,1.0,0.7479948796856596,0.25,True,cat:1037,22,39,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/072_ovtb_v1388_p001939.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_049_072_ovtb_v1388_p001939.jpg,,,,,,
burst_cv60_050,BURST,2306,ovtb_v2306_p002927,giraffe,502,head,released_unsupported,0.9596033692359924,0.9596033692359924,0.9596033692359924,1,0.0,,0.0,0.0,True,cat:502,22,22,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/001_ovtb_v2306_p002927.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_050_001_ovtb_v2306_p002927.jpg,,,,,,
burst_cv60_051,BURST,2306,ovtb_v2306_p002926,giraffe,502,head,released_unsupported,0.9124360084533693,0.9124360084533693,0.9124360084533693,1,0.0,,0.0,0.0,True,cat:502,17,17,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/002_ovtb_v2306_p002926.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_051_002_ovtb_v2306_p002926.jpg,,,,,,
burst_cv60_052,BURST,1785,ovtb_v1785_p002335,surfboard,1057,head,released_unsupported,0.9110865592956544,0.9110865592956544,0.9110865592956544,1,0.0,2.0,0.4214323295698757,0.0,True,cat:1057,11,11,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/003_ovtb_v1785_p002335.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_052_003_ovtb_v1785_p002335.jpg,,,,,,
burst_cv60_053,BURST,394,ovtb_v394_p000678,person,805,head,released_unsupported,0.8893255591392517,0.8893255591392517,0.8893255591392517,1,0.0,,0.0,0.0,True,cat:805,0,0,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/004_ovtb_v394_p000678.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_053_004_ovtb_v394_p000678.jpg,,,,,,
burst_cv60_054,BURST,1785,ovtb_v1785_p002338,surfboard,1057,head,released_unsupported,0.8855812549591064,0.8855812549591064,0.8855812549591064,1,0.0,2.0,0.3840050474110013,0.0,True,cat:1057,33,33,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/005_ovtb_v1785_p002338.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_054_005_ovtb_v1785_p002338.jpg,,,,,,
burst_cv60_055,BURST,2421,ovtb_v2421_p003133,giraffe,502,head,released_unsupported,0.8814222812652588,0.8814222812652588,0.8814222812652588,1,0.0,,0.0,0.0,True,cat:502,39,39,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/006_ovtb_v2421_p003133.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_055_006_ovtb_v2421_p003133.jpg,,,,,,
burst_cv60_056,BURST,884,ovtb_v884_p001363,person,805,head,released_unsupported,0.8659107089042664,0.8659107089042664,0.8659107089042664,1,0.0,,0.0,0.0,True,cat:805,11,11,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/008_ovtb_v884_p001363.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_056_008_ovtb_v884_p001363.jpg,,,,,,
burst_cv60_057,BURST,2907,ovtb_v2907_p003681,person,805,head,released_unsupported,0.8602102484021869,0.8602102484021869,0.8602102484021869,7,0.8571428571428571,1.0,0.9906661761804202,0.2857142857142857,True,cat:805,0,30,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/009_ovtb_v2907_p003681.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_057_009_ovtb_v2907_p003681.jpg,,,,,,
burst_cv60_058,BURST,344,ovtb_v344_p000623,person,805,head,released_unsupported,0.857153058052063,0.857153058052063,0.857153058052063,1,0.0,,0.0,0.0,True,cat:805,39,39,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/011_ovtb_v344_p000623.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_058_011_ovtb_v344_p000623.jpg,,,,,,
burst_cv60_059,BURST,1505,ovtb_v1505_p002037,sunglasses,1054,mid,released_unsupported,0.8583095073699951,0.8583095073699951,0.8583095073699951,1,0.0,,0.0,0.0,True,cat:1054,39,39,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/010_ovtb_v1505_p002037.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_059_010_ovtb_v1505_p002037.jpg,,,,,,
burst_cv60_060,BURST,2008,ovtb_v2008_p002593,football helmet,473,tail,released_unsupported,0.8808256387710571,0.8808256387710571,0.8808256387710571,1,0.0,1.0,0.45544185040932,0.0,True,cat:473,17,17,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/007_ovtb_v2008_p002593.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_060_007_ovtb_v2008_p002593.jpg,,,,,,
