audit_id,path_id,queue_membership,queue_calibration,queue_simulated_strict_release,queue_raw_topK_reference,simulated_release_hits,simulated_release_budgets,simulated_release_seeds,ctc_dataset,sequence_id,frame_start,frame_end,video_id,candidate_rank,score,source_image_path,source_frame_index,source_bbox_x,source_bbox_y,source_bbox_w,source_bbox_h,target_image_path,target_frame_index,target_bbox_x,target_bbox_y,target_bbox_w,target_bbox_h,human_label,human_verified_positive_for_calibration,human_reason,human_confidence,human_review_status,human_confirmation_note
CTC-AUDIT-01065,ctc_Fluo-N2DL-HeLa_02_f005_s687_to_f006_t687,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,5,6,220005,886,0.9999999999901824,Fluo-N2DL-HeLa/02/t005,5,766,390,5,5,Fluo-N2DL-HeLa/02/t006,6,766,390,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01076,ctc_Fluo-N2DL-HeLa_02_f032_s371_to_f033_t371,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,32,33,220032,1051,0.9999999999886008,Fluo-N2DL-HeLa/02/t032,32,586,119,5,5,Fluo-N2DL-HeLa/02/t033,33,586,119,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01077,ctc_Fluo-N2DL-HeLa_02_f025_s864_to_f026_t864,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,25,26,220025,1056,0.99999999998854,Fluo-N2DL-HeLa/02/t025,25,805,661,5,5,Fluo-N2DL-HeLa/02/t026,26,805,661,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01078,ctc_Fluo-N2DL-HeLa_02_f025_s728_to_f026_t728,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,25,26,220025,1060,0.9999999999884914,Fluo-N2DL-HeLa/02/t025,25,964,302,5,5,Fluo-N2DL-HeLa/02/t026,26,964,302,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01079,ctc_Fluo-N2DL-HeLa_02_f043_s317_to_f044_t317,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,43,44,220043,1061,0.9999999999884888,Fluo-N2DL-HeLa/02/t043,43,474,118,5,5,Fluo-N2DL-HeLa/02/t044,44,474,118,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01080,ctc_Fluo-N2DL-HeLa_02_f037_s758_to_f038_t758,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,37,38,220037,1064,0.9999999999883822,Fluo-N2DL-HeLa/02/t037,37,347,562,5,5,Fluo-N2DL-HeLa/02/t038,38,347,562,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01081,ctc_Fluo-N2DL-HeLa_02_f050_s317_to_f051_t317,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,50,51,220050,1069,0.9999999999883548,Fluo-N2DL-HeLa/02/t050,50,465,119,5,5,Fluo-N2DL-HeLa/02/t051,51,465,119,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01082,ctc_PhC-C2DH-U373_02_f104_s2_to_f105_t2,calibration,True,False,False,0,,,PhC-C2DH-U373,2,104,105,320104,1071,0.9999999999883218,PhC-C2DH-U373/02/t104,104,56,304,3,3,PhC-C2DH-U373/02/t105,105,55,305,3,3,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01083,ctc_Fluo-N2DL-HeLa_02_f021_s454_to_f022_t454,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,21,22,220021,1073,0.9999999999883044,Fluo-N2DL-HeLa/02/t021,21,640,135,5,5,Fluo-N2DL-HeLa/02/t022,22,640,135,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01084,ctc_Fluo-N2DL-HeLa_02_f050_s826_to_f051_t826,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,50,51,220050,1076,0.9999999999882924,Fluo-N2DL-HeLa/02/t050,50,677,670,5,5,Fluo-N2DL-HeLa/02/t051,51,677,670,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01085,ctc_Fluo-N2DL-HeLa_02_f037_s699_to_f038_t699,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,37,38,220037,1077,0.9999999999882748,Fluo-N2DL-HeLa/02/t037,37,732,436,5,5,Fluo-N2DL-HeLa/02/t038,38,732,436,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01086,ctc_Fluo-N2DL-HeLa_02_f058_s566_to_f059_t566,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,58,59,220058,1078,0.9999999999882684,Fluo-N2DL-HeLa/02/t058,58,727,117,5,5,Fluo-N2DL-HeLa/02/t059,59,727,117,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01087,ctc_Fluo-N2DL-HeLa_02_f015_s452_to_f016_t452,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,15,16,220015,1080,0.9999999999882524,Fluo-N2DL-HeLa/02/t015,15,628,79,5,5,Fluo-N2DL-HeLa/02/t016,16,628,79,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01088,ctc_Fluo-N2DL-HeLa_02_f012_s454_to_f013_t454,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,12,13,220012,1082,0.9999999999882404,Fluo-N2DL-HeLa/02/t012,12,646,129,5,5,Fluo-N2DL-HeLa/02/t013,13,646,129,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01089,ctc_Fluo-N2DL-HeLa_02_f024_s711_to_f025_t711,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,24,25,220024,1084,0.9999999999882132,Fluo-N2DL-HeLa/02/t024,24,830,333,5,5,Fluo-N2DL-HeLa/02/t025,25,830,333,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01090,ctc_Fluo-N2DL-HeLa_02_f029_s829_to_f030_t829,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,29,30,220029,1086,0.9999999999881948,Fluo-N2DL-HeLa/02/t029,29,675,533,5,5,Fluo-N2DL-HeLa/02/t030,30,675,533,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01091,ctc_Fluo-N2DL-HeLa_02_f038_s654_to_f039_t654,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,38,39,220038,1087,0.9999999999881894,Fluo-N2DL-HeLa/02/t038,38,721,328,5,5,Fluo-N2DL-HeLa/02/t039,39,721,328,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01092,ctc_Fluo-N2DL-HeLa_02_f039_s819_to_f040_t819,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,39,40,220039,1088,0.9999999999881812,Fluo-N2DL-HeLa/02/t039,39,620,664,5,5,Fluo-N2DL-HeLa/02/t040,40,620,664,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01093,ctc_Fluo-N2DL-HeLa_02_f010_s375_to_f011_t375,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,10,11,220010,1089,0.9999999999881806,Fluo-N2DL-HeLa/02/t010,10,502,362,5,5,Fluo-N2DL-HeLa/02/t011,11,502,362,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01094,ctc_Fluo-N2DL-HeLa_02_f031_s825_to_f032_t825,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,31,32,220031,1090,0.9999999999881806,Fluo-N2DL-HeLa/02/t031,31,678,669,5,5,Fluo-N2DL-HeLa/02/t032,32,678,669,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01095,ctc_Fluo-N2DL-HeLa_02_f038_s695_to_f039_t695,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,38,39,220038,1091,0.999999999988173,Fluo-N2DL-HeLa/02/t038,38,796,424,5,5,Fluo-N2DL-HeLa/02/t039,39,796,424,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01096,ctc_Fluo-N2DL-HeLa_02_f022_s825_to_f023_t825,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,22,23,220022,1092,0.999999999988143,Fluo-N2DL-HeLa/02/t022,22,676,659,5,5,Fluo-N2DL-HeLa/02/t023,23,676,659,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01097,ctc_PhC-C2DH-U373_02_f020_s3_to_f021_t3,calibration,True,False,False,0,,,PhC-C2DH-U373,2,20,21,320020,1094,0.9999999999881162,PhC-C2DH-U373/02/t020,20,181,175,11,11,PhC-C2DH-U373/02/t021,21,181,175,11,12,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01098,ctc_Fluo-N2DL-HeLa_02_f027_s755_to_f028_t755,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,27,28,220027,1095,0.9999999999881046,Fluo-N2DL-HeLa/02/t027,27,420,482,5,5,Fluo-N2DL-HeLa/02/t028,28,420,482,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01099,ctc_Fluo-N2DL-HeLa_02_f046_s721_to_f047_t721,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,46,47,220046,1096,0.9999999999881026,Fluo-N2DL-HeLa/02/t046,46,907,272,5,5,Fluo-N2DL-HeLa/02/t047,47,907,272,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01100,ctc_Fluo-N2DL-HeLa_02_f038_s755_to_f039_t755,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,38,39,220038,1097,0.9999999999880996,Fluo-N2DL-HeLa/02/t038,38,430,476,5,5,Fluo-N2DL-HeLa/02/t039,39,430,476,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01101,ctc_Fluo-N2DL-HeLa_02_f039_s427_to_f040_t427,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,39,40,220039,1099,0.9999999999880946,Fluo-N2DL-HeLa/02/t039,39,561,392,5,5,Fluo-N2DL-HeLa/02/t040,40,561,392,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01102,ctc_Fluo-N2DL-HeLa_02_f032_s656_to_f033_t656,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,32,33,220032,1103,0.9999999999880602,Fluo-N2DL-HeLa/02/t032,32,757,338,5,5,Fluo-N2DL-HeLa/02/t033,33,757,338,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01103,ctc_Fluo-N2DL-HeLa_02_f033_s694_to_f034_t694,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,33,34,220033,1104,0.9999999999880482,Fluo-N2DL-HeLa/02/t033,33,776,402,5,5,Fluo-N2DL-HeLa/02/t034,34,776,402,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01104,ctc_Fluo-N2DL-HeLa_02_f024_s654_to_f025_t654,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,24,25,220024,1105,0.9999999999880432,Fluo-N2DL-HeLa/02/t024,24,727,328,5,5,Fluo-N2DL-HeLa/02/t025,25,727,328,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01105,ctc_Fluo-N2DL-HeLa_02_f051_s554_to_f052_t554,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,51,52,220051,1106,0.9999999999880432,Fluo-N2DL-HeLa/02/t051,51,774,76,5,5,Fluo-N2DL-HeLa/02/t052,52,774,76,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01106,ctc_Fluo-N2DL-HeLa_02_f040_s765_to_f041_t765,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,40,41,220040,1107,0.9999999999880432,Fluo-N2DL-HeLa/02/t040,40,371,598,5,5,Fluo-N2DL-HeLa/02/t041,41,371,598,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01107,ctc_Fluo-N2DL-HeLa_02_f051_s871_to_f052_t871,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,51,52,220051,1108,0.9999999999880392,Fluo-N2DL-HeLa/02/t051,51,921,654,5,5,Fluo-N2DL-HeLa/02/t052,52,921,654,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01108,ctc_Fluo-N2DL-HeLa_02_f003_s757_to_f004_t757,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,3,4,220003,1109,0.9999999999880296,Fluo-N2DL-HeLa/02/t003,3,360,599,5,5,Fluo-N2DL-HeLa/02/t004,4,360,599,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01109,ctc_Fluo-N2DL-HeLa_02_f036_s656_to_f037_t656,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,36,37,220036,1110,0.9999999999880242,Fluo-N2DL-HeLa/02/t036,36,758,336,5,5,Fluo-N2DL-HeLa/02/t037,37,758,336,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01110,ctc_Fluo-N2DL-HeLa_02_f055_s572_to_f056_t572,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,55,56,220055,1112,0.9999999999879916,Fluo-N2DL-HeLa/02/t055,55,683,121,5,5,Fluo-N2DL-HeLa/02/t056,56,683,121,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01111,ctc_Fluo-N2DL-HeLa_02_f030_s726_to_f031_t726,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,30,31,220030,1113,0.99999999998799,Fluo-N2DL-HeLa/02/t030,30,911,346,5,5,Fluo-N2DL-HeLa/02/t031,31,911,346,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01112,ctc_Fluo-N2DL-HeLa_02_f031_s863_to_f032_t863,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,31,32,220031,1114,0.9999999999879796,Fluo-N2DL-HeLa/02/t031,31,785,645,5,5,Fluo-N2DL-HeLa/02/t032,32,785,645,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01113,ctc_Fluo-N2DL-HeLa_02_f031_s815_to_f032_t815,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,31,32,220031,1115,0.999999999987976,Fluo-N2DL-HeLa/02/t031,31,608,663,5,5,Fluo-N2DL-HeLa/02/t032,32,608,663,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01114,ctc_Fluo-N2DL-HeLa_02_f044_s764_to_f045_t764,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,44,45,220044,1116,0.999999999987972,Fluo-N2DL-HeLa/02/t044,44,392,627,5,5,Fluo-N2DL-HeLa/02/t045,45,392,627,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01115,ctc_Fluo-N2DL-HeLa_02_f032_s857_to_f033_t857,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,32,33,220032,1117,0.9999999999879674,Fluo-N2DL-HeLa/02/t032,32,788,578,5,5,Fluo-N2DL-HeLa/02/t033,33,788,578,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01116,ctc_Fluo-N2DL-HeLa_02_f026_s296_to_f027_t296,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,26,27,220026,1118,0.999999999987962,Fluo-N2DL-HeLa/02/t026,26,404,388,5,5,Fluo-N2DL-HeLa/02/t027,27,404,388,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01117,ctc_Fluo-N2DL-HeLa_02_f020_s452_to_f021_t452,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,20,21,220020,1119,0.9999999999879504,Fluo-N2DL-HeLa/02/t020,20,626,70,5,5,Fluo-N2DL-HeLa/02/t021,21,626,70,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01118,ctc_Fluo-N2DL-HeLa_02_f050_s674_to_f051_t674,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,50,51,220050,1120,0.9999999999879384,Fluo-N2DL-HeLa/02/t050,50,710,384,5,5,Fluo-N2DL-HeLa/02/t051,51,710,384,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01119,ctc_Fluo-N2DL-HeLa_02_f046_s764_to_f047_t764,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,46,47,220046,1121,0.9999999999879224,Fluo-N2DL-HeLa/02/t046,46,392,627,5,5,Fluo-N2DL-HeLa/02/t047,47,392,627,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01120,ctc_Fluo-N2DL-HeLa_02_f038_s699_to_f039_t699,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,38,39,220038,1122,0.9999999999879186,Fluo-N2DL-HeLa/02/t038,38,732,436,5,5,Fluo-N2DL-HeLa/02/t039,39,732,436,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01121,ctc_Fluo-N2DL-HeLa_02_f026_s784_to_f027_t784,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,26,27,220026,1123,0.999999999987907,Fluo-N2DL-HeLa/02/t026,26,446,606,5,5,Fluo-N2DL-HeLa/02/t027,27,446,606,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01122,ctc_Fluo-N2DL-HeLa_02_f022_s427_to_f023_t427,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,22,23,220022,1124,0.9999999999878796,Fluo-N2DL-HeLa/02/t022,22,577,399,5,5,Fluo-N2DL-HeLa/02/t023,23,577,399,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01123,ctc_Fluo-N2DL-HeLa_02_f035_s674_to_f036_t674,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,35,36,220035,1125,0.9999999999878793,Fluo-N2DL-HeLa/02/t035,35,716,379,5,5,Fluo-N2DL-HeLa/02/t036,36,716,379,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
