material_id,formula,n_sites,e_form_per_atom_mp2020_corrected,e_above_hull_mp2020_corrected_ppd_mp,wyckoff_spglib,unique_prototype,chemical_system,n_elements,first_two_elements,composition_family_pair,composition_family_anchor,wyckoff_family,stable_DFT,candidate_id,block_id,structure_ref,structure_sha256
wbm-1-27,Ag4 Er2,6.0,-0.266359,0.066456,A2B_oI12_74_h_e:Ag-Er,True,Ag-Er,2,Ag-Er,2|Ag-Er,2|Ag,A2B_oI12_74_h,False,wbm-1-27,2|Ag-Er,step_1.json.bz2::entry_26,
wbm-1-28,Ag2 Eu1,3.0,-0.230078,0.083414,A2B_tI6_139_e_a:Ag-Eu,True,Ag-Eu,2,Ag-Eu,2|Ag-Eu,2|Ag,A2B_tI6_139_e,False,wbm-1-28,2|Ag-Eu,step_1.json.bz2::entry_27,
wbm-1-29,Ag2 Hf1,3.0,-0.002794,0.073915,A2B_tI6_139_e_a:Ag-Hf,True,Ag-Hf,2,Ag-Hf,2|Ag-Hf,2|Ag,A2B_tI6_139_e,False,wbm-1-29,2|Ag-Hf,step_1.json.bz2::entry_28,
wbm-1-31,Ag2 Ho1 Tl1,4.0,-0.227612,0.023951,A2BC_cF16_225_c_a_b:Ag-Ho-Tl,True,Ag-Ho-Tl,3,Ag-Ho,3|Ag-Ho,3|Ag,A2BC_cF16_225_c_a,False,wbm-1-31,3|Ag-Ho,step_1.json.bz2::entry_30,
wbm-1-32,Ag4 Ho2,6.0,-0.270427,0.064975,A2B_oI12_74_h_e:Ag-Ho,True,Ag-Ho,2,Ag-Ho,2|Ag-Ho,2|Ag,A2B_oI12_74_h,False,wbm-1-32,2|Ag-Ho,step_1.json.bz2::entry_31,
wbm-1-36,Ag2 Hf1 In1,4.0,-0.032424,0.052854,A2BC_cF16_225_c_a_b:Ag-Hf-In,True,Ag-Hf-In,3,Ag-Hf,3|Ag-Hf,3|Ag,A2BC_cF16_225_c_a,False,wbm-1-36,3|Ag-Hf,step_1.json.bz2::entry_35,
wbm-1-37,Ag2 In1 U1,4.0,0.203641,0.227871,A2BC_cF16_225_c_a_b:Ag-In-U,True,Ag-In-U,3,Ag-In,3|Ag-In,3|Ag,A2BC_cF16_225_c_a,False,wbm-1-37,3|Ag-In,step_1.json.bz2::entry_36,
wbm-1-38,Ag2 In1,3.0,-0.016905,0.015095,A2B_tI6_139_e_a:Ag-In,True,Ag-In,2,Ag-In,2|Ag-In,2|Ag,A2B_tI6_139_e,False,wbm-1-38,2|Ag-In,step_1.json.bz2::entry_37,
wbm-1-41,Ag2 Bi1 La1,4.0,-0.352308,0.183762,A2BC_cF16_225_c_a_b:Ag-Bi-La,True,Ag-Bi-La,3,Ag-Bi,3|Ag-Bi,3|Ag,A2BC_cF16_225_c_a,False,wbm-1-41,3|Ag-Bi,step_1.json.bz2::entry_40,
wbm-1-44,Ag2 La1 Pb1,4.0,-0.328958,0.048096,A2BC_cF16_225_c_a_b:Ag-La-Pb,True,Ag-La-Pb,3,Ag-La,3|Ag-La,3|Ag,A2BC_cF16_225_c_a,False,wbm-1-44,3|Ag-La,step_1.json.bz2::entry_43,
wbm-1-45,Ag2 La1,3.0,-0.240569,0.060154,A2B_tI6_139_e_a:Ag-La,True,Ag-La,2,Ag-La,2|Ag-La,2|Ag,A2B_tI6_139_e,False,wbm-1-45,2|Ag-La,step_1.json.bz2::entry_44,
wbm-1-47,Ag2 Lu1 Tl1,4.0,-0.189561,0.066243,A2BC_cF16_225_c_a_b:Ag-Lu-Tl,True,Ag-Lu-Tl,3,Ag-Lu,3|Ag-Lu,3|Ag,A2BC_cF16_225_c_a,False,wbm-1-47,3|Ag-Lu,step_1.json.bz2::entry_46,
wbm-1-48,Ag4 Lu2,6.0,-0.24925,0.091807,A2B_oI12_74_h_e:Ag-Lu,True,Ag-Lu,2,Ag-Lu,2|Ag-Lu,2|Ag,A2B_oI12_74_h,False,wbm-1-48,2|Ag-Lu,step_1.json.bz2::entry_47,
wbm-1-49,Ag2 Nd1,3.0,-0.260741,0.018901,A2B_tI6_139_e_a:Ag-Nd,True,Ag-Nd,2,Ag-Nd,2|Ag-Nd,2|Ag,A2B_tI6_139_e,False,wbm-1-49,2|Ag-Nd,step_1.json.bz2::entry_48,
wbm-1-52,Ag4 Pb2,6.0,0.030763,0.030749,A2B_cF24_227_c_b:Ag-Pb,True,Ag-Pb,2,Ag-Pb,2|Ag-Pb,2|Ag,A2B_cF24_227_c,False,wbm-1-52,2|Ag-Pb,step_1.json.bz2::entry_51,
wbm-1-53,Ag2 Pr1,3.0,-0.246383,0.031087,A2B_tI6_139_e_a:Ag-Pr,True,Ag-Pr,2,Ag-Pr,2|Ag-Pr,2|Ag,A2B_tI6_139_e,False,wbm-1-53,2|Ag-Pr,step_1.json.bz2::entry_52,
wbm-1-55,Ag2 Pu1,3.0,0.022005,0.021988,A2B_tI6_139_e_a:Ag-Pu,True,Ag-Pu,2,Ag-Pu,2|Ag-Pu,2|Ag,A2B_tI6_139_e,False,wbm-1-55,2|Ag-Pu,step_1.json.bz2::entry_54,
wbm-1-58,Ag2 Sm1,3.0,-0.285644,-0.026606,A2B_tI6_139_e_a:Ag-Sm,True,Ag-Sm,2,Ag-Sm,2|Ag-Sm,2|Ag,A2B_tI6_139_e,True,wbm-1-58,2|Ag-Sm,step_1.json.bz2::entry_57,
wbm-1-67,Ag2 Np1 Sn1,4.0,0.118305,0.163572,A2BC_cF16_225_c_a_b:Ag-Np-Sn,True,Ag-Np-Sn,3,Ag-Np,3|Ag-Np,3|Ag,A2BC_cF16_225_c_a,False,wbm-1-67,3|Ag-Np,step_1.json.bz2::entry_66,
wbm-1-68,Ag2 Pr1 Sn1,4.0,-0.38724,0.078758,A2BC_cF16_225_c_a_b:Ag-Pr-Sn,True,Ag-Pr-Sn,3,Ag-Pr,3|Ag-Pr,3|Ag,A2BC_cF16_225_c_a,False,wbm-1-68,3|Ag-Pr,step_1.json.bz2::entry_67,
wbm-1-69,Ag2 Sn1 Ta1,4.0,0.593253,0.616812,A2BC_cF16_225_c_a_b:Ag-Sn-Ta,True,Ag-Sn-Ta,3,Ag-Sn,3|Ag-Sn,3|Ag,A2BC_cF16_225_c_a,False,wbm-1-69,3|Ag-Sn,step_1.json.bz2::entry_68,
wbm-1-71,Ag2 Ba1 Sn1 Te4,8.0,-0.752751,0.015202,A2BCD4_oI16_23_f_a_b_k:Ag-Ba-Sn-Te,True,Ag-Ba-Sn-Te,4,Ag-Ba,4|Ag-Ba,4|Ag,A2BCD4_oI16_23_f_a_b,False,wbm-1-71,4|Ag-Ba,step_1.json.bz2::entry_70,
wbm-1-75,Ag6 Sn3,9.0,0.038905,0.055927,A2B_hP9_189_fg_ad:Ag-Sn,True,Ag-Sn,2,Ag-Sn,2|Ag-Sn,2|Ag,A2B_hP9_189_fg,False,wbm-1-75,2|Ag-Sn,step_1.json.bz2::entry_74,
wbm-1-77,Ag2 Ta1 Tl1,4.0,0.682621,0.682604,A2BC_cF16_225_c_a_b:Ag-Ta-Tl,True,Ag-Ta-Tl,3,Ag-Ta,3|Ag-Ta,3|Ag,A2BC_cF16_225_c_a,False,wbm-1-77,3|Ag-Ta,step_1.json.bz2::entry_76,
wbm-1-78,Ag2 Ta1,3.0,0.284883,0.284846,A2B_tI6_139_e_a:Ag-Ta,True,Ag-Ta,2,Ag-Ta,2|Ag-Ta,2|Ag,A2B_tI6_139_e,False,wbm-1-78,2|Ag-Ta,step_1.json.bz2::entry_77,
wbm-1-79,Ag4 Tb2,6.0,-0.278423,0.043289,A2B_oI12_74_h_e:Ag-Tb,True,Ag-Tb,2,Ag-Tb,2|Ag-Tb,2|Ag,A2B_oI12_74_h,False,wbm-1-79,2|Ag-Tb,step_1.json.bz2::entry_78,
wbm-1-80,Ag8 Te4,12.0,-0.197751,0.004743,A2B_oP12_62_2c_c:Ag-Te,True,Ag-Te,2,Ag-Te,2|Ag-Te,2|Ag,A2B_oP12_62_2c,False,wbm-1-80,2|Ag-Te,step_1.json.bz2::entry_79,
wbm-1-82,Ag2 Th1,3.0,-0.069002,0.103736,A2B_tI6_139_e_a:Ag-Th,True,Ag-Th,2,Ag-Th,2|Ag-Th,2|Ag,A2B_tI6_139_e,False,wbm-1-82,2|Ag-Th,step_1.json.bz2::entry_81,
wbm-1-86,Ag2 Pu1 Tl1,4.0,0.05655,0.056548,A2BC_cF16_225_c_a_b:Ag-Pu-Tl,True,Ag-Pu-Tl,3,Ag-Pu,3|Ag-Pu,3|Ag,A2BC_cF16_225_c_a,False,wbm-1-86,3|Ag-Pu,step_1.json.bz2::entry_85,
wbm-1-87,Ag2 Th1 Tl1,4.0,-0.111719,0.046019,A2BC_cF16_225_c_a_b:Ag-Th-Tl,True,Ag-Th-Tl,3,Ag-Th,3|Ag-Th,3|Ag,A2BC_cF16_225_c_a,False,wbm-1-87,3|Ag-Th,step_1.json.bz2::entry_86,
wbm-1-88,Ag2 Tl1 U1,4.0,0.333456,0.333447,A2BC_cF16_225_c_a_b:Ag-Tl-U,True,Ag-Tl-U,3,Ag-Tl,3|Ag-Tl,3|Ag,A2BC_cF16_225_c_a,False,wbm-1-88,3|Ag-Tl,step_1.json.bz2::entry_87,
wbm-1-90,Ag4 Tm2,6.0,-0.260945,0.076601,A2B_oI12_74_h_e:Ag-Tm,True,Ag-Tm,2,Ag-Tm,2|Ag-Tm,2|Ag,A2B_oI12_74_h,False,wbm-1-90,2|Ag-Tm,step_1.json.bz2::entry_89,
wbm-1-91,Ag2 U1,3.0,0.304974,0.304948,A2B_tI6_139_e_a:Ag-U,True,Ag-U,2,Ag-U,2|Ag-U,2|Ag,A2B_tI6_139_e,False,wbm-1-91,2|Ag-U,step_1.json.bz2::entry_90,
wbm-1-94,Ac1 Ag3,4.0,-0.151852,0.04982,AB3_cF16_225_a_bc:Ac-Ag,True,Ac-Ag,2,Ac-Ag,2|Ac-Ag,2|Ac,AB3_cF16_225_a,False,wbm-1-94,2|Ac-Ag,step_1.json.bz2::entry_93,
wbm-1-100,Ag3 Cd1,4.0,-0.025702,0.025632,A3B_cF16_225_ac_b:Ag-Cd,True,Ag-Cd,2,Ag-Cd,2|Ag-Cd,2|Ag,A3B_cF16_225_ac,False,wbm-1-100,2|Ag-Cd,step_1.json.bz2::entry_99,
wbm-1-104,Ag6 Gd2,8.0,-0.202405,0.015085,A3B_mP8_11_3e_e:Ag-Gd,True,Ag-Gd,2,Ag-Gd,2|Ag-Gd,2|Ag,A3B_mP8_11_3e,False,wbm-1-104,2|Ag-Gd,step_1.json.bz2::entry_103,
wbm-1-109,Ag3 Ir1,4.0,0.417445,0.41742,A3B_tI8_139_ad_b:Ag-Ir,True,Ag-Ir,2,Ag-Ir,2|Ag-Ir,2|Ag,A3B_tI8_139_ad,False,wbm-1-109,2|Ag-Ir,step_1.json.bz2::entry_108,
wbm-1-114,Ag6 Np2,8.0,0.232135,0.232097,A3B_oP8_51_ek_f:Ag-Np,True,Ag-Np,2,Ag-Np,2|Ag-Np,2|Ag,A3B_oP8_51_ek,False,wbm-1-114,2|Ag-Np,step_1.json.bz2::entry_113,
wbm-1-119,Ag3 Pt1,4.0,0.020439,0.038032,A3B_tI8_139_ad_b:Ag-Pt,True,Ag-Pt,2,Ag-Pt,2|Ag-Pt,2|Ag,A3B_tI8_139_ad,False,wbm-1-119,2|Ag-Pt,step_1.json.bz2::entry_118,
wbm-1-126,Ag3 Tl1,4.0,0.095952,0.09593,A3B_cP4_221_c_a:Ag-Tl,True,Ag-Tl,2,Ag-Tl,2|Ag-Tl,2|Ag,A3B_cP4_221_c,False,wbm-1-126,2|Ag-Tl,step_1.json.bz2::entry_125,
wbm-1-144,Ag4 Yb1,5.0,-0.251825,0.009688,A4B_tI10_87_h_a:Ag-Yb,True,Ag-Yb,2,Ag-Yb,2|Ag-Yb,2|Ag,A4B_tI10_87_h,False,wbm-1-144,2|Ag-Yb,step_1.json.bz2::entry_143,
wbm-1-159,Ag2 Ba2,4.0,-0.278768,0.002384,AB_oC8_63_c_c:Ag-Ba,True,Ag-Ba,2,Ag-Ba,2|Ag-Ba,2|Ag,AB_oC8_63_c,False,wbm-1-159,2|Ag-Ba,step_1.json.bz2::entry_158,
wbm-1-215,Ag1 Eu2 Ir1,4.0,-0.312963,0.066988,AB2C_cF16_225_a_c_b:Ag-Eu-Ir,True,Ag-Eu-Ir,3,Ag-Eu,3|Ag-Eu,3|Ag,AB2C_cF16_225_a_c,False,wbm-1-215,3|Ag-Eu,step_1.json.bz2::entry_214,
wbm-1-220,Ag2 Gd2 Pb2,6.0,-0.427609,-0.091668,ABC_hP6_186_b_a_b:Ag-Gd-Pb,True,Ag-Gd-Pb,3,Ag-Gd,3|Ag-Gd,3|Ag,ABC_hP6_186_b_a,True,wbm-1-220,3|Ag-Gd,step_1.json.bz2::entry_219,
wbm-1-228,Ag1 Hg2 Np1,4.0,0.497262,0.497236,AB2C_cF16_225_a_c_b:Ag-Hg-Np,True,Ag-Hg-Np,3,Ag-Hg,3|Ag-Hg,3|Ag,AB2C_cF16_225_a_c,False,wbm-1-228,3|Ag-Hg,step_1.json.bz2::entry_227,
wbm-1-244,Ag2 I4 Pb2,8.0,-0.397639,0.318478,AB2C_tI16_140_b_h_a:Ag-I-Pb,True,Ag-I-Pb,3,Ag-I,3|Ag-I,3|Ag,AB2C_tI16_140_b_h,False,wbm-1-244,3|Ag-I,step_1.json.bz2::entry_243,
wbm-1-280,Ag1 Ir1 Np2,4.0,0.155055,0.321364,ABC2_cF16_225_a_b_c:Ag-Ir-Np,True,Ag-Ir-Np,3,Ag-Ir,3|Ag-Ir,3|Ag,ABC2_cF16_225_a_b,False,wbm-1-280,3|Ag-Ir,step_1.json.bz2::entry_279,
wbm-1-284,Ag4 I4,8.0,-0.407999,0.08783,AB_tP8_138_c_e:Ag-I,True,Ag-I,2,Ag-I,2|Ag-I,2|Ag,AB_tP8_138_c,False,wbm-1-284,2|Ag-I,step_1.json.bz2::entry_283,
wbm-1-302,Ag1 Nd2 Os1,4.0,-0.10737,0.071984,AB2C_cF16_225_a_c_b:Ag-Nd-Os,True,Ag-Nd-Os,3,Ag-Nd,3|Ag-Nd,3|Ag,AB2C_cF16_225_a_c,False,wbm-1-302,3|Ag-Nd,step_1.json.bz2::entry_301,
wbm-1-306,Ag1 Os1 Pu2,4.0,0.065135,0.110825,ABC2_cF16_225_a_b_c:Ag-Os-Pu,True,Ag-Os-Pu,3,Ag-Os,3|Ag-Os,3|Ag,ABC2_cF16_225_a_b,False,wbm-1-306,3|Ag-Os,step_1.json.bz2::entry_305,
wbm-1-310,Ag3 Pb3 Pu3,9.0,-0.06635,0.032676,ABC_hP9_189_f_bc_g:Ag-Pb-Pu,True,Ag-Pb-Pu,3,Ag-Pb,3|Ag-Pb,3|Ag,ABC_hP9_189_f_bc,False,wbm-1-310,3|Ag-Pb,step_1.json.bz2::entry_309,
wbm-1-315,Ag1 Pm1,2.0,-0.281143,-0.145613,AB_cP2_221_a_b:Ag-Pm,True,Ag-Pm,2,Ag-Pm,2|Ag-Pm,2|Ag,AB_cP2_221_a,True,wbm-1-315,2|Ag-Pm,step_1.json.bz2::entry_314,
wbm-1-332,Ag2 Sb4 Sm2,8.0,-0.76065,-0.073153,AB2C_tP8_129_a_bc_c:Ag-Sb-Sm,True,Ag-Sb-Sm,3,Ag-Sb,3|Ag-Sb,3|Ag,AB2C_tP8_129_a_bc,True,wbm-1-332,3|Ag-Sb,step_1.json.bz2::entry_331,
wbm-1-337,Ag4 Sb8,12.0,0.005625,0.016145,AB2_cP12_205_a_c:Ag-Sb,True,Ag-Sb,2,Ag-Sb,2|Ag-Sb,2|Ag,AB2_cP12_205_a,False,wbm-1-337,2|Ag-Sb,step_1.json.bz2::entry_336,
wbm-1-366,Ag2 Sm2 Sn2,6.0,-0.619846,-0.070315,ABC_hP6_186_b_a_b:Ag-Sm-Sn,True,Ag-Sm-Sn,3,Ag-Sm,3|Ag-Sm,3|Ag,ABC_hP6_186_b_a,True,wbm-1-366,3|Ag-Sm,step_1.json.bz2::entry_365,
wbm-1-387,Ag1 Tb2 Tl1,4.0,-0.341265,-0.012592,AB2C_cF16_225_a_c_b:Ag-Tb-Tl,True,Ag-Tb-Tl,3,Ag-Tb,3|Ag-Tb,3|Ag,AB2C_cF16_225_a_c,True,wbm-1-387,3|Ag-Tb,step_1.json.bz2::entry_386,
wbm-1-412,Ag1 Pm1 Te2,4.0,-0.899679,-0.66647,ABC2_cF16_225_a_b_c:Ag-Pm-Te,True,Ag-Pm-Te,3,Ag-Pm,3|Ag-Pm,3|Ag,ABC2_cF16_225_a_b,True,wbm-1-412,3|Ag-Pm,step_1.json.bz2::entry_411,
wbm-1-415,Ag2 Pt2 Te4,8.0,-0.346073,0.162638,ABC2_oP8_51_a_d_ef:Ag-Pt-Te,True,Ag-Pt-Te,3,Ag-Pt,3|Ag-Pt,3|Ag,ABC2_oP8_51_a_d,False,wbm-1-415,3|Ag-Pt,step_1.json.bz2::entry_414,
wbm-1-422,Ag2 Te4 Th2,8.0,-0.875583,0.201215,AB2C_tP8_113_a_e_c:Ag-Te-Th,True,Ag-Te-Th,3,Ag-Te,3|Ag-Te,3|Ag,AB2C_tP8_113_a_e,False,wbm-1-422,3|Ag-Te,step_1.json.bz2::entry_421,
wbm-1-451,Ag2 Cs2 Hf2 Te6,12.0,-0.992037,-0.071326,ABCD3_mP12_11_e_e_e_3e:Ag-Cs-Hf-Te,True,Ag-Cs-Hf-Te,4,Ag-Cs,4|Ag-Cs,4|Ag,ABCD3_mP12_11_e_e_e_3e,True,wbm-1-451,4|Ag-Cs,step_1.json.bz2::entry_450,
wbm-1-483,Al11 Ba1,12.0,0.081945,0.182413,A11B_hP12_191_cfm_a:Al-Ba,True,Al-Ba,2,Al-Ba,2|Al-Ba,2|Al,A11B_hP12_191_cfm,False,wbm-1-483,2|Al-Ba,step_1.json.bz2::entry_482,
wbm-1-484,Ag3 Al2 Ce1,6.0,-0.183038,0.081004,A3B2C_hP6_191_g_c_a:Ag-Al-Ce,True,Ag-Al-Ce,3,Ag-Al,3|Ag-Al,3|Ag,A3B2C_hP6_191_g_c,False,wbm-1-484,3|Ag-Al,step_1.json.bz2::entry_483,
wbm-1-504,Ag2 Al4,6.0,0.04031,0.078017,AB2_mC12_12_g_hi:Ag-Al,True,Ag-Al,2,Ag-Al,2|Ag-Al,2|Ag,AB2_mC12_12_g,False,wbm-1-504,2|Ag-Al,step_1.json.bz2::entry_503,
wbm-1-506,Al2 As2 Ba1,5.0,-0.483136,0.232377,A2B2C_tI10_139_d_e_a:Al-As-Ba,True,Al-As-Ba,3,Al-As,3|Al-As,3|Al,A2B2C_tI10_139_d_e,False,wbm-1-506,3|Al-As,step_1.json.bz2::entry_505,
wbm-1-510,Al2 As1,3.0,0.220044,0.543462,A2B_cF12_225_c_a:Al-As,True,Al-As,2,Al-As,2|Al-As,2|Al,A2B_cF12_225_c,False,wbm-1-510,2|Al-As,step_1.json.bz2::entry_509,
wbm-1-511,Al2 Au3,5.0,-0.321651,0.026525,A2B3_hP5_164_d_ad:Al-Au,True,Al-Au,2,Al-Au,2|Al-Au,2|Al,A2B3_hP5_164_d,False,wbm-1-511,2|Al-Au,step_1.json.bz2::entry_510,
wbm-1-512,Al2 Ba3 Pb2,7.0,-0.429404,0.024813,A2B3C2_oI14_71_e_af_f:Al-Ba-Pb,True,Al-Ba-Pb,3,Al-Ba,3|Al-Ba,3|Al,A2B3C2_oI14_71_e_af,False,wbm-1-512,3|Al-Ba,step_1.json.bz2::entry_511,
wbm-1-517,Al2 Bi1,3.0,0.291938,0.291919,A2B_hP3_191_c_b:Al-Bi,True,Al-Bi,2,Al-Bi,2|Al-Bi,2|Al,A2B_hP3_191_c,False,wbm-1-517,2|Al-Bi,step_1.json.bz2::entry_516,
wbm-1-519,Al2 Br8 Pd1,11.0,-1.36842,-0.013854,A2B8C_mC22_12_i_2ij_a:Al-Br-Pd,True,Al-Br-Pd,3,Al-Br,3|Al-Br,3|Al,A2B8C_mC22_12_i_2ij,True,wbm-1-519,3|Al-Br,step_1.json.bz2::entry_518,
wbm-1-521,Al4 Ca4 I2,10.0,-0.74738,0.03382,A2B2C_hP10_194_f_e_c:Al-Ca-I,True,Al-Ca-I,3,Al-Ca,3|Al-Ca,3|Al,A2B2C_hP10_194_f_e,False,wbm-1-521,3|Al-Ca,step_1.json.bz2::entry_520,
wbm-1-524,Ac1 Al2 Ca1,4.0,-0.202556,0.046978,AB2C_cF16_225_a_c_b:Ac-Al-Ca,True,Ac-Al-Ca,3,Ac-Al,3|Ac-Al,3|Ac,AB2C_cF16_225_a_c,False,wbm-1-524,3|Ac-Al,step_1.json.bz2::entry_523,
wbm-1-526,Al4 Au2 Ca2,8.0,-0.569636,-0.002258,A2BC_oC16_63_f_c_c:Al-Au-Ca,True,Al-Au-Ca,3,Al-Au,3|Al-Au,3|Al,A2BC_oC16_63_f_c,True,wbm-1-526,3|Al-Au,step_1.json.bz2::entry_525,
wbm-1-545,Al2 Ca1,3.0,-0.254473,0.078247,A2B_hP3_191_c_b:Al-Ca,True,Al-Ca,2,Al-Ca,2|Al-Ca,2|Al,A2B_hP3_191_c,False,wbm-1-545,2|Al-Ca,step_1.json.bz2::entry_544,
wbm-1-550,Al2 Cd2 La1,5.0,-0.269849,0.075755,A2B2C_tI10_139_d_e_a:Al-Cd-La,True,Al-Cd-La,3,Al-Cd,3|Al-Cd,3|Al,A2B2C_tI10_139_d_e,False,wbm-1-550,3|Al-Cd,step_1.json.bz2::entry_549,
wbm-1-558,Al2 Ce1 Ir3,6.0,-0.837651,0.064555,A2BC3_hP6_191_c_a_g:Al-Ce-Ir,True,Al-Ce-Ir,3,Al-Ce,3|Al-Ce,3|Al,A2BC3_hP6_191_c_a,False,wbm-1-558,3|Al-Ce,step_1.json.bz2::entry_557,
wbm-1-559,Al2 Ce1,3.0,-0.410617,0.053544,A2B_hP3_191_c_b:Al-Ce,True,Al-Ce,2,Al-Ce,2|Al-Ce,2|Al,A2B_hP3_191_c,False,wbm-1-559,2|Al-Ce,step_1.json.bz2::entry_558,
wbm-1-561,Al4 Cl2 La4,10.0,-1.072765,0.011509,A2BC2_hP10_194_f_c_e:Al-Cl-La,True,Al-Cl-La,3,Al-Cl,3|Al-Cl,3|Al,A2BC2_hP10_194_f_c,False,wbm-1-561,3|Al-Cl,step_1.json.bz2::entry_560,
wbm-1-562,Al2 Co2 Se5,9.0,-0.702786,0.150034,A2B2C5_hP9_164_d_d_a2d:Al-Co-Se,True,Al-Co-Se,3,Al-Co,3|Al-Co,3|Al,A2B2C5_hP9_164_d_d_a2d,False,wbm-1-562,3|Al-Co,step_1.json.bz2::entry_561,
wbm-1-594,Al2 Co1,3.0,-0.423483,0.070874,A2B_tI6_139_e_a:Al-Co,True,Al-Co,2,Al-Co,2|Al-Co,2|Al,A2B_tI6_139_e,False,wbm-1-594,2|Al-Co,step_1.json.bz2::entry_593,
wbm-1-602,Al2 Cr1 Ir1,4.0,-0.556497,0.015581,A2BC_cF16_225_c_a_b:Al-Cr-Ir,True,Al-Cr-Ir,3,Al-Cr,3|Al-Cr,3|Al,A2BC_cF16_225_c_a,False,wbm-1-602,3|Al-Cr,step_1.json.bz2::entry_601,
