candidate_id,formula,reduced_formula,chemical_system,anonymous_formula,n_sites,source_parent_material_id,source_parent_rank,parent_formula,parent_e_above_hull,parent_block_id,wyckoff_spglib,substitution_rule,generation_rule,structure_ref,structure_sha256,public_label_status,public_label_index_scope,keep_for_followup,evidence_status,n_elements,first_two_elements,composition_family_pair,composition_family_anchor,wyckoff_family,block_id
nh-b8cfb37e40591b3b,Er2PCl2,Er2PCl2,Cl-Er-P,AB2C2,5,wbm-1-45469,12,Br2Er2P1,-1.191717,3|Br-Er,A2B2C_hP5_164_d_d_a:Br-Er-P,Br->Cl,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-45469::Br->Cl,3f3b1785d1f32f1af07e3f391e07c064d8556b963e790c00e1c9a0f17b572bdc,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Cl-Er,3|Cl-Er,3|Cl,A2B2C_hP5_164_d_d,3|Cl-Er
nh-20ef98f94c642e8b,Er2PI2,Er2PI2,Er-I-P,AB2C2,5,wbm-1-45469,12,Br2Er2P1,-1.191717,3|Br-Er,A2B2C_hP5_164_d_d_a:Br-Er-P,Br->I,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-45469::Br->I,e8b5acda5fd310a5d09cb21e93917f46b8f4a24de405f819ae4bff3ba46cde78,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Er-I,3|Er-I,3|Er,A2B2C_hP5_164_d_d,3|Er-I
nh-e208ab6df172aa6b,Er2Br2N,Er2Br2N,Br-Er-N,AB2C2,5,wbm-1-45469,12,Br2Er2P1,-1.191717,3|Br-Er,A2B2C_hP5_164_d_d_a:Br-Er-P,P->N,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-45469::P->N,7e38aeb9da08f6986d68ebf2416b99c2f8a73515f13ff1db35d838b9c23229ae,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Br-Er,3|Br-Er,3|Br,A2B2C_hP5_164_d_d,3|Br-Er
nh-588f157f79e32fe7,Er2AsBr2,Er2AsBr2,As-Br-Er,AB2C2,5,wbm-1-45469,12,Br2Er2P1,-1.191717,3|Br-Er,A2B2C_hP5_164_d_d_a:Br-Er-P,P->As,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-45469::P->As,1cac498de574f9ccc4fa41adec8f780d923f3253d2ba24cdd161331bd05c00d9,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,As-Br,3|As-Br,3|As,A2B2C_hP5_164_d_d,3|As-Br
nh-dac4f0ac793158bf,Er2SbBr2,Er2SbBr2,Br-Er-Sb,AB2C2,5,wbm-1-45469,12,Br2Er2P1,-1.191717,3|Br-Er,A2B2C_hP5_164_d_d_a:Br-Er-P,P->Sb,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-45469::P->Sb,96d80971aac82b603bce4de9d324dd3b5affc8535e23510df0e54230382348b1,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Br-Er,3|Br-Er,3|Br,A2B2C_hP5_164_d_d,3|Br-Er
nh-c8b465ae611d1c45,Er2BiBr2,Er2BiBr2,Bi-Br-Er,AB2C2,5,wbm-1-45469,12,Br2Er2P1,-1.191717,3|Br-Er,A2B2C_hP5_164_d_d_a:Br-Er-P,P->Bi,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-45469::P->Bi,3a202f57eda4c5b2e2134472c67b4a7d89c8e08197beb5a0b9cb043a616aa7db,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Bi-Br,3|Bi-Br,3|Bi,A2B2C_hP5_164_d_d,3|Bi-Br
nh-d651c7a1334b6525,Er2NF2,Er2NF2,Er-F-N,AB2C2,5,wbm-1-45469,12,Br2Er2P1,-1.191717,3|Br-Er,A2B2C_hP5_164_d_d_a:Br-Er-P,Br->F;P->N,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-45469::Br->F;P->N,989e3b6a0f56d0f16109410c9281f8b73f938defab95e228d2c383872f5dd776,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Er-F,3|Er-F,3|Er,A2B2C_hP5_164_d_d,3|Er-F
nh-7effef40172da01b,Gd2BeI8,Gd2BeI8,Be-Gd-I,AB2C8,11,wbm-1-21905,13,Ba1Gd2I8,-1.102237,3|Ba-Gd,AB2C8_mC22_12_a_h_gij:Ba-Gd-I,Ba->Be,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-21905::Ba->Be,a8e4eb11ba8e17401aae200fd5350fcb30fc32fde24450b2a880ac1ad74c5e1d,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Be-Gd,3|Be-Gd,3|Be,AB2C8_mC22_12_a_h,3|Be-Gd
nh-16fde402105948d0,Gd2MgI8,Gd2MgI8,Gd-I-Mg,AB2C8,11,wbm-1-21905,13,Ba1Gd2I8,-1.102237,3|Ba-Gd,AB2C8_mC22_12_a_h_gij:Ba-Gd-I,Ba->Mg,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-21905::Ba->Mg,1cbe653cbf5cce91ba366efd8b33b12d4b6883a8e0958477268d991ae36e19bc,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Gd-I,3|Gd-I,3|Gd,AB2C8_mC22_12_a_h,3|Gd-I
nh-dd7fc72ca2c05452,Sr(GdI4)2,Sr(GdI4)2,Gd-I-Sr,AB2C8,11,wbm-1-21905,13,Ba1Gd2I8,-1.102237,3|Ba-Gd,AB2C8_mC22_12_a_h_gij:Ba-Gd-I,Ba->Sr,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-21905::Ba->Sr,83dec8afe6273129523e77f6dd3aa80ea33c99d2e3c0de05dea9abf4a463409a,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Gd-I,3|Gd-I,3|Gd,AB2C8_mC22_12_a_h,3|Gd-I
nh-31ae8356cbc76739,BaGd2F8,BaGd2F8,Ba-F-Gd,AB2C8,11,wbm-1-21905,13,Ba1Gd2I8,-1.102237,3|Ba-Gd,AB2C8_mC22_12_a_h_gij:Ba-Gd-I,I->F,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-21905::I->F,054f7ec0bc860629bd5475276c84f3fb08acb92abd3010bdad7d42dad4daa935,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Ba-F,3|Ba-F,3|Ba,AB2C8_mC22_12_a_h,3|Ba-F
nh-48083541eeae16a9,BaGd2Cl8,BaGd2Cl8,Ba-Cl-Gd,AB2C8,11,wbm-1-21905,13,Ba1Gd2I8,-1.102237,3|Ba-Gd,AB2C8_mC22_12_a_h_gij:Ba-Gd-I,I->Cl,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-21905::I->Cl,b76ed1e4300fb0cc192b2a334bf40e5f32bbf3db82eb171b0f922821c33893fa,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Ba-Cl,3|Ba-Cl,3|Ba,AB2C8_mC22_12_a_h,3|Ba-Cl
nh-89a1da1dbcf4c645,BaGd2Br8,BaGd2Br8,Ba-Br-Gd,AB2C8,11,wbm-1-21905,13,Ba1Gd2I8,-1.102237,3|Ba-Gd,AB2C8_mC22_12_a_h_gij:Ba-Gd-I,I->Br,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-21905::I->Br,703af7c502435b9b6fe9a536d46ea1173941a9181ca6964465e05594bfa213be,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Ba-Br,3|Ba-Br,3|Ba,AB2C8_mC22_12_a_h,3|Ba-Br
nh-05f60d5e7e9a14f6,Gd2BeF8,Gd2BeF8,Be-F-Gd,AB2C8,11,wbm-1-21905,13,Ba1Gd2I8,-1.102237,3|Ba-Gd,AB2C8_mC22_12_a_h_gij:Ba-Gd-I,Ba->Be;I->F,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-21905::Ba->Be;I->F,30bac0be07e83d0fe08fcb093f685240003937c36290caa5b98804b50cf2325b,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Be-F,3|Be-F,3|Be,AB2C8_mC22_12_a_h,3|Be-F
nh-160013fe97bcf9be,Gd2BeCl8,Gd2BeCl8,Be-Cl-Gd,AB2C8,11,wbm-1-21905,13,Ba1Gd2I8,-1.102237,3|Ba-Gd,AB2C8_mC22_12_a_h_gij:Ba-Gd-I,Ba->Be;I->Cl,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-21905::Ba->Be;I->Cl,18884c7f78e4c31c316e27fd041f6c3379ae2b94f65175e34c9bdd5b871b5140,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Be-Cl,3|Be-Cl,3|Be,AB2C8_mC22_12_a_h,3|Be-Cl
nh-9861af9889906c69,Gd2TeF2,Gd2TeF2,F-Gd-Te,AB2C2,5,wbm-1-57662,14,Gd2I2Te1,-0.847165,3|Gd-I,A2B2C_hR15_166_c_c_a:Gd-I-Te,I->F,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-57662::I->F,f26cb64f032e878cc837c04186b8b69ffbe1ab63871cc6b56fab908e04ee572c,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,F-Gd,3|F-Gd,3|F,A2B2C_hR15_166_c_c,3|F-Gd
nh-7458dae7e17d5cd0,Gd2TeCl2,Gd2TeCl2,Cl-Gd-Te,AB2C2,5,wbm-1-57662,14,Gd2I2Te1,-0.847165,3|Gd-I,A2B2C_hR15_166_c_c_a:Gd-I-Te,I->Cl,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-57662::I->Cl,846dd911e4f1961313b9c51355288927bd6403f531331186379868e55a8edc96,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Cl-Gd,3|Cl-Gd,3|Cl,A2B2C_hR15_166_c_c,3|Cl-Gd
nh-33de19d0933c3df4,Gd2TeBr2,Gd2TeBr2,Br-Gd-Te,AB2C2,5,wbm-1-57662,14,Gd2I2Te1,-0.847165,3|Gd-I,A2B2C_hR15_166_c_c_a:Gd-I-Te,I->Br,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-57662::I->Br,e4285a59232562a011ee4d4c949c2f9b9224909c8f3adc94fd837c3885a20bcf,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Br-Gd,3|Br-Gd,3|Br,A2B2C_hR15_166_c_c,3|Br-Gd
nh-fd706928c5e2c32c,Gd2I2O,Gd2I2O,Gd-I-O,AB2C2,5,wbm-1-57662,14,Gd2I2Te1,-0.847165,3|Gd-I,A2B2C_hR15_166_c_c_a:Gd-I-Te,Te->O,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-57662::Te->O,803010d9daa2e0f3b23f20c7a7d9381dc0d4c1c96f8868cdab1a0182a663bcce,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Gd-I,3|Gd-I,3|Gd,A2B2C_hR15_166_c_c,3|Gd-I
nh-ca992bb487364591,Gd2SI2,Gd2SI2,Gd-I-S,AB2C2,5,wbm-1-57662,14,Gd2I2Te1,-0.847165,3|Gd-I,A2B2C_hR15_166_c_c_a:Gd-I-Te,Te->S,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-57662::Te->S,30c5443d29edb824b0b93c20210a3da75a75e285df1d5ba38b180663dfccc2f8,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Gd-I,3|Gd-I,3|Gd,A2B2C_hR15_166_c_c,3|Gd-I
nh-efd81a7b03e36d7d,Gd2SeI2,Gd2SeI2,Gd-I-Se,AB2C2,5,wbm-1-57662,14,Gd2I2Te1,-0.847165,3|Gd-I,A2B2C_hR15_166_c_c_a:Gd-I-Te,Te->Se,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-57662::Te->Se,76806d6821acaea2ee448edc723ebfb7c4e2b09be1ce888ff712d9bf5bd42244,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Gd-I,3|Gd-I,3|Gd,A2B2C_hR15_166_c_c,3|Gd-I
nh-f68f8c250d7abb83,Gd2OF2,Gd2OF2,F-Gd-O,AB2C2,5,wbm-1-57662,14,Gd2I2Te1,-0.847165,3|Gd-I,A2B2C_hR15_166_c_c_a:Gd-I-Te,I->F;Te->O,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-57662::I->F;Te->O,abd1cd96750c6e6e8a74e27cfb8118ae2a2f747d3cb4446a91913f2357e484a1,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,F-Gd,3|F-Gd,3|F,A2B2C_hR15_166_c_c,3|F-Gd
nh-3742878fab04ca48,Gd2SF2,Gd2SF2,F-Gd-S,AB2C2,5,wbm-1-57662,14,Gd2I2Te1,-0.847165,3|Gd-I,A2B2C_hR15_166_c_c_a:Gd-I-Te,I->F;Te->S,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-57662::I->F;Te->S,1d1e0369a3ae4a0b9532dd9771f5696eb0057f8d5c60ea0d6bc1312979be08e4,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,F-Gd,3|F-Gd,3|F,A2B2C_hR15_166_c_c,3|F-Gd
nh-4bbdb5cc274c5216,GdBeI4,GdBeI4,Be-Gd-I,ABC4,12,wbm-1-21845,15,Ba2Gd2I8,-0.722716,3|Ba-Gd,ABC4_mC24_15_e_e_2f:Ba-Gd-I,Ba->Be,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-21845::Ba->Be,91cec1648b016bbf3d6795d82a24391306bd3a82c98a6797b0cd27daa972b335,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Be-Gd,3|Be-Gd,3|Be,ABC4_mC24_15_e_e_2f,3|Be-Gd
nh-da09a4f42639f4f3,GdMgI4,GdMgI4,Gd-I-Mg,ABC4,12,wbm-1-21845,15,Ba2Gd2I8,-0.722716,3|Ba-Gd,ABC4_mC24_15_e_e_2f:Ba-Gd-I,Ba->Mg,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-21845::Ba->Mg,5d3b279860bbbfa224f3ad11b0fb6d369c2ce1e9ef123b53ffdf5e35acb96e1b,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Gd-I,3|Gd-I,3|Gd,ABC4_mC24_15_e_e_2f,3|Gd-I
nh-be8f38680637afa3,CaGdI4,CaGdI4,Ca-Gd-I,ABC4,12,wbm-1-21845,15,Ba2Gd2I8,-0.722716,3|Ba-Gd,ABC4_mC24_15_e_e_2f:Ba-Gd-I,Ba->Ca,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-21845::Ba->Ca,4fa354cffea7e77b1fbfd8e9374d39ed99404a55c7a9cbca25d5bb6b9d4c0454,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Ca-Gd,3|Ca-Gd,3|Ca,ABC4_mC24_15_e_e_2f,3|Ca-Gd
nh-32729a0887e4cf4a,SrGdI4,SrGdI4,Gd-I-Sr,ABC4,12,wbm-1-21845,15,Ba2Gd2I8,-0.722716,3|Ba-Gd,ABC4_mC24_15_e_e_2f:Ba-Gd-I,Ba->Sr,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-21845::Ba->Sr,6377726f98afce0967388f6ad22dd784d931d694fb9a02b582ae0735a65adc66,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Gd-I,3|Gd-I,3|Gd,ABC4_mC24_15_e_e_2f,3|Gd-I
nh-77ea96f80761669c,BaGdF4,BaGdF4,Ba-F-Gd,ABC4,12,wbm-1-21845,15,Ba2Gd2I8,-0.722716,3|Ba-Gd,ABC4_mC24_15_e_e_2f:Ba-Gd-I,I->F,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-21845::I->F,9cde62528652abced3d7a759a8112fcbcac536a59112f9aa5150c2c718aafd5b,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Ba-F,3|Ba-F,3|Ba,ABC4_mC24_15_e_e_2f,3|Ba-F
nh-4bf48f23b0b56d64,BaGdCl4,BaGdCl4,Ba-Cl-Gd,ABC4,12,wbm-1-21845,15,Ba2Gd2I8,-0.722716,3|Ba-Gd,ABC4_mC24_15_e_e_2f:Ba-Gd-I,I->Cl,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-21845::I->Cl,2f79117a84a2cf156b17fe6511e173aff1c165d091ae61306f0b113d4782d952,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Ba-Cl,3|Ba-Cl,3|Ba,ABC4_mC24_15_e_e_2f,3|Ba-Cl
nh-8dd6813c64fa2776,BaGdBr4,BaGdBr4,Ba-Br-Gd,ABC4,12,wbm-1-21845,15,Ba2Gd2I8,-0.722716,3|Ba-Gd,ABC4_mC24_15_e_e_2f:Ba-Gd-I,I->Br,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-21845::I->Br,c8537d91070fa61e30569d8ac07752f021b275a7e14a9096a63bb5a969c3bd14,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Ba-Br,3|Ba-Br,3|Ba,ABC4_mC24_15_e_e_2f,3|Ba-Br
nh-942206dbe122ae45,GdBeF4,GdBeF4,Be-F-Gd,ABC4,12,wbm-1-21845,15,Ba2Gd2I8,-0.722716,3|Ba-Gd,ABC4_mC24_15_e_e_2f:Ba-Gd-I,Ba->Be;I->F,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-21845::Ba->Be;I->F,14d09cf080c681930f061a7a35abfb8b85261462cff7c63a9fc2fa6a94ec6e57,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Be-F,3|Be-F,3|Be,ABC4_mC24_15_e_e_2f,3|Be-F
nh-3d8953c6cd6a43cc,Er3GaF3,Er3GaF3,Er-F-Ga,AB3C3,7,wbm-1-18634,16,Br3Er3Ga1,-0.72204,3|Br-Er,A3B3C_cP7_221_c_d_a:Br-Er-Ga,Br->F,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-18634::Br->F,36399a64eba48cabb72f61c30e75a2a332a46ab4e8ac77e2b6c5ca65c7d772cc,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Er-F,3|Er-F,3|Er,A3B3C_cP7_221_c_d,3|Er-F
nh-b05996c5064541ed,Er3GaCl3,Er3GaCl3,Cl-Er-Ga,AB3C3,7,wbm-1-18634,16,Br3Er3Ga1,-0.72204,3|Br-Er,A3B3C_cP7_221_c_d_a:Br-Er-Ga,Br->Cl,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-18634::Br->Cl,4e621b19a27342da02c10a951f476cd6887f20c67c6a2be572e658178768c25e,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Cl-Er,3|Cl-Er,3|Cl,A3B3C_cP7_221_c_d,3|Cl-Er
