parent_material_id,candidate_id,status,reason
wbm-1-38114,,rejected_internal_duplicate,LiAsO3
wbm-1-38112,,rejected_internal_duplicate,RbNO3
wbm-1-38112,,rejected_internal_duplicate,RbPO3
wbm-1-38112,,rejected_internal_duplicate,RbSbO3
wbm-1-38112,,rejected_internal_duplicate,RbBiO3
wbm-1-38112,,rejected_internal_duplicate,RbAsS3
wbm-1-38112,,rejected_internal_duplicate,RbAsSe3
wbm-1-38112,,rejected_internal_duplicate,RbTe3As
wbm-1-38112,,rejected_internal_duplicate,LiAsO3
wbm-1-38112,,rejected_internal_duplicate,NaAsO3
wbm-1-38112,,rejected_internal_duplicate,KAsO3
wbm-1-38112,,rejected_internal_duplicate,CsAsO3
wbm-1-38112,,rejected_internal_duplicate,RbS3N
wbm-1-38112,,rejected_internal_duplicate,RbSe3N
wbm-1-38112,,rejected_internal_duplicate,RbPS3
wbm-1-38112,,rejected_internal_duplicate,RbPSe3
wbm-1-38112,,rejected_internal_duplicate,LiNO3
wbm-1-5974,,rejected_public_wbm_formula_match,MgPt
wbm-1-5974,,rejected_public_wbm_formula_match,CaPt
wbm-1-5974,,rejected_internal_duplicate,SrPt
wbm-1-5974,,rejected_public_wbm_formula_match,BaPt
wbm-1-5974,,rejected_public_wbm_formula_match,BeNi
wbm-1-5974,,rejected_public_wbm_formula_match,BePd
wbm-1-5974,,rejected_public_wbm_formula_match,MgNi
wbm-1-5974,,rejected_public_wbm_formula_match,MgPd
wbm-1-5974,,rejected_public_wbm_formula_match,CaNi
wbm-1-5974,,rejected_public_wbm_formula_match,CaPd
wbm-1-19223,,rejected_public_wbm_formula_match,GdRh
wbm-1-38115,,rejected_internal_duplicate,RbNO3
wbm-1-38115,,rejected_internal_duplicate,RbPO3
wbm-1-38115,,rejected_internal_duplicate,RbSbO3
wbm-1-38115,,rejected_internal_duplicate,RbBiO3
wbm-1-38115,,rejected_internal_duplicate,RbAsS3
wbm-1-38115,,rejected_internal_duplicate,RbAsSe3
wbm-1-38115,,rejected_internal_duplicate,RbTe3As
wbm-1-38115,,rejected_internal_duplicate,LiAsO3
wbm-1-38115,,rejected_internal_duplicate,NaAsO3
wbm-1-38115,,rejected_internal_duplicate,KAsO3
wbm-1-38115,,rejected_internal_duplicate,CsAsO3
wbm-1-38115,,rejected_internal_duplicate,RbS3N
wbm-1-38115,,rejected_internal_duplicate,RbSe3N
wbm-1-38115,,rejected_internal_duplicate,RbPS3
wbm-1-38115,,rejected_internal_duplicate,RbPSe3
wbm-1-38115,,rejected_internal_duplicate,LiNO3
wbm-1-38115,,rejected_internal_duplicate,NaNO3
wbm-1-38115,,rejected_internal_duplicate,LiPO3
wbm-1-38115,,rejected_internal_duplicate,NaPO3
wbm-1-38115,,rejected_internal_duplicate,LiAsS3
wbm-1-38115,,rejected_internal_duplicate,NaAsS3
wbm-1-38115,,rejected_internal_duplicate,LiAsSe3
wbm-1-38115,,rejected_internal_duplicate,NaAsSe3
wbm-1-45452,,rejected_internal_duplicate,YbPAu
wbm-1-45452,,rejected_internal_duplicate,YbAgN
wbm-1-45452,,rejected_internal_duplicate,YbAgAs
wbm-1-45452,,rejected_internal_duplicate,YbCuN
wbm-1-45452,,rejected_internal_duplicate,YbCuAs
wbm-1-53499,,rejected_public_wbm_formula_match,Gd(GeIr)2
wbm-1-32222,,rejected_internal_duplicate,Yb3SbAs
wbm-1-2624,,rejected_public_wbm_formula_match,CsGaS2
wbm-1-2624,,rejected_public_wbm_formula_match,CsInS2
wbm-1-36714,,rejected_public_wbm_formula_match,CsNiO2
wbm-1-37590,,rejected_internal_duplicate,LiPtO2
wbm-1-37590,,rejected_internal_duplicate,NaPtO2
wbm-1-37590,,rejected_internal_duplicate,KPtO2
wbm-1-9948,,rejected_public_wbm_formula_match,CoF3
wbm-1-9948,,rejected_public_wbm_formula_match,CoI3
wbm-1-14847,,rejected_public_wbm_formula_match,AuF3
wbm-1-14847,,rejected_public_wbm_formula_match,CuI3
wbm-1-14847,,rejected_public_wbm_formula_match,AgCl3
wbm-1-14847,,rejected_public_wbm_formula_match,AgBr3
wbm-1-14847,,rejected_public_wbm_formula_match,AuCl3
wbm-1-14847,,rejected_public_wbm_formula_match,AuBr3
wbm-1-31602,,rejected_public_wbm_formula_match,ErIN
wbm-1-15664,,rejected_public_wbm_formula_match,CsCuF6
wbm-1-41468,,rejected_public_wbm_formula_match,Cs3NbO4
wbm-1-9699,,rejected_public_wbm_formula_match,AsCl11
wbm-1-9699,,rejected_public_wbm_formula_match,BiCl11
wbm-1-15375,,rejected_internal_duplicate,NaTmCl4
wbm-1-15375,,rejected_internal_duplicate,KTmF4
wbm-1-15375,,rejected_internal_duplicate,RbTmF4
wbm-1-15375,,rejected_internal_duplicate,CsTmF4
wbm-1-15375,,rejected_internal_duplicate,LiTmCl4
wbm-1-15375,,rejected_internal_duplicate,LiTmBr4
wbm-1-30350,,rejected_internal_duplicate,YbSiN2
wbm-1-30350,,rejected_internal_duplicate,YbSnN2
wbm-1-30350,,rejected_internal_duplicate,YbPbN2
wbm-1-30350,,rejected_internal_duplicate,YbP2C
wbm-1-30350,,rejected_internal_duplicate,YbAs2C
wbm-1-5900,,rejected_public_wbm_formula_match,CaIr
wbm-1-5900,,rejected_public_wbm_formula_match,BaIr
wbm-1-5900,,rejected_public_wbm_formula_match,BeCo
wbm-1-5900,,rejected_public_wbm_formula_match,BeRh
wbm-1-5900,,rejected_public_wbm_formula_match,MgRh
wbm-1-5900,,rejected_public_wbm_formula_match,CaCo
wbm-1-5900,,rejected_public_wbm_formula_match,CaRh
wbm-1-15864,,rejected_internal_duplicate,KAuF6
wbm-1-15864,,rejected_public_wbm_formula_match,CsCuF6
wbm-1-46496,,rejected_internal_duplicate,YbCuP
wbm-1-46496,,rejected_internal_duplicate,YbAgP
wbm-1-46496,,rejected_internal_duplicate,YbAuN
wbm-1-46496,,rejected_internal_duplicate,YbAsAu
wbm-1-46496,,rejected_internal_duplicate,YbCuN
wbm-1-46496,,rejected_internal_duplicate,YbCuAs
wbm-1-46496,,rejected_internal_duplicate,YbAgN
wbm-1-46496,,rejected_internal_duplicate,YbAgAs
wbm-1-11501,,rejected_public_wbm_formula_match,CoF3
wbm-1-11501,,rejected_public_wbm_formula_match,CoI3
wbm-1-11501,,rejected_internal_duplicate,RhBr3
wbm-1-11501,,rejected_internal_duplicate,IrBr3
wbm-1-11501,,rejected_internal_duplicate,RhF3
wbm-1-11501,,rejected_internal_duplicate,IrF3
wbm-1-11501,,rejected_internal_duplicate,RhCl3
wbm-1-11501,,rejected_internal_duplicate,IrCl3
wbm-1-15667,,rejected_public_wbm_formula_match,CaCuF6
wbm-1-54934,,rejected_public_wbm_formula_match,GdGeIr
wbm-1-15180,,rejected_internal_duplicate,TmCl3
wbm-1-15180,,rejected_internal_duplicate,TmBr3
wbm-1-15180,,rejected_internal_duplicate,TmI3
wbm-1-25031,,rejected_internal_duplicate,LiTmCl4
wbm-1-25031,,rejected_internal_duplicate,LiTmBr4
wbm-1-25031,,rejected_internal_duplicate,LiTmI4
wbm-1-25031,,rejected_internal_duplicate,NaTmF4
wbm-1-25031,,rejected_internal_duplicate,KTmF4
wbm-1-25031,,rejected_internal_duplicate,RbTmF4
wbm-1-25031,,rejected_internal_duplicate,CsTmF4
wbm-1-25031,,rejected_internal_duplicate,NaTmCl4
wbm-1-25031,,rejected_internal_duplicate,KTmCl4
wbm-1-25031,,rejected_internal_duplicate,NaTmBr4
wbm-1-25031,,rejected_internal_duplicate,KTmBr4
wbm-1-55537,,rejected_public_wbm_formula_match,K2SiTe3
wbm-1-55536,,rejected_internal_duplicate,Li2SiS3
wbm-1-55536,,rejected_internal_duplicate,Na2SiS3
wbm-1-55536,,rejected_internal_duplicate,Rb2SiS3
wbm-1-55536,,rejected_internal_duplicate,Cs2SiS3
wbm-1-55536,,rejected_internal_duplicate,K2SiO3
wbm-1-55536,,rejected_internal_duplicate,K2SiSe3
wbm-1-55536,,rejected_public_wbm_formula_match,K2SiTe3
wbm-1-55536,,rejected_internal_duplicate,K2CS3
wbm-1-55536,,rejected_internal_duplicate,K2GeS3
wbm-1-55536,,rejected_public_wbm_formula_match,K2PbS3
wbm-1-7534,,rejected_internal_duplicate,PrCBrN2
wbm-1-7534,,rejected_internal_duplicate,PrCIN2
wbm-1-53873,,rejected_internal_duplicate,Sr(CoSi)2
wbm-1-53873,,rejected_internal_duplicate,Sr(SiRh)2
wbm-1-53873,,rejected_internal_duplicate,Sr(IrC)2
wbm-1-53873,,rejected_internal_duplicate,Sr(GeIr)2
wbm-1-53873,,rejected_internal_duplicate,Sr(SnIr)2
wbm-1-53873,,rejected_internal_duplicate,Sr(IrPb)2
wbm-1-53873,,rejected_internal_duplicate,Be(SiIr)2
wbm-1-53873,,rejected_internal_duplicate,Mg(SiIr)2
wbm-1-16618,,rejected_public_wbm_formula_match,CaCu2F8
wbm-1-41467,,rejected_internal_duplicate,Li3VO4
wbm-1-41467,,rejected_internal_duplicate,Na3VO4
wbm-1-41467,,rejected_internal_duplicate,K3VO4
wbm-1-41467,,rejected_internal_duplicate,Rb3VO4
wbm-1-41467,,rejected_internal_duplicate,Cs3VS4
wbm-1-41467,,rejected_internal_duplicate,Cs3VSe4
wbm-1-41467,,rejected_internal_duplicate,Cs3VTe4
wbm-1-41467,,rejected_public_wbm_formula_match,Cs3NbO4
wbm-1-41467,,rejected_internal_duplicate,Cs3TaO4
wbm-1-41467,,rejected_public_wbm_formula_match,Na3NbO4
wbm-1-41467,,rejected_public_wbm_formula_match,Cs3NbS4
wbm-1-6267,,rejected_public_wbm_formula_match,Br3Cl
wbm-1-6267,,rejected_public_wbm_formula_match,ClF3
wbm-1-39164,,rejected_public_wbm_formula_match,Cs2HfO3
wbm-1-10156,,rejected_internal_duplicate,MnF3
wbm-1-10156,,rejected_internal_duplicate,MnBr3
wbm-1-10156,,rejected_internal_duplicate,MnI3
wbm-1-10156,,rejected_internal_duplicate,ReCl3
wbm-1-10156,,rejected_internal_duplicate,ReF3
wbm-1-10156,,rejected_internal_duplicate,ReBr3
wbm-1-41915,,rejected_internal_duplicate,Yb(NO3)2
wbm-1-41915,,rejected_internal_duplicate,Yb(PO3)2
wbm-1-41915,,rejected_internal_duplicate,Yb(BiO3)2
wbm-1-41915,,rejected_internal_duplicate,Yb(S3N)2
wbm-1-14885,,rejected_internal_duplicate,GdCl3
wbm-1-14885,,rejected_internal_duplicate,GdBr3
wbm-1-56019,,rejected_internal_duplicate,ZrSiIr
wbm-1-56019,,rejected_internal_duplicate,HfSiRh
wbm-1-49506,,rejected_internal_duplicate,Na2HfS3
wbm-1-49506,,rejected_internal_duplicate,Cs2TiS3
wbm-1-49506,,rejected_public_wbm_formula_match,Cs2HfO3
wbm-1-49506,,rejected_public_wbm_formula_match,Cs2HfSe3
wbm-1-49506,,rejected_public_wbm_formula_match,Cs2HfTe3
wbm-1-49506,,rejected_internal_duplicate,Li2ZrS3
wbm-1-49506,,rejected_internal_duplicate,Na2ZrS3
wbm-1-49506,,rejected_internal_duplicate,Li2HfO3
wbm-1-7533,,rejected_internal_duplicate,NdCBrN2
wbm-1-7533,,rejected_internal_duplicate,NdCIN2
wbm-1-25790,,rejected_internal_duplicate,LiO3F
wbm-1-25790,,rejected_internal_duplicate,LiClO3
wbm-1-25790,,rejected_internal_duplicate,LiIO3
wbm-1-25790,,rejected_internal_duplicate,NaBrO3
wbm-1-25790,,rejected_internal_duplicate,KBrO3
wbm-1-25790,,rejected_internal_duplicate,RbBrO3
wbm-1-25790,,rejected_internal_duplicate,CsBrO3
wbm-1-25790,,rejected_internal_duplicate,LiS3Br
wbm-1-5973,,rejected_public_wbm_formula_match,MgPt3
wbm-1-5973,,rejected_public_wbm_formula_match,CaPt3
wbm-1-5973,,rejected_public_wbm_formula_match,BaPt3
wbm-1-5973,,rejected_public_wbm_formula_match,BeNi3
wbm-1-5973,,rejected_public_wbm_formula_match,MgNi3
wbm-1-5973,,rejected_public_wbm_formula_match,MgPd3
wbm-1-5973,,rejected_public_wbm_formula_match,CaPd3
wbm-1-30803,,rejected_public_wbm_formula_match,EuMnN3
wbm-1-40773,,rejected_internal_duplicate,Li3NbO4
wbm-1-40773,,rejected_public_wbm_formula_match,Na3NbO4
wbm-1-40773,,rejected_public_wbm_formula_match,Cs3NbO4
wbm-1-40773,,rejected_internal_duplicate,K3VO4
wbm-1-40773,,rejected_public_wbm_formula_match,K3NbS4
wbm-1-40773,,rejected_public_wbm_formula_match,K3NbSe4
wbm-1-40773,,rejected_public_wbm_formula_match,K3NbTe4
wbm-1-40773,,rejected_internal_duplicate,Li3VO4
wbm-1-40773,,rejected_internal_duplicate,Li3TaO4
wbm-1-40773,,rejected_internal_duplicate,Na3VO4
wbm-1-40773,,rejected_internal_duplicate,Na3TaO4
wbm-1-40773,,rejected_public_wbm_formula_match,Li3NbSe4
wbm-1-40773,,rejected_public_wbm_formula_match,Na3NbS4
wbm-1-40773,,rejected_public_wbm_formula_match,Na3NbSe4
wbm-1-31603,,rejected_internal_duplicate,ErNF
wbm-1-31603,,rejected_internal_duplicate,ErNCl
wbm-1-31603,,rejected_public_wbm_formula_match,ErIN
wbm-1-31603,,rejected_internal_duplicate,ErPBr
wbm-1-31603,,rejected_internal_duplicate,ErAsBr
wbm-1-31603,,rejected_internal_duplicate,ErSbBr
wbm-1-31603,,rejected_internal_duplicate,ErBiBr
wbm-1-31603,,rejected_internal_duplicate,ErPF
wbm-1-31603,,rejected_internal_duplicate,ErAsF
wbm-1-6460,,rejected_public_wbm_formula_match,BaBr4
wbm-1-5612,,rejected_internal_duplicate,Yb(BeN)2
wbm-1-5612,,rejected_internal_duplicate,Yb(BeSb)2
wbm-1-5612,,rejected_internal_duplicate,Yb(BeBi)2
wbm-1-5612,,rejected_internal_duplicate,Yb(MgP)2
wbm-1-5612,,rejected_internal_duplicate,Ca2YbP2
wbm-1-2698,,rejected_internal_duplicate,CsAlSe2
wbm-1-2698,,rejected_internal_duplicate,RbAlS2
wbm-1-15752,,rejected_internal_duplicate,K2AgF6
wbm-1-15752,,rejected_internal_duplicate,K2AuF6
wbm-1-15752,,rejected_internal_duplicate,K2CuCl6
wbm-1-15752,,rejected_internal_duplicate,K2CuBr6
wbm-1-15752,,rejected_internal_duplicate,K2CuI6
wbm-1-15752,,rejected_internal_duplicate,Li2CuF6
wbm-1-15752,,rejected_internal_duplicate,Na2CuF6
wbm-1-15752,,rejected_internal_duplicate,Rb2CuF6
wbm-1-15752,,rejected_public_wbm_formula_match,Cs2CuF6
wbm-1-37174,,rejected_public_wbm_formula_match,KRhS2
wbm-1-37174,,rejected_public_wbm_formula_match,KRhSe2
wbm-1-37174,,rejected_public_wbm_formula_match,LiRhS2
wbm-1-37174,,rejected_public_wbm_formula_match,LiRhSe2
wbm-1-37174,,rejected_public_wbm_formula_match,NaRhS2
wbm-1-37174,,rejected_public_wbm_formula_match,NaRhSe2
wbm-1-31143,,rejected_internal_duplicate,PrP3W
wbm-1-31143,,rejected_internal_duplicate,PrAs3W
wbm-1-31143,,rejected_internal_duplicate,PrSb3W
wbm-1-31143,,rejected_internal_duplicate,PrBi3W
wbm-1-31143,,rejected_internal_duplicate,PrCrN3
wbm-1-31143,,rejected_internal_duplicate,PrMoN3
wbm-1-31143,,rejected_internal_duplicate,PrCrP3
wbm-1-31143,,rejected_internal_duplicate,PrMoP3
wbm-1-30525,,rejected_internal_duplicate,Ce2P2S
wbm-1-30525,,rejected_internal_duplicate,Ce2As2S
wbm-1-30525,,rejected_internal_duplicate,Ce2Sb2S
wbm-1-30525,,rejected_internal_duplicate,Ce2Bi2S
wbm-1-30525,,rejected_public_wbm_formula_match,Ce2N2O
wbm-1-30525,,rejected_internal_duplicate,Ce2SeN2
wbm-1-30525,,rejected_internal_duplicate,Ce2TeN2
wbm-1-30525,,rejected_internal_duplicate,Ce2P2O
wbm-1-10364,,rejected_public_wbm_formula_match,CeI4
wbm-1-10365,,rejected_internal_duplicate,CeF4
wbm-1-10365,,rejected_internal_duplicate,CeBr4
wbm-1-10365,,rejected_public_wbm_formula_match,CeI4
wbm-1-31597,,rejected_internal_duplicate,CeNF
wbm-1-31597,,rejected_internal_duplicate,CeNCl
wbm-1-31597,,rejected_public_wbm_formula_match,CeIN
wbm-1-31597,,rejected_internal_duplicate,CePF
wbm-1-10366,,rejected_internal_duplicate,CeF4
wbm-1-10366,,rejected_internal_duplicate,CeBr4
wbm-1-10366,,rejected_public_wbm_formula_match,CeI4
wbm-1-48106,,rejected_internal_duplicate,GdSnIr
wbm-1-48106,,rejected_internal_duplicate,GdRhC
wbm-1-48106,,rejected_internal_duplicate,GdSiRh
wbm-1-48106,,rejected_public_wbm_formula_match,GdGeRh
wbm-1-48106,,rejected_internal_duplicate,GdCoC
wbm-1-48106,,rejected_internal_duplicate,GdCoSi
wbm-1-48106,,rejected_internal_duplicate,GdIrC
wbm-1-16576,,rejected_internal_duplicate,Gd2BeF8
wbm-1-16576,,rejected_internal_duplicate,BaGd2Cl8
wbm-1-16576,,rejected_internal_duplicate,BaGd2Br8
wbm-1-16576,,rejected_public_wbm_formula_match,Ba(GdI4)2
wbm-1-16576,,rejected_internal_duplicate,Gd2BeCl8
wbm-1-11745,,rejected_public_wbm_formula_match,CoF3
wbm-1-11745,,rejected_internal_duplicate,CoCl3
wbm-1-11745,,rejected_internal_duplicate,CoBr3
wbm-1-11745,,rejected_internal_duplicate,RhF3
wbm-1-11745,,rejected_internal_duplicate,RhCl3
wbm-1-11745,,rejected_internal_duplicate,IrF3
wbm-1-11745,,rejected_internal_duplicate,IrCl3
wbm-1-28523,,rejected_public_wbm_formula_match,LiMgSb
wbm-1-28523,,rejected_public_wbm_formula_match,KMgSb
wbm-1-28523,,rejected_public_wbm_formula_match,CsMgP
wbm-1-16620,,rejected_internal_duplicate,BeCu2F8
wbm-1-16620,,rejected_internal_duplicate,MgCu2F8
wbm-1-16620,,rejected_public_wbm_formula_match,CaCu2F8
wbm-1-16620,,rejected_public_wbm_formula_match,BaCu2F8
wbm-1-54486,,rejected_public_wbm_formula_match,CaFeSi
wbm-1-54486,,rejected_public_wbm_formula_match,CaGeRu
wbm-1-31137,,rejected_internal_duplicate,PrP3W
wbm-1-31137,,rejected_internal_duplicate,PrAs3W
wbm-1-31137,,rejected_internal_duplicate,PrSb3W
wbm-1-31137,,rejected_internal_duplicate,PrBi3W
wbm-1-31137,,rejected_internal_duplicate,PrCrN3
wbm-1-31137,,rejected_internal_duplicate,PrMoN3
wbm-1-31137,,rejected_internal_duplicate,PrCrP3
wbm-1-31137,,rejected_internal_duplicate,PrMoP3
wbm-1-31137,,rejected_internal_duplicate,PrCrAs3
wbm-1-31137,,rejected_internal_duplicate,PrMoAs3
wbm-1-52127,,rejected_public_wbm_formula_match,LuTe5
wbm-1-52127,,rejected_public_wbm_formula_match,ScSe5
wbm-1-52127,,rejected_public_wbm_formula_match,LaS5
wbm-1-14884,,rejected_internal_duplicate,GdCl3
wbm-1-14884,,rejected_internal_duplicate,GdBr3
wbm-1-14884,,rejected_public_wbm_formula_match,GdI3
wbm-1-9909,,rejected_internal_duplicate,Cl3F
wbm-1-9909,,rejected_internal_duplicate,ICl3
wbm-1-9909,,rejected_internal_duplicate,IF3
wbm-1-31141,,rejected_internal_duplicate,PrP3W
wbm-1-31141,,rejected_internal_duplicate,PrAs3W
wbm-1-31141,,rejected_internal_duplicate,PrSb3W
wbm-1-31141,,rejected_internal_duplicate,PrBi3W
wbm-1-31141,,rejected_internal_duplicate,PrCrN3
wbm-1-31141,,rejected_internal_duplicate,PrMoN3
wbm-1-31141,,rejected_internal_duplicate,PrCrP3
wbm-1-31141,,rejected_internal_duplicate,PrMoP3
wbm-1-31141,,rejected_internal_duplicate,PrCrAs3
wbm-1-31141,,rejected_internal_duplicate,PrMoAs3
wbm-1-30804,,rejected_internal_duplicate,EuReP3
wbm-1-30804,,rejected_internal_duplicate,EuReAs3
wbm-1-30804,,rejected_internal_duplicate,EuReSb3
wbm-1-30804,,rejected_internal_duplicate,EuReBi3
wbm-1-30804,,rejected_internal_duplicate,EuMnP3
wbm-1-30804,,rejected_internal_duplicate,EuMnAs3
wbm-1-53880,,rejected_internal_duplicate,Sr(CoSi)2
wbm-1-53880,,rejected_internal_duplicate,Sr(RhC)2
wbm-1-53880,,rejected_internal_duplicate,Sr(GeRh)2
wbm-1-53880,,rejected_internal_duplicate,Sr(CoC)2
wbm-1-53880,,rejected_internal_duplicate,Sr(CoGe)2
wbm-1-53880,,rejected_internal_duplicate,Sr(IrC)2
wbm-1-53880,,rejected_internal_duplicate,Sr(GeIr)2
wbm-1-53880,,rejected_internal_duplicate,Be(CoSi)2
wbm-1-53880,,rejected_internal_duplicate,Mg(CoSi)2
wbm-1-53880,,rejected_internal_duplicate,Be(SiIr)2
wbm-1-53880,,rejected_internal_duplicate,Mg(SiIr)2
wbm-1-32240,,rejected_internal_duplicate,Yb3SbP
wbm-1-32240,,rejected_internal_duplicate,Yb3SbAs
wbm-1-32240,,rejected_internal_duplicate,Yb3AsN
wbm-1-32240,,rejected_internal_duplicate,Yb3BiN
wbm-1-32240,,rejected_internal_duplicate,Yb3AsP
wbm-1-32240,,rejected_internal_duplicate,Yb3AsP
wbm-1-39416,,rejected_internal_duplicate,Rb2HfS3
wbm-1-39416,,rejected_internal_duplicate,Li2HfO3
wbm-1-39416,,rejected_internal_duplicate,Na2HfO3
wbm-1-39416,,rejected_internal_duplicate,K2HfO3
wbm-1-39416,,rejected_public_wbm_formula_match,Cs2HfO3
wbm-1-39416,,rejected_internal_duplicate,Rb2ZrS3
wbm-1-56018,,rejected_internal_duplicate,ZrCoSi
wbm-1-56018,,rejected_internal_duplicate,ZrSiIr
wbm-1-56018,,rejected_internal_duplicate,ZrRhC
wbm-1-56018,,rejected_internal_duplicate,ZrGeRh
wbm-1-56018,,rejected_internal_duplicate,ZrSnRh
wbm-1-56018,,rejected_internal_duplicate,ZrRhPb
wbm-1-56018,,rejected_internal_duplicate,TiSiRh
wbm-1-56018,,rejected_internal_duplicate,HfSiRh
wbm-1-56018,,rejected_internal_duplicate,ZrCoC
wbm-1-56018,,rejected_internal_duplicate,ZrCoGe
wbm-1-56018,,rejected_internal_duplicate,HfCoSi
wbm-1-56018,,rejected_internal_duplicate,TiSiIr
wbm-1-31001,,rejected_internal_duplicate,NdP3W
wbm-1-31001,,rejected_internal_duplicate,NdAs3W
wbm-1-31001,,rejected_internal_duplicate,NdSb3W
wbm-1-31001,,rejected_internal_duplicate,NdBi3W
wbm-1-31001,,rejected_internal_duplicate,NdCrN3
wbm-1-31001,,rejected_internal_duplicate,NdMoN3
wbm-1-31001,,rejected_internal_duplicate,NdCrP3
wbm-1-31001,,rejected_internal_duplicate,NdMoP3
wbm-1-31774,,rejected_internal_duplicate,Yb2NF
wbm-1-31774,,rejected_internal_duplicate,Yb2IN
wbm-1-31774,,rejected_internal_duplicate,Yb2PCl
wbm-1-31774,,rejected_internal_duplicate,Yb2AsCl
wbm-1-31774,,rejected_internal_duplicate,Yb2PF
wbm-1-31774,,rejected_internal_duplicate,Yb2AsF
wbm-1-31774,,rejected_internal_duplicate,Yb2PBr
wbm-1-49883,,rejected_internal_duplicate,Li2TiS3
wbm-1-49883,,rejected_internal_duplicate,Na2TiS3
wbm-1-49883,,rejected_internal_duplicate,Cs2TiS3
wbm-1-49883,,rejected_internal_duplicate,Rb2TiO3
wbm-1-49883,,rejected_internal_duplicate,Rb2TiSe3
wbm-1-49883,,rejected_internal_duplicate,Rb2ZrS3
wbm-1-49883,,rejected_internal_duplicate,Rb2HfS3
wbm-1-49883,,rejected_internal_duplicate,Li2TiO3
wbm-1-49883,,rejected_internal_duplicate,Na2TiO3
wbm-1-49883,,rejected_internal_duplicate,Li2ZrS3
wbm-1-49883,,rejected_internal_duplicate,Li2HfS3
wbm-1-49883,,rejected_internal_duplicate,Na2ZrS3
wbm-1-49883,,rejected_internal_duplicate,Na2HfS3
