dft_job_id,candidate_id,arm,endpoint_id,structure_ref,structure_sha256,dft_engine,input_status,failure_policy,selected_before_DFT_outcome,outcome_available,outcome_file,evidence_status
a3v4-parc-release-0011,mattergen_pilot_5k_3gpu_02663,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_39.cif,4759a29eebc977e2a8c2fc6ac602f45090718c6bcfe20bbe384cd8a676eeb031,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0012,mattergen_pilot_5k_3gpu_01331,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_685.cif,77c018120c62646b9473b8916c28821458a350840924c59a7a2a725a1ec10936,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0013,mattergen_pilot_5k_3gpu_02637,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_366.cif,ba1e3edb2bb4e6dbd64ad097c7ed67292763502206bd466c3219d769fda181b7,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0014,mattergen_pilot_5k_3gpu_00617,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1553.cif,26fdece26389322848dc52afdc13587710daa517424d4d12379d3dd836b390ef,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0015,mattergen_pilot_5k_3gpu_02532,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_271.cif,e9bf570f9724ffb801483fed35f8182b1ca486ff7f90822a2db08f1b5581f02b,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0016,mattergen_pilot_5k_3gpu_02616,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_347.cif,790d9ec7825acc559a1ff167cecf382f8570c25cdb7fbf4643bc5d143ac854eb,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0017,mattergen_pilot_5k_3gpu_02280,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_1538.cif,bc41f0c043e8ec3cab3b0bd8a63912872f7e3b9c6dfd253deefbd95987b09f1f,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0018,mattergen_pilot_5k_3gpu_03350,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard2_gen_1006.cif,7ca0863cbc2f9b49e5d1a3fd5cb3a3e740f2f503cbbbdba044bb394477befabe,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0019,mattergen_pilot_5k_3gpu_00015,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1010.cif,938ea19e895427dff91dac375021ee874f4914b7870c493597e304bd2715b57c,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0020,mattergen_pilot_5k_3gpu_02732,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_451.cif,dc505d76461a2ae3e56d6f45a3624063a307877fc006054505c17754993305f6,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0021,mattergen_pilot_5k_3gpu_01167,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_537.cif,a747a5e335670764dbf0aeab594b969c188f8d43011e9d83f75eccb4ed34daa9,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0022,mattergen_pilot_5k_3gpu_01348,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_70.cif,f4aec6d4f467255e679aa6c3f8210d8ac9f99e8e55d8d99539710c14d074a13d,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0023,mattergen_pilot_5k_3gpu_03961,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard2_gen_1557.cif,a0bf0ff120f9e59894316da4a919c410294b9935b142dfd46be4651223cc2f06,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0024,mattergen_pilot_5k_3gpu_02736,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_455.cif,3983e2c84d654ca92fe6830385831d82e6cf1eb04e0a87a5570954288ef6b26f,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0025,mattergen_pilot_5k_3gpu_03017,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_708.cif,73f47c53ec643c98d3ea5ffc9e625886b3f4ab97cb1aa32cd05e9207948e6d63,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0026,mattergen_pilot_5k_3gpu_00053,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1045.cif,83591bd4cfd3c684b631c36fd047909ddf194a49a57900d1df94045324805622,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0027,mattergen_pilot_5k_3gpu_03034,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_723.cif,661598c63c5107145e276dad68644372c42fdbc0aefa0815b1e23ee0379ebe36,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0028,mattergen_pilot_5k_3gpu_03634,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard2_gen_1262.cif,523ace370d9bd47b7beedac747aa73f15f8eddef325bdbb8dc2a38d9dee05c23,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0029,mattergen_pilot_5k_3gpu_04560,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard2_gen_602.cif,7815abc5a486c013cda776778ab0240bc9c0786a42dfc6998c6af755fc2b29a1,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0030,mattergen_pilot_5k_3gpu_04183,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard2_gen_263.cif,0f60d0cc3bc6c54a4cb27e70a5c1b1028bec45d9952efb17dcfbc0bb9b4e7141,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0031,mattergen_pilot_5k_3gpu_03054,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_741.cif,bc3f68f7b1d7bc29aed6a385e3f6ffbb143ae3f8e63d1736fd4edc526463aeac,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0032,mattergen_pilot_5k_3gpu_04321,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard2_gen_388.cif,504f01ad536612568d9d11ce4ffabccd084fd8d0cf8ba7d33c798a36e19768a8,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0033,mattergen_pilot_5k_3gpu_00138,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1121.cif,18cfce98b9d5d109f5580d00783a6545e844a9fcc60fdbc3824faddf9a5c1e28,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0034,mattergen_pilot_5k_3gpu_02142,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_1413.cif,27f472225206d78db9689679ada3e644257be3ac008a29ff0622fe277b27e43d,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0035,mattergen_pilot_5k_3gpu_00682,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1611.cif,99a164881c82fccdf2c832a206c361f97dfe98a82ad2bfacce6088e9fa32457c,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0036,mattergen_pilot_5k_3gpu_02746,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_464.cif,7f184159194eb2a6a84e27165ccf811a35211ca9a407f4aff6e0e4664d1b951b,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0037,mattergen_pilot_5k_3gpu_01844,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_1145.cif,48562ad28ef679797dc99377b52de8dff1ff5d0b93ec09ab731b72ffcacc8d9d,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0038,mattergen_pilot_5k_3gpu_01472,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_811.cif,89ce4e84ea5b401e75f89d69320fcdba6c6de7981cbf5fe744e50915c73e710c,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0039,mattergen_pilot_5k_3gpu_00729,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1654.cif,754d979c63f7a7f1609cf7ccf0c4375c9dee89071fde74b9e92ff5a26e5c6783,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0040,mattergen_pilot_5k_3gpu_00981,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_37.cif,65ddc022519509b20b44cf1c259915e26abdeb03760393ed33502d2d416c1b7e,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
