candidate_id,generator,generator_mode,formula,reduced_formula,chemical_system,anonymous_formula,n_sites,space_group,structure_ref,structure_sha256,generation_rank,generation_status
mattergen_pilot_5k_3gpu_00011,MatterGen,mattergen_base_unconditional_smoke,Tb2 Ho1,Tb2Ho,Ho-Tb,AB2,3,I4/mmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1007.cif,1af081d39df23778ba0e0e8f06f2a87b9d89560f775a8bed2fd58d115f8347b8,11,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00012,MatterGen,mattergen_base_unconditional_smoke,Pr1 Y3,PrY3,Pr-Y,AB3,4,Pm-3m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1008.cif,d3cfb94de0fc4e4395419df6cc21a6fbb2b6a240c4fb4c6109ad1ab05d6f899f,12,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00013,MatterGen,mattergen_base_unconditional_smoke,Ce1 Pr3 Br10,CePr3Br10,Br-Ce-Pr,AB3C10,14,P2/m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1009.cif,caebd22f714a69dd790b6b1580b25de9b0351c7527e37350ad45c034490c8563,13,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00014,MatterGen,mattergen_base_unconditional_smoke,K1 In1 Ga2 Au1,KInGa2Au,Au-Ga-In-K,ABCD2,5,Imm2,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_101.cif,0f7727dbf70237938b40ed3637f8ca511f52c652c0e32329424f40fc4bd96c9c,14,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00015,MatterGen,mattergen_base_unconditional_smoke,La1 Ta2 Re1 O10,LaTa2ReO10,La-O-Re-Ta,ABC2D10,14,Cm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1010.cif,938ea19e895427dff91dac375021ee874f4914b7870c493597e304bd2715b57c,15,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00016,MatterGen,mattergen_base_unconditional_smoke,Y1 Er1 Ga1 Hg1,YErGaHg,Er-Ga-Hg-Y,ABCD,4,F-43m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1011.cif,d55a72f191baaaa5a68dfe6e3d0bbd148cc80634da62d9178c622b0d66283834,16,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00017,MatterGen,mattergen_base_unconditional_smoke,K4 Mn4 Cl12,KMnCl3,Cl-K-Mn,ABC3,20,P1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1012.cif,32950531fa9febe62cd38e731780499f9f087ab1540c5f12b21b23b9498ed5b7,17,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00018,MatterGen,mattergen_base_unconditional_smoke,As6 Au2,As3Au,As-Au,AB3,8,Amm2,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1013.cif,f63de133ca180dfa897010903627023601322809fe1cbbc7c52020196054a320,18,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00019,MatterGen,mattergen_base_unconditional_smoke,Dy8 Hg2 S2,Dy4HgS,Dy-Hg-S,ABC4,12,P-1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1014.cif,e3855cb231473ab8aae1b690ea04530566f64848aa92b0626a53218c6d538f45,19,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00020,MatterGen,mattergen_base_unconditional_smoke,Ba3 H2 N2 O12,Ba3H2(NO6)2,Ba-H-N-O,A2B2C3D12,19,P1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1015.cif,881d68a3b532273e72a6b600351f8ffa4cc5ee004f2976627458dc1ef0807455,20,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00021,MatterGen,mattergen_base_unconditional_smoke,Na7 Au3,Na7Au3,Au-Na,A3B7,10,Amm2,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1016.cif,9c72f527c59e1d70b22fffc29ac038c0fe6198bc9ca71c7ad1522586a349c782,21,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00022,MatterGen,mattergen_base_unconditional_smoke,Tb4 Nd1 Dy1 Er1 Tm4 Sc1,Tb4NdDyErTm4Sc,Dy-Er-Nd-Sc-Tb-Tm,ABCDE4F4,12,P3m1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1017.cif,e38e1facefd8274277ac6e5a132645c1f53dcbbf9b8c2c417d2fc92c148b5f0d,22,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00023,MatterGen,mattergen_base_unconditional_smoke,Dy5 Al1 Br4,Dy5AlBr4,Al-Br-Dy,AB4C5,10,C2/m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1018.cif,d642e1afa1cd0004838cfef6f6e4bfaab9614b077b10ecb64e00fbd64faa8da0,23,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00024,MatterGen,mattergen_base_unconditional_smoke,Cs9 Rb7 O4,Cs9Rb7O4,Cs-O-Rb,A4B7C9,20,P1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1019.cif,ef0ea0b49ae0546425b623e4dc59d9b2e09f162dbeb7f4dd2549f2826032a563,24,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00025,MatterGen,mattergen_base_unconditional_smoke,Nd1 Ho6 Ga5,NdHo6Ga5,Ga-Ho-Nd,AB5C6,12,Cm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_102.cif,59bf5dc73b063768ff4f99b9ba484e6a97743475783679854432c8647d8741e6,25,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00026,MatterGen,mattergen_base_unconditional_smoke,Sr2 Ag1,Sr2Ag,Ag-Sr,AB2,3,I4/mmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1020.cif,3cfb5a1b9ed63f2f8c9ed83a8e7985837529578d8f86bc07680665dfd49fce55,26,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00027,MatterGen,mattergen_base_unconditional_smoke,Li1 Ca4 La3 Se8,LiCa4La3Se8,Ca-La-Li-Se,AB3C4D8,16,R-3m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1021.cif,a462b67403eee8f8cc882cce32a8573247fefabc3b90cb81b0256c2b5715913f,27,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00028,MatterGen,mattergen_base_unconditional_smoke,Li1 Mg5 Pb12,LiMg5Pb12,Li-Mg-Pb,AB5C12,18,P1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1022.cif,051f36f816baec134dbc3b587909e4fcc913e64e1d59fe49618d0c083fc5d01f,28,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00029,MatterGen,mattergen_base_unconditional_smoke,Hf1 Pd2 Pt1,HfPd2Pt,Hf-Pd-Pt,ABC2,4,P4/mmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1023.cif,a1a24be3cbda9785899a445aff828219ecdc919acf9aa1892fc9c47ccda201e5,29,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00030,MatterGen,mattergen_base_unconditional_smoke,Ta1 Tl1 N3 O1 F12,TaTlN3OF12,F-N-O-Ta-Tl,ABCD3E12,18,Cm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1024.cif,13edde5f726aa44c69b65a79ee99d40550a9d57670748f5e03f1e70da8cc116a,30,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00031,MatterGen,mattergen_base_unconditional_smoke,Cs2 Au1 I1,Cs2AuI,Au-Cs-I,ABC2,4,P4/mmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1025.cif,661d0f4e3856dfb9a7e5914f9e6484ce1e703a4f3bc6140aaffeaca5eebf0be3,31,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00032,MatterGen,mattergen_base_unconditional_smoke,Zr2 Al5 Pd3,Zr2Al5Pd3,Al-Pd-Zr,A2B3C5,10,Amm2,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1026.cif,85e81df701c98a1318e65d0efbe9b668fb58257ba2b0ba2b6ff28c6b31105b5b,32,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00033,MatterGen,mattergen_base_unconditional_smoke,Cs1 La1 Cu1 I6,CsLaCuI6,Cs-Cu-I-La,ABCD6,9,P312,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1027.cif,39630ed6c4c1239615ed2ecf85294307b0355a080a6354c349aad06b9a70064c,33,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00034,MatterGen,mattergen_base_unconditional_smoke,Pr2 Ni1 Ir1,Pr2NiIr,Ir-Ni-Pr,ABC2,4,Fm-3m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1028.cif,18ec34f7102834f7427bd698199195d78ed543201f9a4b3054e9aa181fd460ab,34,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00035,MatterGen,mattergen_base_unconditional_smoke,Cs2 Cd2 Bi2,CsCdBi,Bi-Cd-Cs,ABC,6,C2/m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1029.cif,514a57105317075850e43a5b3946a95d65c2a9b53a5b2873e11b7e82a828f1e3,35,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00036,MatterGen,mattergen_base_unconditional_smoke,Na2 Ce2 C4 O12,NaCe(CO3)2,C-Ce-Na-O,ABC2D6,20,C2/c,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_103.cif,0f4b5698bbdb7e7ab348be0ff3a17505710864d17134cfdb2020634d371ff54d,36,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00037,MatterGen,mattergen_base_unconditional_smoke,Pr4 Co4 Sn2,Pr2Co2Sn,Co-Pr-Sn,AB2C2,10,C2/c,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1030.cif,feae941428a07ec55b6926dcfca9a286d19b82ad0577ce91566849258d9e7440,37,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00038,MatterGen,mattergen_base_unconditional_smoke,Ba4 In2 Sb2 S10,Ba2InSbS5,Ba-In-S-Sb,ABC2D5,18,Cmc2_1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1031.cif,d77ad503803c289c6b94485c05199d829497003769424282ef52febe3fea2fe9,38,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00039,MatterGen,mattergen_base_unconditional_smoke,Li1 Sc5,LiSc5,Li-Sc,AB5,6,Amm2,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1032.cif,cac53b552102000625243d3ae8d2c61a6849e4d4090f428f8d35d2f41c1fb0d6,39,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00040,MatterGen,mattergen_base_unconditional_smoke,Ce2 Dy2 In4,CeDyIn2,Ce-Dy-In,ABC2,8,P4/mmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1033.cif,0c96edb0b27361497b2a5f66dedc33623a1d9c7805b33e3abae414458aed2f35,40,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00041,MatterGen,mattergen_base_unconditional_smoke,Cs1 Ge1 Sb1 I6,CsGeSbI6,Cs-Ge-I-Sb,ABCD6,9,P312,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1034.cif,ac9b19dfa6a052048be335c48570412e3662180a3ccf839c303492aaf6c54f85,41,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00042,MatterGen,mattergen_base_unconditional_smoke,Mg7 Bi2 Pb1,Mg7Bi2Pb,Bi-Mg-Pb,AB2C7,10,Pm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1035.cif,00f6ee1ff4e1793e56e4f5e88b8c3b2c0ae3b8ffa41656c87028f50dc30ea76c,42,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00043,MatterGen,mattergen_base_unconditional_smoke,Cs2 C3 N3 O12,Cs2C3(NO4)3,C-Cs-N-O,A2B3C3D12,20,P1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1036.cif,d4870ebd7135c98c60fc50b7fed89f256fbe819ba7ac03697dfe962edabc18b1,43,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00044,MatterGen,mattergen_base_unconditional_smoke,Eu2 Tl1 N1,Eu2TlN,Eu-N-Tl,ABC2,4,R3m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1037.cif,31f63e5df272f7d56bd5e9cec8b9825cd61b52b8b76dde0d9ff449def602385c,44,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00045,MatterGen,mattergen_base_unconditional_smoke,Li1 Pr1 Ho1 Ni1,LiPrHoNi,Ho-Li-Ni-Pr,ABCD,4,P4mm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1038.cif,443e2e56c0da674b6549e4dbaa6a6a66d0e5d8eb76f7dca46de00933bdbd26ee,45,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00046,MatterGen,mattergen_base_unconditional_smoke,Pr2 Dy1 P3 Rh4,Pr2DyP3Rh4,Dy-P-Pr-Rh,AB2C3D4,10,P-4m2,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1039.cif,1507618e7789a5ea3778db9425a511aec38499348ddf4aa0ae4844cf8b970244,46,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00047,MatterGen,mattergen_base_unconditional_smoke,Y2 Se8,YSe4,Se-Y,AB4,10,P1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_104.cif,4c87dddcda3cd98fc202359d476a26f5ca50466f04b34e5500403e72f1284902,47,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00048,MatterGen,mattergen_base_unconditional_smoke,Eu2 As6,EuAs3,As-Eu,AB3,8,Pm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1040.cif,f8c649604a7c34747d445bf0ae8a5990eb708d76bf801e185bf6b013f1fa864c,48,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00049,MatterGen,mattergen_base_unconditional_smoke,Al1 Zn2 Ga1 Ag3,AlZn2GaAg3,Ag-Al-Ga-Zn,ABC2D3,7,Cm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1041.cif,ae6b7223b64c0f714357153d47cff65a3b8f29485ab5a5762b035802238f1e8d,49,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00050,MatterGen,mattergen_base_unconditional_smoke,Rb4 Ge3 Se7,Rb4Ge3Se7,Ge-Rb-Se,A3B4C7,14,P1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1042.cif,49dea19e6ade8e8ce64e821483baffb54341653ddb4f3bc1d0b37a2b3874935a,50,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00051,MatterGen,mattergen_base_unconditional_smoke,Ba1 Li1 Tl1 Cd1,BaLiTlCd,Ba-Cd-Li-Tl,ABCD,4,F-43m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1043.cif,fde24b506fa88cce8692a3308da9c0d6f1645df4448ff33cf5b695ee75c8c8ec,51,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00052,MatterGen,mattergen_base_unconditional_smoke,Sc3 S6 Cl2,Sc3(S3Cl)2,Cl-S-Sc,A2B3C6,11,P1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1044.cif,ba6b50caa399121b27329602d279dae538d256a06e3ac15624070ba9e9f39ddd,52,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00053,MatterGen,mattergen_base_unconditional_smoke,Y4 Zn1 Ir2,Y4ZnIr2,Ir-Y-Zn,AB2C4,7,R3m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1045.cif,83591bd4cfd3c684b631c36fd047909ddf194a49a57900d1df94045324805622,53,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00054,MatterGen,mattergen_base_unconditional_smoke,La10 Pr3 Ga5 H2,La10Pr3Ga5H2,Ga-H-La-Pr,A2B3C5D10,20,Pm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1046.cif,6b570d27c972859c86a4c5becc77426f8be1fc61ee85ca7f6a350832673ed063,54,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00055,MatterGen,mattergen_base_unconditional_smoke,Dy1 Er2 Sc1,DyEr2Sc,Dy-Er-Sc,ABC2,4,R3m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1047.cif,ab73b19336dac3d93015b96e45b6a192a5d9a52d1b25270bfc1aff89fffe0052,55,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00056,MatterGen,mattergen_base_unconditional_smoke,Li1 La1 Ho1 Sn1,LiLaHoSn,Ho-La-Li-Sn,ABCD,4,F-43m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1048.cif,230f88bf398851968682d8fbdfb9d47b2e7d6562e4b99487d3092b73299da882,56,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00057,MatterGen,mattergen_base_unconditional_smoke,Ce2 Hg1 Se2 Br6,Ce2Hg(SeBr3)2,Br-Ce-Hg-Se,AB2C2D6,11,P1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1049.cif,e24584aed33fb0f707a7d5bb5c98be9a2a54e40e5e4acdb107bf5d2c6ac9c45e,57,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00058,MatterGen,mattergen_base_unconditional_smoke,K6 Zn2 As4,K3ZnAs2,As-K-Zn,AB2C3,12,Cm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_105.cif,4b103b4694eb9b850478118e02a272ac29b1c6635b0f9b86fcd466a31cd0d57d,58,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00059,MatterGen,mattergen_base_unconditional_smoke,Cs4 Na2 F6,Cs2NaF3,Cs-F-Na,AB2C3,12,Cmc2_1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1050.cif,6f12f2421454f9f753874397375286b0eb697541b88bdd37e325685270addfa2,59,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00060,MatterGen,mattergen_base_unconditional_smoke,Dy2 Sc3 Ga4 Rh11,Dy2Sc3Ga4Rh11,Dy-Ga-Rh-Sc,A2B3C4D11,20,C2,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1051.cif,05830a747115bf13e76afb9af5acfbb64492019b307fdbb396cae902ae57d3fe,60,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00061,MatterGen,mattergen_base_unconditional_smoke,Hf3 Zr2 Ir2,Hf3(ZrIr)2,Hf-Ir-Zr,A2B2C3,7,C2/m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1052.cif,ab286aa7ed9e88ef546c5b691c36ff8ae41ca743a7b22ae588604f44db5bb8ba,61,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00062,MatterGen,mattergen_base_unconditional_smoke,Rb2 Tb1 Y1 S4,Rb2TbYS4,Rb-S-Tb-Y,ABC2D4,8,P2/m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1053.cif,1ed9cee641082915793c7c87a752de3dde85af11ba90643950a5fa8794ce7b6f,62,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00063,MatterGen,mattergen_base_unconditional_smoke,Tm2 Cd4 Rh2,TmCd2Rh,Cd-Rh-Tm,ABC2,8,I4/mmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1054.cif,c9f0d0cf9b0f051ee35457a8ed908632a94114924d22d190e6bb657d8511275e,63,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00064,MatterGen,mattergen_base_unconditional_smoke,Lu2 Ni2 Sn1,Lu2Ni2Sn,Lu-Ni-Sn,AB2C2,5,Cmmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1055.cif,567f09470bc8ca78bb2a0134c53b335c0a832bf16b531d7a9733db7cdb098060,64,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00065,MatterGen,mattergen_base_unconditional_smoke,S2 O5 F3,S2O5F3,F-O-S,A2B3C5,10,P1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1056.cif,a8a2e33a6d522d5eb71c87c5d313eaad883d57292a2889205fa116b203b64fba,65,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00066,MatterGen,mattergen_base_unconditional_smoke,Cs5 In3 Bi1 Br11,Cs5In3BiBr11,Bi-Br-Cs-In,AB3C5D11,20,P1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1057.cif,59811b3b01d5a747116a5f68d3cc57e9ab2dc03334764ca42f7b9899c42e07ed,66,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00067,MatterGen,mattergen_base_unconditional_smoke,Li1 Cu2 F3,LiCu2F3,Cu-F-Li,AB2C3,6,C2/m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1058.cif,8ea0c36c40e4a35b2848876e59575853d993bf5abd872be8161f11c8cef9e363,67,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00068,MatterGen,mattergen_base_unconditional_smoke,Tm3 Hg1,Tm3Hg,Hg-Tm,AB3,4,P4/mmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1059.cif,e834765555522386ea834eaa56dcc84c81a5d62cee8ffb11b5523ba50df269be,68,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00069,MatterGen,mattergen_base_unconditional_smoke,Pr3 Hg2 Pd4,Pr3(HgPd2)2,Hg-Pd-Pr,A2B3C4,9,C2/m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_106.cif,598c2f519b60658efb28cac17909299bde45b04eacde770c5d6693252334745a,69,pymatgen_readable_smoke_candidate
