arm,candidate_id,selected_for_dft,dft_job_id,selection_rank,endpoint_id,selection_rule,score_rank,parc_release_flag,raw_topK_member,reserve_order,evidence_status,primary_or_reserve,frozen_model_score,structure_ref,structure_sha256,formula,score_chgnet,score_mace,score_consensus,e_value,required_e,mass_ratio,block_id,public_label_exclusion_status,structure_match_public,selected_for_release,selection_freeze_timestamp
PARC-release,mattergen_pilot_5k_3gpu_02663,True,a3v4-parc-release-0011,11,v4a_strict_exact_K100,top_from_formal_PARC_release,17,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.802096834488904,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_39.cif,4759a29eebc977e2a8c2fc6ac602f45090718c6bcfe20bbe384cd8a676eeb031,Y6 V1 Sb2,,,4.802096834488904,14.838543096304196,10.0,,Sb-V-Y,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_01331,True,a3v4-parc-release-0012,12,v4a_strict_exact_K100,top_from_formal_PARC_release,18,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.767574472828791,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_685.cif,77c018120c62646b9473b8916c28821458a350840924c59a7a2a725a1ec10936,Tm1 Ta2 Mo1 O8,,,4.767574472828791,14.838543096304196,10.0,,Mo-O-Ta-Tm,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_02637,True,a3v4-parc-release-0013,13,v4a_strict_exact_K100,top_from_formal_PARC_release,19,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.748416285081342,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_366.cif,ba1e3edb2bb4e6dbd64ad097c7ed67292763502206bd466c3219d769fda181b7,Cs2 Ta2 N2 F6,,,4.748416285081342,14.838543096304196,10.0,,Cs-F-N-Ta,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_00617,True,a3v4-parc-release-0014,14,v4a_strict_exact_K100,top_from_formal_PARC_release,21,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.670068157375876,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1553.cif,26fdece26389322848dc52afdc13587710daa517424d4d12379d3dd836b390ef,Y5 Tm1 Se6,,,4.670068157375876,14.838543096304196,10.0,,Se-Tm-Y,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_02532,True,a3v4-parc-release-0015,15,v4a_strict_exact_K100,top_from_formal_PARC_release,22,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.625168105288015,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_271.cif,e9bf570f9724ffb801483fed35f8182b1ca486ff7f90822a2db08f1b5581f02b,Ho2 Zr1 Ti1 O7,,,4.625168105288015,14.838543096304196,10.0,,Ho-O-Ti-Zr,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_02616,True,a3v4-parc-release-0016,16,v4a_strict_exact_K100,top_from_formal_PARC_release,23,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.594570422277843,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_347.cif,790d9ec7825acc559a1ff167cecf382f8570c25cdb7fbf4643bc5d143ac854eb,Sm1 Ta1 Al1 O6,,,4.594570422277843,14.838543096304196,10.0,,Al-O-Sm-Ta,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_02280,True,a3v4-parc-release-0017,17,v4a_strict_exact_K100,top_from_formal_PARC_release,24,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.581443085513253,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_1538.cif,bc41f0c043e8ec3cab3b0bd8a63912872f7e3b9c6dfd253deefbd95987b09f1f,Ce1 Y12 In5,,,4.581443085513253,14.838543096304196,10.0,,Ce-In-Y,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_03350,True,a3v4-parc-release-0018,18,v4a_strict_exact_K100,top_from_formal_PARC_release,25,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.580253773635214,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard2_gen_1006.cif,7ca0863cbc2f9b49e5d1a3fd5cb3a3e740f2f503cbbbdba044bb394477befabe,Mg2 Cr4 O8,,,4.580253773635214,14.838543096304196,10.0,,Cr-Mg-O,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_00015,True,a3v4-parc-release-0019,19,v4a_strict_exact_K100,top_from_formal_PARC_release,27,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.53803007053428,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1010.cif,938ea19e895427dff91dac375021ee874f4914b7870c493597e304bd2715b57c,La1 Ta2 Re1 O10,,,4.53803007053428,14.838543096304196,10.0,,La-O-Re-Ta,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_02732,True,a3v4-parc-release-0020,20,v4a_strict_exact_K100,top_from_formal_PARC_release,28,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.449729052484876,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_451.cif,dc505d76461a2ae3e56d6f45a3624063a307877fc006054505c17754993305f6,Ta3 Mo5,,,4.449729052484876,14.838543096304196,10.0,,Mo-Ta,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_01167,True,a3v4-parc-release-0021,21,v4a_strict_exact_K100,top_from_formal_PARC_release,29,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.448973172868039,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_537.cif,a747a5e335670764dbf0aeab594b969c188f8d43011e9d83f75eccb4ed34daa9,Y7 Er1 Sc2,,,4.448973172868039,14.838543096304196,10.0,,Er-Sc-Y,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_01348,True,a3v4-parc-release-0022,22,v4a_strict_exact_K100,top_from_formal_PARC_release,31,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.354056286393615,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_70.cif,f4aec6d4f467255e679aa6c3f8210d8ac9f99e8e55d8d99539710c14d074a13d,Tm6 Ta1 O12,,,4.354056286393615,14.838543096304196,10.0,,O-Ta-Tm,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_03961,True,a3v4-parc-release-0023,23,v4a_strict_exact_K100,top_from_formal_PARC_release,32,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.349224473727484,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard2_gen_1557.cif,a0bf0ff120f9e59894316da4a919c410294b9935b142dfd46be4651223cc2f06,Ta2 Pd2 Ru2,,,4.349224473727484,14.838543096304196,10.0,,Pd-Ru-Ta,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_02736,True,a3v4-parc-release-0024,24,v4a_strict_exact_K100,top_from_formal_PARC_release,33,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.3285389983894325,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_455.cif,3983e2c84d654ca92fe6830385831d82e6cf1eb04e0a87a5570954288ef6b26f,Ca2 Ta4 Nb1 N8,,,4.3285389983894325,14.838543096304196,10.0,,Ca-N-Nb-Ta,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_03017,True,a3v4-parc-release-0025,25,v4a_strict_exact_K100,top_from_formal_PARC_release,34,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.325765620006003,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_708.cif,73f47c53ec643c98d3ea5ffc9e625886b3f4ab97cb1aa32cd05e9207948e6d63,Y6 Ho2 C4,,,4.325765620006003,14.838543096304196,10.0,,C-Ho-Y,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_00053,True,a3v4-parc-release-0026,26,v4a_strict_exact_K100,top_from_formal_PARC_release,35,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.298331514126909,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1045.cif,83591bd4cfd3c684b631c36fd047909ddf194a49a57900d1df94045324805622,Y4 Zn1 Ir2,,,4.298331514126909,14.838543096304196,10.0,,Ir-Y-Zn,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_03034,True,a3v4-parc-release-0027,27,v4a_strict_exact_K100,top_from_formal_PARC_release,36,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.26466445543654,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_723.cif,661598c63c5107145e276dad68644372c42fdbc0aefa0815b1e23ee0379ebe36,Y8 Bi4 C2,,,4.26466445543654,14.838543096304196,10.0,,Bi-C-Y,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_03634,True,a3v4-parc-release-0028,28,v4a_strict_exact_K100,top_from_formal_PARC_release,38,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.240164937598381,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard2_gen_1262.cif,523ace370d9bd47b7beedac747aa73f15f8eddef325bdbb8dc2a38d9dee05c23,Y9 Ga5 Sn2,,,4.240164937598381,14.838543096304196,10.0,,Ga-Sn-Y,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_04560,True,a3v4-parc-release-0029,29,v4a_strict_exact_K100,top_from_formal_PARC_release,40,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.215990943293832,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard2_gen_602.cif,7815abc5a486c013cda776778ab0240bc9c0786a42dfc6998c6af755fc2b29a1,Y3 Er1 N4,,,4.215990943293832,14.838543096304196,10.0,,Er-N-Y,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_04183,True,a3v4-parc-release-0030,30,v4a_strict_exact_K100,top_from_formal_PARC_release,43,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.171452753118363,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard2_gen_263.cif,0f60d0cc3bc6c54a4cb27e70a5c1b1028bec45d9952efb17dcfbc0bb9b4e7141,Ta2 Nb2 W2,,,4.171452753118363,14.838543096304196,10.0,,Nb-Ta-W,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_03054,True,a3v4-parc-release-0031,31,v4a_strict_exact_K100,top_from_formal_PARC_release,45,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.154569775457872,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_741.cif,bc3f68f7b1d7bc29aed6a385e3f6ffbb143ae3f8e63d1736fd4edc526463aeac,Na1 Y5 Tl2,,,4.154569775457872,14.838543096304196,10.0,,Na-Tl-Y,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_04321,True,a3v4-parc-release-0032,32,v4a_strict_exact_K100,top_from_formal_PARC_release,46,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.14004851067442,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard2_gen_388.cif,504f01ad536612568d9d11ce4ffabccd084fd8d0cf8ba7d33c798a36e19768a8,Ca1 Ho2 Ta1 N4,,,4.14004851067442,14.838543096304196,10.0,,Ca-Ho-N-Ta,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_00138,True,a3v4-parc-release-0033,33,v4a_strict_exact_K100,top_from_formal_PARC_release,47,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.119761201729927,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1121.cif,18cfce98b9d5d109f5580d00783a6545e844a9fcc60fdbc3824faddf9a5c1e28,Y6 Te2 Pb4,,,4.119761201729927,14.838543096304196,10.0,,Pb-Te-Y,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_02142,True,a3v4-parc-release-0034,34,v4a_strict_exact_K100,top_from_formal_PARC_release,48,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.09742414365095,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_1413.cif,27f472225206d78db9689679ada3e644257be3ac008a29ff0622fe277b27e43d,Li1 Cr1 O2,,,4.09742414365095,14.838543096304196,10.0,,Cr-Li-O,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_00682,True,a3v4-parc-release-0035,35,v4a_strict_exact_K100,top_from_formal_PARC_release,49,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.069712556693701,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1611.cif,99a164881c82fccdf2c832a206c361f97dfe98a82ad2bfacce6088e9fa32457c,Cs1 Ba1 Ta1 Nb1 O7,,,4.069712556693701,14.838543096304196,10.0,,Ba-Cs-Nb-O-Ta,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_02746,True,a3v4-parc-release-0036,36,v4a_strict_exact_K100,top_from_formal_PARC_release,51,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.057650611219368,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_464.cif,7f184159194eb2a6a84e27165ccf811a35211ca9a407f4aff6e0e4664d1b951b,Ta2 Cu2 Ni2,,,4.057650611219368,14.838543096304196,10.0,,Cu-Ni-Ta,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_01844,True,a3v4-parc-release-0037,37,v4a_strict_exact_K100,top_from_formal_PARC_release,52,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.046403213275749,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_1145.cif,48562ad28ef679797dc99377b52de8dff1ff5d0b93ec09ab731b72ffcacc8d9d,Cs3 Cr2 F10,,,4.046403213275749,14.838543096304196,10.0,,Cr-Cs-F,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_01472,True,a3v4-parc-release-0038,38,v4a_strict_exact_K100,top_from_formal_PARC_release,53,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.021921662301351,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_811.cif,89ce4e84ea5b401e75f89d69320fcdba6c6de7981cbf5fe744e50915c73e710c,Tm1 Ta1 Al2 O8,,,4.021921662301351,14.838543096304196,10.0,,Al-O-Ta-Tm,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_00729,True,a3v4-parc-release-0039,39,v4a_strict_exact_K100,top_from_formal_PARC_release,54,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,3.991643280212725,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1654.cif,754d979c63f7a7f1609cf7ccf0c4375c9dee89071fde74b9e92ff5a26e5c6783,Y6 Ho2 Tm2 Mg2,,,3.991643280212725,14.838543096304196,10.0,,Ho-Mg-Tm-Y,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_00981,True,a3v4-parc-release-0040,40,v4a_strict_exact_K100,top_from_formal_PARC_release,55,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,3.991037674163592,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_37.cif,65ddc022519509b20b44cf1c259915e26abdeb03760393ed33502d2d416c1b7e,Y4 Tm1 Cd1 S8,,,3.991037674163592,14.838543096304196,10.0,,Cd-S-Tm-Y,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_00537,False,,41,v4a_strict_exact_K100,top_from_formal_PARC_release,56,True,True,1,formal_selection_frozen_before_DFT_outcomes,reserve,3.98906666764112,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1481.cif,9240fb1cb5c48cf5f196d605c1a29507468eb081a7d7ad2900aadd894bafb715,La1 Tb1 Y5 Sc1,,,3.98906666764112,14.838543096304196,10.0,,La-Sc-Tb-Y,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_02054,False,,42,v4a_strict_exact_K100,top_from_formal_PARC_release,57,True,True,2,formal_selection_frozen_before_DFT_outcomes,reserve,3.9375023593711127,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_1334.cif,98e068361b1af2ad27ae5b44eeb30b44e8ef0db0bac2d5d1425cd0833da9f4c9,Cr2 Ni1 Ru1 N1,,,3.9375023593711127,14.838543096304196,10.0,,Cr-N-Ni-Ru,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_02053,False,,43,v4a_strict_exact_K100,top_from_formal_PARC_release,58,True,True,3,formal_selection_frozen_before_DFT_outcomes,reserve,3.9162017856377767,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_1333.cif,9a60c7685ec4f64a871d41499401fdd99b87cd7976dea891f9ffc2925c60af94,Cs2 Sr1 Sm3 F12,,,3.9162017856377767,14.838543096304196,10.0,,Cs-F-Sm-Sr,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_01841,False,,44,v4a_strict_exact_K100,top_from_formal_PARC_release,59,True,True,4,formal_selection_frozen_before_DFT_outcomes,reserve,3.914546569444088,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_1142.cif,73cd3e31d01a45a0e3f03b522731431799c5cdaeb89fca15af1c7a0cee66938d,Ta3 Ti2 Mo4,,,3.914546569444088,14.838543096304196,10.0,,Mo-Ta-Ti,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_01919,False,,45,v4a_strict_exact_K100,top_from_formal_PARC_release,60,True,True,5,formal_selection_frozen_before_DFT_outcomes,reserve,3.884378338960536,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_1212.cif,2b32bd1e5d5a6c3569cda128627c38273be53474954d39e714c65058c4b311e5,Er5 Sc3 O12,,,3.884378338960536,14.838543096304196,10.0,,Er-O-Sc,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_03442,False,,46,v4a_strict_exact_K100,top_from_formal_PARC_release,61,True,True,6,formal_selection_frozen_before_DFT_outcomes,reserve,3.883673880485215,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard2_gen_109.cif,1b7e950de304ddc9b77e0ba3e45c997ae16b9ecd8babc6ebefeb80ced257ed1d,Y5 Tl3 Hg1,,,3.883673880485215,14.838543096304196,10.0,,Hg-Tl-Y,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_02287,False,,47,v4a_strict_exact_K100,top_from_formal_PARC_release,62,True,True,7,formal_selection_frozen_before_DFT_outcomes,reserve,3.881788568447906,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_1544.cif,8b7bab0a1d2455abcd7fb05feadd06348e32d826371d29a48ef40a077de4d32f,Y2 H2 Se1,,,3.881788568447906,14.838543096304196,10.0,,H-Se-Y,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_00594,False,,48,v4a_strict_exact_K100,top_from_formal_PARC_release,63,True,True,8,formal_selection_frozen_before_DFT_outcomes,reserve,3.875660085005771,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1532.cif,af46fbed14473b1a5d7ac819fe281253899a69a5128bdf7dc39a5b390fedc88f,Y4 H1 I5,,,3.875660085005771,14.838543096304196,10.0,,H-I-Y,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
