case_type,dataset,video_id,path_id,query,score,label,verified_positive_for_calibration,rationale,visual_asset_ref,visual_asset_status,paper_use
uncertain,OVT-B,41,ovtb_v41_p002446,,,uncertain,no,kept conservative and never used as verified positive,,missing_visual_asset,qualitative_candidate_pool
uncertain,OVT-B,38,ovtb_v38_p002304,,,uncertain,no,kept conservative and never used as verified positive,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v38_p002304.jpg,public_manifest_reference,qualitative_candidate_pool
uncertain,OVT-B,876,ovtb_v876_p008448,,,uncertain,no,kept conservative and never used as verified positive,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v876_p008448.jpg,public_manifest_reference,qualitative_candidate_pool
uncertain,OVT-B,39,ovtb_v39_p002365,,,uncertain,no,kept conservative and never used as verified positive,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v39_p002365.jpg,public_manifest_reference,qualitative_candidate_pool
uncertain,OVT-B,317,ovtb_v317_p004443,,,uncertain,no,kept conservative and never used as verified positive,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v317_p004443.jpg,public_manifest_reference,qualitative_candidate_pool
uncertain,OVT-B,206,ovtb_v206_p003537,,,uncertain,no,kept conservative and never used as verified positive,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v206_p003537.jpg,public_manifest_reference,qualitative_candidate_pool
uncertain,OVT-B,600,ovtb_v600_p006379,,,uncertain,no,kept conservative and never used as verified positive,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v600_p006379.jpg,public_manifest_reference,qualitative_candidate_pool
actually_false,OVT-B,130,ovtb_v130_p003147,,,actually_false,no,false tracklet that should not be released,,missing_visual_asset,qualitative_candidate_pool
actually_false,OVT-B,130,ovtb_v130_p003148,,,actually_false,no,false tracklet that should not be released,,missing_visual_asset,qualitative_candidate_pool
actually_false,OVT-B,61,ovtb_v61_p002740,,,actually_false,no,false tracklet that should not be released,,missing_visual_asset,qualitative_candidate_pool
actually_false,OVT-B,81,ovtb_v81_p002855,,,actually_false,no,false tracklet that should not be released,,missing_visual_asset,qualitative_candidate_pool
actually_false,OVT-B,241,ovtb_v241_p003843,,,actually_false,no,false tracklet that should not be released,,missing_visual_asset,qualitative_candidate_pool
actually_false,OVT-B,206,ovtb_v206_p003543,,,actually_false,no,false tracklet that should not be released,,missing_visual_asset,qualitative_candidate_pool
actually_false,OVT-B,247,ovtb_v247_p003883,,,actually_false,no,false tracklet that should not be released,,missing_visual_asset,qualitative_candidate_pool
actually_false,OVT-B,190,ovtb_v190_p003462,,,actually_false,no,false tracklet that should not be released,,missing_visual_asset,qualitative_candidate_pool
high_score_topM_parc_refusal_candidate,OVT-B,969,ovtb_v969_p022235,computer box,0.9286273941397668,actually_true,yes,high-score stress candidate used to explain certified refusal,<PARC_ROOT>/outputs/phase4_owlv2_top_audit/montages/OVTB_ovtb_v969_p022235.jpg,public_manifest_reference,qualitative_candidate_pool
high_score_topM_parc_refusal_candidate,TAO,594,ovtb_v594_p003280,pumpkin,0.9278195897738138,actually_true,yes,high-score stress candidate used to explain certified refusal,<PARC_ROOT>/outputs/phase4_owlv2_top_audit/montages/TAO_ovtb_v594_p003280.jpg,public_manifest_reference,qualitative_candidate_pool
high_score_topM_parc_refusal_candidate,TAO,5294,ovtb_v5294_p050739,giraffe,0.9170736968517303,actually_true,yes,high-score stress candidate used to explain certified refusal,<PARC_ROOT>/outputs/phase4_owlv2_top_audit/montages/TAO_ovtb_v5294_p050739.jpg,public_manifest_reference,qualitative_candidate_pool
high_score_topM_parc_refusal_candidate,OVT-B,717,ovtb_v717_p017044,protractor,0.9237845912575722,actually_true,yes,high-score stress candidate used to explain certified refusal,<PARC_ROOT>/outputs/phase4_owlv2_top_audit/montages/OVTB_ovtb_v717_p017044.jpg,public_manifest_reference,qualitative_candidate_pool
high_score_topM_parc_refusal_candidate,TAO,4836,ovtb_v4836_p045980,heron,0.911282166838646,actually_true,yes,high-score stress candidate used to explain certified refusal,<PARC_ROOT>/outputs/phase4_owlv2_top_audit/montages/TAO_ovtb_v4836_p045980.jpg,public_manifest_reference,qualitative_candidate_pool
high_score_topM_parc_refusal_candidate,OVT-B,1162,ovtb_v1162_p026352,oboe,0.923184260725975,actually_true,yes,high-score stress candidate used to explain certified refusal,<PARC_ROOT>/outputs/phase4_owlv2_top_audit/montages/OVTB_ovtb_v1162_p026352.jpg,public_manifest_reference,qualitative_candidate_pool
high_score_topM_parc_refusal_candidate,OVT-B,1392,ovtb_v1392_p030622,bird,0.917807474732399,actually_true,yes,high-score stress candidate used to explain certified refusal,<PARC_ROOT>/outputs/phase4_owlv2_top_audit/montages/OVTB_ovtb_v1392_p030622.jpg,public_manifest_reference,qualitative_candidate_pool
high_score_topM_parc_refusal_candidate,TAO,1874,ovtb_v1874_p012961,lion,0.9108800888061525,actually_true,yes,high-score stress candidate used to explain certified refusal,<PARC_ROOT>/outputs/phase4_owlv2_top_audit/montages/TAO_ovtb_v1874_p012961.jpg,public_manifest_reference,qualitative_candidate_pool
PARC_certified_release,OVT-B,800,ovtb_v800_p007871,woodpecker,0.9352359622716904,certified_release,,candidate selected by self-consistent certified release,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v800_p007871.jpg,public_manifest_reference,qualitative_candidate_pool
PARC_certified_release,OVT-B,342,ovtb_v342_p004580,sunglasses,0.9201071858406068,certified_release,,candidate selected by self-consistent certified release,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v342_p004580.jpg,public_manifest_reference,qualitative_candidate_pool
PARC_certified_release,OVT-B,179,ovtb_v179_p003418,person,0.9143435582518578,certified_release,,candidate selected by self-consistent certified release,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v179_p003418.jpg,public_manifest_reference,qualitative_candidate_pool
PARC_certified_release,OVT-B,342,ovtb_v342_p004579,sunglasses,0.9125274845532008,certified_release,,candidate selected by self-consistent certified release,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v342_p004579.jpg,public_manifest_reference,qualitative_candidate_pool
PARC_certified_release,OVT-B,678,ovtb_v678_p006989,person,0.9092995268957956,certified_release,,candidate selected by self-consistent certified release,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v678_p006989.jpg,public_manifest_reference,qualitative_candidate_pool
PARC_certified_release,OVT-B,827,ovtb_v827_p008082,coffee maker,0.9070333689451218,certified_release,,candidate selected by self-consistent certified release,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v827_p008082.jpg,public_manifest_reference,qualitative_candidate_pool
PARC_certified_release,OVT-B,541,ovtb_v541_p005916,person,0.9061993435025216,certified_release,,candidate selected by self-consistent certified release,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v541_p005916.jpg,public_manifest_reference,qualitative_candidate_pool
PARC_certified_release,OVT-B,682,ovtb_v682_p007020,person,0.9047021120786668,certified_release,,candidate selected by self-consistent certified release,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v682_p007020.jpg,public_manifest_reference,qualitative_candidate_pool
