dataset,task,detector,alpha1,seed,stratification_dimension,stratum,candidate_count,official_supported_count,official_support_rate,official_unmatched_rate,human_valid_count,human_valid_rate,certification_scope_count,released_proxy_count,refused_proxy_count,PARC_certified_release_rate,PARC_release_rate_within_scope,PARC_refusal_rate,audited_count,attribute_available,release_assignment,result_status
OVT-B,tracking,,0.1,1,motion_speed,medium,3115,2246,0.7210272873194221,0.27897271268057783,184,0.9108910891089109,46,0,46,0.0,0.0,1.0,202,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,1,motion_speed,slow,3116,1901,0.6100770218228498,0.3899229781771502,357,0.946949602122016,19,0,19,0.0,0.0,1.0,377,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,1,track_length,long,3115,2592,0.8321027287319422,0.16789727126805779,165,0.9269662921348315,109,0,109,0.0,0.0,1.0,178,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,1,track_length,medium,3115,2352,0.755056179775281,0.2449438202247191,133,0.9172413793103448,22,0,22,0.0,0.0,1.0,145,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,1,track_length,short,3116,1901,0.6100770218228498,0.3899229781771502,357,0.946949602122016,19,0,19,0.0,0.0,1.0,377,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,1,category_frequency,head,3115,2338,0.750561797752809,0.24943820224719102,221,0.9608695652173913,96,0,96,0.0,0.0,1.0,230,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,1,category_frequency,mid,3115,2308,0.7409309791332264,0.2590690208667737,219,0.9399141630901288,21,0,21,0.0,0.0,1.0,233,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,1,category_frequency,tail,3116,2199,0.7057124518613607,0.2942875481386393,215,0.9071729957805907,33,0,33,0.0,0.0,1.0,237,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,2,object_size,large,3115,2506,0.8044943820224719,0.19550561797752808,154,0.9005847953216374,91,0,91,0.0,0.0,1.0,171,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,2,object_size,medium,3115,2362,0.7582664526484751,0.24173354735152489,191,0.9455445544554455,40,0,40,0.0,0.0,1.0,202,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,2,object_size,small,3116,1977,0.6344672657252889,0.36553273427471117,310,0.9480122324159022,19,0,19,0.0,0.0,1.0,327,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,2,occlusion_level,attribute_unavailable,9346,6845,0.7323988872244811,0.26760111277551896,655,0.9357142857142857,150,0,150,0.0,0.0,1.0,700,False,rank_proxy_from_certified_release_count,attribute_unavailable
OVT-B,tracking,,0.1,2,motion_speed,fast,3115,2698,0.866131621187801,0.13386837881219904,114,0.9421487603305785,85,0,85,0.0,0.0,1.0,121,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,2,motion_speed,medium,3115,2246,0.7210272873194221,0.27897271268057783,184,0.9108910891089109,46,0,46,0.0,0.0,1.0,202,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,2,motion_speed,slow,3116,1901,0.6100770218228498,0.3899229781771502,357,0.946949602122016,19,0,19,0.0,0.0,1.0,377,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,2,track_length,long,3115,2592,0.8321027287319422,0.16789727126805779,165,0.9269662921348315,109,0,109,0.0,0.0,1.0,178,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,2,track_length,medium,3115,2352,0.755056179775281,0.2449438202247191,133,0.9172413793103448,22,0,22,0.0,0.0,1.0,145,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,2,track_length,short,3116,1901,0.6100770218228498,0.3899229781771502,357,0.946949602122016,19,0,19,0.0,0.0,1.0,377,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,2,category_frequency,head,3115,2338,0.750561797752809,0.24943820224719102,221,0.9608695652173913,96,0,96,0.0,0.0,1.0,230,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,2,category_frequency,mid,3115,2308,0.7409309791332264,0.2590690208667737,219,0.9399141630901288,21,0,21,0.0,0.0,1.0,233,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,2,category_frequency,tail,3116,2199,0.7057124518613607,0.2942875481386393,215,0.9071729957805907,33,0,33,0.0,0.0,1.0,237,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,0,object_size,large,3115,2506,0.8044943820224719,0.19550561797752808,154,0.9005847953216374,91,91,0,0.029213483146067417,1.0,0.0,171,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,0,object_size,medium,3115,2362,0.7582664526484751,0.24173354735152489,191,0.9455445544554455,40,40,0,0.012841091492776886,1.0,0.0,202,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,0,object_size,small,3116,1977,0.6344672657252889,0.36553273427471117,310,0.9480122324159022,19,19,0,0.006097560975609756,1.0,0.0,327,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,0,occlusion_level,attribute_unavailable,9346,6845,0.7323988872244811,0.26760111277551896,655,0.9357142857142857,150,150,0,0.016049646907768028,1.0,0.0,700,False,rank_proxy_from_certified_release_count,attribute_unavailable
OVT-B,tracking,,0.2,0,motion_speed,fast,3115,2698,0.866131621187801,0.13386837881219904,114,0.9421487603305785,85,85,0,0.027287319422150885,1.0,0.0,121,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,0,motion_speed,medium,3115,2246,0.7210272873194221,0.27897271268057783,184,0.9108910891089109,46,46,0,0.014767255216693418,1.0,0.0,202,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,0,motion_speed,slow,3116,1901,0.6100770218228498,0.3899229781771502,357,0.946949602122016,19,19,0,0.006097560975609756,1.0,0.0,377,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,0,track_length,long,3115,2592,0.8321027287319422,0.16789727126805779,165,0.9269662921348315,109,109,0,0.03499197431781702,1.0,0.0,178,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,0,track_length,medium,3115,2352,0.755056179775281,0.2449438202247191,133,0.9172413793103448,22,22,0,0.007062600321027288,1.0,0.0,145,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,0,track_length,short,3116,1901,0.6100770218228498,0.3899229781771502,357,0.946949602122016,19,19,0,0.006097560975609756,1.0,0.0,377,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,0,category_frequency,head,3115,2338,0.750561797752809,0.24943820224719102,221,0.9608695652173913,96,96,0,0.030818619582664526,1.0,0.0,230,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,0,category_frequency,mid,3115,2308,0.7409309791332264,0.2590690208667737,219,0.9399141630901288,21,21,0,0.006741573033707865,1.0,0.0,233,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,0,category_frequency,tail,3116,2199,0.7057124518613607,0.2942875481386393,215,0.9071729957805907,33,33,0,0.010590500641848523,1.0,0.0,237,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,1,object_size,large,3115,2506,0.8044943820224719,0.19550561797752808,154,0.9005847953216374,91,91,0,0.029213483146067417,1.0,0.0,171,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,1,object_size,medium,3115,2362,0.7582664526484751,0.24173354735152489,191,0.9455445544554455,40,40,0,0.012841091492776886,1.0,0.0,202,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,1,object_size,small,3116,1977,0.6344672657252889,0.36553273427471117,310,0.9480122324159022,19,19,0,0.006097560975609756,1.0,0.0,327,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,1,occlusion_level,attribute_unavailable,9346,6845,0.7323988872244811,0.26760111277551896,655,0.9357142857142857,150,150,0,0.016049646907768028,1.0,0.0,700,False,rank_proxy_from_certified_release_count,attribute_unavailable
OVT-B,tracking,,0.2,1,motion_speed,fast,3115,2698,0.866131621187801,0.13386837881219904,114,0.9421487603305785,85,85,0,0.027287319422150885,1.0,0.0,121,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,1,motion_speed,medium,3115,2246,0.7210272873194221,0.27897271268057783,184,0.9108910891089109,46,46,0,0.014767255216693418,1.0,0.0,202,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,1,motion_speed,slow,3116,1901,0.6100770218228498,0.3899229781771502,357,0.946949602122016,19,19,0,0.006097560975609756,1.0,0.0,377,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,1,track_length,long,3115,2592,0.8321027287319422,0.16789727126805779,165,0.9269662921348315,109,109,0,0.03499197431781702,1.0,0.0,178,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,1,track_length,medium,3115,2352,0.755056179775281,0.2449438202247191,133,0.9172413793103448,22,22,0,0.007062600321027288,1.0,0.0,145,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,1,track_length,short,3116,1901,0.6100770218228498,0.3899229781771502,357,0.946949602122016,19,19,0,0.006097560975609756,1.0,0.0,377,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,1,category_frequency,head,3115,2338,0.750561797752809,0.24943820224719102,221,0.9608695652173913,96,96,0,0.030818619582664526,1.0,0.0,230,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,1,category_frequency,mid,3115,2308,0.7409309791332264,0.2590690208667737,219,0.9399141630901288,21,21,0,0.006741573033707865,1.0,0.0,233,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,1,category_frequency,tail,3116,2199,0.7057124518613607,0.2942875481386393,215,0.9071729957805907,33,33,0,0.010590500641848523,1.0,0.0,237,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,2,object_size,large,3115,2506,0.8044943820224719,0.19550561797752808,154,0.9005847953216374,91,0,91,0.0,0.0,1.0,171,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,2,object_size,medium,3115,2362,0.7582664526484751,0.24173354735152489,191,0.9455445544554455,40,0,40,0.0,0.0,1.0,202,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,2,object_size,small,3116,1977,0.6344672657252889,0.36553273427471117,310,0.9480122324159022,19,0,19,0.0,0.0,1.0,327,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,2,occlusion_level,attribute_unavailable,9346,6845,0.7323988872244811,0.26760111277551896,655,0.9357142857142857,150,0,150,0.0,0.0,1.0,700,False,rank_proxy_from_certified_release_count,attribute_unavailable
OVT-B,tracking,,0.2,2,motion_speed,fast,3115,2698,0.866131621187801,0.13386837881219904,114,0.9421487603305785,85,0,85,0.0,0.0,1.0,121,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,2,motion_speed,medium,3115,2246,0.7210272873194221,0.27897271268057783,184,0.9108910891089109,46,0,46,0.0,0.0,1.0,202,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,2,motion_speed,slow,3116,1901,0.6100770218228498,0.3899229781771502,357,0.946949602122016,19,0,19,0.0,0.0,1.0,377,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,2,track_length,long,3115,2592,0.8321027287319422,0.16789727126805779,165,0.9269662921348315,109,0,109,0.0,0.0,1.0,178,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,2,track_length,medium,3115,2352,0.755056179775281,0.2449438202247191,133,0.9172413793103448,22,0,22,0.0,0.0,1.0,145,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,2,track_length,short,3116,1901,0.6100770218228498,0.3899229781771502,357,0.946949602122016,19,0,19,0.0,0.0,1.0,377,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,2,category_frequency,head,3115,2338,0.750561797752809,0.24943820224719102,221,0.9608695652173913,96,0,96,0.0,0.0,1.0,230,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,2,category_frequency,mid,3115,2308,0.7409309791332264,0.2590690208667737,219,0.9399141630901288,21,0,21,0.0,0.0,1.0,233,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.2,2,category_frequency,tail,3116,2199,0.7057124518613607,0.2942875481386393,215,0.9071729957805907,33,0,33,0.0,0.0,1.0,237,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,0,object_size,large,4447,3347,0.7526422307173375,0.24735776928266248,143,0.9470198675496688,67,0,67,0.0,0.0,1.0,151,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,0,object_size,medium,4447,2556,0.5747695075331685,0.4252304924668316,254,0.9769230769230769,55,0,55,0.0,0.0,1.0,260,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,0,object_size,small,4448,1859,0.41794064748201437,0.5820593525179856,288,0.9965397923875432,28,0,28,0.0,0.0,1.0,289,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,0,occlusion_level,attribute_unavailable,13342,7762,0.581771848298606,0.4182281517013941,685,0.9785714285714285,150,0,150,0.0,0.0,1.0,700,False,rank_proxy_from_certified_release_count,attribute_unavailable
TAO,tracking,,0.1,0,motion_speed,fast,4447,3480,0.7825500337306049,0.21744996626939508,120,0.9230769230769231,59,0,59,0.0,0.0,1.0,130,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,0,motion_speed,medium,4447,1731,0.3892511805711716,0.6107488194288284,229,0.9786324786324786,7,0,7,0.0,0.0,1.0,234,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,0,motion_speed,slow,4448,2551,0.5735161870503597,0.4264838129496403,336,1.0,84,0,84,0.0,0.0,1.0,336,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,0,track_length,long,4447,3209,0.7216100742073308,0.2783899257926692,135,0.9310344827586207,54,0,54,0.0,0.0,1.0,145,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,0,track_length,medium,4447,2002,0.4501911400944457,0.5498088599055543,214,0.9771689497716894,12,0,12,0.0,0.0,1.0,219,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,0,track_length,short,4448,2551,0.5735161870503597,0.4264838129496403,336,1.0,84,0,84,0.0,0.0,1.0,336,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,0,category_frequency,head,4447,2678,0.6022037328536092,0.3977962671463908,170,1.0,0,0,0,0.0,,,170,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,0,category_frequency,mid,4447,2639,0.5934337755790421,0.40656622442095797,249,0.950381679389313,95,0,95,0.0,0.0,1.0,262,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,0,category_frequency,tail,4448,2445,0.5496852517985612,0.45031474820143885,266,0.9925373134328358,55,0,55,0.0,0.0,1.0,268,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,1,object_size,large,4447,3347,0.7526422307173375,0.24735776928266248,143,0.9470198675496688,67,0,67,0.0,0.0,1.0,151,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,1,object_size,medium,4447,2556,0.5747695075331685,0.4252304924668316,254,0.9769230769230769,55,0,55,0.0,0.0,1.0,260,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,1,object_size,small,4448,1859,0.41794064748201437,0.5820593525179856,288,0.9965397923875432,28,0,28,0.0,0.0,1.0,289,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,1,occlusion_level,attribute_unavailable,13342,7762,0.581771848298606,0.4182281517013941,685,0.9785714285714285,150,0,150,0.0,0.0,1.0,700,False,rank_proxy_from_certified_release_count,attribute_unavailable
TAO,tracking,,0.1,1,motion_speed,fast,4447,3480,0.7825500337306049,0.21744996626939508,120,0.9230769230769231,59,0,59,0.0,0.0,1.0,130,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,1,motion_speed,medium,4447,1731,0.3892511805711716,0.6107488194288284,229,0.9786324786324786,7,0,7,0.0,0.0,1.0,234,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,1,motion_speed,slow,4448,2551,0.5735161870503597,0.4264838129496403,336,1.0,84,0,84,0.0,0.0,1.0,336,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,1,track_length,long,4447,3209,0.7216100742073308,0.2783899257926692,135,0.9310344827586207,54,0,54,0.0,0.0,1.0,145,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,1,track_length,medium,4447,2002,0.4501911400944457,0.5498088599055543,214,0.9771689497716894,12,0,12,0.0,0.0,1.0,219,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,1,track_length,short,4448,2551,0.5735161870503597,0.4264838129496403,336,1.0,84,0,84,0.0,0.0,1.0,336,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,1,category_frequency,head,4447,2678,0.6022037328536092,0.3977962671463908,170,1.0,0,0,0,0.0,,,170,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,1,category_frequency,mid,4447,2639,0.5934337755790421,0.40656622442095797,249,0.950381679389313,95,0,95,0.0,0.0,1.0,262,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,1,category_frequency,tail,4448,2445,0.5496852517985612,0.45031474820143885,266,0.9925373134328358,55,0,55,0.0,0.0,1.0,268,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,2,object_size,large,4447,3347,0.7526422307173375,0.24735776928266248,143,0.9470198675496688,67,0,67,0.0,0.0,1.0,151,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,2,object_size,medium,4447,2556,0.5747695075331685,0.4252304924668316,254,0.9769230769230769,55,0,55,0.0,0.0,1.0,260,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,2,object_size,small,4448,1859,0.41794064748201437,0.5820593525179856,288,0.9965397923875432,28,0,28,0.0,0.0,1.0,289,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,2,occlusion_level,attribute_unavailable,13342,7762,0.581771848298606,0.4182281517013941,685,0.9785714285714285,150,0,150,0.0,0.0,1.0,700,False,rank_proxy_from_certified_release_count,attribute_unavailable
TAO,tracking,,0.1,2,motion_speed,fast,4447,3480,0.7825500337306049,0.21744996626939508,120,0.9230769230769231,59,0,59,0.0,0.0,1.0,130,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,2,motion_speed,medium,4447,1731,0.3892511805711716,0.6107488194288284,229,0.9786324786324786,7,0,7,0.0,0.0,1.0,234,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,2,motion_speed,slow,4448,2551,0.5735161870503597,0.4264838129496403,336,1.0,84,0,84,0.0,0.0,1.0,336,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,2,track_length,long,4447,3209,0.7216100742073308,0.2783899257926692,135,0.9310344827586207,54,0,54,0.0,0.0,1.0,145,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,2,track_length,medium,4447,2002,0.4501911400944457,0.5498088599055543,214,0.9771689497716894,12,0,12,0.0,0.0,1.0,219,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,2,track_length,short,4448,2551,0.5735161870503597,0.4264838129496403,336,1.0,84,0,84,0.0,0.0,1.0,336,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,2,category_frequency,head,4447,2678,0.6022037328536092,0.3977962671463908,170,1.0,0,0,0,0.0,,,170,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,2,category_frequency,mid,4447,2639,0.5934337755790421,0.40656622442095797,249,0.950381679389313,95,0,95,0.0,0.0,1.0,262,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.1,2,category_frequency,tail,4448,2445,0.5496852517985612,0.45031474820143885,266,0.9925373134328358,55,0,55,0.0,0.0,1.0,268,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.2,0,object_size,large,4447,3347,0.7526422307173375,0.24735776928266248,143,0.9470198675496688,67,67,0,0.015066336856307623,1.0,0.0,151,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.2,0,object_size,medium,4447,2556,0.5747695075331685,0.4252304924668316,254,0.9769230769230769,55,55,0,0.012367888464133123,1.0,0.0,260,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.2,0,object_size,small,4448,1859,0.41794064748201437,0.5820593525179856,288,0.9965397923875432,28,28,0,0.006294964028776978,1.0,0.0,289,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.2,0,occlusion_level,attribute_unavailable,13342,7762,0.581771848298606,0.4182281517013941,685,0.9785714285714285,150,150,0,0.011242692250037475,1.0,0.0,700,False,rank_proxy_from_certified_release_count,attribute_unavailable
TAO,tracking,,0.2,0,motion_speed,fast,4447,3480,0.7825500337306049,0.21744996626939508,120,0.9230769230769231,59,59,0,0.013267371261524623,1.0,0.0,130,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.2,0,motion_speed,medium,4447,1731,0.3892511805711716,0.6107488194288284,229,0.9786324786324786,7,7,0,0.0015740948954351248,1.0,0.0,234,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.2,0,motion_speed,slow,4448,2551,0.5735161870503597,0.4264838129496403,336,1.0,84,84,0,0.018884892086330936,1.0,0.0,336,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.2,0,track_length,long,4447,3209,0.7216100742073308,0.2783899257926692,135,0.9310344827586207,54,54,0,0.012143017764785248,1.0,0.0,145,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.2,0,track_length,medium,4447,2002,0.4501911400944457,0.5498088599055543,214,0.9771689497716894,12,12,0,0.0026984483921744995,1.0,0.0,219,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.2,0,track_length,short,4448,2551,0.5735161870503597,0.4264838129496403,336,1.0,84,84,0,0.018884892086330936,1.0,0.0,336,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.2,0,category_frequency,head,4447,2678,0.6022037328536092,0.3977962671463908,170,1.0,0,0,0,0.0,,,170,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.2,0,category_frequency,mid,4447,2639,0.5934337755790421,0.40656622442095797,249,0.950381679389313,95,95,0,0.021362716438048122,1.0,0.0,262,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.2,0,category_frequency,tail,4448,2445,0.5496852517985612,0.45031474820143885,266,0.9925373134328358,55,55,0,0.012365107913669064,1.0,0.0,268,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.2,1,object_size,large,4447,3347,0.7526422307173375,0.24735776928266248,143,0.9470198675496688,67,67,0,0.015066336856307623,1.0,0.0,151,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.2,1,object_size,medium,4447,2556,0.5747695075331685,0.4252304924668316,254,0.9769230769230769,55,55,0,0.012367888464133123,1.0,0.0,260,True,rank_proxy_from_certified_release_count,computed
TAO,tracking,,0.2,1,object_size,small,4448,1859,0.41794064748201437,0.5820593525179856,288,0.9965397923875432,28,28,0,0.006294964028776978,1.0,0.0,289,True,rank_proxy_from_certified_release_count,computed
