audit_item_id,ctc_dataset,sequence_id,frame_start,frame_end,source_image_path,source_frame_index,source_bbox_x,source_bbox_y,source_bbox_w,source_bbox_h,target_image_path,target_frame_index,target_bbox_x,target_bbox_y,target_bbox_w,target_bbox_h,ai_label,ai_confidence,ai_support_score,ai_reason,human_label,human_confidence,human_notes,human_accepts_ai_label
CTC-PHASE81-0022,Fluo-N2DL-HeLa,2,11,12,Fluo-N2DL-HeLa/02/t011,11,646,129,5,5,Fluo-N2DL-HeLa/02/t012,12,646,129,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0023,Fluo-N2DL-HeLa,2,48,49,Fluo-N2DL-HeLa/02/t048,48,607,331,5,5,Fluo-N2DL-HeLa/02/t049,49,607,331,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0024,Fluo-N2DL-HeLa,2,1,2,Fluo-N2DL-HeLa/02/t001,1,389,630,5,5,Fluo-N2DL-HeLa/02/t002,2,389,630,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0025,Fluo-N2DH-GOWT1,2,29,30,Fluo-N2DH-GOWT1/02/t029,29,218,370,42,37,Fluo-N2DH-GOWT1/02/t030,30,218,369,37,37,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0026,Fluo-N2DL-HeLa,2,52,53,Fluo-N2DL-HeLa/02/t052,52,488,84,3,3,Fluo-N2DL-HeLa/02/t053,53,488,84,3,3,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0027,Fluo-N2DL-HeLa,2,36,37,Fluo-N2DL-HeLa/02/t036,36,570,249,5,5,Fluo-N2DL-HeLa/02/t037,37,570,249,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0028,Fluo-N2DH-GOWT1,2,0,1,Fluo-N2DH-GOWT1/02/t000,0,788,773,55,57,Fluo-N2DH-GOWT1/02/t001,1,788,775,55,55,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0029,Fluo-N2DL-HeLa,2,13,14,Fluo-N2DL-HeLa/02/t013,13,454,627,5,5,Fluo-N2DL-HeLa/02/t014,14,454,627,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0030,Fluo-N2DL-HeLa,2,39,40,Fluo-N2DL-HeLa/02/t039,39,635,214,5,5,Fluo-N2DL-HeLa/02/t040,40,635,214,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0031,Fluo-N2DL-HeLa,2,50,51,Fluo-N2DL-HeLa/02/t050,50,774,76,5,5,Fluo-N2DL-HeLa/02/t051,51,774,76,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0032,PhC-C2DH-U373,2,47,48,PhC-C2DH-U373/02/t047,47,635,300,3,3,PhC-C2DH-U373/02/t048,48,635,299,3,3,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0033,Fluo-N2DL-HeLa,2,88,89,Fluo-N2DL-HeLa/02/t088,88,645,241,3,3,Fluo-N2DL-HeLa/02/t089,89,645,241,3,3,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0034,Fluo-N2DH-GOWT1,2,17,18,Fluo-N2DH-GOWT1/02/t017,17,599,671,40,39,Fluo-N2DH-GOWT1/02/t018,18,601,671,39,39,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0035,DIC-C2DH-HeLa,2,23,24,DIC-C2DH-HeLa/02/t023,23,87,44,19,19,DIC-C2DH-HeLa/02/t024,24,87,44,19,19,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0036,PhC-C2DH-U373,2,19,20,PhC-C2DH-U373/02/t019,19,597,449,11,11,PhC-C2DH-U373/02/t020,20,597,449,11,11,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0037,Fluo-N2DL-HeLa,2,30,31,Fluo-N2DL-HeLa/02/t030,30,623,101,5,5,Fluo-N2DL-HeLa/02/t031,31,623,101,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0038,PhC-C2DH-U373,2,45,46,PhC-C2DH-U373/02/t045,45,66,462,5,5,PhC-C2DH-U373/02/t046,46,57,446,5,5,unsupported,medium,0.2,large normalized displacement or substantial bbox-size change,,,,
CTC-PHASE81-0039,Fluo-N2DL-HeLa,2,16,17,Fluo-N2DL-HeLa/02/t016,16,581,89,5,5,Fluo-N2DL-HeLa/02/t017,17,581,89,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0040,Fluo-N2DL-HeLa,2,31,32,Fluo-N2DL-HeLa/02/t031,31,610,169,5,5,Fluo-N2DL-HeLa/02/t032,32,610,169,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0041,Fluo-N2DL-HeLa,2,46,47,Fluo-N2DL-HeLa/02/t046,46,923,659,5,5,Fluo-N2DL-HeLa/02/t047,47,923,659,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0042,Fluo-N2DL-HeLa,2,46,47,Fluo-N2DL-HeLa/02/t046,46,401,388,5,5,Fluo-N2DL-HeLa/02/t047,47,401,388,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0043,DIC-C2DH-HeLa,2,49,50,DIC-C2DH-HeLa/02/t049,49,206,176,19,19,DIC-C2DH-HeLa/02/t050,50,206,176,19,19,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0044,Fluo-N2DL-HeLa,2,46,47,Fluo-N2DL-HeLa/02/t046,46,678,667,5,5,Fluo-N2DL-HeLa/02/t047,47,678,667,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0045,Fluo-N2DH-GOWT1,2,63,64,Fluo-N2DH-GOWT1/02/t063,63,182,53,29,29,Fluo-N2DH-GOWT1/02/t064,64,184,53,29,29,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0046,Fluo-N2DL-HeLa,2,29,30,Fluo-N2DL-HeLa/02/t029,29,645,599,3,3,Fluo-N2DL-HeLa/02/t030,30,645,599,3,3,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0047,Fluo-N2DH-GOWT1,2,87,88,Fluo-N2DH-GOWT1/02/t087,87,761,621,33,34,Fluo-N2DH-GOWT1/02/t088,88,763,620,33,34,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0048,Fluo-N2DL-HeLa,2,18,19,Fluo-N2DL-HeLa/02/t018,18,759,381,5,5,Fluo-N2DL-HeLa/02/t019,19,759,381,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0049,PhC-C2DH-U373,2,56,57,PhC-C2DH-U373/02/t056,56,63,423,5,5,PhC-C2DH-U373/02/t057,57,53,430,5,5,uncertain,medium,0.5,geometry is plausible but displacement or size change needs human review,,,,
CTC-PHASE81-0050,Fluo-N2DL-HeLa,2,1,2,Fluo-N2DL-HeLa/02/t001,1,581,378,5,5,Fluo-N2DL-HeLa/02/t002,2,581,378,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0051,Fluo-N2DL-HeLa,2,48,49,Fluo-N2DL-HeLa/02/t048,48,813,457,5,5,Fluo-N2DL-HeLa/02/t049,49,813,457,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0052,PhC-C2DH-U373,2,72,73,PhC-C2DH-U373/02/t072,72,73,246,9,9,PhC-C2DH-U373/02/t073,73,73,246,9,9,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0053,Fluo-N2DL-HeLa,2,27,28,Fluo-N2DL-HeLa/02/t027,27,754,94,5,5,Fluo-N2DL-HeLa/02/t028,28,754,94,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0054,Fluo-N2DL-HeLa,2,39,40,Fluo-N2DL-HeLa/02/t039,39,561,392,5,5,Fluo-N2DL-HeLa/02/t040,40,561,392,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0055,Fluo-N2DL-HeLa,2,31,32,Fluo-N2DL-HeLa/02/t031,31,870,459,5,5,Fluo-N2DL-HeLa/02/t032,32,870,459,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0056,Fluo-N2DL-HeLa,2,27,28,Fluo-N2DL-HeLa/02/t027,27,685,68,5,5,Fluo-N2DL-HeLa/02/t028,28,685,68,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0057,PhC-C2DH-U373,2,10,11,PhC-C2DH-U373/02/t010,10,560,97,9,9,PhC-C2DH-U373/02/t011,11,556,97,13,9,same_cell_supported,medium,0.78,adjacent-frame displacement is within about one cell diameter,,,,
CTC-PHASE81-0058,Fluo-N2DL-HeLa,2,17,18,Fluo-N2DL-HeLa/02/t017,17,642,572,3,3,Fluo-N2DL-HeLa/02/t018,18,642,572,4,3,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0059,Fluo-N2DL-HeLa,2,51,52,Fluo-N2DL-HeLa/02/t051,51,908,275,5,5,Fluo-N2DL-HeLa/02/t052,52,908,275,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0060,PhC-C2DH-U373,2,105,106,PhC-C2DH-U373/02/t105,105,55,305,3,3,PhC-C2DH-U373/02/t106,106,53,306,3,3,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0061,Fluo-N2DL-HeLa,2,24,25,Fluo-N2DL-HeLa/02/t024,24,771,562,5,5,Fluo-N2DL-HeLa/02/t025,25,771,562,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0062,Fluo-N2DL-HeLa,2,34,35,Fluo-N2DL-HeLa/02/t034,34,546,200,5,5,Fluo-N2DL-HeLa/02/t035,35,546,200,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0063,Fluo-N2DL-HeLa,2,10,11,Fluo-N2DL-HeLa/02/t010,10,583,162,5,5,Fluo-N2DL-HeLa/02/t011,11,583,161,5,6,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0064,Fluo-N2DL-HeLa,2,52,53,Fluo-N2DL-HeLa/02/t052,52,566,254,5,5,Fluo-N2DL-HeLa/02/t053,53,566,254,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0065,Fluo-N2DL-HeLa,2,27,28,Fluo-N2DL-HeLa/02/t027,27,619,98,5,5,Fluo-N2DL-HeLa/02/t028,28,619,98,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0066,Fluo-N2DL-HeLa,2,4,5,Fluo-N2DL-HeLa/02/t004,4,567,104,5,5,Fluo-N2DL-HeLa/02/t005,5,567,104,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0067,PhC-C2DH-U373,2,90,91,PhC-C2DH-U373/02/t090,90,51,288,1,1,PhC-C2DH-U373/02/t091,91,52,286,1,1,uncertain,medium,0.5,geometry is plausible but displacement or size change needs human review,,,,
CTC-PHASE81-0068,DIC-C2DH-HeLa,2,59,60,DIC-C2DH-HeLa/02/t059,59,220,301,19,19,DIC-C2DH-HeLa/02/t060,60,220,301,19,19,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0069,Fluo-N2DL-HeLa,2,18,19,Fluo-N2DL-HeLa/02/t018,18,761,59,5,5,Fluo-N2DL-HeLa/02/t019,19,761,59,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0070,Fluo-N2DL-HeLa,2,18,19,Fluo-N2DL-HeLa/02/t018,18,915,340,5,5,Fluo-N2DL-HeLa/02/t019,19,915,340,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0071,DIC-C2DH-HeLa,2,61,62,DIC-C2DH-HeLa/02/t061,61,286,435,19,19,DIC-C2DH-HeLa/02/t062,62,286,435,19,19,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0072,Fluo-N2DL-HeLa,2,5,6,Fluo-N2DL-HeLa/02/t005,5,575,283,5,5,Fluo-N2DL-HeLa/02/t006,6,575,283,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0073,Fluo-N2DL-HeLa,2,33,34,Fluo-N2DL-HeLa/02/t033,33,686,68,5,5,Fluo-N2DL-HeLa/02/t034,34,686,68,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0074,Fluo-N2DL-HeLa,2,12,13,Fluo-N2DL-HeLa/02/t012,12,583,286,6,5,Fluo-N2DL-HeLa/02/t013,13,584,286,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0075,PhC-C2DH-U373,2,30,31,PhC-C2DH-U373/02/t030,30,185,180,11,11,PhC-C2DH-U373/02/t031,31,185,180,11,11,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0076,Fluo-N2DL-HeLa,2,2,3,Fluo-N2DL-HeLa/02/t002,2,363,553,5,5,Fluo-N2DL-HeLa/02/t003,3,363,553,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0077,Fluo-N2DL-HeLa,2,19,20,Fluo-N2DL-HeLa/02/t019,19,642,583,3,3,Fluo-N2DL-HeLa/02/t020,20,642,583,3,3,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0078,Fluo-N2DL-HeLa,2,39,40,Fluo-N2DL-HeLa/02/t039,39,680,351,5,5,Fluo-N2DL-HeLa/02/t040,40,680,351,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0079,Fluo-N2DL-HeLa,2,26,27,Fluo-N2DL-HeLa/02/t026,26,585,602,1,1,Fluo-N2DL-HeLa/02/t027,27,585,602,1,1,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0080,Fluo-N2DL-HeLa,2,82,83,Fluo-N2DL-HeLa/02/t082,82,677,180,3,3,Fluo-N2DL-HeLa/02/t083,83,677,180,3,3,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0081,Fluo-N2DL-HeLa,2,8,9,Fluo-N2DL-HeLa/02/t008,8,764,62,5,5,Fluo-N2DL-HeLa/02/t009,9,764,62,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0082,PhC-C2DH-U373,2,78,79,PhC-C2DH-U373/02/t078,78,638,264,3,3,PhC-C2DH-U373/02/t079,79,53,233,1,1,unsupported,medium,0.2,large normalized displacement or substantial bbox-size change,,,,
CTC-PHASE81-0083,Fluo-N2DL-HeLa,2,31,32,Fluo-N2DL-HeLa/02/t031,31,721,328,5,5,Fluo-N2DL-HeLa/02/t032,32,721,328,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0084,Fluo-N2DL-HeLa,2,31,32,Fluo-N2DL-HeLa/02/t031,31,686,68,5,5,Fluo-N2DL-HeLa/02/t032,32,686,68,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0085,Fluo-N2DH-GOWT1,2,76,77,Fluo-N2DH-GOWT1/02/t076,76,513,515,40,41,Fluo-N2DH-GOWT1/02/t077,77,513,515,39,39,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0086,Fluo-N2DH-GOWT1,2,33,34,Fluo-N2DH-GOWT1/02/t033,33,392,192,18,19,Fluo-N2DH-GOWT1/02/t034,34,392,193,22,23,same_cell_supported,medium,0.78,adjacent-frame displacement is within about one cell diameter,,,,
CTC-PHASE81-0087,PhC-C2DH-U373,2,59,60,PhC-C2DH-U373/02/t059,59,77,295,9,9,PhC-C2DH-U373/02/t060,60,77,295,9,9,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0088,Fluo-N2DL-HeLa,2,30,31,Fluo-N2DL-HeLa/02/t030,30,833,324,5,5,Fluo-N2DL-HeLa/02/t031,31,833,324,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0089,DIC-C2DH-HeLa,2,12,13,DIC-C2DH-HeLa/02/t012,12,146,49,15,15,DIC-C2DH-HeLa/02/t013,13,147,48,13,14,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0090,Fluo-N2DL-HeLa,2,27,28,Fluo-N2DL-HeLa/02/t027,27,410,337,5,5,Fluo-N2DL-HeLa/02/t028,28,410,337,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0091,PhC-C2DH-U373,2,104,105,PhC-C2DH-U373/02/t104,104,603,170,9,9,PhC-C2DH-U373/02/t105,105,603,170,9,9,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0092,Fluo-N2DH-GOWT1,2,45,46,Fluo-N2DH-GOWT1/02/t045,45,431,241,33,33,Fluo-N2DH-GOWT1/02/t046,46,430,241,33,33,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0093,Fluo-N2DL-HeLa,2,32,33,Fluo-N2DL-HeLa/02/t032,32,694,412,5,5,Fluo-N2DL-HeLa/02/t033,33,694,412,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0094,DIC-C2DH-HeLa,2,21,22,DIC-C2DH-HeLa/02/t021,21,398,328,19,19,DIC-C2DH-HeLa/02/t022,22,398,328,19,19,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0095,Fluo-N2DL-HeLa,2,39,40,Fluo-N2DL-HeLa/02/t039,39,682,196,5,5,Fluo-N2DL-HeLa/02/t040,40,682,196,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0096,PhC-C2DH-U373,2,30,31,PhC-C2DH-U373/02/t030,30,642,322,3,3,PhC-C2DH-U373/02/t031,31,565,457,5,5,unsupported,medium,0.2,large normalized displacement or substantial bbox-size change,,,,
CTC-PHASE81-0097,PhC-C2DH-U373,2,112,113,PhC-C2DH-U373/02/t112,112,54,339,3,3,PhC-C2DH-U373/02/t113,113,54,342,3,3,same_cell_supported,medium,0.78,adjacent-frame displacement is within about one cell diameter,,,,
CTC-PHASE81-0098,PhC-C2DH-U373,2,37,38,PhC-C2DH-U373/02/t037,37,539,152,9,9,PhC-C2DH-U373/02/t038,38,539,151,9,10,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0099,Fluo-N2DL-HeLa,2,3,4,Fluo-N2DL-HeLa/02/t003,3,640,127,5,5,Fluo-N2DL-HeLa/02/t004,4,640,127,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0100,Fluo-N2DH-GOWT1,2,42,43,Fluo-N2DH-GOWT1/02/t042,42,128,461,39,40,Fluo-N2DH-GOWT1/02/t043,43,129,461,39,41,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0101,Fluo-N2DL-HeLa,2,22,23,Fluo-N2DL-HeLa/02/t022,22,484,122,5,5,Fluo-N2DL-HeLa/02/t023,23,484,122,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0102,Fluo-N2DL-HeLa,2,38,39,Fluo-N2DL-HeLa/02/t038,38,368,525,5,5,Fluo-N2DL-HeLa/02/t039,39,368,525,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0103,Fluo-N2DL-HeLa,2,26,27,Fluo-N2DL-HeLa/02/t026,26,767,59,5,5,Fluo-N2DL-HeLa/02/t027,27,767,59,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
