variant,proposal_source,block_definition,rho,alpha,K,seeds,non_empty_seeds,mean_release,min_release,max_release,actual_FTR_mean,actual_FTR_max,actual_FTR_bootstrap95_low,actual_FTR_bootstrap95_high,raw_topK_actual_FTR_mean,best_mass_ratio_mean,max_observed_e_mean,required_e,block_coverage_mean,released_boundary_rate_25meV_mean,dominant_empty_reason,robustness_interpretation
conservative_clear_stable_observed_25meV,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,1000,20,16,81.35,0,149,0.01268966630777275,0.05813953488372093,0.006076062302111014,0.020256791963324937,0.4096,1.4253599504965049,164.68978331639784,10.0,0.9967715680954965,0.005308252644233092,,sensitivity_or_refusal
conservative_clear_stable_observed_25meV,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.40651000000000004,0.28507199009930095,164.68978331639784,10.0,0.9967715680954965,0.0,insufficient_high_e_mass_for_uniform_scs,sensitivity_or_refusal
exact_stable_primary,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,50,20,20,50.0,50,50,0.009,0.08,0.0,0.021,0.009,15.88840245992439,164.64649454156125,10.0,0.9964731416169288,0.0,,strict_alpha010_pass
exact_stable_primary,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,100,20,20,100.0,100,100,0.08549999999999999,0.22,0.05500000000000001,0.11750000000000001,0.08549999999999999,11.846232639060663,164.64649454156125,10.0,0.9964731416169288,0.0125,,strict_alpha010_pass
exact_stable_primary,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,300,20,20,115.1,39,211,0.08700249484918587,0.17535545023696683,0.06599814109540751,0.10712828524309369,0.25316666666666665,3.9569745701110115,164.64649454156125,10.0,0.9964731416169288,0.013083767553218079,,strict_alpha010_pass
exact_stable_primary,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,500,20,20,90.75,37,151,0.04822076682610132,0.12222222222222222,0.03220176835724069,0.06503831154531711,0.3269,2.3741847420666065,164.64649454156125,10.0,0.9964731416169288,0.0014356308188388108,,strict_alpha010_pass
exact_stable_primary,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,1000,20,15,60.8,0,103,0.005972493447761961,0.06896551724137931,0.0,0.013793103448275862,0.39099999999999996,1.1870923710333032,164.64649454156125,10.0,0.9964731416169288,0.0,,sensitivity_or_refusal
exact_stable_primary,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.51548,0.23741847420666065,164.64649454156125,10.0,0.9964731416169288,0.0,insufficient_high_e_mass_for_uniform_scs,sensitivity_or_refusal
exact_stable_primary,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,50,20,20,50.0,50,50,0.001,0.02,0.0,0.003,0.001,16.273427547991638,164.5441668977051,10.0,0.9957677699403146,0.0,,strict_alpha010_pass
exact_stable_primary,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,100,20,20,100.0,100,100,0.03,0.1,0.016000000000000004,0.044500000000000005,0.03,13.443074227562992,164.5441668977051,10.0,0.9957677699403146,0.0165,,strict_alpha010_pass
exact_stable_primary,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,300,20,20,163.8,43,300,0.09155623868979505,0.21739130434782608,0.06634394300263967,0.11848957345034405,0.23499999999999996,4.747047784109154,164.5441668977051,10.0,0.9957677699403146,0.03243507397137822,,strict_alpha010_pass
exact_stable_primary,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,500,20,20,118.8,40,184,0.03189720598428158,0.09302325581395349,0.019587556366988758,0.04521918504659058,0.32589999999999997,2.8482286704654927,164.5441668977051,10.0,0.9957677699403146,0.013842443209404023,,strict_alpha010_pass
exact_stable_primary,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,1000,20,16,83.05,0,150,0.0135530164863021,0.07563025210084033,0.006110393047532999,0.022490960894849043,0.4096,1.4241143352327463,164.5441668977051,10.0,0.9957677699403146,0.0058216599425355885,,sensitivity_or_refusal
exact_stable_primary,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.40651000000000004,0.2848228670465493,164.5441668977051,10.0,0.9957677699403146,0.0,insufficient_high_e_mass_for_uniform_scs,sensitivity_or_refusal
margin_excluded_25meV,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,50,20,20,50.0,50,50,0.019,0.16,0.003,0.039,0.019,15.2239232619681,161.4372778493898,10.0,0.9965455049944504,0.0,,strict_alpha010_pass
margin_excluded_25meV,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,100,20,20,100.0,100,100,0.11100000000000002,0.25,0.081,0.14100000000000001,0.11100000000000002,10.420987239852158,161.4372778493898,10.0,0.9965455049944504,0.0,,sensitivity_or_refusal
margin_excluded_25meV,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,300,20,20,99.75,26,220,0.07650396729898565,0.17676767676767677,0.053802162124868914,0.09901780783024736,0.25366666666666665,3.570534117662196,161.4372778493898,10.0,0.9965455049944504,0.0,,strict_alpha010_pass
margin_excluded_25meV,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,500,20,19,76.8,0,159,0.03648320096825476,0.09154929577464789,0.022687995797474686,0.05125389302193725,0.325,2.142320470597317,161.4372778493898,10.0,0.9965455049944504,0.0,,strict_alpha010_pass
margin_excluded_25meV,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,1000,20,11,48.4,0,136,0.014526424657929027,0.09022556390977443,0.0038355625491738785,0.027872080850556608,0.3764,1.0711602352986584,161.4372778493898,10.0,0.9965455049944504,0.0,,sensitivity_or_refusal
margin_excluded_25meV,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.54267,0.21423204705973173,161.4372778493898,10.0,0.9965455049944504,0.0,insufficient_high_e_mass_for_uniform_scs,sensitivity_or_refusal
margin_excluded_25meV,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,50,20,20,50.0,50,50,0.001,0.02,0.0,0.003,0.001,15.832943460918855,161.38993927851374,10.0,0.9962125416204218,0.0,,strict_alpha010_pass
margin_excluded_25meV,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,100,20,20,100.0,100,100,0.0395,0.15,0.020987500000000003,0.0605,0.0395,12.451872877922451,161.38993927851374,10.0,0.9962125416204218,0.0,,strict_alpha010_pass
margin_excluded_25meV,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,300,20,20,142.65,32,253,0.07398089497057633,0.14563106796116504,0.05719360911306586,0.09151126412227338,0.24766666666666662,4.395410970948477,161.38993927851374,10.0,0.9962125416204218,0.0,,strict_alpha010_pass
margin_excluded_25meV,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,500,20,20,115.8,32,198,0.030602903921267056,0.10101010101010101,0.020808450588149646,0.042146387463897164,0.34539999999999993,2.637246582569085,161.38993927851374,10.0,0.9962125416204218,0.0,,strict_alpha010_pass
margin_excluded_25meV,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,1000,20,16,77.05,0,181,0.01051058116632295,0.031746031746031744,0.005868660821813999,0.015434900125922586,0.40715,1.3186232912845426,161.38993927851374,10.0,0.9962125416204218,0.0,,sensitivity_or_refusal
margin_excluded_25meV,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.39604000000000006,0.26372465825690855,161.38993927851374,10.0,0.9962125416204218,0.0,insufficient_high_e_mass_for_uniform_scs,sensitivity_or_refusal
tolerance_positive_25meV,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,50,20,20,50.0,50,50,0.009,0.08,0.0,0.021,0.009,15.865483933706585,164.41034293313527,10.0,0.9948453608247421,0.0,,strict_alpha010_pass
tolerance_positive_25meV,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,100,20,20,100.0,100,100,0.0785,0.2,0.052000000000000005,0.10550000000000001,0.0785,11.828688491730604,164.41034293313527,10.0,0.9948453608247421,0.0125,,strict_alpha010_pass
tolerance_positive_25meV,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,300,20,20,144.45,39,300,0.09732252506898573,0.18666666666666668,0.07463368502337274,0.1190520746296306,0.18616666666666665,3.951114713193084,164.41034293313527,10.0,0.9948453608247421,0.03035309274237209,,strict_alpha010_pass
tolerance_positive_25meV,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,500,20,20,91.05,37,157,0.04659531865373823,0.12222222222222222,0.03151386572105533,0.062238371790667046,0.24779999999999996,2.3706688279158508,164.41034293313527,10.0,0.9948453608247421,0.0017287931759485252,,strict_alpha010_pass
tolerance_positive_25meV,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,1000,20,15,60.8,0,103,0.005972493447761961,0.06896551724137931,0.0,0.013793103448275862,0.29195000000000004,1.1853344139579254,164.41034293313527,10.0,0.9948453608247421,0.0,,sensitivity_or_refusal
tolerance_positive_25meV,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.36761000000000005,0.23706688279158508,164.41034293313527,10.0,0.9948453608247421,0.0,insufficient_high_e_mass_for_uniform_scs,sensitivity_or_refusal
tolerance_positive_25meV,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,50,20,20,50.0,50,50,0.001,0.02,0.0,0.003,0.001,16.326565047224417,164.41624737184787,10.0,0.9948860553445471,0.0,,strict_alpha010_pass
tolerance_positive_25meV,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,100,20,20,100.0,100,100,0.019499999999999997,0.08,0.01,0.029500000000000005,0.019499999999999997,14.18071485212333,164.41624737184787,10.0,0.9948860553445471,0.0165,,strict_alpha010_pass
tolerance_positive_25meV,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,300,20,20,179.3,82,300,0.09172269559298535,0.1958762886597938,0.0688843492070078,0.11633524885478885,0.19883333333333333,5.313297904485733,164.41624737184787,10.0,0.9948860553445471,0.038019597138184716,,strict_alpha010_pass
tolerance_positive_25meV,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,500,20,20,136.8,43,198,0.03715143919337198,0.1,0.025482257495097766,0.04963709440445513,0.2813,3.18797874269144,164.41624737184787,10.0,0.9948860553445471,0.02328967840809534,,strict_alpha010_pass
tolerance_positive_25meV,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,1000,20,18,104.4,0,167,0.016487846757763006,0.07692307692307693,0.008890308077269305,0.025123825311086704,0.35435000000000005,1.59398937134572,164.41624737184787,10.0,0.9948860553445471,0.010306362807556868,,strict_alpha010_pass
tolerance_positive_25meV,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.32948999999999995,0.318797874269144,164.41624737184787,10.0,0.9948860553445471,0.0,insufficient_high_e_mass_for_uniform_scs,sensitivity_or_refusal
