K,primary_queue_status,chemical_system,n,false_n,stable_to_unstable_n,total_n,fraction_of_arm,single_chemsys_dominance_flag
300,PARC_release,Br-Er-Rb,3,0,0,304,0.009868421052631578,False
300,PARC_release,Br-Er-S,2,0,0,304,0.006578947368421052,False
300,PARC_release,Br-Er-Sb,2,0,0,304,0.006578947368421052,False
300,PARC_release,Br-Er-Se,2,0,0,304,0.006578947368421052,False
300,PARC_release,Br-Er-Si,4,0,0,304,0.013157894736842105,False
300,PARC_release,Br-Er-Sn,4,0,0,304,0.013157894736842105,False
300,PARC_release,Br-Mg,2,0,0,304,0.006578947368421052,False
300,PARC_release,Br-Mo,1,0,0,304,0.003289473684210526,False
300,PARC_release,Br-Nd,1,0,0,304,0.003289473684210526,False
300,PARC_release,Br-V,1,0,0,304,0.003289473684210526,False
300,PARC_release,Br-Yb,3,3,0,304,0.009868421052631578,False
300,PARC_release,Ca-Cd-F,1,1,0,304,0.003289473684210526,False
300,PARC_release,Ca-F,2,2,0,304,0.006578947368421052,False
300,PARC_release,Ca-F-Li-Pa,1,1,1,304,0.003289473684210526,False
300,PARC_release,Ca-F-Pa,1,1,1,304,0.003289473684210526,False
300,PARC_release,Ca-F-Sr,1,1,0,304,0.003289473684210526,False
300,PARC_release,Ca-F-Yb,2,2,0,304,0.006578947368421052,False
300,PARC_release,Ca-F-Zn,1,1,0,304,0.003289473684210526,False
300,PARC_release,Ca-Gd-I,1,0,0,304,0.003289473684210526,False
300,PARC_release,Cd-F,1,1,0,304,0.003289473684210526,False
300,PARC_release,Cd-F-Mg,1,1,0,304,0.003289473684210526,False
300,PARC_release,Cd-F-Pa,1,1,1,304,0.003289473684210526,False
300,PARC_release,Cd-F-Sc,1,1,0,304,0.003289473684210526,False
300,PARC_release,Cd-F-Sr,1,1,0,304,0.003289473684210526,False
300,PARC_release,Cd-F-Tm,1,1,1,304,0.003289473684210526,False
300,PARC_release,Ce-Cl,4,0,0,304,0.013157894736842105,False
300,PARC_release,Ce-F-Pa,1,1,1,304,0.003289473684210526,False
300,PARC_release,Cl-Co,1,0,0,304,0.003289473684210526,False
300,PARC_release,Cl-Cs,1,0,0,304,0.003289473684210526,False
300,PARC_release,Cl-Cs-Mg,1,0,0,304,0.003289473684210526,False
300,PARC_release,Cl-Dy,1,1,0,304,0.003289473684210526,False
300,PARC_release,Cl-Er,2,0,0,304,0.006578947368421052,False
300,PARC_release,Cl-Eu,1,0,0,304,0.003289473684210526,False
300,PARC_release,Cl-Gd,2,0,0,304,0.006578947368421052,False
300,PARC_release,Cl-Ho,1,1,0,304,0.003289473684210526,False
300,PARC_release,Cl-In,1,1,1,304,0.003289473684210526,False
300,PARC_release,Cl-La,1,0,0,304,0.003289473684210526,False
300,PARC_release,Cl-Lu,2,0,0,304,0.006578947368421052,False
300,PARC_release,Cl-Mg,2,0,0,304,0.006578947368421052,False
300,PARC_release,Cl-Mn,4,0,0,304,0.013157894736842105,False
300,PARC_release,Cl-Nd,2,2,0,304,0.006578947368421052,False
300,PARC_release,Cl-Pd,1,1,1,304,0.003289473684210526,False
300,PARC_release,Cl-Pr,1,0,0,304,0.003289473684210526,False
300,PARC_release,Cl-Pu,1,0,0,304,0.003289473684210526,False
300,PARC_release,Cl-Sc,1,0,0,304,0.003289473684210526,False
300,PARC_release,Cl-Sm,3,3,2,304,0.009868421052631578,False
300,PARC_release,Cl-Sr,3,0,0,304,0.009868421052631578,False
300,PARC_release,Cl-Y,2,0,0,304,0.006578947368421052,False
300,PARC_release,Co-F-Pa,1,0,0,304,0.003289473684210526,False
300,PARC_release,Cr-F-Pa,4,0,0,304,0.013157894736842105,False
300,PARC_release,Cs-F-Ti,1,0,0,304,0.003289473684210526,False
300,PARC_release,Cs-Pa-Se,2,0,0,304,0.006578947368421052,False
300,PARC_release,Cu-F-Pa,1,0,0,304,0.003289473684210526,False
300,PARC_release,Dy-F-Pa,1,1,1,304,0.003289473684210526,False
300,PARC_release,Er-F-Pa,1,1,1,304,0.003289473684210526,False
300,PARC_release,F-Fe-Pa,3,0,0,304,0.009868421052631578,False
300,PARC_release,F-Ga-Pa,2,0,0,304,0.006578947368421052,False
300,PARC_release,F-Gd-I,1,1,1,304,0.003289473684210526,False
300,PARC_release,F-Gd-Li,1,0,0,304,0.003289473684210526,False
300,PARC_release,F-Gd-Mg,1,1,1,304,0.003289473684210526,False
300,PARC_release,F-Gd-Zn,1,0,0,304,0.003289473684210526,False
300,PARC_release,F-Ge-Pa,1,0,0,304,0.003289473684210526,False
300,PARC_release,F-Hg-Mg,1,1,0,304,0.003289473684210526,False
300,PARC_release,F-Hg-Pa,1,0,0,304,0.003289473684210526,False
300,PARC_release,F-Hg-Sr,1,1,1,304,0.003289473684210526,False
300,PARC_release,F-Hg-Tm,1,0,0,304,0.003289473684210526,False
300,PARC_release,F-Ho-Pa,1,1,1,304,0.003289473684210526,False
300,PARC_release,F-In-Pa,1,0,0,304,0.003289473684210526,False
300,PARC_release,F-K-La,1,1,0,304,0.003289473684210526,False
300,PARC_release,F-La-Pa,1,1,1,304,0.003289473684210526,False
300,PARC_release,F-Li-Pa,2,0,0,304,0.006578947368421052,False
300,PARC_release,F-Li-Pa-Sr,1,1,1,304,0.003289473684210526,False
300,PARC_release,F-Li-Pa-Yb,1,1,0,304,0.003289473684210526,False
300,PARC_release,F-Li-Tm,1,1,1,304,0.003289473684210526,False
300,PARC_release,F-Lu-Mg,1,1,0,304,0.003289473684210526,False
300,PARC_release,F-Lu-Pa,1,1,1,304,0.003289473684210526,False
300,PARC_release,F-Mg-Pa,1,1,1,304,0.003289473684210526,False
300,PARC_release,F-Mg-Sc,1,1,0,304,0.003289473684210526,False
300,PARC_release,F-Mg-Tm,1,1,1,304,0.003289473684210526,False
300,PARC_release,F-Mn-Pa,2,0,0,304,0.006578947368421052,False
300,PARC_release,F-N-Pa,1,0,0,304,0.003289473684210526,False
300,PARC_release,F-Na-Pa,1,0,0,304,0.003289473684210526,False
300,PARC_release,F-Na-Sr,1,1,1,304,0.003289473684210526,False
300,PARC_release,F-Nb-Pa,1,0,0,304,0.003289473684210526,False
300,PARC_release,F-Nd-Pa,1,1,1,304,0.003289473684210526,False
300,PARC_release,F-Ni-Pa,1,0,0,304,0.003289473684210526,False
300,PARC_release,F-Np,1,1,0,304,0.003289473684210526,False
300,PARC_release,F-Np-Pa,1,1,1,304,0.003289473684210526,False
300,PARC_release,F-O-Pa,1,0,0,304,0.003289473684210526,False
300,PARC_release,F-Pa-Pb,1,0,0,304,0.003289473684210526,False
300,PARC_release,F-Pa-Pd,2,0,0,304,0.006578947368421052,False
300,PARC_release,F-Pa-Pr,1,1,1,304,0.003289473684210526,False
300,PARC_release,F-Pa-Pt,1,1,1,304,0.003289473684210526,False
300,PARC_release,F-Pa-Pu,1,0,0,304,0.003289473684210526,False
300,PARC_release,F-Pa-Rh,1,1,1,304,0.003289473684210526,False
300,PARC_release,F-Pa-Ru,1,1,1,304,0.003289473684210526,False
300,PARC_release,F-Pa-Sc,1,1,1,304,0.003289473684210526,False
300,PARC_release,F-Pa-Si,1,0,0,304,0.003289473684210526,False
300,PARC_release,F-Pa-Sm,1,1,1,304,0.003289473684210526,False
300,PARC_release,F-Pa-Sn,2,0,0,304,0.006578947368421052,False
300,PARC_release,F-Pa-Sr,1,1,1,304,0.003289473684210526,False
300,PARC_release,F-Pa-Tb,1,1,1,304,0.003289473684210526,False
300,PARC_release,F-Pa-Th,1,1,1,304,0.003289473684210526,False
300,PARC_release,F-Pa-Tl,2,0,0,304,0.006578947368421052,False
300,PARC_release,F-Pa-Tm,1,0,0,304,0.003289473684210526,False
300,PARC_release,F-Pa-U,1,0,0,304,0.003289473684210526,False
300,PARC_release,F-Pa-V,1,1,1,304,0.003289473684210526,False
300,PARC_release,F-Pa-Y,1,1,1,304,0.003289473684210526,False
300,PARC_release,F-Pa-Yb,1,1,0,304,0.003289473684210526,False
300,PARC_release,F-Pa-Zn,1,0,0,304,0.003289473684210526,False
300,PARC_release,F-Pa-Zr,1,1,1,304,0.003289473684210526,False
300,PARC_release,F-Se,1,0,0,304,0.003289473684210526,False
300,PARC_release,F-Sr,2,2,0,304,0.006578947368421052,False
300,PARC_release,F-Sr-Yb,1,1,0,304,0.003289473684210526,False
300,PARC_release,F-Sr-Zn,1,1,0,304,0.003289473684210526,False
300,PARC_release,F-Ti,1,0,0,304,0.003289473684210526,False
300,PARC_release,F-Tm,1,0,0,304,0.003289473684210526,False
300,PARC_release,F-Tm-Zn,2,0,0,304,0.006578947368421052,False
300,PARC_release,Ga-Gd-I,1,1,1,304,0.003289473684210526,False
300,PARC_release,Gd-Ge-I,1,0,0,304,0.003289473684210526,False
300,PARC_release,Gd-H-I,3,0,0,304,0.009868421052631578,False
300,PARC_release,Gd-I,12,0,0,304,0.039473684210526314,False
300,PARC_release,Gd-I-In,1,0,0,304,0.003289473684210526,False
300,PARC_release,Gd-I-Li,1,0,0,304,0.003289473684210526,False
300,PARC_release,Gd-I-N,1,0,0,304,0.003289473684210526,False
300,PARC_release,Gd-I-P,1,0,0,304,0.003289473684210526,False
300,PARC_release,Gd-I-Ru,1,0,0,304,0.003289473684210526,False
300,PARC_release,Gd-I-Sb,2,0,0,304,0.006578947368421052,False
300,PARC_release,Gd-I-Se,1,0,0,304,0.003289473684210526,False
300,PARC_release,Gd-I-Si,1,0,0,304,0.003289473684210526,False
300,PARC_release,Gd-I-Sn,1,0,0,304,0.003289473684210526,False
300,PARC_release,Gd-I-Sr,1,1,1,304,0.003289473684210526,False
300,PARC_release,Gd-I-Te,1,1,1,304,0.003289473684210526,False
300,PARC_release,Ge-Pm-Te,1,0,0,304,0.003289473684210526,False
300,PARC_release,In-Pm-Te,1,0,0,304,0.003289473684210526,False
300,PARC_release,K-Pa-Se,1,0,0,304,0.003289473684210526,False
300,PARC_release,K-Pm-Te,1,0,0,304,0.003289473684210526,False
300,PARC_release,Li-Pm-Te,1,1,1,304,0.003289473684210526,False
300,PARC_release,Mn-Pm-Te,1,0,0,304,0.003289473684210526,False
300,PARC_release,Na-Pa-Se,1,0,0,304,0.003289473684210526,False
300,PARC_release,Np-Se,1,0,0,304,0.003289473684210526,False
300,PARC_release,Pa-Rb-Se,1,0,0,304,0.003289473684210526,False
300,PARC_release,Pa-Se,2,0,0,304,0.006578947368421052,False
300,PARC_release,Pm-Pt,2,0,0,304,0.006578947368421052,False
300,PARC_release,Pm-Rb-Te,1,0,0,304,0.003289473684210526,False
300,PARC_release,Pm-Sn-Te,1,0,0,304,0.003289473684210526,False
300,PARC_release,Pm-Te,3,0,0,304,0.009868421052631578,False
300,PARC_release,Se-Tc,1,0,0,304,0.003289473684210526,False
300,raw_only_requested_budget,Ac-As-Pt,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ac-Ir-Pt,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ac-P-Pt,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ac-Pd,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ac-Pt,2,0,0,397,0.005037783375314861,False
300,raw_only_requested_budget,Ac-Pt-Rh,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ac-Rb-Se,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ac-Se-Sn,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ac-Se-Tl,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ag-F,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Al-Br-Er,2,0,0,397,0.005037783375314861,False
300,raw_only_requested_budget,Al-Ca-F,2,2,0,397,0.005037783375314861,False
300,raw_only_requested_budget,Al-Cl-K,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Al-F-Na,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Al-F-Sr,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Al-Gd-I,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,As-Br,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,As-Cl,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,As-Gd-I,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,As-Pm-Pt,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ba-Br,2,0,0,397,0.005037783375314861,False
300,raw_only_requested_budget,Ba-Br-Sr,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ba-Ca-Cl,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ba-Ca-F-Na,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ba-Cl,2,2,2,397,0.005037783375314861,False
300,raw_only_requested_budget,Ba-Cl-Sr,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ba-Cl-Yb,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ba-Cu-F,2,2,2,397,0.005037783375314861,False
300,raw_only_requested_budget,Ba-Dy-F,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ba-Er-F,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ba-Eu-F,2,2,0,397,0.005037783375314861,False
300,raw_only_requested_budget,Ba-F-Gd,2,2,2,397,0.005037783375314861,False
300,raw_only_requested_budget,Ba-F-Gd-Li,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ba-F-Hg,2,2,2,397,0.005037783375314861,False
300,raw_only_requested_budget,Ba-F-Ho,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ba-F-In,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ba-F-La,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ba-F-Li,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ba-F-Lu,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ba-F-Na,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ba-F-Sc,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ba-F-Sm,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ba-F-Tm,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ba-F-Y,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ba-I,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Bi-Cl,2,2,2,397,0.005037783375314861,False
300,raw_only_requested_budget,Bi-Pa-Se,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Br-Ca,7,0,0,397,0.017632241813602016,False
300,raw_only_requested_budget,Br-Cd-Se,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Br-Co,5,0,0,397,0.012594458438287154,False
300,raw_only_requested_budget,Br-Cr,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Br-Dy,2,0,0,397,0.005037783375314861,False
300,raw_only_requested_budget,Br-Er-Ga,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Br-Er-N,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Br-Er-Rh,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Br-Er-Ru,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Br-Eu,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Br-Fe,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Br-Gd,3,0,0,397,0.007556675062972292,False
300,raw_only_requested_budget,Br-Hf,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Br-Hg,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Br-Ho,3,0,0,397,0.007556675062972292,False
300,raw_only_requested_budget,Br-La,2,0,0,397,0.005037783375314861,False
300,raw_only_requested_budget,Br-Lu,3,0,0,397,0.007556675062972292,False
300,raw_only_requested_budget,Br-Mg,4,0,0,397,0.010075566750629723,False
300,raw_only_requested_budget,Br-Mn,5,0,0,397,0.012594458438287154,False
300,raw_only_requested_budget,Br-Mn-Se,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Br-Ni,2,0,0,397,0.005037783375314861,False
300,raw_only_requested_budget,Br-Pb,3,0,0,397,0.007556675062972292,False
300,raw_only_requested_budget,Br-Pd,3,0,0,397,0.007556675062972292,False
300,raw_only_requested_budget,Br-Pr,2,0,0,397,0.005037783375314861,False
300,raw_only_requested_budget,Br-Pt,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Br-Pu,2,0,0,397,0.005037783375314861,False
300,raw_only_requested_budget,Br-Rb,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Br-Sb,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Br-Sc,2,0,0,397,0.005037783375314861,False
300,raw_only_requested_budget,Br-Sm,2,0,0,397,0.005037783375314861,False
300,raw_only_requested_budget,Br-Sr,8,8,6,397,0.020151133501259445,False
300,raw_only_requested_budget,Br-Tb,2,0,0,397,0.005037783375314861,False
300,raw_only_requested_budget,Br-Tm,3,0,0,397,0.007556675062972292,False
300,raw_only_requested_budget,Br-V,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Br-Y,2,0,0,397,0.005037783375314861,False
300,raw_only_requested_budget,Br-Yb,3,3,0,397,0.007556675062972292,False
300,raw_only_requested_budget,Br-Zr,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,C-Gd-I,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ca-Cl,5,5,3,397,0.012594458438287154,False
300,raw_only_requested_budget,Ca-Cl-Sr,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ca-Eu-F,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ca-F-Ga,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ca-F-Gd,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ca-F-Gd-Li,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ca-F-K,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ca-F-Li,2,2,0,397,0.005037783375314861,False
300,raw_only_requested_budget,Ca-F-Li-Sr,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ca-F-Li-Tm,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ca-F-Lu-Na,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ca-F-Na-Pa,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ca-F-Na-Tm,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ca-F-Sc,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ca-I,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cd-Co-F,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cd-Cs-Pa-Se,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cd-Er-F,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cd-Eu-F,2,2,1,397,0.005037783375314861,False
300,raw_only_requested_budget,Cd-F-Ga,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cd-F-Gd,2,2,2,397,0.005037783375314861,False
300,raw_only_requested_budget,Cd-F-Hg,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cd-F-Ho,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cd-F-In,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cd-F-Ni,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cd-F-Sc,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ce-F,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ce-F-K,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Ce-I,2,0,0,397,0.005037783375314861,False
300,raw_only_requested_budget,Cl-Co,2,0,0,397,0.005037783375314861,False
300,raw_only_requested_budget,Cl-Cs-Cu,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Cs-Dy,2,2,0,397,0.005037783375314861,False
300,raw_only_requested_budget,Cl-Cs-Er,2,0,0,397,0.005037783375314861,False
300,raw_only_requested_budget,Cl-Cs-Gd,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Cs-Ho,2,2,0,397,0.005037783375314861,False
300,raw_only_requested_budget,Cl-Cs-La,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Cs-Lu,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Cs-Nd,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Cs-Ni,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Cs-Pr,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Cs-Rb,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Cs-Sc,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Cs-Sm,2,0,0,397,0.005037783375314861,False
300,raw_only_requested_budget,Cl-Cs-Tb,2,0,0,397,0.005037783375314861,False
300,raw_only_requested_budget,Cl-Cs-Tm,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Cs-Y,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Cs-Zn,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Cu,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Cu-K,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Cu-Rb,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Dy,2,2,1,397,0.005037783375314861,False
300,raw_only_requested_budget,Cl-Er,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Eu,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Hg,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Ho,2,2,0,397,0.005037783375314861,False
300,raw_only_requested_budget,Cl-In,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-In-Rb,2,2,2,397,0.005037783375314861,False
300,raw_only_requested_budget,Cl-Ir,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-K-Lu,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-K-Ni,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-La,2,0,0,397,0.005037783375314861,False
300,raw_only_requested_budget,Cl-Mg,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Mn,2,0,0,397,0.005037783375314861,False
300,raw_only_requested_budget,Cl-Nd,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Ni,3,0,0,397,0.007556675062972292,False
300,raw_only_requested_budget,Cl-Ni-Rb,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Np,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Np-P,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-P,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Pb,1,1,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Pd,2,2,2,397,0.005037783375314861,False
300,raw_only_requested_budget,Cl-Pr,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Pt,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Rb,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Rb-Sc,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Rb-Zn,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Rh,1,0,0,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Ru,1,1,1,397,0.0025188916876574307,False
300,raw_only_requested_budget,Cl-Sc,3,0,0,397,0.007556675062972292,False
