K,primary_queue_status,material_id,t1_label,alignn_score,alignn_predicted_e_above_hull,cgcnn_ens10_pred_e_form,megnet_pred_e_form,near_hull_50mev_t0_or_t1,t1_false_explanation_class
300,raw_only_requested_budget,wbm-1-10509,t1_false_or_unresolved,0.8369129999999996,-0.8369129999999996,-2.25874,-2.9265,True,near_hull_50meV_boundary
500,raw_only_requested_budget,wbm-1-10509,t1_false_or_unresolved,0.8369129999999996,-0.8369129999999996,-2.25874,-2.9265,True,near_hull_50meV_boundary
300,raw_only_requested_budget,wbm-1-10514,t1_false_or_unresolved,0.648091,-0.648091,-2.3993299999999995,-2.6898,True,near_hull_50meV_boundary
500,raw_only_requested_budget,wbm-1-10514,t1_false_or_unresolved,0.648091,-0.648091,-2.3993299999999995,-2.6898,True,near_hull_50meV_boundary
300,raw_only_requested_budget,wbm-1-10516,t1_false_or_unresolved,0.7128909999999999,-0.7128909999999999,-2.21108,-2.9676,False,ALIGNN_FF_disagrees_with_current_MP_label
500,raw_only_requested_budget,wbm-1-10516,t1_false_or_unresolved,0.7128909999999999,-0.7128909999999999,-2.21108,-2.9676,False,ALIGNN_FF_disagrees_with_current_MP_label
300,raw_only_requested_budget,wbm-1-10521,t1_false_or_unresolved,0.65046,-0.65046,-1.5636500000000002,-1.9941,False,unresolved_current_MP_hull_reference
500,raw_only_requested_budget,wbm-1-10521,t1_false_or_unresolved,0.65046,-0.65046,-1.5636500000000002,-1.9941,False,unresolved_current_MP_hull_reference
300,raw_only_requested_budget,wbm-1-10522,t1_false_or_unresolved,0.65916,-0.65916,-1.55275,-1.9673,False,unresolved_current_MP_hull_reference
500,raw_only_requested_budget,wbm-1-10522,t1_false_or_unresolved,0.65916,-0.65916,-1.55275,-1.9673,False,unresolved_current_MP_hull_reference
500,raw_only_requested_budget,wbm-1-10523,t1_stable,0.6041319999999999,-0.6041319999999999,-2.3616,-2.626,False,t1_stable_or_true_release
300,PARC_release,wbm-1-10524,t1_stable,0.851232,-0.851232,-2.20316,-2.9195,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10524,t1_stable,0.851232,-0.851232,-2.20316,-2.9195,False,t1_stable_or_true_release
300,PARC_release,wbm-1-10525,t1_stable,0.8490319999999998,-0.8490319999999998,-2.1927700000000003,-2.9298,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10525,t1_stable,0.8490319999999998,-0.8490319999999998,-2.1927700000000003,-2.9298,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10532,t1_stable,0.555259,-0.555259,-0.87016,-1.4261,True,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-10533,t1_false_or_unresolved,0.654673,-0.654673,-1.17015,-1.3713,True,near_hull_25meV_boundary
500,raw_only_requested_budget,wbm-1-10533,t1_false_or_unresolved,0.654673,-0.654673,-1.17015,-1.3713,True,near_hull_25meV_boundary
500,raw_only_requested_budget,wbm-1-10577,t1_stable,0.621613,-0.621613,-1.8751,-2.2978,False,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-10581,t1_false_or_unresolved,0.662839,-0.662839,-2.42484,-2.8913,True,near_hull_50meV_boundary
500,raw_only_requested_budget,wbm-1-10581,t1_false_or_unresolved,0.662839,-0.662839,-2.42484,-2.8913,True,near_hull_50meV_boundary
300,raw_only_requested_budget,wbm-1-10582,t1_stable,0.658947,-0.658947,-2.4278000000000004,-2.9084,True,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10582,t1_stable,0.658947,-0.658947,-2.4278000000000004,-2.9084,True,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-10584,t1_stable,0.6531930000000004,-0.6531930000000004,-2.4354400000000003,-2.8686,True,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10584,t1_stable,0.6531930000000004,-0.6531930000000004,-2.4354400000000003,-2.8686,True,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-10587,t1_false_or_unresolved,0.6594599999999997,-0.6594599999999997,-2.4278000000000004,-2.8992,True,near_hull_50meV_boundary
500,raw_only_requested_budget,wbm-1-10587,t1_false_or_unresolved,0.6594599999999997,-0.6594599999999997,-2.4278000000000004,-2.8992,True,near_hull_50meV_boundary
500,raw_only_requested_budget,wbm-1-10588,t1_stable,0.6114960000000003,-0.6114960000000003,-2.4695,-2.7993,False,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-10589,t1_false_or_unresolved,0.7168960000000002,-0.7168960000000002,-2.41554,-2.9233,True,near_hull_50meV_boundary
500,raw_only_requested_budget,wbm-1-10589,t1_false_or_unresolved,0.7168960000000002,-0.7168960000000002,-2.41554,-2.9233,True,near_hull_50meV_boundary
300,raw_only_requested_budget,wbm-1-10590,t1_false_or_unresolved,0.6618369999999998,-0.6618369999999998,-2.43039,-2.8032,True,near_hull_50meV_boundary
500,raw_only_requested_budget,wbm-1-10590,t1_false_or_unresolved,0.6618369999999998,-0.6618369999999998,-2.43039,-2.8032,True,near_hull_50meV_boundary
300,raw_only_requested_budget,wbm-1-10592,t1_false_or_unresolved,0.6344280000000002,-0.6344280000000002,-2.4173,-2.7862,False,ALIGNN_FF_disagrees_with_current_MP_label
500,raw_only_requested_budget,wbm-1-10592,t1_false_or_unresolved,0.6344280000000002,-0.6344280000000002,-2.4173,-2.7862,False,ALIGNN_FF_disagrees_with_current_MP_label
300,raw_only_requested_budget,wbm-1-10593,t1_stable,0.6823680000000003,-0.6823680000000003,-2.4354400000000003,-2.8504,True,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10593,t1_stable,0.6823680000000003,-0.6823680000000003,-2.4354400000000003,-2.8504,True,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-10594,t1_stable,0.6923919999999999,-0.6923919999999999,-2.42877,-2.8811,True,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10594,t1_stable,0.6923919999999999,-0.6923919999999999,-2.42877,-2.8811,True,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-10595,t1_stable,0.6426919999999998,-0.6426919999999998,-2.45598,-2.7135,True,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10595,t1_stable,0.6426919999999998,-0.6426919999999998,-2.45598,-2.7135,True,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-10596,t1_false_or_unresolved,0.663993,-0.663993,-2.41964,-2.9162,True,near_hull_50meV_boundary
500,raw_only_requested_budget,wbm-1-10596,t1_false_or_unresolved,0.663993,-0.663993,-2.41964,-2.9162,True,near_hull_50meV_boundary
500,raw_only_requested_budget,wbm-1-10597,t1_false_or_unresolved,0.5987939999999998,-0.5987939999999998,-2.4796400000000003,-2.7405,True,near_hull_50meV_boundary
300,raw_only_requested_budget,wbm-1-10605,t1_false_or_unresolved,0.671618,-0.671618,-1.4551899999999998,-1.8569,False,ALIGNN_FF_disagrees_with_current_MP_label
500,raw_only_requested_budget,wbm-1-10605,t1_false_or_unresolved,0.671618,-0.671618,-1.4551899999999998,-1.8569,False,ALIGNN_FF_disagrees_with_current_MP_label
500,raw_only_requested_budget,wbm-1-10629,t1_stable,0.5825819999999999,-0.5825819999999999,-1.85324,-2.2835,False,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-10630,t1_false_or_unresolved,0.665719,-0.665719,-1.43742,-1.8382,False,ALIGNN_FF_disagrees_with_current_MP_label
500,raw_only_requested_budget,wbm-1-10630,t1_false_or_unresolved,0.665719,-0.665719,-1.43742,-1.8382,False,ALIGNN_FF_disagrees_with_current_MP_label
500,raw_only_requested_budget,wbm-1-10635,t1_false_or_unresolved,0.580506,-0.580506,-1.87067,-2.2345,True,near_hull_25meV_boundary
500,raw_only_requested_budget,wbm-1-10636,t1_stable,0.553979,-0.553979,-1.60642,-2.0258,False,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-10638,t1_stable,0.668552,-0.668552,-1.54531,-1.8443,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10638,t1_stable,0.668552,-0.668552,-1.54531,-1.8443,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10640,t1_stable,0.556848,-0.556848,-1.6323600000000005,-2.035,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10641,t1_stable,0.5880999999999998,-0.5880999999999998,-2.34106,-2.6507,True,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-10689,t1_stable,0.6609360000000002,-0.6609360000000002,-1.59203,-1.9572,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10689,t1_stable,0.6609360000000002,-0.6609360000000002,-1.59203,-1.9572,False,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-10690,t1_stable,0.6773569999999998,-0.6773569999999998,-1.5625699999999998,-1.8869,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10690,t1_stable,0.6773569999999998,-0.6773569999999998,-1.5625699999999998,-1.8869,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10701,t1_stable,0.569772,-0.569772,-2.45353,-2.7721,False,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-10706,t1_false_or_unresolved,0.654477,-0.654477,-1.84156,-2.2763,True,near_hull_50meV_boundary
500,raw_only_requested_budget,wbm-1-10706,t1_false_or_unresolved,0.654477,-0.654477,-1.84156,-2.2763,True,near_hull_50meV_boundary
500,raw_only_requested_budget,wbm-1-10707,t1_stable,0.6024070000000004,-0.6024070000000004,-1.62647,-2.0159,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10709,t1_false_or_unresolved,0.6000240000000003,-0.6000240000000003,-1.6621400000000002,-2.0511,False,ALIGNN_FF_disagrees_with_current_MP_label
500,raw_only_requested_budget,wbm-1-10725,t1_false_or_unresolved,0.573745,-0.573745,-1.6982199999999998,-2.0818,False,ALIGNN_FF_disagrees_with_current_MP_label
500,raw_only_requested_budget,wbm-1-10729,t1_stable,0.6169500000000001,-0.6169500000000001,-2.19135,-2.8103,True,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-10730,t1_stable,0.6610510000000005,-0.6610510000000005,-2.3643500000000004,-2.7591,True,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10730,t1_stable,0.6610510000000005,-0.6610510000000005,-2.3643500000000004,-2.7591,True,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-10732,t1_stable,0.6573450000000003,-0.6573450000000003,-2.32458,-2.7021,True,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10732,t1_stable,0.6573450000000003,-0.6573450000000003,-2.32458,-2.7021,True,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-10771,t1_stable,0.6586219999999998,-0.6586219999999998,-2.40411,-2.8919,True,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10771,t1_stable,0.6586219999999998,-0.6586219999999998,-2.40411,-2.8919,True,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10772,t1_stable,0.6240229999999998,-0.6240229999999998,-2.44842,-2.7486,True,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10782,t1_false_or_unresolved,0.6208469999999999,-0.6208469999999999,-1.25097,-1.6913,False,ALIGNN_FF_disagrees_with_current_MP_label
300,raw_only_requested_budget,wbm-1-10801,t1_false_or_unresolved,0.6792560000000001,-0.6792560000000001,-2.28125,-2.7545,True,unresolved_current_MP_hull_reference
500,raw_only_requested_budget,wbm-1-10801,t1_false_or_unresolved,0.6792560000000001,-0.6792560000000001,-2.28125,-2.7545,True,unresolved_current_MP_hull_reference
300,raw_only_requested_budget,wbm-1-10803,t1_false_or_unresolved,0.6969749999999997,-0.6969749999999997,-2.2938400000000003,-2.7234,True,near_hull_50meV_boundary
500,raw_only_requested_budget,wbm-1-10803,t1_false_or_unresolved,0.6969749999999997,-0.6969749999999997,-2.2938400000000003,-2.7234,True,near_hull_50meV_boundary
300,raw_only_requested_budget,wbm-1-10804,t1_stable,0.6891570000000002,-0.6891570000000002,-2.24555,-2.6635,True,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10804,t1_stable,0.6891570000000002,-0.6891570000000002,-2.24555,-2.6635,True,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-10810,t1_stable,0.734483,-0.734483,-2.41221,-2.7113,True,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10810,t1_stable,0.734483,-0.734483,-2.41221,-2.7113,True,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-10812,t1_stable,0.7069649999999998,-0.7069649999999998,-2.36852,-2.6717,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10812,t1_stable,0.7069649999999998,-0.7069649999999998,-2.36852,-2.6717,False,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-11501,t1_stable,0.6916159999999999,-0.6916159999999999,-0.70517,-0.743,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-11501,t1_stable,0.6916159999999999,-0.6916159999999999,-0.70517,-0.743,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-13668,t1_stable,0.5866370000000001,-0.5866370000000001,-0.57587,-0.5961,True,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-14847,t1_stable,0.7347089999999998,-0.7347089999999998,-1.4892600000000005,-1.9177,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-14847,t1_stable,0.7347089999999998,-0.7347089999999998,-1.4892600000000005,-1.9177,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-14884,t1_stable,0.5713090000000003,-0.5713090000000003,-4.27968,-4.6068,False,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-15070,t1_false_or_unresolved,0.8475899999999998,-0.8475899999999998,-3.68025,-3.9311,False,ALIGNN_FF_disagrees_with_current_MP_label
