dataset,method,alpha1,candidate_budget_M,released_mean,nonempty_rate,utr_mean,cons_ftr_mean,margin_mean
OVT-B,parc_track_gamma_tuned_uniform_scs,0.1,75,0.0,0.0,0.0,,
OVT-B,parc_track_gamma_tuned_uniform_scs,0.1,100,0.0,0.0,0.0,,
OVT-B,parc_track_gamma_tuned_uniform_scs,0.1,125,0.0,0.0,0.0,,
OVT-B,parc_track_gamma_tuned_uniform_scs,0.1,150,0.0,0.0,0.0,,
OVT-B,parc_track_gamma_tuned_uniform_scs,0.2,10,10.0,1.0,0.8666666666666667,0.8666666666666667,3.6180943248437543
OVT-B,parc_track_gamma_tuned_uniform_scs,0.2,25,9.666666666666666,0.6666666666666666,0.5966183574879227,0.894927536231884,4.232323937629676
OVT-B,parc_track_gamma_tuned_uniform_scs,0.2,50,0.0,0.0,0.0,,
OVT-B,parc_track_gamma_tuned_uniform_scs,0.2,75,0.0,0.0,0.0,,
OVT-B,parc_track_gamma_tuned_uniform_scs,0.2,100,0.0,0.0,0.0,,
OVT-B,parc_track_gamma_tuned_uniform_scs,0.2,125,0.0,0.0,0.0,,
OVT-B,parc_track_gamma_tuned_uniform_scs,0.2,150,0.0,0.0,0.0,,
OVT-B,post_filter_e_bh,0.1,10,4.666666666666667,0.6666666666666666,0.5555555555555555,0.8333333333333333,1.2316953542633273
OVT-B,post_filter_e_bh,0.1,25,0.0,0.0,0.0,,
OVT-B,post_filter_e_bh,0.1,50,0.0,0.0,0.0,,
OVT-B,post_filter_e_bh,0.1,75,0.0,0.0,0.0,,
OVT-B,post_filter_e_bh,0.1,100,0.0,0.0,0.0,,
OVT-B,post_filter_e_bh,0.1,125,0.0,0.0,0.0,,
OVT-B,post_filter_e_bh,0.1,150,0.0,0.0,0.0,,
OVT-B,post_filter_e_bh,0.2,10,10.0,1.0,0.8666666666666667,0.8666666666666667,3.6180943248437543
OVT-B,post_filter_e_bh,0.2,25,9.666666666666666,0.6666666666666666,0.5966183574879227,0.894927536231884,4.232323937629678
OVT-B,post_filter_e_bh,0.2,50,0.0,0.0,0.0,,
OVT-B,post_filter_e_bh,0.2,75,0.0,0.0,0.0,,
OVT-B,post_filter_e_bh,0.2,100,0.0,0.0,0.0,,
OVT-B,post_filter_e_bh,0.2,125,0.0,0.0,0.0,,
OVT-B,post_filter_e_bh,0.2,150,0.0,0.0,0.0,,
OVT-B,tracklet_e_bh,0.1,10,10.0,1.0,0.8666666666666667,0.8666666666666667,14.804894257682443
OVT-B,tracklet_e_bh,0.1,25,25.0,1.0,0.8133333333333334,0.8133333333333334,5.885122101165969
OVT-B,tracklet_e_bh,0.1,50,33.333333333333336,0.6666666666666666,0.5733333333333334,0.86,0.9509210548056908
OVT-B,tracklet_e_bh,0.1,75,0.0,0.0,0.0,,
OVT-B,tracklet_e_bh,0.1,100,0.0,0.0,0.0,,
OVT-B,tracklet_e_bh,0.1,125,0.0,0.0,0.0,,
OVT-B,tracklet_e_bh,0.1,150,0.0,0.0,0.0,,
OVT-B,tracklet_e_bh,0.2,10,10.0,1.0,0.8666666666666667,0.8666666666666667,19.804894257682445
OVT-B,tracklet_e_bh,0.2,25,25.0,1.0,0.8133333333333334,0.8133333333333334,10.885122101165969
OVT-B,tracklet_e_bh,0.2,50,50.0,1.0,0.8466666666666667,0.8466666666666667,5.384424505040293
OVT-B,tracklet_e_bh,0.2,75,75.0,1.0,0.8133333333333334,0.8133333333333334,3.4212945849691407
OVT-B,tracklet_e_bh,0.2,100,100.0,1.0,0.8133333333333334,0.8133333333333334,2.380563249497021
OVT-B,tracklet_e_bh,0.2,125,125.0,1.0,0.8346666666666667,0.8346666666666667,1.481355457182687
OVT-B,tracklet_e_bh,0.2,150,150.0,1.0,0.8266666666666667,0.8266666666666667,0.7908176345002135
OVT-B,tracklet_p_bh,0.1,10,10.0,1.0,0.8666666666666667,0.8666666666666667,
OVT-B,tracklet_p_bh,0.1,25,25.0,1.0,0.8133333333333334,0.8133333333333334,
OVT-B,tracklet_p_bh,0.1,50,50.0,1.0,0.8466666666666667,0.8466666666666667,
OVT-B,tracklet_p_bh,0.1,75,75.0,1.0,0.8133333333333334,0.8133333333333334,
OVT-B,tracklet_p_bh,0.1,100,100.0,1.0,0.8133333333333334,0.8133333333333334,
OVT-B,tracklet_p_bh,0.1,125,125.0,1.0,0.8346666666666667,0.8346666666666667,
OVT-B,tracklet_p_bh,0.1,150,150.0,1.0,0.8266666666666667,0.8266666666666667,
OVT-B,tracklet_p_bh,0.2,10,10.0,1.0,0.8666666666666667,0.8666666666666667,
OVT-B,tracklet_p_bh,0.2,25,25.0,1.0,0.8133333333333334,0.8133333333333334,
OVT-B,tracklet_p_bh,0.2,50,50.0,1.0,0.8466666666666667,0.8466666666666667,
OVT-B,tracklet_p_bh,0.2,75,75.0,1.0,0.8133333333333334,0.8133333333333334,
OVT-B,tracklet_p_bh,0.2,100,100.0,1.0,0.8133333333333334,0.8133333333333334,
OVT-B,tracklet_p_bh,0.2,125,125.0,1.0,0.8346666666666667,0.8346666666666667,
OVT-B,tracklet_p_bh,0.2,150,150.0,1.0,0.8266666666666667,0.8266666666666667,
OVT-B,unmatched_as_false_block,0.1,10,0.0,0.0,0.0,,
OVT-B,unmatched_as_false_block,0.1,25,0.0,0.0,0.0,,
OVT-B,unmatched_as_false_block,0.1,50,0.0,0.0,0.0,,
OVT-B,unmatched_as_false_block,0.1,75,0.0,0.0,0.0,,
OVT-B,unmatched_as_false_block,0.1,100,0.0,0.0,0.0,,
OVT-B,unmatched_as_false_block,0.1,125,0.0,0.0,0.0,,
OVT-B,unmatched_as_false_block,0.1,150,0.0,0.0,0.0,,
OVT-B,unmatched_as_false_block,0.2,10,10.0,1.0,0.8666666666666667,0.8666666666666667,0.4413519951522857
OVT-B,unmatched_as_false_block,0.2,25,0.0,0.0,0.0,,
OVT-B,unmatched_as_false_block,0.2,50,0.0,0.0,0.0,,
OVT-B,unmatched_as_false_block,0.2,75,0.0,0.0,0.0,,
OVT-B,unmatched_as_false_block,0.2,100,0.0,0.0,0.0,,
OVT-B,unmatched_as_false_block,0.2,125,0.0,0.0,0.0,,
OVT-B,unmatched_as_false_block,0.2,150,0.0,0.0,0.0,,
TAO,confidence_threshold,0.1,10,10.0,1.0,0.7333333333333334,0.7333333333333334,
TAO,confidence_threshold,0.1,25,25.0,1.0,0.88,0.88,
TAO,confidence_threshold,0.1,50,50.0,1.0,0.9199999999999999,0.9199999999999999,
TAO,confidence_threshold,0.1,75,75.0,1.0,0.928888888888889,0.928888888888889,
TAO,confidence_threshold,0.1,100,100.0,1.0,0.9466666666666667,0.9466666666666667,
TAO,confidence_threshold,0.1,125,125.0,1.0,0.952,0.952,
TAO,confidence_threshold,0.1,150,150.0,1.0,0.9555555555555557,0.9555555555555557,
TAO,confidence_threshold,0.2,10,10.0,1.0,0.7333333333333334,0.7333333333333334,
TAO,confidence_threshold,0.2,25,25.0,1.0,0.88,0.88,
TAO,confidence_threshold,0.2,50,50.0,1.0,0.9199999999999999,0.9199999999999999,
TAO,confidence_threshold,0.2,75,75.0,1.0,0.928888888888889,0.928888888888889,
TAO,confidence_threshold,0.2,100,100.0,1.0,0.9466666666666667,0.9466666666666667,
TAO,confidence_threshold,0.2,125,125.0,1.0,0.952,0.952,
TAO,confidence_threshold,0.2,150,150.0,1.0,0.9555555555555557,0.9555555555555557,
TAO,greedy_score_no_risk,0.1,10,10.0,1.0,0.7333333333333334,0.7333333333333334,
TAO,greedy_score_no_risk,0.1,25,25.0,1.0,0.88,0.88,
TAO,greedy_score_no_risk,0.1,50,50.0,1.0,0.9199999999999999,0.9199999999999999,
TAO,greedy_score_no_risk,0.1,75,75.0,1.0,0.928888888888889,0.928888888888889,
TAO,greedy_score_no_risk,0.1,100,100.0,1.0,0.9466666666666667,0.9466666666666667,
TAO,greedy_score_no_risk,0.1,125,125.0,1.0,0.952,0.952,
TAO,greedy_score_no_risk,0.1,150,150.0,1.0,0.9555555555555557,0.9555555555555557,
TAO,greedy_score_no_risk,0.2,10,10.0,1.0,0.7333333333333334,0.7333333333333334,
TAO,greedy_score_no_risk,0.2,25,25.0,1.0,0.88,0.88,
TAO,greedy_score_no_risk,0.2,50,50.0,1.0,0.9199999999999999,0.9199999999999999,
TAO,greedy_score_no_risk,0.2,75,75.0,1.0,0.928888888888889,0.928888888888889,
TAO,greedy_score_no_risk,0.2,100,100.0,1.0,0.9466666666666667,0.9466666666666667,
TAO,greedy_score_no_risk,0.2,125,125.0,1.0,0.952,0.952,
TAO,greedy_score_no_risk,0.2,150,150.0,1.0,0.9555555555555557,0.9555555555555557,
TAO,null_superset_no_audit,0.1,10,3.3333333333333335,0.3333333333333333,0.19999999999999998,0.6,4.892998337989157
TAO,null_superset_no_audit,0.1,25,0.0,0.0,0.0,,
TAO,null_superset_no_audit,0.1,50,0.0,0.0,0.0,,
TAO,null_superset_no_audit,0.1,75,0.0,0.0,0.0,,
TAO,null_superset_no_audit,0.1,100,0.0,0.0,0.0,,
TAO,null_superset_no_audit,0.1,125,0.0,0.0,0.0,,
TAO,null_superset_no_audit,0.1,150,0.0,0.0,0.0,,
TAO,null_superset_no_audit,0.2,10,10.0,1.0,0.7333333333333334,0.7333333333333334,3.7161018626226916
TAO,null_superset_no_audit,0.2,25,4.666666666666667,0.3333333333333333,0.2142857142857143,0.6428571428571429,0.7374849621838688
TAO,null_superset_no_audit,0.2,50,0.0,0.0,0.0,,
TAO,null_superset_no_audit,0.2,75,0.0,0.0,0.0,,
TAO,null_superset_no_audit,0.2,100,0.0,0.0,0.0,,
TAO,null_superset_no_audit,0.2,125,0.0,0.0,0.0,,
TAO,null_superset_no_audit,0.2,150,0.0,0.0,0.0,,
TAO,parc_track_gamma_tuned_uniform_scs,0.1,10,3.3333333333333335,0.3333333333333333,0.19999999999999998,0.6,4.892998337989157
TAO,parc_track_gamma_tuned_uniform_scs,0.1,25,0.0,0.0,0.0,,
TAO,parc_track_gamma_tuned_uniform_scs,0.1,50,0.0,0.0,0.0,,
TAO,parc_track_gamma_tuned_uniform_scs,0.1,75,0.0,0.0,0.0,,
TAO,parc_track_gamma_tuned_uniform_scs,0.1,100,0.0,0.0,0.0,,
TAO,parc_track_gamma_tuned_uniform_scs,0.1,125,0.0,0.0,0.0,,
TAO,parc_track_gamma_tuned_uniform_scs,0.1,150,0.0,0.0,0.0,,
TAO,parc_track_gamma_tuned_uniform_scs,0.2,10,10.0,1.0,0.7333333333333334,0.7333333333333334,3.7161018626226916
TAO,parc_track_gamma_tuned_uniform_scs,0.2,25,4.666666666666667,0.3333333333333333,0.2142857142857143,0.6428571428571429,0.7374849621838688
TAO,parc_track_gamma_tuned_uniform_scs,0.2,50,0.0,0.0,0.0,,
TAO,parc_track_gamma_tuned_uniform_scs,0.2,75,0.0,0.0,0.0,,
TAO,parc_track_gamma_tuned_uniform_scs,0.2,100,0.0,0.0,0.0,,
TAO,parc_track_gamma_tuned_uniform_scs,0.2,125,0.0,0.0,0.0,,
TAO,parc_track_gamma_tuned_uniform_scs,0.2,150,0.0,0.0,0.0,,
TAO,post_filter_e_bh,0.1,10,3.3333333333333335,0.3333333333333333,0.19999999999999998,0.6,4.892998337989155
TAO,post_filter_e_bh,0.1,25,0.0,0.0,0.0,,
TAO,post_filter_e_bh,0.1,50,0.0,0.0,0.0,,
TAO,post_filter_e_bh,0.1,75,0.0,0.0,0.0,,
TAO,post_filter_e_bh,0.1,100,0.0,0.0,0.0,,
TAO,post_filter_e_bh,0.1,125,0.0,0.0,0.0,,
TAO,post_filter_e_bh,0.1,150,0.0,0.0,0.0,,
TAO,post_filter_e_bh,0.2,10,10.0,1.0,0.7333333333333334,0.7333333333333334,3.7161018626226916
TAO,post_filter_e_bh,0.2,25,4.666666666666667,0.3333333333333333,0.2142857142857143,0.6428571428571429,0.7374849621838688
TAO,post_filter_e_bh,0.2,50,0.0,0.0,0.0,,
TAO,post_filter_e_bh,0.2,75,0.0,0.0,0.0,,
TAO,post_filter_e_bh,0.2,100,0.0,0.0,0.0,,
TAO,post_filter_e_bh,0.2,125,0.0,0.0,0.0,,
TAO,post_filter_e_bh,0.2,150,0.0,0.0,0.0,,
TAO,tracklet_e_bh,0.1,10,10.0,1.0,0.7333333333333334,0.7333333333333334,23.904871165211514
TAO,tracklet_e_bh,0.1,25,25.0,1.0,0.88,0.88,6.881399368582624
TAO,tracklet_e_bh,0.1,50,50.0,1.0,0.9199999999999999,0.9199999999999999,2.237461642765872
TAO,tracklet_e_bh,0.1,75,50.0,0.6666666666666666,0.6133333333333334,0.92,0.8506877302027637
TAO,tracklet_e_bh,0.1,100,0.0,0.0,0.0,,
TAO,tracklet_e_bh,0.1,125,0.0,0.0,0.0,,
TAO,tracklet_e_bh,0.1,150,0.0,0.0,0.0,,
TAO,tracklet_e_bh,0.2,10,10.0,1.0,0.7333333333333334,0.7333333333333334,28.904871165211507
TAO,tracklet_e_bh,0.2,25,25.0,1.0,0.88,0.88,11.881399368582626
TAO,tracklet_e_bh,0.2,50,50.0,1.0,0.9199999999999999,0.9199999999999999,7.237461642765872
TAO,tracklet_e_bh,0.2,75,75.0,1.0,0.928888888888889,0.928888888888889,5.285809974539703
TAO,tracklet_e_bh,0.2,100,100.0,1.0,0.9466666666666667,0.9466666666666667,3.6645496846769974
TAO,tracklet_e_bh,0.2,125,125.0,1.0,0.952,0.952,2.7944735786027075
TAO,tracklet_e_bh,0.2,150,150.0,1.0,0.9555555555555557,0.9555555555555557,2.0241102703415983
TAO,tracklet_p_bh,0.1,10,10.0,1.0,0.7333333333333334,0.7333333333333334,
TAO,tracklet_p_bh,0.1,25,25.0,1.0,0.88,0.88,
TAO,tracklet_p_bh,0.1,50,50.0,1.0,0.9199999999999999,0.9199999999999999,
TAO,tracklet_p_bh,0.1,75,75.0,1.0,0.928888888888889,0.928888888888889,
TAO,tracklet_p_bh,0.1,100,100.0,1.0,0.9466666666666667,0.9466666666666667,
TAO,tracklet_p_bh,0.1,125,125.0,1.0,0.952,0.952,
TAO,tracklet_p_bh,0.1,150,150.0,1.0,0.9555555555555557,0.9555555555555557,
TAO,tracklet_p_bh,0.2,10,10.0,1.0,0.7333333333333334,0.7333333333333334,
TAO,tracklet_p_bh,0.2,25,25.0,1.0,0.88,0.88,
TAO,tracklet_p_bh,0.2,50,50.0,1.0,0.9199999999999999,0.9199999999999999,
TAO,tracklet_p_bh,0.2,75,75.0,1.0,0.928888888888889,0.928888888888889,
TAO,tracklet_p_bh,0.2,100,100.0,1.0,0.9466666666666667,0.9466666666666667,
TAO,tracklet_p_bh,0.2,125,125.0,1.0,0.952,0.952,
TAO,tracklet_p_bh,0.2,150,150.0,1.0,0.9555555555555557,0.9555555555555557,
TAO,unmatched_as_false_block,0.1,10,0.0,0.0,0.0,,
TAO,unmatched_as_false_block,0.1,25,0.0,0.0,0.0,,
TAO,unmatched_as_false_block,0.1,50,0.0,0.0,0.0,,
TAO,unmatched_as_false_block,0.1,75,0.0,0.0,0.0,,
TAO,unmatched_as_false_block,0.1,100,0.0,0.0,0.0,,
TAO,unmatched_as_false_block,0.1,125,0.0,0.0,0.0,,
TAO,unmatched_as_false_block,0.1,150,0.0,0.0,0.0,,
TAO,unmatched_as_false_block,0.2,10,3.3333333333333335,0.3333333333333333,0.19999999999999998,0.6,2.455423082115014
TAO,unmatched_as_false_block,0.2,25,0.0,0.0,0.0,,
TAO,unmatched_as_false_block,0.2,50,0.0,0.0,0.0,,
TAO,unmatched_as_false_block,0.2,75,0.0,0.0,0.0,,
TAO,unmatched_as_false_block,0.2,100,0.0,0.0,0.0,,
TAO,unmatched_as_false_block,0.2,125,0.0,0.0,0.0,,
TAO,unmatched_as_false_block,0.2,150,0.0,0.0,0.0,,
