dataset,alpha1,seed,candidate_budget_M,released,utr,conservative_ftr_uncertain_and_unlabeled_false,self_consistency_margin,best_margin,best_margin_k,best_margin_tau,max_observed_e,emax_effective,empty_diagnostic
OVT-B,0.2,2,150,0,0.0,,,-4.126573508350724,150.0,5.0,52.29831090625768,52.29831090625768,insufficient_high_e_mass_for_uniform_scs
TAO,0.1,0,10,0,0.0,,,-4.114959589523832,10.0,10.0,37.781761838652166,37.781761838652166,insufficient_high_e_mass_for_uniform_scs
TAO,0.1,0,25,0,0.0,,,-7.126923738128904,25.0,10.0,37.781761838652166,37.781761838652166,insufficient_high_e_mass_for_uniform_scs
TAO,0.1,0,50,0,0.0,,,-8.26066993123629,50.0,10.0,37.781761838652166,37.781761838652166,insufficient_high_e_mass_for_uniform_scs
TAO,0.1,0,75,0,0.0,,,-8.520330844344713,75.0,10.0,37.781761838652166,37.781761838652166,insufficient_high_e_mass_for_uniform_scs
TAO,0.1,0,100,0,0.0,,,-8.86608428165738,100.0,10.0,37.781761838652166,37.781761838652166,insufficient_high_e_mass_for_uniform_scs
TAO,0.1,0,125,0,0.0,,,-9.021633166013704,125.0,10.0,37.781761838652166,37.781761838652166,insufficient_high_e_mass_for_uniform_scs
TAO,0.1,0,150,0,0.0,,,-9.191812083702104,150.0,10.0,37.781761838652166,37.781761838652166,insufficient_high_e_mass_for_uniform_scs
TAO,0.1,1,10,10,0.6,0.6,4.892998337989157,8.489111789710329,8.0,12.5,37.73389353320295,37.73389353320295,
TAO,0.1,1,25,0,0.0,,,-5.392057800193192,25.0,10.0,37.73389353320295,37.73389353320295,insufficient_high_e_mass_for_uniform_scs
TAO,0.1,1,50,0,0.0,,,-7.342884158674439,50.0,10.0,37.73389353320295,37.73389353320295,insufficient_high_e_mass_for_uniform_scs
TAO,0.1,1,75,0,0.0,,,-7.877917389028861,75.0,10.0,37.73389353320295,37.73389353320295,insufficient_high_e_mass_for_uniform_scs
TAO,0.1,1,100,0,0.0,,,-8.427078533954855,98.0,10.20408163265306,37.73389353320295,37.73389353320295,insufficient_high_e_mass_for_uniform_scs
TAO,0.1,1,125,0,0.0,,,-8.688962408577371,125.0,10.0,37.73389353320295,37.73389353320295,insufficient_high_e_mass_for_uniform_scs
TAO,0.1,1,150,0,0.0,,,-8.867354713657855,150.0,10.0,37.73389353320295,37.73389353320295,insufficient_high_e_mass_for_uniform_scs
TAO,0.1,2,10,0,0.0,,,-2.624964429247388,7.0,14.285714285714285,37.6860161962012,37.6860161962012,insufficient_high_e_mass_for_uniform_scs
TAO,0.1,2,25,0,0.0,,,-7.439840296844798,25.0,10.0,37.6860161962012,37.6860161962012,insufficient_high_e_mass_for_uniform_scs
TAO,0.1,2,50,0,0.0,,,-7.682698232982665,50.0,10.0,37.6860161962012,37.6860161962012,insufficient_high_e_mass_for_uniform_scs
TAO,0.1,2,75,0,0.0,,,-8.044591598992755,75.0,10.0,37.6860161962012,37.6860161962012,insufficient_high_e_mass_for_uniform_scs
TAO,0.1,2,100,0,0.0,,,-8.37269954075627,100.0,10.0,37.6860161962012,37.6860161962012,insufficient_high_e_mass_for_uniform_scs
TAO,0.1,2,125,0,0.0,,,-8.647114489303547,125.0,10.0,37.6860161962012,37.6860161962012,insufficient_high_e_mass_for_uniform_scs
TAO,0.1,2,150,0,0.0,,,-8.820938539402361,150.0,10.0,37.6860161962012,37.6860161962012,insufficient_high_e_mass_for_uniform_scs
TAO,0.2,0,10,10,0.9,0.9,0.8850404104761678,2.53490966317864,7.0,7.142857142857142,37.781761838652166,37.781761838652166,
TAO,0.2,0,25,0,0.0,,,-2.126923738128903,25.0,5.0,37.781761838652166,37.781761838652166,insufficient_high_e_mass_for_uniform_scs
TAO,0.2,0,50,0,0.0,,,-3.260669931236291,50.0,5.0,37.781761838652166,37.781761838652166,insufficient_high_e_mass_for_uniform_scs
TAO,0.2,0,75,0,0.0,,,-3.520330844344712,75.0,5.0,37.781761838652166,37.781761838652166,insufficient_high_e_mass_for_uniform_scs
TAO,0.2,0,100,0,0.0,,,-3.86608428165738,100.0,5.0,37.781761838652166,37.781761838652166,insufficient_high_e_mass_for_uniform_scs
TAO,0.2,0,125,0,0.0,,,-4.021633166013704,125.0,5.0,37.781761838652166,37.781761838652166,insufficient_high_e_mass_for_uniform_scs
TAO,0.2,0,150,0,0.0,,,-4.1918120837021045,150.0,5.0,37.781761838652166,37.781761838652166,insufficient_high_e_mass_for_uniform_scs
TAO,0.2,1,10,10,0.6,0.6,9.892998337989155,21.067226866536288,3.0,16.666666666666664,37.73389353320295,37.73389353320295,
TAO,0.2,1,25,14,0.6428571428571429,0.6428571428571429,0.7374849621838688,5.3641117897103285,8.0,15.625,37.73389353320295,37.73389353320295,
TAO,0.2,1,50,0,0.0,,,-2.34288415867444,50.0,5.0,37.73389353320295,37.73389353320295,insufficient_high_e_mass_for_uniform_scs
TAO,0.2,1,75,0,0.0,,,-2.877917389028861,75.0,5.0,37.73389353320295,37.73389353320295,insufficient_high_e_mass_for_uniform_scs
TAO,0.2,1,100,0,0.0,,,-3.3250377176283257,98.0,5.1020408163265305,37.73389353320295,37.73389353320295,insufficient_high_e_mass_for_uniform_scs
TAO,0.2,1,125,0,0.0,,,-3.688962408577372,125.0,5.0,37.73389353320295,37.73389353320295,insufficient_high_e_mass_for_uniform_scs
TAO,0.2,1,150,0,0.0,,,-3.867354713657855,150.0,5.0,37.73389353320295,37.73389353320295,insufficient_high_e_mass_for_uniform_scs
TAO,0.2,2,10,10,0.7,0.7,0.3702668394027508,12.686016196201194,2.0,25.0,37.6860161962012,37.6860161962012,
TAO,0.2,2,25,0,0.0,,,-2.4398402968447983,25.0,5.0,37.6860161962012,37.6860161962012,insufficient_high_e_mass_for_uniform_scs
TAO,0.2,2,50,0,0.0,,,-2.6826982329826654,50.0,5.0,37.6860161962012,37.6860161962012,insufficient_high_e_mass_for_uniform_scs
TAO,0.2,2,75,0,0.0,,,-3.0445915989927546,75.0,5.0,37.6860161962012,37.6860161962012,insufficient_high_e_mass_for_uniform_scs
TAO,0.2,2,100,0,0.0,,,-3.372699540756272,100.0,5.0,37.6860161962012,37.6860161962012,insufficient_high_e_mass_for_uniform_scs
TAO,0.2,2,125,0,0.0,,,-3.6471144893035454,125.0,5.0,37.6860161962012,37.6860161962012,insufficient_high_e_mass_for_uniform_scs
TAO,0.2,2,150,0,0.0,,,-3.820938539402361,150.0,5.0,37.6860161962012,37.6860161962012,insufficient_high_e_mass_for_uniform_scs
