video_id,aoi,n_calibration_audited,n_verified_positive,n_false_link,n_uncertain,score_min,score_max,n_k50_release_audit_candidates,n_raw_topk_audit_candidates,has_verified_positive,has_k50_release_candidate,has_raw_topk_candidate,coverage_status
28,L15-0361E-1300N_1446_2989_13,6,6,0,0,0.9999043421356076,0.9999841635913064,1.0,1.0,True,True,True,covered_release_block
29,L15-0361E-1300N_1446_2989_13,6,6,0,0,0.9996708542507914,0.9999849299022908,2.0,0.0,True,True,False,covered_release_block
30,L15-0361E-1300N_1446_2989_13,6,6,0,0,0.999855110743588,0.9999981245890572,1.0,4.0,True,True,True,covered_release_block
31,L15-0361E-1300N_1446_2989_13,6,6,0,0,0.9997537778803184,0.9998826870499642,0.0,0.0,True,False,False,verified_only
32,L15-0361E-1300N_1446_2989_13,6,6,0,0,0.9997449180363288,0.9999167265158494,0.0,0.0,True,False,False,verified_only
33,L15-0368E-1245N_1474_3210_13,6,6,0,0,0.9999767779290358,0.9999913180449308,6.0,4.0,True,True,True,covered_release_block
34,L15-0368E-1245N_1474_3210_13,6,6,0,0,0.9999304174800584,0.999976996119672,1.0,4.0,True,True,True,covered_release_block
35,L15-0368E-1245N_1474_3210_13,6,6,0,0,0.9999780706445888,0.9999988709653268,6.0,4.0,True,True,True,covered_release_block
36,L15-0368E-1245N_1474_3210_13,6,6,0,0,0.9999749802693844,0.9999950079420914,6.0,5.0,True,True,True,covered_release_block
37,L15-0368E-1245N_1474_3210_13,6,6,0,0,0.9999289543251316,0.99997109714422,0.0,2.0,True,False,True,verified_only
38,L15-0368E-1245N_1474_3210_13,6,6,0,0,0.9999004723628844,0.9999970924177026,1.0,1.0,True,True,True,covered_release_block
39,L15-0368E-1245N_1474_3210_13,6,6,0,0,0.9998752981232896,0.9999613959981634,0.0,3.0,True,False,True,verified_only
40,L15-0368E-1245N_1474_3210_13,6,6,0,0,0.9998718162654648,0.99999187000449,1.0,2.0,True,True,True,covered_release_block
41,L15-0387E-1276N_1549_3087_13,6,6,0,0,0.9993502248421816,0.9995806251812152,0.0,0.0,True,False,False,verified_only
42,L15-0387E-1276N_1549_3087_13,6,6,0,0,0.9996363719456396,0.9998698677459774,0.0,0.0,True,False,False,verified_only
43,L15-0387E-1276N_1549_3087_13,6,6,0,0,0.9997448398481252,0.9999589949438746,0.0,1.0,True,False,True,verified_only
44,L15-0387E-1276N_1549_3087_13,6,6,0,0,0.9996048859157096,0.999954888431598,0.0,1.0,True,False,True,verified_only
45,L15-0387E-1276N_1549_3087_13,6,6,0,0,0.9997574777758153,0.9999347089650644,0.0,0.0,True,False,False,verified_only
46,L15-0387E-1276N_1549_3087_13,6,6,0,0,0.9996161728759344,0.999874632611064,0.0,0.0,True,False,False,verified_only
47,L15-0387E-1276N_1549_3087_13,6,6,0,0,0.9994842103607812,0.999958302618604,0.0,1.0,True,False,True,verified_only
48,L15-0434E-1218N_1736_3318_13,6,6,0,0,0.9642515854415143,0.985989242551383,0.0,0.0,True,False,False,verified_only
49,L15-0434E-1218N_1736_3318_13,6,6,0,0,0.9734995353180452,0.9971928775011756,0.0,0.0,True,False,False,verified_only
50,L15-0434E-1218N_1736_3318_13,6,6,0,0,0.9910024635205652,0.9964822980856544,0.0,0.0,True,False,False,verified_only
51,L15-0434E-1218N_1736_3318_13,6,6,0,0,0.983577900324871,0.9974931269813055,0.0,0.0,True,False,False,verified_only
52,L15-0434E-1218N_1736_3318_13,6,5,1,0,0.9900110535499808,0.9990991602406996,0.0,0.0,True,False,False,verified_only
53,L15-0434E-1218N_1736_3318_13,6,6,0,0,0.986709461375368,0.9999328172432856,0.0,0.0,True,False,False,verified_only
54,L15-0434E-1218N_1736_3318_13,6,5,1,0,0.983363352231018,0.9951596147000864,0.0,0.0,True,False,False,verified_only
55,L15-0434E-1218N_1736_3318_13,6,6,0,0,0.9952929969944186,0.9988269376750578,0.0,0.0,True,False,False,verified_only
56,L15-0457E-1135N_1831_3648_13,6,6,0,0,0.9999080613837904,0.9999745046619032,0.0,3.0,True,False,True,verified_only
57,L15-0457E-1135N_1831_3648_13,6,6,0,0,0.999962253983764,0.9999901072871552,5.0,3.0,True,True,True,covered_release_block
58,L15-0457E-1135N_1831_3648_13,6,6,0,0,0.9999215580430798,0.9999471016052616,0.0,2.0,True,False,True,verified_only
59,L15-0457E-1135N_1831_3648_13,6,6,0,0,0.9999429118491212,0.9999914231667588,1.0,4.0,True,True,True,covered_release_block
60,L15-0457E-1135N_1831_3648_13,6,6,0,0,0.9999683205664192,0.9999996771270828,5.0,7.0,True,True,True,covered_release_block
61,L15-0457E-1135N_1831_3648_13,6,6,0,0,0.9999392280527616,0.999989122741769,2.0,3.0,True,True,True,covered_release_block
62,L15-0457E-1135N_1831_3648_13,6,6,0,0,0.9997631523202516,0.9999671036259776,0.0,1.0,True,False,True,verified_only
63,L15-0487E-1246N_1950_3207_13,6,6,0,0,0.9994845801952408,0.9998494031673258,0.0,0.0,True,False,False,verified_only
64,L15-0487E-1246N_1950_3207_13,6,6,0,0,0.9993054187404355,0.9998540618764504,0.0,0.0,True,False,False,verified_only
65,L15-0487E-1246N_1950_3207_13,6,6,0,0,0.9984163412529424,0.9999484375587718,0.0,1.0,True,False,True,verified_only
66,L15-0487E-1246N_1950_3207_13,6,6,0,0,0.9987232388347428,0.9999305441065076,0.0,0.0,True,False,False,verified_only
67,L15-0487E-1246N_1950_3207_13,6,6,0,0,0.998759963132584,0.9999183576028704,0.0,0.0,True,False,False,verified_only
68,L15-0487E-1246N_1950_3207_13,6,6,0,0,0.9981974847581728,0.9995793352759594,0.0,0.0,True,False,False,verified_only
69,L15-0487E-1246N_1950_3207_13,6,6,0,0,0.9995722047419136,0.9999724099910224,0.0,1.0,True,False,True,verified_only
70,L15-0487E-1246N_1950_3207_13,6,6,0,0,0.9995726650742296,0.9999964565318455,1.0,0.0,True,True,False,covered_release_block
71,L15-0506E-1204N_2027_3374_13,6,6,0,0,0.9997771125512837,0.9999866075545616,2.0,1.0,True,True,True,covered_release_block
72,L15-0506E-1204N_2027_3374_13,6,6,0,0,0.9998103115838292,0.9999899507390614,1.0,1.0,True,True,True,covered_release_block
73,L15-0506E-1204N_2027_3374_13,6,6,0,0,0.9996670995589804,0.9999535013581774,0.0,1.0,True,False,True,verified_only
74,L15-0506E-1204N_2027_3374_13,6,6,0,0,0.9993753528486498,0.9998635638732132,0.0,0.0,True,False,False,verified_only
75,L15-0506E-1204N_2027_3374_13,6,6,0,0,0.999766579440279,0.9999988945181846,1.0,0.0,True,True,False,covered_release_block
76,L15-0506E-1204N_2027_3374_13,6,6,0,0,0.999659604050756,0.9999961829382236,2.0,1.0,True,True,True,covered_release_block
77,L15-0506E-1204N_2027_3374_13,6,6,0,0,0.9998257537717052,0.999988454272928,1.0,2.0,True,True,True,covered_release_block
78,L15-0506E-1204N_2027_3374_13,6,6,0,0,0.999377815095112,0.9997922656132234,0.0,0.0,True,False,False,verified_only
79,L15-0544E-1228N_2176_3279_13,6,6,0,0,0.9999066484667678,0.9999992358876189,3.0,2.0,True,True,True,covered_release_block
80,L15-0544E-1228N_2176_3279_13,6,6,0,0,0.9999440689853802,0.9999944692569294,3.0,4.0,True,True,True,covered_release_block
81,L15-0544E-1228N_2176_3279_13,6,6,0,0,0.9999364965279656,0.9999943717195666,3.0,2.0,True,True,True,covered_release_block
82,L15-0544E-1228N_2176_3279_13,6,6,0,0,0.9999670082034892,0.9999936698856888,3.0,4.0,True,True,True,covered_release_block
83,L15-0544E-1228N_2176_3279_13,6,6,0,0,0.999950194125514,0.9999996369717956,4.0,4.0,True,True,True,covered_release_block
84,L15-0544E-1228N_2176_3279_13,6,6,0,0,0.9999179705501504,0.9999943619864622,1.0,2.0,True,True,True,covered_release_block
85,L15-0544E-1228N_2176_3279_13,6,6,0,0,0.999923683766324,0.9999645829706316,0.0,2.0,True,False,True,verified_only
86,L15-0544E-1228N_2176_3279_13,6,6,0,0,0.999936727590964,0.9999967014542162,3.0,2.0,True,True,True,covered_release_block
87,L15-0566E-1185N_2265_3451_13,6,6,0,0,0.9834377211503595,0.9992675723720672,0.0,0.0,True,False,False,verified_only
88,L15-0566E-1185N_2265_3451_13,6,6,0,0,0.97414437394634,0.9913447153226284,0.0,0.0,True,False,False,verified_only
89,L15-0566E-1185N_2265_3451_13,6,5,1,0,0.9891877361755907,0.9992379824587758,0.0,0.0,True,False,False,verified_only
90,L15-0566E-1185N_2265_3451_13,6,6,0,0,0.994994330909355,0.9989706307535062,0.0,0.0,True,False,False,verified_only
91,L15-0566E-1185N_2265_3451_13,6,6,0,0,0.9979630243095018,0.9992581083757506,0.0,0.0,True,False,False,verified_only
92,L15-0566E-1185N_2265_3451_13,6,6,0,0,0.9986460224962942,0.9998767988826934,0.0,0.0,True,False,False,verified_only
93,L15-0566E-1185N_2265_3451_13,6,6,0,0,0.9989553961283044,0.9997314046776816,0.0,0.0,True,False,False,verified_only
94,L15-0571E-1075N_2287_3888_13,6,6,0,0,0.9999780844581396,0.9999968324061695,7.0,4.0,True,True,True,covered_release_block
95,L15-0571E-1075N_2287_3888_13,6,6,0,0,0.9999547479168184,0.9999999573263204,3.0,5.0,True,True,True,covered_release_block
96,L15-0571E-1075N_2287_3888_13,6,6,0,0,0.9998508064124229,0.9999955251528124,1.0,0.0,True,True,False,covered_release_block
97,L15-0571E-1075N_2287_3888_13,6,6,0,0,0.9999342378468532,0.9999962614760032,2.0,3.0,True,True,True,covered_release_block
98,L15-0571E-1075N_2287_3888_13,6,6,0,0,0.9999435438537884,0.9999935596597652,2.0,4.0,True,True,True,covered_release_block
99,L15-0571E-1075N_2287_3888_13,6,6,0,0,0.999953944858544,0.9999881158603416,1.0,6.0,True,True,True,covered_release_block
100,L15-0571E-1075N_2287_3888_13,6,6,0,0,0.9994069754929598,0.9999702857473268,0.0,2.0,True,False,True,verified_only
101,L15-0577E-1243N_2309_3217_13,6,6,0,0,0.9997919385800614,0.9999908288350527,2.0,0.0,True,True,False,covered_release_block
102,L15-0577E-1243N_2309_3217_13,6,6,0,0,0.9998691691196754,0.9999786904673936,1.0,2.0,True,True,True,covered_release_block
103,L15-0577E-1243N_2309_3217_13,6,6,0,0,0.9998869603998356,0.9999982033028892,2.0,0.0,True,True,False,covered_release_block
104,L15-0577E-1243N_2309_3217_13,6,6,0,0,0.9998686544384944,0.9999527726640236,0.0,1.0,True,False,True,verified_only
105,L15-0577E-1243N_2309_3217_13,6,6,0,0,0.999872131751431,0.9999907934791296,1.0,1.0,True,True,True,covered_release_block
106,L15-0577E-1243N_2309_3217_13,6,6,0,0,0.9998303939841572,0.9999632641884044,0.0,2.0,True,False,True,verified_only
107,L15-0577E-1243N_2309_3217_13,6,6,0,0,0.9997990610549984,0.999889826419074,0.0,0.0,True,False,False,verified_only
108,L15-0586E-1127N_2345_3680_13,6,6,0,0,0.9999494432458124,0.9999953433395932,2.0,5.0,True,True,True,covered_release_block
109,L15-0586E-1127N_2345_3680_13,6,6,0,0,0.9999186216808746,0.9999914580436104,2.0,3.0,True,True,True,covered_release_block
110,L15-0586E-1127N_2345_3680_13,6,6,0,0,0.9998843000851916,0.9999479620427976,0.0,3.0,True,False,True,verified_only
111,L15-0586E-1127N_2345_3680_13,5,4,1,0,0.9999596352766004,0.9999996502956324,3.0,4.0,True,True,True,covered_release_block
112,L15-0586E-1127N_2345_3680_13,5,5,0,0,0.9998905316936394,0.9999970762687826,2.0,0.0,True,True,False,covered_release_block
113,L15-0586E-1127N_2345_3680_13,5,5,0,0,0.999956755128788,0.9999986551587746,2.0,3.0,True,True,True,covered_release_block
114,L15-0586E-1127N_2345_3680_13,5,5,0,0,0.9998777991596852,0.999973550843554,0.0,1.0,True,False,True,verified_only
115,L15-0586E-1127N_2345_3680_13,5,5,0,0,0.9999701897551432,0.999995968226944,4.0,3.0,True,True,True,covered_release_block
116,L15-0595E-1278N_2383_3079_13,5,5,0,0,0.9997363330463978,0.9999514629641229,0.0,1.0,True,False,True,verified_only
117,L15-0595E-1278N_2383_3079_13,5,5,0,0,0.999760803503583,0.9998873082907784,0.0,0.0,True,False,False,verified_only
118,L15-0595E-1278N_2383_3079_13,5,5,0,0,0.9997573338597002,0.9998866216975388,0.0,0.0,True,False,False,verified_only
119,L15-0595E-1278N_2383_3079_13,5,5,0,0,0.9998606878439652,0.9999854679089932,1.0,1.0,True,True,True,covered_release_block
120,L15-0595E-1278N_2383_3079_13,5,5,0,0,0.999732531687685,0.9999621857922244,0.0,1.0,True,False,True,verified_only
121,L15-0595E-1278N_2383_3079_13,5,5,0,0,0.9998593691890362,0.999997431695832,1.0,1.0,True,True,True,covered_release_block
122,L15-0595E-1278N_2383_3079_13,5,5,0,0,0.9997519228528896,0.9999913240346494,1.0,0.0,True,True,False,covered_release_block
123,L15-0595E-1278N_2383_3079_13,5,5,0,0,0.9999137702053028,0.99996922098052,0.0,2.0,True,False,True,verified_only
124,L15-0614E-0946N_2459_4406_13,5,5,0,0,0.9999269988299592,0.999966079921683,0.0,2.0,True,False,True,verified_only
125,L15-0614E-0946N_2459_4406_13,5,5,0,0,0.999974205616262,0.9999939865084094,3.0,4.0,True,True,True,covered_release_block
126,L15-0614E-0946N_2459_4406_13,5,5,0,0,0.9999548684005684,0.9999994287187866,2.0,4.0,True,True,True,covered_release_block
127,L15-0614E-0946N_2459_4406_13,5,5,0,0,0.9999705195351452,0.9999938260006156,3.0,5.0,True,True,True,covered_release_block
128,L15-0614E-0946N_2459_4406_13,5,5,0,0,0.9999674289775256,0.999990461221172,1.0,9.0,True,True,True,covered_release_block
129,L15-0614E-0946N_2459_4406_13,5,5,0,0,0.9999447374548828,0.9999908283955764,1.0,4.0,True,True,True,covered_release_block
130,L15-0614E-0946N_2459_4406_13,5,5,0,0,0.9999796697734842,0.9999998552461604,5.0,1.0,True,True,True,covered_release_block
131,L15-0632E-0892N_2528_4620_13,5,5,0,0,0.9995917653557662,0.9998785027192127,0.0,0.0,True,False,False,verified_only
132,L15-0632E-0892N_2528_4620_13,5,5,0,0,0.9996708676001635,0.999941322809075,0.0,0.0,True,False,False,verified_only
133,L15-0632E-0892N_2528_4620_13,5,5,0,0,0.9997255292271804,0.9999908369609398,2.0,0.0,True,True,False,covered_release_block
134,L15-0632E-0892N_2528_4620_13,5,5,0,0,0.999642488995614,0.9998598430587924,0.0,0.0,True,False,False,verified_only
135,L15-0632E-0892N_2528_4620_13,5,5,0,0,0.9997169036325906,0.9999620644860752,0.0,1.0,True,False,True,verified_only
136,L15-0632E-0892N_2528_4620_13,5,5,0,0,0.9997624208714796,0.9999423178849154,0.0,0.0,True,False,False,verified_only
137,L15-0632E-0892N_2528_4620_13,5,5,0,0,0.9998457036850288,0.9999969781702124,1.0,0.0,True,True,False,covered_release_block
138,L15-0632E-0892N_2528_4620_13,5,5,0,0,0.9997360156944188,0.9999332017152206,0.0,0.0,True,False,False,verified_only
