dataset,scenario,alpha1,seed,method,M,released,UTR,audited_FTR,conservative_FTR,unsupported_true,unsupported_false,unsupported_uncertain,unsupported_unlabeled,mass_ratio,emax,empty_reason,self_consistency_margin,result_status,verified_positive_removal_ratio,label_interpretation
OVT-B,verified_positive_removal_ratio,0.2,1,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0266666666666666,0.0,0.02,1.0,0.0,0.0,3.0,2.9932451452309388,37.92531273292138,,9.966225726154695,actual_rerun,0.25,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,2,parc_track_gamma_tuned_uniform_scs,150,150.0,0.02,0.0,0.0066666666666666,2.0,0.0,0.0,1.0,4.229138888134185,38.02096847695493,,16.145694440670923,actual_rerun,0.25,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,0,parc_track_gamma_tuned_uniform_scs,150,105.0,0.019047619047619,0.0,0.0095238095238095,1.0,0.0,0.0,1.0,1.0719256007826765,38.8326128927103,,1.0275085826096646,actual_rerun,0.5,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,1,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0266666666666666,0.0,0.02,1.0,0.0,0.0,3.0,1.4966225726154694,37.92531273292138,,4.966225726154695,actual_rerun,0.5,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,2,parc_track_gamma_tuned_uniform_scs,150,150.0,0.02,0.0,0.0066666666666666,2.0,0.0,0.0,1.0,2.1145694440670924,38.02096847695493,,11.145694440670924,actual_rerun,0.5,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,0,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0133333333333333,0.0,0.0066666666666666,1.0,0.0,0.0,1.0,1.9869495731223021,38.8326128927103,,4.934747865611511,actual_rerun,0.5,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,1,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0266666666666666,0.0,0.02,1.0,0.0,0.0,3.0,2.9932451452309388,37.92531273292138,,9.966225726154695,actual_rerun,0.5,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,2,parc_track_gamma_tuned_uniform_scs,150,150.0,0.02,0.0,0.0066666666666666,2.0,0.0,0.0,1.0,4.229138888134185,38.02096847695493,,16.145694440670923,actual_rerun,0.5,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,0,parc_track_gamma_tuned_uniform_scs,150,105.0,0.019047619047619,0.0,0.0095238095238095,1.0,0.0,0.0,1.0,1.0719256007826765,38.8326128927103,,1.0275085826096646,actual_rerun,0.75,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,1,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0266666666666666,0.0,0.02,1.0,0.0,0.0,3.0,1.4966225726154694,37.92531273292138,,4.966225726154695,actual_rerun,0.75,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,2,parc_track_gamma_tuned_uniform_scs,150,150.0,0.02,0.0,0.0066666666666666,2.0,0.0,0.0,1.0,2.1145694440670924,38.02096847695493,,11.145694440670924,actual_rerun,0.75,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,0,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0133333333333333,0.0,0.0066666666666666,1.0,0.0,0.0,1.0,1.9869495731223021,38.8326128927103,,4.934747865611511,actual_rerun,0.75,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,1,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0266666666666666,0.0,0.02,1.0,0.0,0.0,3.0,2.9932451452309388,37.92531273292138,,9.966225726154695,actual_rerun,0.75,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,2,parc_track_gamma_tuned_uniform_scs,150,150.0,0.02,0.0,0.0066666666666666,2.0,0.0,0.0,1.0,4.229138888134185,38.02096847695493,,16.145694440670923,actual_rerun,0.75,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,0,parc_track_gamma_tuned_uniform_scs,150,105.0,0.019047619047619,0.0,0.0095238095238095,1.0,0.0,0.0,1.0,1.0719256007826765,38.8326128927103,,1.0275085826096646,actual_rerun,1.0,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,1,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0266666666666666,0.0,0.02,1.0,0.0,0.0,3.0,1.4947924668726005,37.877471421844106,,4.947924668726003,actual_rerun,1.0,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,2,parc_track_gamma_tuned_uniform_scs,150,150.0,0.02,0.0,0.0066666666666666,2.0,0.0,0.0,1.0,2.111961051308516,37.97314507911579,,11.119610513085153,actual_rerun,1.0,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,0,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0133333333333333,0.0,0.0066666666666666,1.0,0.0,0.0,1.0,1.9869495731223021,38.8326128927103,,4.934747865611511,actual_rerun,1.0,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,1,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0266666666666666,0.0,0.02,1.0,0.0,0.0,3.0,2.989584933745201,37.877471421844106,,9.947924668726005,actual_rerun,1.0,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,2,parc_track_gamma_tuned_uniform_scs,150,150.0,0.02,0.0,0.0066666666666666,2.0,0.0,0.0,1.0,4.223922102617032,37.97314507911579,,16.119610513085153,actual_rerun,1.0,uncertain_as_unknown
