dataset,generator,video_scope,alpha1,seed,candidate_budget_M,checkpoint,checkpoint_order,eligible_candidates,tau_k,self_consistency_margin,score_source,num_scope_videos,released,official_supported,unsupported,utr,audited_ftr_on_labeled_released,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,runtime_sec,min_scope_video_end,max_scope_video_end
OVT-B,GroundingDINO,all_test,0.1,2,150,20,20,91,16.483516483516485,4.348821539245865,final_evalue_checkpoint_slice,787,91,90,1,0.01098901098901099,,0.01098901098901099,0.6066666666666667,0.0,,
OVT-B,GroundingDINO,all_test,0.1,2,150,40,40,144,10.416666666666666,10.415671356095684,final_evalue_checkpoint_slice,787,144,142,2,0.013888888888888888,0.0,0.006944444444444444,0.96,0.0,,
OVT-B,GroundingDINO,all_test,0.1,2,150,80,80,144,10.416666666666666,10.415671356095684,final_evalue_checkpoint_slice,787,144,142,2,0.013888888888888888,0.0,0.006944444444444444,0.96,0.0,,
OVT-B,GroundingDINO,all_test,0.1,2,150,160,160,146,10.273972602739725,10.558365420022625,final_evalue_checkpoint_slice,787,146,144,2,0.0136986301369863,0.0,0.00684931506849315,0.9733333333333334,0.0,,
OVT-B,GroundingDINO,all_test,0.1,2,150,final,1999999,150,10.0,10.83233802276235,final_evalue_checkpoint_slice,787,150,147,3,0.02,0.0,0.006666666666666667,1.0,0.0,,
OVT-B,GroundingDINO,long50_test,0.1,2,150,10,10,10,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,89.0,5491.0
OVT-B,GroundingDINO,long50_test,0.1,2,150,20,20,11,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,89.0,5491.0
OVT-B,GroundingDINO,long50_test,0.1,2,150,40,40,15,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,89.0,5491.0
OVT-B,GroundingDINO,long50_test,0.1,2,150,80,80,29,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,89.0,5491.0
OVT-B,GroundingDINO,long50_test,0.1,2,150,160,160,50,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,89.0,5491.0
OVT-B,GroundingDINO,long50_test,0.1,2,150,final,1999999,150,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,89.0,5491.0
OVT-B,GroundingDINO,all_test,0.2,0,150,10,10,13,,,final_evalue_checkpoint_slice,787,0,0,0,0.0,,,0.0,0.0,,
OVT-B,GroundingDINO,all_test,0.2,0,150,20,20,85,8.823529411764707,1.0412543667409047,final_evalue_checkpoint_slice,787,85,85,0,0.0,,0.0,0.5666666666666667,0.0,,
OVT-B,GroundingDINO,all_test,0.2,0,150,40,40,145,5.172413793103448,4.692369985402163,final_evalue_checkpoint_slice,787,145,144,1,0.006896551724137931,0.0,0.006896551724137931,0.9666666666666667,0.0,,
OVT-B,GroundingDINO,all_test,0.2,0,150,80,80,147,5.1020408163265305,4.762742962179081,final_evalue_checkpoint_slice,787,147,146,1,0.006802721088435374,0.0,0.006802721088435374,0.98,0.0,,
OVT-B,GroundingDINO,all_test,0.2,0,150,160,160,148,5.0675675675675675,4.797216210938044,final_evalue_checkpoint_slice,787,148,147,1,0.006756756756756757,0.0,0.006756756756756757,0.9866666666666667,0.0,,
OVT-B,GroundingDINO,all_test,0.2,0,150,final,1999999,150,5.0,4.864783778505611,final_evalue_checkpoint_slice,787,150,148,2,0.013333333333333334,0.0,0.006666666666666667,1.0,0.0,,
OVT-B,GroundingDINO,long50_test,0.2,0,150,10,10,18,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,107.0,1049.0
OVT-B,GroundingDINO,long50_test,0.2,0,150,20,20,19,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,107.0,1049.0
OVT-B,GroundingDINO,long50_test,0.2,0,150,40,40,22,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,107.0,1049.0
OVT-B,GroundingDINO,long50_test,0.2,0,150,80,80,36,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,107.0,1049.0
OVT-B,GroundingDINO,long50_test,0.2,0,150,160,160,67,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,107.0,1049.0
OVT-B,GroundingDINO,long50_test,0.2,0,150,final,1999999,150,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,107.0,1049.0
OVT-B,GroundingDINO,all_test,0.2,1,150,10,10,16,,,final_evalue_checkpoint_slice,787,0,0,0,0.0,,,0.0,0.0,,
OVT-B,GroundingDINO,all_test,0.2,1,150,20,20,83,9.036144578313252,5.655157183964548,final_evalue_checkpoint_slice,787,83,82,1,0.012048192771084338,,0.012048192771084338,0.5533333333333333,0.0,,
OVT-B,GroundingDINO,all_test,0.2,1,150,40,40,137,5.474452554744525,9.216849207533274,final_evalue_checkpoint_slice,787,137,135,2,0.014598540145985401,0.0,0.014598540145985401,0.9133333333333333,0.0,,
OVT-B,GroundingDINO,all_test,0.2,1,150,80,80,138,5.434782608695652,9.256519153582147,final_evalue_checkpoint_slice,787,138,136,2,0.014492753623188406,0.0,0.014492753623188406,0.92,0.0,,
OVT-B,GroundingDINO,all_test,0.2,1,150,160,160,140,5.357142857142857,9.334158905134942,final_evalue_checkpoint_slice,787,140,137,3,0.02142857142857143,0.0,0.02142857142857143,0.9333333333333333,0.0,,
OVT-B,GroundingDINO,all_test,0.2,1,150,final,1999999,150,5.0,9.6913017622778,final_evalue_checkpoint_slice,787,150,146,4,0.02666666666666667,0.0,0.02,1.0,0.0,,
OVT-B,GroundingDINO,long50_test,0.2,1,150,10,10,7,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,114.0,901.0
OVT-B,GroundingDINO,long50_test,0.2,1,150,20,20,7,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,114.0,901.0
OVT-B,GroundingDINO,long50_test,0.2,1,150,40,40,8,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,114.0,901.0
OVT-B,GroundingDINO,long50_test,0.2,1,150,80,80,16,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,114.0,901.0
OVT-B,GroundingDINO,long50_test,0.2,1,150,160,160,33,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,114.0,901.0
OVT-B,GroundingDINO,long50_test,0.2,1,150,final,1999999,150,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,114.0,901.0
OVT-B,GroundingDINO,all_test,0.2,2,150,10,10,19,,,final_evalue_checkpoint_slice,787,0,0,0,0.0,,,0.0,0.0,,
OVT-B,GroundingDINO,all_test,0.2,2,150,20,20,91,8.241758241758243,12.590579781004108,final_evalue_checkpoint_slice,787,91,90,1,0.01098901098901099,,0.01098901098901099,0.6066666666666667,0.0,,
OVT-B,GroundingDINO,all_test,0.2,2,150,40,40,144,5.208333333333333,15.624004689429018,final_evalue_checkpoint_slice,787,144,142,2,0.013888888888888888,0.0,0.006944444444444444,0.96,0.0,,
OVT-B,GroundingDINO,all_test,0.2,2,150,80,80,144,5.208333333333333,15.624004689429018,final_evalue_checkpoint_slice,787,144,142,2,0.013888888888888888,0.0,0.006944444444444444,0.96,0.0,,
OVT-B,GroundingDINO,all_test,0.2,2,150,160,160,146,5.136986301369863,15.695351721392488,final_evalue_checkpoint_slice,787,146,144,2,0.0136986301369863,0.0,0.00684931506849315,0.9733333333333334,0.0,,
OVT-B,GroundingDINO,all_test,0.2,2,150,final,1999999,150,5.0,15.83233802276235,final_evalue_checkpoint_slice,787,150,147,3,0.02,0.0,0.006666666666666667,1.0,0.0,,
OVT-B,GroundingDINO,long50_test,0.2,2,150,10,10,10,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,89.0,5491.0
OVT-B,GroundingDINO,long50_test,0.2,2,150,20,20,11,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,89.0,5491.0
OVT-B,GroundingDINO,long50_test,0.2,2,150,40,40,15,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,89.0,5491.0
OVT-B,GroundingDINO,long50_test,0.2,2,150,80,80,29,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,89.0,5491.0
OVT-B,GroundingDINO,long50_test,0.2,2,150,160,160,50,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,89.0,5491.0
OVT-B,GroundingDINO,long50_test,0.2,2,150,final,1999999,150,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,89.0,5491.0
